GEO_ID,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,NAME,C15002I_001EA,C15002I_001MA,C15002I_002EA,C15002I_002MA,C15002I_003EA,C15002I_003MA,C15002I_004MA,C15002I_004EA,C15002I_005EA,C15002I_005MA,C15002I_006EA,C15002I_006MA,C15002I_007MA,C15002I_007EA,C15002I_008MA,C15002I_008EA,C15002I_009MA,C15002I_009EA,C15002I_010MA,C15002I_010EA,C15002I_011MA,C15002I_011EA,state
0400000US30,21798,1562,10043,1558,1446,679,3351,1199,3258,766,1988,766,11755,1405,966,498,2533,742,4820,1207,3436,1016,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,12489,1079,6157,1029,344,232,2221,802,2134,614,1458,650,6332,622,772,398,1143,458,1373,496,3044,842,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,495232,4794,254609,4138,105656,5239,63838,4592,48538,4129,36577,3506,240623,3218,80101,4379,59099,3520,60059,3619,41364,3525,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,527401,4636,275766,3902,106375,5399,77479,5340,49242,4285,42670,3811,251635,3892,89187,4814,59537,5018,50983,4154,51928,4704,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,28378,878,14471,850,1465,622,4815,1012,4932,958,3259,906,13907,854,1676,779,3354,868,4949,1086,3928,928,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,105067,2991,53726,2710,18565,2499,14443,2563,10586,2325,10132,1876,51341,1934,14954,1955,12298,1753,13062,1935,11027,1839,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,7156,708,3239,614,330,264,763,347,1421,536,725,401,3917,707,308,238,572,303,832,406,2205,611,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,497660,936,251980,1197,83190,4269,80760,4872,60430,3879,27600,2729,245680,1101,76837,3911,79726,3538,59311,3785,29806,3000,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,14498,1658,8030,1355,1755,667,2024,738,2897,1067,1354,614,6468,1334,1252,539,1375,635,2262,824,1579,718,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,207482,2228,110343,1589,43074,2641,34193,2613,21318,1970,11758,1568,97139,1809,31008,2459,30040,2252,23519,2107,12572,1681,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,205592,2302,107281,2154,35823,2414,33521,2915,25370,2533,12567,1600,98311,1677,25548,2229,27987,2337,26244,2116,18532,1786,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,2256264,4354,1037461,3068,257659,7652,323951,8578,223387,8207,232464,7945,1218803,2646,252783,7433,312567,8073,286810,7315,366643,8536,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,450985,3608,230453,3133,69471,4608,57568,4691,49041,3357,54373,3635,220532,2808,55792,3731,52239,3997,54509,3681,57992,3951,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,14853,1489,8599,1398,1632,855,2532,785,2676,981,1759,930,6254,941,811,408,1721,655,2863,809,859,418,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,153094,3289,80709,2972,26565,2905,26346,3233,15902,2132,11896,2093,72385,2108,20065,2203,22205,2493,15614,2448,14501,1848,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,290725,2383,150854,1939,58331,4550,39440,3799,31957,3410,21126,2318,139871,1486,46187,3806,30220,3349,38135,3269,25329,2724,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,32772,1785,16480,1315,3604,1254,7089,1456,4496,1093,1291,669,16292,1403,2392,907,5880,1121,6074,1377,1946,754,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,9037686,2086,4506225,1954,1582723,19402,1270537,14167,1103881,15130,549084,14303,4531461,1823,1517569,16099,1144161,16808,1193130,15381,676601,14708,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,45078,2721,25677,2380,8937,1613,7728,1396,5556,1376,3456,1232,19401,1495,6233,1413,4151,1050,4834,1035,4183,1442,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,339273,1172,165130,1073,47830,3618,57827,3638,32949,3683,26524,2773,174143,746,41812,2853,52133,3068,47651,2848,32547,3302,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,6392830,6800,3176616,4847,1086351,17336,940292,15837,715597,15915,434376,12795,3216214,4224,1026037,16217,865088,15425,788640,15267,536449,13114,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,348979,2204,180932,1475,61062,4149,43568,3576,38327,3625,37975,3238,168047,1704,49612,2882,37823,3162,39452,2850,41160,2860,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,3686245,3201,1781397,2975,374956,10548,542237,12301,436928,11816,427276,11595,1904848,2415,360449,9873,523570,14936,509271,13533,511558,10106,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,478481,1701,232599,1309,70570,4280,74357,4675,43785,3981,43887,3639,245882,868,70693,3623,57481,4292,60203,4677,57505,4520,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,49691,-555555555,25478,-555555555,5504,1394,3181,1141,2550,972,14243,1546,24213,-555555555,5858,1499,2801,1054,2225,1093,13329,1770,District of Columbia,null,*****,null,*****,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,11
0400000US49,225245,1287,115489,1182,30716,3255,35978,3697,32538,3099,16257,2188,109756,1018,29649,3046,33550,3125,26130,2788,20427,2547,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,2340922,3293,1131098,2545,331101,9733,338748,8907,258647,9287,202602,8694,1209824,2262,339909,10082,320852,10068,282984,10386,266079,7612,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,1119433,1310,554662,1384,141232,7107,184315,7652,122965,5981,106150,5231,564771,1429,132041,5282,168182,6492,136967,5456,127581,5579,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,233733,3162,118728,2596,31277,3057,37736,3197,29291,2879,20424,2340,115005,2032,23667,2353,31982,3233,34968,2804,24388,2588,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,131480,2174,66537,2158,13814,2037,19054,2458,18816,1896,14853,2019,64943,2086,15237,2171,16487,1965,17352,2347,15867,1943,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,523671,2166,262474,2135,76325,3771,89497,4855,54228,4544,42424,3832,261197,1885,67120,3766,78808,4383,64976,4031,50293,3341,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,267377,2464,136317,2149,39708,2882,36171,2453,34518,2585,25920,2557,131060,1947,31662,2574,35245,2626,37838,2218,26315,2149,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,104604,1534,53327,1305,19460,1835,16793,1835,10271,1573,6803,1380,51277,1208,16259,1697,14730,1702,12334,1567,7954,1073,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,111099,2063,58626,1578,21995,2454,19496,2594,11685,2105,5450,1469,52473,1741,18198,2052,14868,1610,14068,2095,5339,1286,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,623425,2469,304630,1959,77634,5002,100099,4615,84077,4453,42820,3469,318795,1608,67985,4134,97498,4471,97710,4325,55602,3678,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,76137,699,38038,614,3920,897,11816,1540,13234,1609,9068,1390,38099,240,2697,814,10114,1261,13010,1669,12278,1676,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,16245,1289,9006,1194,3069,865,1923,722,2502,879,1512,694,7239,1052,2342,799,1780,566,2264,728,853,506,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,493532,2727,255527,2328,90605,4317,68791,4384,57698,4266,38433,3275,238005,1582,74549,3686,56281,4106,65135,4067,42040,2753,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,93388,827,46268,818,13040,2499,18134,2883,8202,1819,6892,1659,47120,588,10234,1541,16841,2106,12050,1680,7995,1837,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,1252401,1664,623244,1348,183761,6528,187108,7518,173282,7078,79093,4038,629157,860,177423,5851,171713,7111,187164,6333,92857,5391,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,182172,2832,97716,2505,36562,3148,29649,2616,15608,2494,15897,2198,84456,2183,27230,2544,23867,2702,16966,1979,16393,2067,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,175046,2465,89989,2271,34418,2674,23752,2318,20485,2363,11334,1679,85057,1960,29250,1996,21488,2539,22211,2060,12108,1902,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
