C17001I_003M,C17001I_004E,C17001I_004M,C17001I_005E,C17001I_005M,C17001I_006E,C17001I_006M,C17001I_007E,C17001I_007M,C17001I_008E,C17001I_008M,C17001I_009E,C17001I_009M,C17001I_010E,C17001I_010M,C17001I_011E,C17001I_011M,C17001I_012E,C17001I_012M,C17001I_013E,C17001I_013M,C17001I_014E,C17001I_014M,C17001I_015E,C17001I_015M,C17001I_016E,C17001I_016M,C17001I_017E,C17001I_017M,C17001I_018E,C17001I_018M,C17001I_019E,C17001I_019M,GEO_ID,C17001I_001E,C17001I_001M,C17001I_002E,C17001I_002M,C17001I_003E,C17001I_003MA,C17001I_004EA,C17001I_004MA,C17001I_005EA,C17001I_005MA,C17001I_006MA,C17001I_006EA,C17001I_007MA,C17001I_007EA,C17001I_008EA,C17001I_008MA,C17001I_009EA,C17001I_009MA,C17001I_010EA,C17001I_010MA,C17001I_011EA,C17001I_011MA,C17001I_012EA,C17001I_012MA,C17001I_013EA,C17001I_013MA,C17001I_014EA,C17001I_014MA,C17001I_015EA,C17001I_015MA,C17001I_016MA,C17001I_016EA,C17001I_017MA,C17001I_017EA,C17001I_018EA,C17001I_018MA,C17001I_019EA,C17001I_019MA,NAME,C17001I_001EA,C17001I_001MA,C17001I_002EA,C17001I_002MA,C17001I_003EA,state
942,631,436,1704,721,138,216,2707,1001,1049,656,1566,582,92,166,35283,1851,17795,1683,7512,1229,9328,1312,955,510,17488,1644,5753,880,10552,1257,1183,469,0400000US30,40463,942,5180,1461,2473,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,30
1021,931,417,2247,901,96,145,2115,604,553,333,1445,512,117,120,15299,1386,7853,1029,2234,444,5191,917,428,233,7446,780,2090,395,4130,688,1226,469,0400000US23,20688,779,5389,1216,3274,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,23
7809,64299,6011,44575,3691,2008,865,129899,8600,61908,5443,65192,5071,2799,876,731314,14192,385599,9072,130436,6490,242033,4818,13130,1746,345715,8421,119953,5192,209004,5121,16758,1706,0400000US37,972095,2518,240781,13746,110882,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,37
7989,55389,5759,38935,3791,2694,1245,115481,9624,53293,5724,58640,4834,3548,1251,785547,15338,417813,8578,133528,5869,268540,4888,15745,1919,367734,10046,125168,6165,224784,5952,17782,2138,0400000US13,998046,3076,212499,14840,97018,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,13
785,633,386,1369,584,47,73,2771,947,1189,620,1563,512,19,25,47132,1475,24002,1216,7595,622,15105,1140,1302,458,23130,1187,8182,709,13703,977,1245,330,0400000US02,51952,657,4820,1420,2049,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,02
3856,16539,2486,14513,2402,867,711,32926,4530,14552,2723,16911,2375,1463,654,141910,8533,77802,5040,28182,3288,46375,3223,3245,1076,64108,4882,23260,2857,36148,2599,4700,1030,0400000US01,206755,3300,64845,7580,31919,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,01
598,504,336,656,369,40,76,949,385,293,175,494,299,162,174,9045,908,3974,826,1247,560,2579,570,148,161,5071,690,877,348,3583,760,611,315,0400000US50,11194,730,2149,717,1200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,50
5530,33015,3780,28781,2961,4407,1296,81332,6369,30797,3188,46300,4203,4235,1089,721442,10250,372676,5874,109894,3973,243716,3256,19066,1550,348766,6282,104961,3335,219204,4131,24601,1228,0400000US32,868977,1961,147535,10414,66203,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,32
616,810,491,949,416,71,87,2335,822,693,431,1572,731,70,100,19395,1881,10879,1445,3358,919,6837,1203,684,318,8516,1325,2085,547,5033,1313,1398,533,0400000US54,23560,1642,4165,1043,1830,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,54
4561,26276,3081,17101,2112,983,470,50983,4602,24206,2949,25816,2250,961,391,319788,8261,167748,4726,55611,3108,105719,2605,6418,745,152040,4832,57443,3149,87751,2567,6846,761,0400000US40,415131,1624,95343,8045,44360,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,40
4045,17028,2482,18135,2503,1433,608,36437,4113,14097,2485,20906,2285,1434,580,320027,6914,163943,4272,57501,2747,98847,2942,7595,1102,156084,4239,59468,2528,88935,2630,7681,889,0400000US55,393060,1492,73033,7230,36596,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,55
12610,170724,6036,336487,8709,101728,4247,739644,14721,160731,6399,432679,9542,146234,5008,1776426,23843,868525,12827,127698,6129,560975,8535,179852,4363,907901,14921,123024,6574,565496,9545,219381,5089,0400000US72,3125009,5158,1348583,23169,608939,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,72
5621,21436,3392,19060,3343,1367,1035,59125,6758,20216,3387,36463,4028,2446,908,687753,13144,362174,7991,113199,4568,233506,4804,15469,1545,325579,7652,102534,3899,202678,4970,20367,1594,0400000US51,788741,4797,100988,11205,41863,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,51
1098,947,684,1849,790,72,121,1591,665,361,285,1194,565,36,49,21854,2137,13051,1752,5170,1039,7538,1205,343,251,8803,1252,2508,765,5863,1038,432,332,0400000US38,26313,1732,4459,1409,2868,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,38
4643,18888,3002,15721,2840,698,442,41808,5159,18796,3264,20927,2304,2085,841,207976,8847,111826,5359,33437,3529,73394,3314,4995,914,96150,5218,31742,3277,57494,2768,6914,1230,0400000US45,285091,3929,77115,8196,35307,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,45
5475,23629,3681,21546,2916,1376,763,52618,6121,22199,3582,28972,3506,1447,769,447121,10622,234769,5782,74296,3790,148728,3223,11745,1105,212352,6353,71431,3932,129243,3459,11678,1279,0400000US41,546290,1546,99169,10658,46551,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,41
1428,2822,1067,1926,926,115,147,6461,1745,2635,979,3331,990,495,354,44834,3021,22356,1754,6822,1188,13312,1483,2222,759,22478,2212,6667,1438,13496,1357,2315,839,0400000US56,56158,600,11324,2832,4863,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,56
23773,532197,14891,531038,14962,64648,4700,1394929,27313,522296,14075,767798,17152,104835,5148,12752619,44057,6513371,23354,1820276,15271,4268179,14840,424916,5220,6239248,27434,1743708,14467,3960638,17548,534902,5164,0400000US06,15275431,8045,2522812,44993,1127883,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,06
2576,6282,1756,4244,1564,284,255,8969,2066,4139,1218,4478,1229,352,277,61813,4210,33889,2893,11058,1778,21039,2071,1792,720,27924,2252,8806,1375,17757,1545,1361,638,0400000US28,81592,1722,19779,4194,10810,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,28
4737,27411,3000,28965,3201,3242,960,75228,6505,26995,3854,43109,3620,5124,1067,440835,9531,223325,4971,61758,3179,148646,3533,12921,1095,217510,6502,61947,4072,140051,3548,15512,1134,0400000US09,575681,1563,134846,9710,59618,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,09
28307,526409,19300,441042,14165,67050,4255,1299350,31539,519266,15524,680885,18592,99199,5708,8839049,55077,4543600,29482,1318624,20245,2931946,14758,293030,4652,4295449,30112,1263000,15433,2675449,19000,357000,5774,0400000US48,11172900,7048,2333851,55031,1034501,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,48
4847,14880,3231,15771,2645,1221,479,42946,5699,14160,3182,26355,3131,2431,790,542485,9184,286970,5033,92939,3264,182545,3227,11486,911,255515,5795,86957,3870,152350,3180,16208,1149,0400000US24,617303,1657,74818,9413,31872,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,24
16432,167098,9668,199147,10283,49277,4081,518302,18869,152917,9272,284116,11559,81269,4752,4559540,30904,2283262,17723,511483,11040,1547541,10706,224238,4358,2276278,19245,497561,9218,1474051,11833,304666,5163,0400000US12,5493364,4576,933824,29971,415522,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,12
5579,39144,4323,41701,3659,3741,904,109719,7843,37885,4670,60135,4652,11699,1460,629993,11522,323193,5851,91241,4346,215035,4095,16917,1028,306800,7771,87626,4493,200233,4676,18941,1494,0400000US25,824298,3032,194305,11450,84586,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,25
1194,1140,853,1702,743,241,262,6779,2777,1754,1517,4156,1420,869,687,65781,3060,36354,1673,10763,1416,24047,827,1544,263,29427,3071,7701,2073,19750,1405,1976,687,0400000US11,75643,914,9862,3103,3083,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,11
4083,15713,3025,12325,1896,2383,765,38974,4269,14528,2451,22735,2764,1711,804,370874,7060,196605,3996,68998,3099,119690,2279,7917,899,174269,4760,62308,2873,102729,2853,9232,996,0400000US49,440269,2468,69395,6994,30421,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,49
13767,139257,8525,159963,7537,28667,2650,453201,14952,140231,8190,256196,9219,56774,3967,2889521,25020,1474889,13841,371107,8726,989683,7585,114099,2992,1414632,15087,344541,8675,913567,9550,156524,4244,0400000US36,3670609,4252,781088,25222,327887,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,36
9067,63521,6401,59684,5380,8872,1673,178432,10156,59752,5820,100105,5705,18575,2285,1505378,17413,772051,9198,205454,6400,514120,5719,52477,1629,733327,10386,201603,6294,466392,5765,65332,2429,0400000US34,1815887,2000,310509,17482,132077,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,34
5104,23302,3324,22798,2720,1959,674,56933,5521,23577,3050,30028,3161,3328,739,336661,9312,179139,5854,59854,3614,110615,3514,8670,1289,157522,5265,51366,2914,94385,3480,11771,1257,0400000US39,441653,3115,104992,9358,48059,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,39
3463,11459,2076,10483,2016,1221,503,24797,3278,12696,2226,11488,1686,613,323,197298,6150,100954,4498,34280,2481,60927,2948,5747,1208,96344,3566,31825,2164,56724,2533,7795,1092,0400000US29,245258,2258,47960,5728,23163,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,29
7029,58914,4714,53460,4062,4946,1228,130390,7757,50881,4247,73631,4717,5878,974,693732,13456,356706,7560,109413,4619,229765,4514,17528,1293,337026,8209,105193,4651,209344,4616,22489,1159,0400000US42,941442,2876,247710,12884,117320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,42
4408,23746,2911,18490,2409,2190,619,55389,4698,23109,2818,29710,2686,2570,690,404739,8203,212530,5224,67566,3466,132192,2647,12772,1167,192209,4612,62736,2998,114896,2969,14577,1326,0400000US26,504554,1873,99815,8046,44426,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,26
3009,10239,1874,8055,1569,772,419,22687,2895,9481,1632,12612,1719,594,362,166167,4979,86170,3678,31223,2475,51313,2085,3634,810,79997,3287,30221,2106,45937,2202,3839,756,0400000US31,207920,1491,41753,4773,19066,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,31
3836,13074,3051,7622,1701,782,485,23575,3817,10126,2469,12579,2061,870,430,172605,6666,91376,4138,28831,3184,58526,2193,4019,871,81229,4076,28961,2891,48631,1990,3637,823,0400000US16,217658,1049,45053,6604,21478,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,16
8033,44688,4483,50915,4788,9278,1836,127904,7627,40802,3920,72634,4808,14468,1972,773478,13289,389722,8140,101014,4605,245319,4926,43389,1907,383756,7780,98903,3938,233856,4918,50997,1850,0400000US35,1006263,1709,232785,13208,104881,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,35
1846,4071,1380,3905,1091,53,88,9081,2208,3786,1469,5001,1208,294,250,128703,3559,64925,2240,23840,1758,37522,1402,3563,487,63778,2010,24194,1386,35472,1340,4112,323,0400000US15,145813,1199,17110,3544,8029,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,15
1452,1787,901,1743,803,10,19,3823,1198,1244,700,2440,776,139,129,25267,2313,14173,1746,4174,993,9554,1171,445,248,11094,1644,4018,952,6741,1372,335,252,0400000US46,32630,936,7363,2188,3540,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,46
7526,38414,5076,33005,3798,2458,910,82092,9137,33957,5086,45335,4675,2800,868,796245,14405,416637,7774,140009,5575,259076,4100,17552,1200,379608,8591,137208,4660,223195,5280,19205,1562,0400000US53,952214,2711,155969,15291,73877,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,53
4034,9691,2218,10890,2625,1768,591,25331,4176,9210,1987,13884,2540,2237,730,115020,7152,60174,4171,17595,2303,40297,2600,2282,691,54846,4090,15442,1905,36153,2639,3251,664,0400000US44,162700,936,47680,7140,22349,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,44
10964,96473,7074,89425,6066,9543,1568,239176,12564,94520,6849,128413,7414,16243,2062,1779829,21707,906219,11576,269683,7302,576131,6376,60405,1709,873610,12580,258518,6831,542653,7403,72439,2184,0400000US04,2214446,3303,434617,21204,195441,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,04
5028,23888,3442,18556,2493,841,439,45270,5210,20573,3303,23943,2674,754,364,275296,9739,145735,6069,49748,4108,90387,3442,5600,1157,129561,6393,49946,4047,73277,3283,6338,1037,0400000US47,363851,2354,88555,9322,43285,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,47
3609,15710,2632,12354,1990,1348,434,36311,4487,15435,2741,18652,2393,2224,886,273017,7201,142496,4093,47815,2846,87779,2435,6902,1053,130521,5185,47037,3299,76536,2727,6948,1030,0400000US20,338740,1956,65723,7224,29412,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,20
