GEO_ID,C08128_001E,C08128_001M,C08128_002E,C08128_002M,C08128_003E,C08128_003M,C08128_004E,C08128_004M,C08128_005E,C08128_005M,C08128_006E,C08128_006M,C08128_007E,C08128_007M,C08128_008E,C08128_008M,C08128_009E,C08128_009M,C08128_010E,C08128_010M,C08128_011E,C08128_011M,C08128_012E,C08128_012M,C08128_013E,C08128_013M,C08128_014E,C08128_014M,C08128_015E,C08128_015M,C08128_016E,C08128_016M,C08128_017E,C08128_017M,C08128_018E,C08128_018M,C08128_019E,C08128_019M,C08128_020E,C08128_020M,C08128_021E,C08128_021M,C08128_022E,C08128_022M,C08128_023E,C08128_023M,C08128_024E,C08128_024M,C08128_025E,C08128_025M,C08128_026E,C08128_026M,C08128_027E,C08128_027M,C08128_028E,C08128_028M,C08128_029E,C08128_029M,C08128_030E,C08128_030M,NAME,C08128_001EA,C08128_001MA,C08128_002EA,C08128_002MA,C08128_003MA,C08128_003EA,C08128_004EA,C08128_004MA,C08128_005EA,C08128_005MA,C08128_006EA,C08128_006MA,C08128_007EA,C08128_007MA,C08128_008EA,C08128_008MA,C08128_009EA,C08128_009MA,C08128_010EA,C08128_010MA,C08128_011EA,C08128_011MA,C08128_012EA,C08128_012MA,C08128_013EA,C08128_013MA,C08128_014MA,C08128_014EA,C08128_015EA,C08128_015MA,C08128_016EA,C08128_016MA,C08128_017EA,C08128_017MA,C08128_018EA,C08128_018MA,C08128_019EA,C08128_019MA,C08128_020EA,C08128_020MA,C08128_021EA,C08128_021MA,C08128_022EA,C08128_022MA,C08128_023EA,C08128_023MA,C08128_024EA,C08128_024MA,C08128_025MA,C08128_025EA,C08128_026EA,C08128_026MA,C08128_027EA,C08128_027MA,C08128_028EA,C08128_028MA,C08128_029EA,C08128_029MA,C08128_030EA,C08128_030MA,state
0400000US55,2956937,11949,2467187,14132,342224,9098,140545,5321,6981,1060,2415610,13007,2055718,14608,275689,7493,80363,4077,3840,913,222219,8322,186119,7889,26130,2102,9191,1194,779,352,44332,2851,33267,2526,10594,1510,449,230,22,40,131895,5658,101944,4343,20276,2766,9163,1056,512,189,142881,4623,90139,4013,9535,1612,41379,2685,1828,615,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,980796,13815,670338,14072,215217,8971,94042,5069,1199,601,825434,13939,575882,13717,184697,8322,64541,4051,314,270,77865,5523,51129,4231,19003,2776,7197,1501,536,407,17251,1982,10308,1559,3483,875,3460,974,0,228,37856,3169,22574,2551,6070,1317,9023,1629,189,223,22390,2472,10445,1866,1964,887,9821,1906,160,225,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,4221015,20721,3075866,21784,933504,16252,205056,6832,6589,1298,3235570,21649,2384381,20483,729572,15191,118277,4680,3340,801,384725,11662,292853,10574,74553,4469,15966,2031,1353,650,191112,7988,120902,6903,65860,4126,3957,1205,393,356,172830,7584,121434,7108,40455,3436,10460,1945,481,354,236778,8412,156296,6712,23064,2909,56396,4101,1022,393,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,398691,5661,300306,6965,69108,3849,28103,2232,1174,421,327555,6654,251002,7280,57306,3542,18414,1774,833,416,34811,3630,26508,3222,6590,1496,1670,718,43,51,2939,1259,1553,661,1372,1027,14,22,0,161,18489,1951,13049,1629,3198,764,2137,474,105,112,14897,1634,8194,1343,642,251,5868,1043,193,110,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,2303417,17552,1820399,18001,357835,10875,120563,6797,4620,1094,1876078,20382,1499603,18613,301134,9969,72864,5102,2477,866,217339,10077,173129,8654,28777,3178,14972,2298,461,324,12747,2170,9856,2118,2236,837,655,505,0,214,82269,6323,58287,5659,18693,2150,4394,1498,895,626,114984,5700,79524,5169,6995,1593,27678,3070,787,537,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,1994598,13095,1585041,13398,262991,8172,141915,6973,4651,1112,1431100,14954,1157442,12931,198017,7193,73479,5237,2162,675,189107,8938,149411,7955,26612,3272,12602,2465,482,366,84316,5656,74330,5293,8089,1252,1897,682,0,207,141195,6770,114178,6452,18606,2144,8300,1425,111,109,148880,7803,89680,4895,11667,1776,45637,4049,1896,944,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,284573,4771,204293,5114,61092,3570,17632,2202,1556,845,215701,5589,156896,5176,48831,3271,9303,1557,671,409,28889,3394,22486,2628,5028,1687,1285,542,90,145,3497,1352,3015,1261,328,248,154,226,0,203,18794,2797,12545,2205,4981,1593,1114,512,154,175,17692,2406,9351,1780,1924,761,5776,1361,641,667,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,18530052,35106,14467311,42375,2531035,27484,1502133,22835,29573,2851,13681331,41691,10861731,42646,1907739,25548,896284,16381,15577,1979,1854318,24419,1455324,20469,246831,9137,147324,7199,4839,956,914825,17169,746444,17043,117065,5187,50710,4445,606,406,967623,17398,749567,15545,150840,6743,65368,4812,1848,644,1111955,18685,654245,14194,108560,5909,342447,11524,6703,1427,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,1217480,11938,920995,12819,228191,8189,66378,4804,1916,678,1040672,12929,795233,12854,199156,7675,45195,4147,1088,440,108124,6450,82644,6205,18073,2411,7283,1481,124,158,3048,1026,2195,896,805,483,0,218,48,85,33539,3591,22106,3138,7359,1050,3675,1377,399,417,32097,3245,18817,2310,2798,893,10225,2223,257,230,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,1793019,11953,1460801,12877,223424,8126,106344,5620,2450,792,1396984,13932,1137352,12374,190148,7493,68277,4494,1207,515,146099,7712,125354,7336,12777,1650,7678,1411,290,207,79644,4544,71139,4375,6583,1339,1849,520,73,91,68773,4485,56722,4182,8146,1327,3832,1021,73,120,101519,5670,70234,4178,5770,1033,24708,2955,807,602,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,13337175,36929,10667952,38931,1748560,26391,895736,19672,24927,3186,10764273,43920,8699650,42501,1471636,24395,578601,14701,14386,2156,1301251,24089,1040114,22566,160294,7718,97103,6822,3740,1040,176785,10335,143010,8862,27922,3544,5582,1396,271,264,401708,11743,314119,10920,56273,4705,29684,2922,1632,667,693158,15621,471059,13824,32435,3635,184766,8439,4898,1736,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,3066434,16893,2252327,17408,661357,12805,148974,7422,3776,952,2279787,18034,1678565,15980,508165,12858,90923,5856,2134,599,270693,9150,211344,8491,46662,3658,12375,1718,312,254,242247,8449,169563,7380,68484,3956,3992,1186,208,178,114724,6067,88910,5561,19942,2361,5738,1348,134,129,158983,6713,103945,5591,18104,2328,35946,3158,988,544,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,9608687,39767,7914523,40439,1122311,19001,552068,14308,19785,2688,7596575,41935,6275615,40167,957265,17459,353155,11802,10540,1530,899569,20362,753557,20426,92311,6276,49675,5418,4026,1731,158654,9237,132759,8280,15737,2745,10083,2250,75,121,357193,11533,307339,11263,27752,3132,20995,3149,1107,739,596696,16207,445253,12446,29246,3500,118160,7031,4037,1429,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,3558966,17556,2938724,17854,419412,9305,195702,8089,5128,1003,2482764,20585,2035800,19446,330489,8818,113772,5514,2703,678,264744,9523,220742,8161,29050,3219,14233,2422,719,315,363460,10556,323245,9702,31619,3269,8375,1852,221,184,259450,8086,226637,7773,21212,2234,10510,1811,1091,650,188548,6765,132300,5612,7042,1494,48812,4002,394,310,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,378255,5717,271456,5985,89339,4306,17039,2186,421,288,129349,6208,91163,5051,31850,3000,6068,1221,268,243,19352,2740,13660,2594,5096,1057,596,382,0,213,130216,5441,92870,4937,34567,2955,2740,805,39,65,76139,4446,56959,3783,16308,1984,2872,860,0,213,23199,2792,16804,2464,1518,571,4763,1104,114,138,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,1514189,9944,1219512,11126,220681,6882,71587,4774,2409,757,1146991,10512,929725,11051,180476,6671,35264,3096,1526,564,168587,8117,140650,7592,21519,2570,6031,1583,387,331,32863,3238,24703,2705,7626,1347,534,485,0,193,61469,4464,51642,4290,6274,1070,3402,915,151,159,104279,4526,72792,3286,4786,1124,26356,2615,345,276,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
