B10053_008E,B10053_008M,B10053_009E,B10053_009M,B10053_010E,B10053_010M,B10053_011E,B10053_011M,GEO_ID,B10053_001E,B10053_001M,B10053_002E,B10053_002M,B10053_003E,B10053_003M,B10053_004E,B10053_004M,B10053_005E,B10053_005M,B10053_006E,B10053_006M,B10053_007E,B10053_007M,B10053_008MA,B10053_008EA,B10053_009MA,B10053_009EA,B10053_010MA,B10053_010EA,B10053_011MA,B10053_011EA,NAME,B10053_001MA,B10053_001EA,B10053_002MA,B10053_002EA,B10053_003EA,B10053_003MA,B10053_004MA,B10053_004EA,B10053_005MA,B10053_005EA,B10053_006MA,B10053_006EA,B10053_007MA,B10053_007EA,state
10103,2411,6794,1940,3309,1195,37880,4527,0400000US13,256778,10651,208795,9265,83895,5827,46084,3664,37811,3961,124900,7902,47983,4943,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
618,438,383,338,235,268,2718,1201,0400000US02,19049,2722,15713,2344,7564,1625,3628,869,3936,1063,8149,1541,3336,1232,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1789,1077,1077,940,712,418,3560,1188,0400000US01,121462,7220,116113,7418,59159,5375,35173,3979,23986,2984,56954,4680,5349,1686,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1011,988,23,47,988,990,399,303,0400000US50,8611,1489,7201,1286,2768,850,1529,583,1239,560,4433,847,1410,971,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
9989,2758,6070,2309,3919,1361,26357,3180,0400000US32,78006,4873,41660,3620,17494,2567,8617,1694,8877,1644,24166,2679,36346,3475,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
307,366,307,366,0,201,339,352,0400000US54,45095,5237,44449,5198,25058,3619,12386,2534,12672,2092,19391,3244,646,526,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
2669,1077,1805,876,864,502,7366,1515,0400000US40,89031,4470,78996,4212,41249,2973,21420,1776,19829,2279,37747,3055,10035,1616,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
1918,762,916,494,1002,637,7420,1568,0400000US55,72033,4359,62695,4343,23080,2476,11546,1936,11534,1482,39615,3225,9338,1811,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
1188,595,331,358,857,431,2586,1075,0400000US72,74106,6167,70332,6184,25420,3618,13455,2572,11965,2326,44912,4918,3774,1141,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
6602,1528,3399,1054,3203,1096,40286,3664,0400000US51,189478,8471,142590,6851,59251,4624,30613,3535,28638,2800,83339,5144,46888,3876,null,null,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
202,283,0,161,202,283,695,554,0400000US38,6901,1342,6004,1171,3039,799,2002,683,1037,356,2965,917,897,632,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
1710,858,757,565,953,680,6707,1849,0400000US45,123454,7629,115037,7534,50425,4879,28045,3517,22380,2970,64612,6241,8417,1837,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
5190,1830,3414,1470,1776,1000,13429,2794,0400000US41,72178,5226,53559,4043,18415,2969,8681,1977,9734,2052,35144,3297,18619,3525,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
389,447,389,447,0,203,34,44,0400000US56,9479,1823,9056,1650,5476,1288,3122,940,2354,772,3580,1125,423,450,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
110749,7339,57907,4763,52842,4694,590458,14468,0400000US06,1113267,22065,412060,12277,120632,6225,58553,4366,62079,4563,291428,10618,701207,17031,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
462,309,94,154,368,263,1224,559,0400000US28,75259,5172,73573,5178,39945,4095,23345,3168,16600,2419,33628,3466,1686,563,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
3797,1617,2564,1342,1233,562,14206,2368,0400000US09,57821,5067,39818,4302,12500,2067,7136,1570,5364,1272,27318,3131,18003,3083,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
71093,5167,44803,4175,26290,3121,228785,11383,0400000US48,775693,18121,475815,15677,192554,9809,112146,6646,80408,6359,283261,11373,299878,12641,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
8916,1988,5103,1624,3813,1130,33330,3801,0400000US24,137348,7292,95102,6245,33585,3742,17873,2753,15712,2647,61517,4779,42246,4320,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
38801,4883,17513,2836,21288,3444,163231,8933,0400000US12,496745,16256,294713,12566,108740,6804,52913,4615,55827,4943,185973,10746,202032,9790,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
9460,2162,3674,1198,5786,1476,41409,4088,0400000US25,124862,7553,73993,6075,21842,3362,11197,2464,10645,1881,52151,4776,50869,4516,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0,213,0,213,0,213,1306,881,0400000US11,9126,1877,7820,1820,2163,847,1426,723,737,412,5657,1576,1306,881,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
1686,851,1250,820,436,241,9484,2191,0400000US49,64566,5205,53396,4643,13001,2005,6285,1547,6716,1377,40395,4060,11170,2426,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
45733,3253,21213,2831,24520,2993,159072,8697,0400000US36,405414,13306,200609,8187,68445,4675,33688,3114,34757,3452,132164,6756,204805,9683,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
14532,2610,6829,1742,7703,1777,70904,5274,0400000US34,177995,8499,92559,5650,25592,2899,11555,2152,14037,2001,66967,4932,85436,6174,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
3123,1107,1985,926,1138,549,15251,2637,0400000US39,216360,8206,197986,7731,91007,5228,53126,4076,37881,3674,106979,5460,18374,2838,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
1886,838,1140,711,746,433,4780,1244,0400000US29,103315,6065,96649,5906,39924,3972,22484,3364,17440,2073,56725,4580,6666,1531,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
6645,1624,3393,1147,3252,1199,28033,3616,0400000US42,226342,9151,191664,8520,74747,5767,41550,3982,33197,3557,116917,6024,34678,3874,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
2141,888,1221,638,920,503,23032,3093,0400000US26,162963,7021,137790,6853,50261,3717,28995,2999,21266,2077,87529,5340,25173,3103,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
733,498,586,495,147,174,2784,966,0400000US31,23328,2328,19811,2309,8837,1468,5082,1044,3755,915,10974,1693,3517,1064,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
783,479,644,452,139,173,4579,1465,0400000US16,32034,3520,26672,3566,10601,2157,5855,1555,4746,1337,16071,2835,5362,1568,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
4873,1764,3148,1443,1725,732,5304,1846,0400000US35,51352,5200,41175,4395,21252,2922,10152,2052,11100,2142,19923,2829,10177,2817,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
4050,1481,1785,868,2265,1187,17055,2444,0400000US15,52507,4539,31402,3300,8695,1888,4980,1428,3715,997,22707,2916,21105,2795,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0,163,0,163,0,163,427,426,0400000US46,11949,1302,11522,1227,6484,1057,3991,827,2493,761,5038,986,427,426,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
7051,1636,3975,1314,3076,1103,34486,4064,0400000US53,136818,6979,95281,5775,34483,3364,15126,2122,19357,2411,60798,4672,41537,4559,null,null,null,null,null,null,null,null,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
1948,1028,1249,842,699,558,4864,1783,0400000US44,20054,2706,13242,2090,4199,1197,1935,608,2264,992,9043,1715,6812,2018,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
15141,2585,9439,1929,5702,1588,48179,4149,0400000US04,177717,7944,114397,5624,42347,3857,21099,2796,21248,2721,72050,4777,63320,5321,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2902,1090,2264,1089,638,475,7017,1613,0400000US47,162918,8991,152999,8468,77961,6284,45386,4846,32575,3303,75038,5404,9919,2001,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
3824,1389,2379,1107,1445,692,5350,1420,0400000US20,46736,4558,37562,3786,18787,2610,11389,1999,7398,1417,18775,2517,9174,2031,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
