B17014_002M,B17014_003E,B17014_003M,B17014_004E,B17014_004M,B17014_005E,B17014_005M,B17014_006E,B17014_006M,B17014_007E,B17014_007M,B17014_008E,B17014_008M,B17014_009E,B17014_009M,B17014_010E,B17014_010M,B17014_011E,B17014_011M,B17014_012E,B17014_012M,B17014_013E,B17014_013M,B17014_014E,B17014_014M,B17014_015E,B17014_015M,B17014_016E,B17014_016M,B17014_017E,B17014_017M,B17014_018E,B17014_018M,B17014_019E,B17014_019M,B17014_020E,B17014_020M,B17014_021E,B17014_021M,B17014_022E,B17014_022M,B17014_023E,B17014_023M,B17014_024E,B17014_024M,B17014_025E,B17014_025M,B17014_026E,B17014_026M,B17014_027E,B17014_027M,B17014_028E,B17014_028M,B17014_029E,B17014_029M,B17014_030E,B17014_030M,B17014_031E,B17014_031M,B17014_032E,B17014_032M,B17014_033E,B17014_033M,B17014_034E,B17014_034M,B17014_035E,B17014_035M,GEO_ID,B17014_001E,B17014_001M,B17014_002E,B17014_002MA,B17014_003EA,B17014_003MA,B17014_004MA,B17014_004EA,B17014_005MA,B17014_005EA,B17014_006MA,B17014_006EA,B17014_007MA,B17014_007EA,B17014_008EA,B17014_008MA,B17014_009MA,B17014_009EA,B17014_010MA,B17014_010EA,B17014_011MA,B17014_011EA,B17014_012MA,B17014_012EA,B17014_013MA,B17014_013EA,B17014_014EA,B17014_014MA,B17014_015EA,B17014_015MA,B17014_016EA,B17014_016MA,B17014_017MA,B17014_017EA,B17014_018MA,B17014_018EA,B17014_019EA,B17014_019MA,B17014_020MA,B17014_020EA,B17014_021MA,B17014_021EA,B17014_022MA,B17014_022EA,B17014_023MA,B17014_023EA,B17014_024EA,B17014_024MA,B17014_025EA,B17014_025MA,B17014_026EA,B17014_026MA,B17014_027MA,B17014_027EA,B17014_028MA,B17014_028EA,B17014_029MA,B17014_029EA,B17014_030EA,B17014_030MA,B17014_031MA,B17014_031EA,B17014_032MA,B17014_032EA,B17014_033MA,B17014_033EA,B17014_034EA,B17014_034MA,B17014_035EA,B17014_035MA,NAME,B17014_001MA,B17014_001EA,B17014_002EA,state
2093,9384,1462,3798,952,3310,869,2180,643,96,76,11027,1463,2264,688,973,489,1216,439,75,127,0,172,8763,1313,2402,687,5703,1133,550,395,108,113,245232,5528,203789,4862,33222,2173,45986,3192,103912,4051,20669,1944,41443,3111,15563,1994,671,360,9513,1843,4488,1146,891,499,25880,2283,2387,713,14158,1827,7548,1295,1787,768,0400000US30,265643,5250,20411,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,30
2433,9300,1407,3521,718,3462,1072,2284,681,33,43,15866,2093,3172,700,1389,441,1660,571,123,150,0,170,12694,1864,4788,1301,6447,1191,1336,766,123,136,317376,5824,257715,5871,42810,2390,54688,2870,129538,5117,30679,2380,59661,3817,21134,2427,2234,941,9438,1698,8231,1429,1231,541,38527,2971,3571,903,20492,1810,11866,1818,2598,869,0400000US23,342542,6065,25166,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,23
10873,94082,5614,32573,3175,39675,3295,19805,2635,2029,683,172348,9710,27997,3085,9794,1642,16379,2450,1680,762,144,158,144351,8417,50039,3714,80260,6196,12587,2289,1465,676,2355865,20602,1826154,19501,282512,7003,450405,9760,893622,14762,199615,8563,529711,13915,150990,6409,11049,1636,83305,5511,47026,3806,9610,1564,378721,11309,36098,3268,203083,8478,113420,5910,26120,3342,0400000US37,2622295,20703,266430,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,37
8546,88327,5121,34000,3112,34599,3748,16657,2307,3071,1172,186875,7293,29266,3896,8890,1663,18239,2814,2039,738,98,164,157609,6344,50927,3476,91330,5828,14008,2133,1344,721,2262204,21079,1695048,18376,227360,7223,417390,11837,832527,15163,217771,7935,567156,13788,154095,7603,10720,1782,79095,5417,49225,4328,15055,2275,413061,12027,30520,2873,220973,9789,129293,6726,32275,3532,0400000US13,2537406,21205,275202,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,13
1743,5054,948,1291,397,2152,745,1177,371,434,260,7567,1325,2710,940,1227,745,1140,445,284,249,59,46,4857,966,1829,543,2693,744,335,240,0,157,154906,4331,122770,3806,12149,1407,27700,2387,66534,3090,16387,1794,32136,2711,12903,1670,749,329,6784,1292,4397,975,973,432,19233,1875,1344,444,10551,1591,5779,1152,1559,518,0400000US02,167527,4191,12621,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,02
5524,47724,3630,19618,2365,20745,2843,6337,1212,1024,538,100879,5233,11145,1924,4830,1352,5012,1131,1097,541,206,228,89734,4879,36756,3337,47408,3664,5115,1279,455,469,1066191,13354,831503,12499,148104,4529,217596,6263,380683,9921,85120,4741,234688,7313,66804,4960,7404,1452,38738,3818,17123,2511,3539,938,167884,6437,22221,2387,89751,4945,45827,4090,10085,1579,0400000US01,1214794,12486,148603,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,01
1519,4220,921,1981,591,1098,429,1046,488,95,97,5438,1238,1013,472,551,385,462,237,0,157,0,157,4425,1124,1190,506,2503,658,706,652,26,35,146146,3549,118524,3336,15456,1201,23288,1671,67306,2835,12474,1391,27622,2484,11026,1374,911,359,5423,955,3508,961,1184,557,16596,2150,1632,664,8909,1602,4686,970,1369,492,0400000US50,155804,3606,9658,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,50
3303,24851,2738,9100,1610,11307,1958,4056,1023,388,250,39420,3004,9671,1509,2077,687,6843,1429,605,254,146,113,29749,2768,10506,1505,16340,2112,2389,757,514,484,642367,8611,464530,8471,73832,3288,116194,5495,213925,7357,60579,3717,177837,6823,69006,4122,3673,851,36345,2927,20511,2466,8477,1713,108831,4958,7791,1237,54364,3858,34613,2804,12063,1961,0400000US32,706638,8667,64271,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,32
4189,24544,2622,12745,1690,8110,1488,2939,942,750,456,35728,3101,7766,1696,3931,1006,3200,1082,533,310,102,176,27962,2809,13885,2134,12366,1881,1593,650,118,152,401639,6907,322727,7498,70510,3239,93067,4209,131525,4969,27625,2621,78912,4693,26062,2625,4269,1023,14608,1850,6542,1382,643,392,52850,3836,9380,1493,30422,3427,10761,1617,2287,636,0400000US54,461911,6789,60272,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,54
4172,41055,2392,13527,1425,17893,1626,8662,1254,973,353,71487,3683,11867,1730,3353,794,7366,1331,1002,478,146,124,59620,3360,21409,1952,34134,2894,3303,1015,774,376,870765,7305,675235,7220,101793,3555,174377,4587,327021,6443,72044,3552,195530,4504,67287,3264,5455,982,38385,2885,19512,1984,3935,814,128243,3951,13236,1247,72331,3158,33843,2376,8833,1240,0400000US40,983307,7405,112542,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,40
4884,37813,2556,14300,1510,13768,1513,8594,1339,1151,496,65696,4093,12464,1768,4067,1008,7422,1396,906,441,69,79,53232,3618,14422,1762,33268,2649,5045,1056,497,304,1383861,10404,1112837,10666,169528,4002,219019,5666,572848,8803,151442,4194,271024,8041,100665,4859,5547,1238,57739,3667,30274,2544,7105,1473,170359,5643,11014,1333,94627,4561,52712,3368,12006,1926,0400000US55,1487370,10614,103509,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wisconsin,null,null,null,55
8322,117423,5167,61907,3435,39664,3057,14190,1896,1662,612,196939,6652,40671,3550,17214,2350,21371,2822,1802,692,284,269,156268,5478,92117,4391,58373,3648,5253,1144,525,381,476992,9063,320647,7229,96550,4794,84755,4753,113601,4478,25741,2479,156345,5562,41547,3143,6963,1224,24148,2316,8810,1593,1626,687,114798,4205,19743,2026,65404,3669,24069,2267,5582,1275,0400000US72,791354,11339,314362,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Puerto Rico,null,null,null,72
6199,51107,3994,19977,2140,19353,2532,10456,1817,1321,780,97423,5126,13713,1988,4629,1130,8031,1675,1053,423,0,206,83710,5020,31225,3318,45995,3291,5633,1164,857,367,1945777,15975,1527971,14740,191799,5526,352358,8347,779560,12738,204254,6504,417806,10834,131504,6476,8153,1534,72269,5367,40003,3666,11079,1776,286302,8152,24983,2357,144270,5932,91106,5535,25943,2893,0400000US51,2094307,16182,148530,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Virginia,null,null,null,51
1615,3914,1091,1961,692,1101,531,685,434,167,135,6836,1312,1385,634,218,156,805,427,362,395,0,161,5451,1274,1354,574,3745,1198,352,240,0,161,177169,5279,145435,5370,16850,1749,28310,2047,84583,4535,15692,1661,31734,3004,11670,1583,315,177,7226,1379,3614,701,515,274,20064,2233,1417,546,11859,1760,5383,1168,1405,557,0400000US38,187919,5457,10750,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,38
5539,41703,3533,17114,2316,17092,2304,6743,1550,754,512,94457,4424,14768,2259,5117,1414,8067,1624,1371,784,213,249,79689,4252,27824,2697,45024,3814,5408,1265,1433,893,1122113,13870,853849,11439,153082,5139,212101,7241,397583,10143,91083,4550,268264,9353,72204,4980,6089,1058,41126,3888,20662,2828,4327,1065,196060,7595,16560,2169,106690,5519,57661,4137,15149,2229,0400000US45,1258273,13739,136160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,45
5378,34677,3587,13068,1898,15677,3006,4977,1203,955,525,47976,4594,10053,1917,3494,1110,5648,1315,664,440,247,387,37923,4088,13457,2452,21519,2931,2382,961,565,524,944995,11105,758860,10348,127027,4465,174465,6693,364988,7873,92380,5142,186135,6564,67226,4127,4821,1235,35649,2918,20763,2630,5993,1282,118909,5810,12016,1608,64486,4535,32522,2945,9885,1820,0400000US41,1027648,10811,82653,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,41
1789,4041,1077,1141,547,1985,840,895,419,20,36,6198,1463,1226,588,325,275,831,480,70,107,0,203,4972,1267,1830,913,2878,937,174,164,90,155,134286,4506,112665,4199,17126,1573,26509,2247,58047,3517,10983,1737,21621,2479,7407,1396,473,279,3491,930,2874,926,569,380,14214,1941,889,401,8009,1404,4701,1139,615,442,0400000US56,144525,4783,10239,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,56
14917,348830,9073,111538,4665,162294,6934,62288,3775,12710,1873,462813,11679,90510,4846,31523,3135,49058,3717,8275,1456,1654,892,372303,11909,138928,6007,196330,8653,32133,3071,4912,1063,8122978,22881,6109593,28167,710695,11247,1501949,19110,2886254,23645,1010695,14594,2013385,18959,700604,11794,35789,2748,348011,9196,221056,8376,95748,4421,1312781,18296,94818,4058,631479,13789,409960,10041,176524,7204,0400000US06,8934621,23655,811643,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,06
6161,28260,3097,11196,1765,11519,1759,4384,1111,1161,674,80812,5643,8416,1625,4190,1235,3749,1080,477,479,0,218,72396,5624,28182,3262,40326,3900,3557,1104,331,276,618876,9767,463500,10340,78089,3672,118149,4845,218620,8903,48642,3984,155376,6286,37941,3745,3952,1037,20172,2620,12258,2396,1559,618,117435,4759,14673,2092,64499,4648,30689,2797,7574,1687,0400000US28,727948,11079,109072,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,28
3956,18738,2126,6360,1203,7999,1581,3786,1205,593,343,44225,4037,7172,1594,2430,925,4206,1186,459,375,77,128,37053,3658,13546,2071,19686,2506,3615,1300,206,170,828972,10321,631579,10503,77996,3685,142502,5846,322907,8474,88174,4348,197393,6544,59814,4566,3169,799,29901,3187,18872,2226,7872,1656,137579,6167,8631,1281,67256,4800,46670,3275,15022,2215,0400000US09,891935,10679,62963,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,09
16310,316242,11180,87928,4193,160849,8587,57406,4581,10059,2018,451366,11723,63956,5010,19071,2551,37909,3639,6525,1481,451,333,387410,11193,127490,6814,219320,8351,36561,3906,4039,1237,5962660,29586,4555732,28065,498946,7527,1204704,18399,2221296,21239,630786,15831,1406928,20073,441588,12717,23449,2828,239136,10902,136275,6567,42728,3588,965340,15914,60036,3959,507125,12906,299020,9487,99159,5499,0400000US48,6730268,29102,767608,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,48
5106,27194,2537,9499,1264,11073,1810,5895,1317,727,383,61317,4316,8663,1677,2713,759,4849,1251,919,642,182,214,52654,3922,17179,2489,28472,2946,6435,1596,568,322,1383861,12434,1042239,9663,117813,4106,218825,6914,537540,10811,168061,5474,341622,10057,93063,5510,5221,1197,50673,3876,28086,2445,9083,1784,248559,8922,14419,2252,124215,5395,81837,5290,28088,3222,0400000US24,1472372,11475,88511,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,24
11115,202949,8368,86589,5166,81164,4789,31498,2849,3698,1171,285413,8607,49092,3964,18855,2845,27233,2852,2519,846,485,459,236321,8318,87148,5979,132201,6482,15412,2286,1560,749,4538153,27789,3435109,27603,715440,11368,852426,15843,1475318,20328,391925,9507,1103044,18421,338990,10141,28635,2939,182906,7776,102740,5386,24709,3058,764054,15997,66936,5244,396213,12359,233644,8429,67261,5128,0400000US12,5026515,28230,488362,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,12
