GEO_ID,B25055_001E,B25055_001M,B25055_002E,B25055_002M,B25055_003E,B25055_003M,B25055_004E,B25055_004M,B25055_005E,B25055_005M,B25055_006E,B25055_006M,B25055_007E,B25055_007M,B25055_008E,B25055_008M,B25055_009E,B25055_009M,B25055_010E,B25055_010M,B25055_011E,B25055_011M,B25055_012E,B25055_012M,B25055_013E,B25055_013M,NAME,B25055_001MA,B25055_001EA,B25055_002MA,B25055_002EA,B25055_003MA,B25055_003EA,B25055_004MA,B25055_004EA,B25055_005MA,B25055_005EA,B25055_006MA,B25055_006EA,B25055_007MA,B25055_007EA,B25055_008MA,B25055_008EA,B25055_009MA,B25055_009EA,B25055_010MA,B25055_010EA,B25055_011MA,B25055_011EA,B25055_012MA,B25055_012EA,B25055_013MA,B25055_013EA,state
0400000US24,707790,11863,496412,10888,1372,749,495040,10758,100914,4903,550,528,100364,4862,58204,3737,1471,679,56733,3564,52260,3356,13193,1717,39067,3020,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,2554160,23813,1781042,22246,9546,2266,1771496,21653,364584,7884,2862,995,361722,7889,223645,7154,3611,1028,220034,7165,184889,7128,55242,4227,129647,5630,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,967686,12109,641538,9421,2214,914,639324,9467,143711,5442,904,527,142807,5341,94617,4363,2609,1012,92008,4329,87820,4437,15920,2015,71900,4174,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,163373,4293,120878,4201,928,630,119950,4143,18557,1992,73,122,18484,2007,13930,1804,285,348,13645,1808,10008,1545,1181,463,8827,1445,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,283023,6995,229201,5788,1664,837,227537,5691,26514,2114,243,277,26271,2188,14335,1296,1099,505,13236,1282,12973,1928,5686,1265,7287,1229,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,3299280,21564,2129033,17796,11963,2211,2117070,18119,513981,9266,3939,1115,510042,9196,350330,8376,5053,1733,345277,8505,305936,8017,23400,2615,282536,7770,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,1137834,12489,753136,11813,2615,1016,750521,11804,179414,5913,1069,519,178345,5806,111257,4814,1743,794,109514,4717,94027,4322,13302,1764,80725,4017,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,1517398,14710,1055612,13303,6221,1533,1049391,13153,215180,6708,2636,1093,212544,6545,135814,5436,4232,1201,131582,5181,110792,4527,26322,2904,84470,3729,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,761695,10979,536468,8648,3090,1264,533378,8240,103718,4103,477,285,103241,4169,66448,4351,1426,770,65022,4323,55061,3952,12134,1462,42927,3244,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,1503281,14949,1000399,13521,5352,1261,995047,13552,207315,6631,1492,616,205823,6607,142589,4990,3566,991,139023,4597,152978,6117,37863,2772,115115,5118,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,1081893,13299,749888,9988,3468,1099,746420,10024,149243,5733,2391,1022,146852,5620,99259,3815,2797,917,96462,3726,83503,3896,22073,2398,61430,3043,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,243850,5273,175888,4411,419,281,175469,4434,28232,2221,606,327,27626,2248,17324,1787,961,415,16363,1709,22406,1684,9237,1311,13169,1386,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,176153,6972,131175,5978,686,489,130489,5953,20099,2261,0,204,20099,2261,11573,1468,413,380,11160,1481,13306,1737,5714,1078,7592,1706,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,242498,6607,173352,5438,385,329,172967,5480,32685,2831,295,342,32390,2783,22977,2522,471,443,22506,2500,13484,1733,2259,670,11225,1621,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,177434,5581,123866,3878,375,444,123491,3844,23702,2123,0,189,23702,2123,18393,2158,48,85,18345,2148,11473,1586,1827,462,9646,1493,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,102447,4101,72577,3361,15,27,72562,3363,11702,1546,207,210,11495,1531,7648,1143,387,281,7261,1123,10520,1163,3046,817,7474,1041,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,1034229,12064,768521,11064,2323,908,766198,11082,118303,4926,1184,651,117119,4896,75718,3610,4221,1098,71497,3588,71687,4368,25930,2509,45757,3307,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,149799,4955,91638,4408,361,417,91277,4454,24839,2822,210,333,24629,2845,18608,2005,487,403,18121,1982,14714,1419,2460,821,12254,1400,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,874407,13489,640276,10245,2607,1176,637669,10158,108281,5237,1368,835,106913,5366,73082,4087,2507,835,70575,4071,52768,3731,17825,2158,34943,3180,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,817756,13175,597079,11655,3806,1144,593273,11840,116778,5443,1318,740,115460,5375,63571,3893,1800,745,61771,3917,40328,2991,10568,1724,29760,2677,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,360608,7532,261342,6732,837,454,260505,6654,44761,3109,261,221,44500,3060,26698,2145,907,404,25791,2096,27807,2217,8799,1331,19008,2038,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
