GEO_ID,B21001A_001E,B21001A_001M,B21001A_002E,B21001A_002M,B21001A_003E,B21001A_003M,B21001A_004E,B21001A_004M,B21001A_005E,B21001A_005M,B21001A_006E,B21001A_006M,B21001A_007E,B21001A_007M,B21001A_008E,B21001A_008M,B21001A_009E,B21001A_009M,B21001A_010E,B21001A_010M,B21001A_011E,B21001A_011M,B21001A_012E,B21001A_012M,B21001A_013E,B21001A_013M,B21001A_014E,B21001A_014M,B21001A_015E,B21001A_015M,B21001A_016E,B21001A_016M,B21001A_017E,B21001A_017M,B21001A_018E,B21001A_018M,B21001A_019E,B21001A_019M,B21001A_020E,B21001A_020M,B21001A_021E,B21001A_021M,B21001A_022E,B21001A_022M,B21001A_023E,B21001A_023M,B21001A_024E,B21001A_024M,B21001A_025E,B21001A_025M,B21001A_026E,B21001A_026M,B21001A_027E,B21001A_027M,B21001A_028E,B21001A_028M,B21001A_029E,B21001A_029M,B21001A_030E,B21001A_030M,B21001A_031E,B21001A_031M,B21001A_032E,B21001A_032M,B21001A_033E,B21001A_033M,NAME,B21001A_001EA,B21001A_001MA,B21001A_002MA,B21001A_002EA,B21001A_003MA,B21001A_003EA,B21001A_004MA,B21001A_004EA,B21001A_005EA,B21001A_005MA,B21001A_006EA,B21001A_006MA,B21001A_007MA,B21001A_007EA,B21001A_008MA,B21001A_008EA,B21001A_009EA,B21001A_009MA,B21001A_010EA,B21001A_010MA,B21001A_011EA,B21001A_011MA,B21001A_012MA,B21001A_012EA,B21001A_013MA,B21001A_013EA,B21001A_014MA,B21001A_014EA,B21001A_015EA,B21001A_015MA,B21001A_016EA,B21001A_016MA,B21001A_017MA,B21001A_017EA,B21001A_018MA,B21001A_018EA,B21001A_019MA,B21001A_019EA,B21001A_020EA,B21001A_020MA,B21001A_021MA,B21001A_021EA,B21001A_022EA,B21001A_022MA,B21001A_023EA,B21001A_023MA,B21001A_024EA,B21001A_024MA,B21001A_025MA,B21001A_025EA,B21001A_026MA,B21001A_026EA,B21001A_027EA,B21001A_027MA,B21001A_028EA,B21001A_028MA,B21001A_029EA,B21001A_029MA,B21001A_030MA,B21001A_030EA,B21001A_031EA,B21001A_031MA,B21001A_032EA,B21001A_032MA,B21001A_033EA,B21001A_033MA,state
0400000US30,749695,1933,373957,1666,102104,1318,5565,1357,96539,1948,111953,1421,14902,1584,97051,2094,68631,511,10262,1735,58369,1767,56816,505,22231,1884,34585,1891,34453,240,17252,1240,17201,1228,375738,1343,96275,1143,1321,561,94954,1173,109457,1167,2744,755,106713,1391,72046,537,1629,654,70417,868,56462,486,1331,474,55131,664,41498,258,485,318,41013,405,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1035554,1156,500016,1012,123931,866,4895,1263,119036,1327,154170,727,16576,1688,137594,1719,99192,373,19730,2076,79462,2051,76520,235,28374,1430,48146,1387,46203,149,24339,1328,21864,1349,535538,943,121817,706,1119,655,120698,900,159302,563,2522,738,156780,968,106531,357,2364,618,104167,734,83418,390,1003,310,82415,557,64470,318,1112,620,63358,698,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,5620134,11177,2698378,6843,726514,5207,43352,4171,683162,5916,900666,5095,99872,5663,800794,7246,475616,2272,69742,4015,405874,4815,367806,1552,131763,4382,236043,4345,227776,1103,112286,3104,115490,2949,2921756,6240,741221,5098,6587,1547,734634,4850,922828,4115,17555,2096,905273,4642,515483,2153,11282,1720,504201,2798,418363,1390,4146,992,414217,1643,323861,1134,2394,663,321467,1284,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,4784005,12337,2323323,8835,651461,6346,28707,3491,622754,6763,804440,5689,76897,4868,727543,7592,399043,2525,57430,3128,341613,3947,291253,1995,106739,4579,184514,4951,177126,1520,87128,3461,89998,3513,2460682,5969,652879,5237,6578,1574,646301,5467,807953,4665,12705,1594,795248,5075,420236,2273,7322,1267,412914,2650,333002,2123,5692,1035,327310,2499,246612,1423,1831,554,244781,1536,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,360784,2724,186912,2153,52455,1626,5745,1452,46710,1980,63540,1391,13630,1607,49910,2052,37008,715,8705,1442,28303,1354,23457,593,10575,1200,12882,1239,10452,315,6232,657,4220,597,173872,1340,51073,946,2166,865,48907,1095,58351,908,3081,863,55270,1296,32543,315,1373,512,31170,592,20908,346,716,397,20192,540,10997,104,253,149,10744,163,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,2629243,4274,1268397,3216,344313,2569,15248,2465,329065,3520,409348,2735,44527,3411,364821,4246,227599,800,36107,3298,191492,3419,176040,1295,65948,2599,110092,2629,111097,544,54086,2408,57011,2496,1360846,2569,340157,2174,3525,1013,336632,2306,418854,2151,8312,1878,410542,2509,242049,992,4662,991,237387,1427,198999,824,2886,853,196113,1131,160787,749,1515,541,159272,886,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,483226,1114,235248,807,65082,680,1232,526,63850,872,70682,626,4202,876,66480,1188,45203,202,5310,846,39893,891,34345,173,9459,895,24886,906,19936,2,9394,857,10542,857,247978,756,63350,582,113,150,63237,615,72434,443,655,346,71779,554,47992,360,1326,388,46666,522,36832,223,521,298,36311,362,27370,211,351,245,27019,310,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,1533799,10204,776964,5857,201520,3321,10099,1809,191421,3523,260478,3477,31137,3043,229341,4508,136035,2035,26083,2186,109952,3047,110663,1127,44614,2148,66049,2372,68268,799,36820,1805,31448,1806,756835,5735,190704,3619,2024,755,188680,3790,243022,3211,3817,852,239205,3412,132917,1769,4316,808,128601,2096,113398,1239,2365,651,111033,1373,76794,968,1361,800,75433,1315,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,1350303,2194,658285,1858,171547,1393,6593,1412,164954,2083,210517,1480,22809,2562,187708,2697,119130,916,17872,1969,101258,2085,98213,574,35009,2198,63204,2193,58878,416,28906,1805,29972,1802,692018,1509,165477,1409,658,527,164819,1521,211907,1274,2632,787,209275,1522,125981,407,1798,680,124183,782,106606,456,2116,778,104490,859,82047,411,802,411,81245,582,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,2221513,5233,1082551,3612,308854,2657,16700,1677,292154,3166,349477,2188,42996,2624,306481,3161,189969,876,32000,2094,157969,2209,140238,582,58072,2365,82166,2411,94013,385,48288,1969,45725,1949,1138962,2960,303610,2193,2941,690,300669,2203,347218,1863,6860,1087,340358,2033,200713,886,3500,766,197213,1110,156532,662,2811,616,153721,884,130889,425,1478,491,129411,590,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
