GEO_ID,B19215_001E,B19215_001M,B19215_002E,B19215_002M,B19215_003E,B19215_003M,B19215_004E,B19215_004M,B19215_005E,B19215_005M,B19215_006E,B19215_006M,B19215_007E,B19215_007M,B19215_008E,B19215_008M,B19215_009E,B19215_009M,B19215_010E,B19215_010M,B19215_011E,B19215_011M,B19215_012E,B19215_012M,B19215_013E,B19215_013M,B19215_014E,B19215_014M,B19215_015E,B19215_015M,NAME,B19215_001EA,B19215_001MA,B19215_002EA,B19215_002MA,B19215_003EA,B19215_003MA,B19215_004EA,B19215_004MA,B19215_005EA,B19215_005MA,B19215_006MA,B19215_006EA,B19215_007MA,B19215_007EA,B19215_008EA,B19215_008MA,B19215_009EA,B19215_009MA,B19215_010EA,B19215_010MA,B19215_011EA,B19215_011MA,B19215_012EA,B19215_012MA,B19215_013EA,B19215_013MA,B19215_014EA,B19215_014MA,B19215_015MA,B19215_015EA,state
0400000US31,34755,935,39477,1462,34522,1269,37923,2044,26641,1709,61999,3225,63824,4127,45089,16630,30519,1292,27005,1270,30819,1646,23740,880,56881,3090,56599,3954,58372,4986,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,32123,1137,37376,2242,32439,2019,34372,2948,27333,5580,59677,4128,60201,5420,58361,8977,27921,1640,23750,1144,28872,3114,21172,1368,56324,8128,57656,9747,43211,8703,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,29476,1200,33005,2375,28750,1460,30704,2275,25677,3680,58137,4712,58435,4166,49145,30644,26516,1506,23552,1244,24360,2666,23054,1175,50101,3591,50333,4117,49057,8680,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,43432,2692,49395,4485,41607,2838,44832,5490,36275,7703,94487,17177,96650,19300,82772,31301,40220,3164,34723,3265,41808,4185,30251,2937,69197,10122,75054,15444,56769,18146,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,33808,1850,39665,2423,33922,2738,36289,2292,28459,3466,65517,7532,64497,7419,68288,31189,30041,1541,27325,1366,31016,1535,23786,1588,50658,4799,51358,6460,46480,8491,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,46792,812,53492,1917,44824,1716,50511,1264,34357,1946,84962,3901,86032,4225,71246,9993,40704,942,34156,1088,41579,1134,28332,1082,71878,3190,73703,2736,60687,9171,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,38201,2193,45755,3348,40289,3546,45245,5686,25300,3658,69626,10030,69713,10826,64850,26822,31812,2661,26146,2194,34484,3422,20508,1777,73325,10490,76267,10106,60995,29412,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,38032,917,42238,1272,36376,980,40399,1126,29347,1283,64067,3049,66134,4103,55277,4028,34798,971,30089,1027,36624,1280,25044,783,62247,3662,65236,4395,52908,6533,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,31481,396,36488,745,31789,604,34966,1816,25142,1151,59980,4624,62052,3857,43606,3907,27816,845,24354,711,29449,1563,21013,774,50904,2574,50389,3485,52004,2795,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,32386,782,39199,2000,33638,2094,35992,1551,29105,1347,63635,4062,64183,3936,55785,9487,28290,1038,26054,957,29099,1481,24086,1184,51304,4262,51841,4566,46178,12893,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
