GEO_ID,C17018_001E,C17018_001M,C17018_002E,C17018_002M,C17018_003E,C17018_003M,C17018_004E,C17018_004M,C17018_005E,C17018_005M,C17018_006E,C17018_006M,C17018_007E,C17018_007M,C17018_008E,C17018_008M,C17018_009E,C17018_009M,C17018_010E,C17018_010M,C17018_011E,C17018_011M,NAME,C17018_001MA,C17018_001EA,C17018_002EA,C17018_002MA,C17018_003EA,C17018_003MA,C17018_004EA,C17018_004MA,C17018_005MA,C17018_005EA,C17018_006MA,C17018_006EA,C17018_007EA,C17018_007MA,C17018_008MA,C17018_008EA,C17018_009MA,C17018_009EA,C17018_010MA,C17018_010EA,C17018_011EA,C17018_011MA,state
0400000US40,983307,7405,112542,4172,24826,2168,43142,2883,35723,2724,8851,1133,870765,7305,70492,3396,228841,4948,295647,6079,275785,5987,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,1487370,10614,103509,4884,18611,2143,37997,3080,35891,2760,11010,1449,1383861,10404,78026,3982,350765,7809,464747,7811,490323,7475,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,791354,11339,314362,8322,92585,4212,112026,5550,74077,4553,35674,3252,476992,9063,64025,3541,112618,4469,110502,5216,189847,6695,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,2094307,16182,148530,6199,32602,3304,53012,4686,43673,3369,19243,2227,1945777,15975,138697,6217,366758,10059,543711,11289,896611,13331,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,187919,5457,10750,1615,1786,823,3721,980,3515,811,1728,564,177169,5279,8261,1397,39139,2675,66755,3255,63014,3723,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,1258273,13739,136160,5539,28639,3115,54105,3918,40079,2818,13337,2011,1122113,13870,83091,5241,271456,8193,373277,10171,394289,9053,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,1027648,10811,82653,5378,19638,3030,25048,3174,27154,3075,10813,1900,944995,11105,66191,4380,169392,6828,337226,9920,372186,7520,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,144525,4783,10239,1789,1893,1028,2879,834,4394,1060,1073,462,134286,4506,4547,1091,33680,2467,55928,3618,40131,2962,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,8934621,23655,811643,14917,283351,8587,205742,8776,217751,8253,104799,5388,8122978,22881,1051480,14113,1406960,18530,2447505,21810,3217033,23722,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,727948,11079,109072,6161,26368,3362,40403,4265,34931,3338,7370,1345,618876,9767,61517,4215,154275,7121,219989,6588,183095,7037,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,891935,10679,62963,3956,13083,1830,21835,2423,19339,2403,8706,1499,828972,10321,50905,3731,184350,6470,207506,5945,386211,8812,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
