GEO_ID,C27001B_001E,C27001B_001M,C27001B_002E,C27001B_002M,C27001B_003E,C27001B_003M,C27001B_004E,C27001B_004M,C27001B_005E,C27001B_005M,C27001B_006E,C27001B_006M,C27001B_007E,C27001B_007M,C27001B_008E,C27001B_008M,C27001B_009E,C27001B_009M,C27001B_010E,C27001B_010M,NAME,C27001B_001EA,C27001B_001MA,C27001B_002EA,C27001B_002MA,C27001B_003EA,C27001B_003MA,C27001B_004EA,C27001B_004MA,C27001B_005EA,C27001B_005MA,C27001B_006MA,C27001B_006EA,C27001B_007EA,C27001B_007MA,C27001B_008EA,C27001B_008MA,C27001B_009EA,C27001B_009MA,C27001B_010EA,C27001B_010MA,state
0400000US37,2167713,12989,555498,8685,535959,9320,19539,4264,1337073,9402,1126448,12572,210625,9238,275142,3030,273705,3237,1437,688,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,3236272,15266,896589,10390,840041,10974,56548,7998,2008147,10301,1627481,16026,380666,13318,331536,3692,328242,3923,3294,938,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,23589,1970,7073,1249,6808,1279,265,432,14103,1445,12282,1407,1821,779,2413,690,2413,690,0,157,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,1280479,7279,346401,5104,334081,5904,12320,3104,775171,6057,640979,9690,134192,7580,158907,2833,158264,2855,643,447,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,7518,1309,2239,854,2239,854,0,157,3882,957,3491,940,391,401,1397,741,917,511,480,693,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,272427,7321,73354,4347,69667,4465,3687,1098,168309,4323,143026,5029,25283,4246,30764,947,29824,919,940,671,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,62644,2738,14218,2034,13879,2047,339,283,38091,2429,32600,2421,5491,1434,10335,1390,10199,1365,136,175,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,273673,5627,78817,3810,73675,3744,5142,1656,163735,3346,128669,3987,35066,2726,31121,1254,30624,1290,497,373,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,353993,5934,118707,4153,116545,4153,2162,985,206560,3418,181207,4686,25353,3588,28726,1039,28600,1089,126,166,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,397896,17142,71249,5917,69382,5739,1867,826,248976,11943,217964,10782,31012,4347,77671,4986,77179,4980,492,292,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,1571291,13091,393377,8430,373108,8522,20269,3774,976079,8382,829419,9459,146660,8434,201835,2970,199023,2949,2812,1338,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,24297,1991,8192,1336,8093,1301,99,137,15803,1430,11276,1484,4527,1384,302,287,222,254,80,134,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,1317643,9521,349895,6630,336041,6244,13854,3255,789074,6156,651224,8563,137850,8415,178674,1862,177503,1811,1171,609,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,79081,3949,22134,3018,21805,2975,329,430,50173,2055,43804,2631,6369,2363,6774,823,6774,823,0,207,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,3374,1159,413,364,405,364,8,16,2151,843,1823,809,328,314,810,439,810,439,0,203,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,2194756,15354,520185,10614,508604,10250,11581,2397,1387265,10293,1270506,11766,116759,6764,287306,2549,284760,2549,2546,947,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,1106748,6495,320562,5733,308413,5393,12149,2368,660380,4640,518803,8597,141577,7853,125806,2186,125283,2215,523,316,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
