GEO_ID,B06004F_001E,B06004F_001M,B06004F_002E,B06004F_002M,B06004F_003E,B06004F_003M,B06004F_004E,B06004F_004M,B06004F_005E,B06004F_005M,NAME,B06004F_001EA,B06004F_001MA,B06004F_002EA,B06004F_002MA,B06004F_003EA,B06004F_003MA,B06004F_004EA,B06004F_004MA,B06004F_005EA,B06004F_005MA,state
0400000US51,215743,13057,62587,7046,32832,3857,10398,2191,109926,8528,Virginia,null,null,null,null,null,null,null,null,null,null,51
0400000US38,9569,2523,1334,955,5451,1843,932,639,1852,1227,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US45,92980,8350,28301,4670,19010,3487,7151,3582,38518,5378,South Carolina,null,null,null,null,null,null,null,null,null,null,45
0400000US41,137973,11792,51790,7088,31163,4434,1438,678,53582,6391,Oregon,null,null,null,null,null,null,null,null,null,null,41
0400000US56,8798,2427,4026,1364,2476,946,83,162,2213,1464,Wyoming,null,null,null,null,null,null,null,null,null,null,56
0400000US06,5453229,70977,3085328,49792,154594,8304,59226,4981,2154081,35392,California,null,null,null,null,null,null,null,null,null,null,06
0400000US28,29778,4251,7832,2219,6108,1921,3601,1840,12237,2603,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US09,195208,12191,64759,6122,22264,3372,36119,4206,72066,7699,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US48,1709445,37101,885799,28122,118142,9436,36724,4931,668780,22563,Texas,null,null,null,null,null,null,null,null,null,null,48
0400000US24,304042,15437,82204,8239,58941,5457,5443,1501,157454,9472,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US12,708740,33569,182052,12815,123741,10444,80901,9491,322046,19314,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US25,303331,15326,106802,8618,26506,3537,39168,4698,130855,8867,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US11,30897,5312,8659,2849,5286,2228,1120,965,15832,3299,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US49,171456,10855,67276,6391,27312,4831,2818,1822,74050,7401,Utah,null,null,null,null,null,null,null,null,null,null,49
0400000US36,1689845,40232,747734,23348,48610,5126,129960,9051,763541,25513,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US34,604334,26210,216953,13195,57213,7498,48152,4993,282016,14824,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US39,112136,8017,50024,4926,18099,2730,9906,2062,34107,4796,Ohio,null,null,null,null,null,null,null,null,null,null,39
0400000US29,56557,6735,19148,3363,13591,2604,1949,802,21869,3994,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US42,307572,16186,101526,8207,54307,5031,71680,7090,80059,7475,Pennsylvania,null,null,null,null,null,null,null,null,null,null,42
0400000US26,118467,9068,58454,5211,16447,2753,3943,1194,39623,4404,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US31,46473,4917,15883,2661,8758,2076,1242,612,20590,2892,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US16,59217,7449,18439,4218,14152,3228,1484,1035,25142,4219,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US35,144961,10667,94993,8069,22781,3755,170,141,27017,4251,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US15,18052,3227,4110,1778,7915,1872,480,309,5547,2131,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US46,5782,1672,1312,668,1682,774,153,175,2635,1143,South Dakota,null,null,null,null,null,null,null,null,null,null,46
0400000US53,344853,17208,131236,9584,64054,6542,5337,1513,144226,9012,Washington,null,null,null,null,null,null,null,null,null,null,53
0400000US44,59743,7937,22434,4238,5636,1560,5770,1776,25903,5591,Rhode Island,null,null,null,null,null,null,null,null,null,null,44
0400000US04,373688,19089,183510,13080,65922,5433,7712,2527,116544,9332,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US47,101153,10106,32679,4734,18631,3520,3292,1209,46551,5497,Tennessee,null,null,null,null,null,null,null,null,null,null,47
0400000US20,73293,8142,26378,4350,14350,2691,967,643,31598,3997,Kansas,null,null,null,null,null,null,null,null,null,null,20
