GEO_ID,C07008_001E,C07008_001M,C07008_002E,C07008_002M,C07008_003E,C07008_003M,C07008_004E,C07008_004M,C07008_005E,C07008_005M,C07008_006E,C07008_006M,C07008_007E,C07008_007M,C07008_008E,C07008_008M,C07008_009E,C07008_009M,C07008_010E,C07008_010M,C07008_011E,C07008_011M,C07008_012E,C07008_012M,C07008_013E,C07008_013M,C07008_014E,C07008_014M,C07008_015E,C07008_015M,C07008_016E,C07008_016M,C07008_017E,C07008_017M,C07008_018E,C07008_018M,C07008_019E,C07008_019M,C07008_020E,C07008_020M,C07008_021E,C07008_021M,C07008_022E,C07008_022M,C07008_023E,C07008_023M,C07008_024E,C07008_024M,C07008_025E,C07008_025M,C07008_026E,C07008_026M,C07008_027E,C07008_027M,C07008_028E,C07008_028M,C07008_029E,C07008_029M,C07008_030E,C07008_030M,NAME,C07008_001MA,C07008_001EA,C07008_002EA,C07008_002MA,C07008_003MA,C07008_003EA,C07008_004MA,C07008_004EA,C07008_005MA,C07008_005EA,C07008_006MA,C07008_006EA,C07008_007MA,C07008_007EA,C07008_008MA,C07008_008EA,C07008_009MA,C07008_009EA,C07008_010MA,C07008_010EA,C07008_011MA,C07008_011EA,C07008_012MA,C07008_012EA,C07008_013EA,C07008_013MA,C07008_014MA,C07008_014EA,C07008_015MA,C07008_015EA,C07008_016MA,C07008_016EA,C07008_017MA,C07008_017EA,C07008_018MA,C07008_018EA,C07008_019MA,C07008_019EA,C07008_020MA,C07008_020EA,C07008_021MA,C07008_021EA,C07008_022MA,C07008_022EA,C07008_023MA,C07008_023EA,C07008_024EA,C07008_024MA,C07008_025MA,C07008_025EA,C07008_026MA,C07008_026EA,C07008_027MA,C07008_027EA,C07008_028MA,C07008_028EA,C07008_029MA,C07008_029EA,C07008_030MA,C07008_030EA,state
0400000US42,10622654,2733,3575785,21929,5108976,34653,1243480,18684,694413,11079,9323641,23522,2872651,23496,4737984,34921,1076152,17903,636854,10080,713367,18481,373264,12387,204900,10573,100741,4983,34462,2684,315756,11284,185600,7974,78276,5645,39386,3487,12494,1716,219451,9535,120972,5869,67389,4880,22983,2531,8107,1559,50439,4817,23298,2996,20427,2991,4218,1177,2496,868,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,8220666,2740,2747948,17266,3929176,24586,1048884,13652,494658,7289,7120762,19417,2153702,17470,3617659,25530,899970,13163,449431,7277,636478,16916,341044,11318,175467,7758,92342,5000,27625,2459,306823,10133,178333,6608,77871,5098,39839,2968,10780,1394,119358,7090,57680,4124,41736,4432,14622,1774,5320,1061,37245,4271,17189,3006,16443,2348,2111,623,1502,530,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,1531482,1625,466405,7750,802625,10854,174792,6276,87660,3169,1284559,9693,338425,8961,725301,10817,141584,5024,79249,2995,131999,6925,68901,4616,38621,3874,19338,2352,5139,947,61570,3963,33891,2578,18143,2597,7838,1329,1698,567,45661,4437,21184,2733,17448,2601,5700,1335,1329,505,7693,1827,4004,1056,3112,1167,332,227,245,188,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,1386609,2304,386645,10844,750579,15637,182305,7667,67080,4386,1153564,9543,295018,10504,655696,15107,143078,7020,59772,4089,116514,6472,44087,4150,47264,4762,21699,2852,3464,901,46023,4345,19410,2655,17491,2656,8176,1602,946,524,64914,5620,25319,3407,27917,3755,8904,1859,2774,1422,5594,1596,2811,1098,2211,1073,448,271,124,190,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,1698061,2103,592869,10056,756180,12547,251251,8212,97761,4683,1480383,12127,490423,11368,685965,12495,216114,7345,87881,4302,117237,8767,54233,5101,34718,4545,22393,2922,5893,1656,42031,4982,22703,3018,11593,2752,5935,1471,1800,928,49759,4850,20531,3054,20832,2762,6252,1305,2144,726,8651,2130,4979,1885,3072,915,557,327,43,78,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,1164044,818,394034,8356,577546,10071,119991,5844,72473,4214,1006357,7689,330772,8461,505871,10900,101732,5406,67982,3969,94947,6030,39452,3813,39938,3965,12472,1770,3085,772,7533,1740,4703,1318,1722,890,805,336,303,258,43684,4072,14662,2164,23829,2911,4375,1156,818,482,11523,2400,4445,1418,6186,1726,607,519,285,391,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,701477,2359,220245,5567,358912,9055,84579,5029,37741,2404,592593,6476,161390,5641,326422,8884,70579,4667,34202,2469,50711,4355,27615,3029,13379,2374,7713,1400,2004,555,32743,3712,18906,2866,9823,1780,3208,887,806,368,22857,2825,11216,2120,8005,1853,2974,930,662,379,2573,1001,1118,512,1283,699,105,96,67,83,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,6142755,2913,1923990,18007,3138249,28216,792451,17347,288065,8316,5028113,22559,1415239,20132,2710473,28064,645897,15280,256504,7881,634492,18519,297908,11546,230735,12257,88270,5191,17579,2184,212439,9120,97162,5649,75726,5885,32704,2687,6847,1238,217776,11059,95343,6354,93849,7462,22854,2637,5730,1202,49935,5329,18338,3005,27466,4037,2726,876,1405,611,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,890851,1764,350133,7973,376465,9861,108774,5924,55479,3156,788917,7029,291345,9335,348997,9803,97319,5656,51256,2969,50817,5846,28584,4642,13208,2584,6596,1417,2429,751,16515,2437,8786,1799,4465,1185,2509,1018,755,375,28375,2802,17671,1734,8200,2016,2060,944,444,291,6227,1865,3747,1474,1595,749,290,327,595,578,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,5807263,1878,1936316,18092,2735899,24462,809479,14819,325569,8590,4823059,21548,1497195,18901,2376520,23655,662361,13646,286983,7605,615748,17048,289373,11031,205679,9766,97839,5657,22857,2917,101159,6539,53794,4749,26251,3530,16177,2066,4937,1104,232239,11423,84540,6454,109864,7937,29432,3143,8403,1298,35058,4652,11414,2796,17585,3173,3670,983,2389,947,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,5517634,4218,1704001,20163,2678886,28616,793485,14517,341262,8631,4710353,19872,1338939,20149,2400774,28326,664358,13936,306282,8058,423472,15209,197452,9515,132602,8349,72758,5322,20660,2529,186438,9494,85027,6092,63969,5186,31658,3322,5784,1033,174678,9543,72683,5630,72029,5561,22636,2995,7330,1609,22693,3172,9900,2121,9512,2118,2075,720,1206,629,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,2325350,2927,689101,10485,1210687,13962,294258,9166,131304,4564,1938952,13465,508282,11386,1075039,13663,237011,8319,118620,4673,209222,11391,99461,6457,70136,5814,33182,3649,6443,1170,87207,5733,44470,4245,28092,3448,11505,1544,3140,840,77902,6284,32075,3513,31869,4298,11391,1965,2567,810,12067,2266,4813,1292,5551,1635,1169,544,534,387,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
