GEO_ID,C15010I_001E,C15010I_001M,C15010I_002E,C15010I_002M,C15010I_003E,C15010I_003M,C15010I_004E,C15010I_004M,C15010I_005E,C15010I_005M,C15010I_006E,C15010I_006M,NAME,C15010I_001MA,C15010I_001EA,C15010I_002EA,C15010I_002MA,C15010I_003EA,C15010I_003MA,C15010I_004EA,C15010I_004MA,C15010I_005MA,C15010I_005EA,C15010I_006EA,C15010I_006MA,state
0400000US20,17727,2124,6077,1254,1335,549,4659,975,1999,609,3657,796,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,11279,1857,4221,1106,692,376,3294,1011,1148,533,1924,698,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23790,2278,7882,1376,1739,604,5057,1174,3443,872,5669,1235,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2410,978,1423,818,49,80,212,185,6,14,720,359,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,64396,4601,28208,3201,3846,1066,14188,1920,4058,897,14096,2235,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,67589,4303,29303,3336,5985,1530,11810,1954,4969,1046,15522,2073,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,36628,3509,12836,1877,2971,878,6781,1187,4214,989,9826,1591,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,21441,2566,7832,1719,1935,611,3687,806,2485,816,5502,1174,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,5643,1310,1544,621,783,551,1280,576,884,510,1152,591,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,20296,2553,6231,1312,1912,774,5363,1475,2131,911,4659,1185,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,2243,722,790,431,68,82,207,173,574,312,604,445,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,8388,1334,2230,764,590,369,1966,607,2016,677,1586,577,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,35108,3337,9921,1992,3021,1028,9608,1982,3847,1094,8711,1633,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,4685,1170,1949,790,297,201,912,511,301,314,1226,658,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,167488,6701,59270,4875,13831,2022,39767,3296,19056,2353,35564,2932,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,85558,4444,25877,2083,8342,1462,19903,2270,15934,2217,15502,2421,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,370991,11246,117907,5706,30435,3386,84937,5938,43695,3759,94017,6357,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,54244,4227,21458,2523,4732,1246,10352,1680,4728,1211,12974,2144,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,1402,696,342,346,41,85,119,91,107,99,793,585,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,30935,3377,9409,1640,2333,655,8166,1864,3466,920,7561,1369,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,16000,1882,5619,1225,1425,453,3247,693,2030,781,3679,822,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,31878,3043,12924,2083,3201,1118,5102,1482,2755,779,7896,1466,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,62929,4398,24652,2837,5295,1260,13947,2156,5529,1235,13506,2193,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,9118,1492,2994,907,648,443,2053,678,850,462,2573,1033,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,18032,2121,5419,1439,2430,720,4406,1091,1530,595,4247,981,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,1413,536,342,277,316,242,381,334,86,111,288,302,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,19059,2424,7110,1469,1649,569,4301,982,1812,738,4187,1038,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,687223,16449,221273,9269,59741,4651,176249,8593,101270,5536,128690,6734,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,23171,2737,7733,1625,3040,858,4970,1241,2312,686,5116,1191,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2042,607,1168,450,0,151,254,213,45,56,575,321,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,87767,5914,35976,3311,6280,1665,21046,2227,6382,1267,18083,2701,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,56836,4347,23827,2879,3839,968,9266,1695,5114,1213,14790,2154,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,2389,674,1013,469,458,345,398,226,205,162,315,230,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,20062,2193,5646,949,1934,649,3647,975,2781,699,6054,1157,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,2755,773,692,384,192,177,530,318,432,280,909,534,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,576671,11853,149059,6266,62146,4010,174567,6594,116609,6460,74290,5096,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
