C07408_006M,C07408_007E,C07408_007M,C07408_008E,C07408_008M,C07408_009E,C07408_009M,C07408_010E,C07408_010M,C07408_011E,C07408_011M,C07408_012E,C07408_012M,C07408_013E,C07408_013M,C07408_014E,C07408_014M,C07408_015E,C07408_015M,C07408_016E,C07408_016M,C07408_017E,C07408_017M,C07408_018E,C07408_018M,C07408_019E,C07408_019M,C07408_020E,C07408_020M,C07408_021E,C07408_021M,C07408_022E,C07408_022M,C07408_023E,C07408_023M,C07408_024E,C07408_024M,C07408_025E,C07408_025M,GEO_ID,C07408_001E,C07408_001M,C07408_002E,C07408_002M,C07408_003E,C07408_003M,C07408_004E,C07408_004M,C07408_005E,C07408_005M,C07408_006E,C07408_006MA,C07408_007EA,C07408_007MA,C07408_008MA,C07408_008EA,C07408_009EA,C07408_009MA,C07408_010MA,C07408_010EA,C07408_011MA,C07408_011EA,C07408_012EA,C07408_012MA,C07408_013MA,C07408_013EA,C07408_014MA,C07408_014EA,C07408_015EA,C07408_015MA,C07408_016MA,C07408_016EA,C07408_017MA,C07408_017EA,C07408_018MA,C07408_018EA,C07408_019MA,C07408_019EA,C07408_020MA,C07408_020EA,C07408_021MA,C07408_021EA,C07408_022MA,C07408_022EA,C07408_023MA,C07408_023EA,C07408_024EA,C07408_024MA,C07408_025MA,C07408_025EA,NAME,C07408_001EA,C07408_001MA,C07408_002EA,C07408_002MA,C07408_003EA,C07408_003MA,C07408_004MA,C07408_004EA,C07408_005EA,C07408_005MA,C07408_006EA,state
25453,2065706,23039,3278042,27718,910629,16658,391542,9732,653571,21813,314065,12028,202102,11034,113448,6969,23956,2298,346702,12457,184038,8742,94457,7152,57516,4836,10691,1525,219241,11253,92812,5611,88493,6542,31090,3044,6846,1636,0400000US13,7865433,17330,2656621,20423,3663094,30247,1112683,18825,433035,9901,6645919,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,13
8547,304759,9253,502957,10605,104872,4825,62042,2767,105007,7502,49364,4972,38442,4288,13028,1790,4173,901,5207,1144,2427,777,1447,696,1184,781,149,136,48612,5142,18316,2381,24678,3914,4856,1130,762,449,0400000US15,1133456,7771,374866,9620,567524,11902,123940,4703,67126,2841,974630,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,15
10810,232872,9064,611325,11676,129447,6282,59470,3903,117261,8503,48118,4769,43864,5658,21020,3108,4259,1133,46302,4807,19963,2462,15192,3213,9355,2001,1792,690,50078,4799,19684,2740,22816,3217,6227,1518,1351,570,0400000US16,1246755,6908,320637,7926,693197,11919,166049,7055,66872,4184,1033114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,16
25283,2904515,25023,4542314,34342,997651,15120,557231,10852,868494,21519,440782,11987,271434,13585,122596,6100,33682,3140,266407,9737,150036,7011,68207,5014,38815,4083,9349,1644,257247,9519,133925,6823,90225,6074,26439,2946,6658,1223,0400000US17,10393859,14837,3629258,25920,4972180,34730,1185501,16137,606920,10703,9001711,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,17
18066,1203542,15524,2357235,23030,607763,11653,291153,6811,463819,15394,219782,9749,136802,9370,88460,5186,18775,2010,196987,8633,102672,6356,54259,5004,31264,3267,8792,1328,115040,8068,53005,5249,42243,4477,15977,1965,3815,1185,0400000US18,5235539,11139,1579001,19331,2590539,22258,743464,13807,322535,6961,4459693,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,18
10899,523371,10084,1196651,13237,243153,7475,141499,4575,216354,8399,109772,5257,61945,4969,34233,3186,10404,1455,96613,5450,54614,3765,24507,3203,14227,1672,3265,843,66474,5284,31618,3016,24904,3499,7895,1818,2057,659,0400000US19,2484115,7774,719375,9674,1308007,14173,299508,8270,157225,5139,2104674,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,19
9858,484499,10320,1075599,12598,237017,6985,123756,4489,205626,9291,93688,6357,66762,4326,34298,3110,10878,1835,77446,5332,41314,3593,23444,3068,10494,1625,2194,586,76481,5081,32435,2712,28531,3531,12796,1918,2719,961,0400000US20,2280424,8261,651936,10705,1194336,13400,294605,7748,139547,4913,1920871,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,20
16812,755753,11791,1595547,20094,446850,10979,211342,6283,301288,11961,127407,8065,97682,6452,62237,4249,13962,1792,140979,8722,66667,4835,45585,5253,24122,2651,4605,1042,79948,5111,33152,3326,27502,3213,16517,2118,2777,831,0400000US21,3531707,8928,982979,13520,1766316,19276,549726,11827,232686,6358,3009492,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,21
13973,1029356,17070,1478288,21505,463526,11486,227961,7059,272241,9748,136275,7635,74563,4635,49584,4039,11819,1494,130090,7607,66662,5213,33087,3990,25166,3012,5175,1212,78898,6257,37643,3618,27935,4563,10506,1927,2814,893,0400000US22,3680360,9587,1269936,16947,1613873,23478,548782,12519,247769,7186,3199131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,22
7761,244706,7370,511903,11125,142265,6337,61076,3069,92560,4894,42061,3641,23537,2577,21351,2746,5611,1248,30955,3456,17487,2370,6300,1707,6147,1168,1021,461,25807,2928,12307,2124,8721,1920,3864,1133,915,425,0400000US23,1109272,5339,316561,6749,550461,11317,173627,6238,68623,3421,959950,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,23
16707,1394120,17543,2034285,22082,510551,11069,247476,6096,325116,13425,152802,8206,109709,6706,50333,4234,12272,1543,130451,7131,73297,4703,35734,4625,17060,2347,4360,1166,154790,8553,79364,5383,54981,4794,16924,2213,3521,1036,0400000US24,4796789,13461,1699583,18309,2234709,23854,594868,12090,267629,6621,4186432,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,24
18939,1592935,20195,2364945,26482,537444,13226,287324,7788,425961,14587,222846,9302,125226,7653,61435,4303,16454,2015,170635,7760,101714,5569,42584,4169,20501,2809,5836,1358,141252,6688,81989,4367,40831,4469,13502,2409,4930,1218,0400000US25,5520496,8756,1999484,20723,2573586,27889,632882,14060,314544,7581,4782648,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,25
23455,2019631,18920,3499744,30146,896302,15108,445791,7513,705027,17700,364988,12945,195349,7727,111933,5419,32757,2614,332316,11741,191915,7898,81002,5626,47516,3373,11883,1804,142696,8636,67624,4955,53172,5363,17588,2432,4312,1167,0400000US26,8041507,11678,2644158,20223,3829267,30622,1073339,15911,494743,8544,6861468,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,26
13884,1035940,14498,2072227,17917,408843,8541,204650,5649,309641,11230,157602,7316,92587,6356,46090,3354,13362,1770,205173,7289,117557,5062,56097,4140,26151,2655,5368,1041,104928,6398,58343,3768,32123,3906,12255,2057,2207,742,0400000US27,4341402,9662,1369442,14757,2253034,20037,493339,9972,225587,5476,3721660,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,27
12296,635902,11597,963166,14744,299230,9076,149355,5397,175921,9802,81720,5728,55367,5143,32358,3246,6476,1549,89569,7211,46729,5177,22958,3325,15225,2348,4657,1141,58826,5279,27695,3457,19836,3870,8930,1975,2365,756,0400000US28,2371969,8115,792046,12300,1061327,16281,355743,10749,162853,5546,2047653,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,28
16221,1105350,13663,2174012,20906,553528,11346,275362,6157,401579,13118,186927,7044,124809,8300,72032,4944,17811,2043,216089,8971,108845,5855,58291,5075,38134,3480,10819,1719,114415,6686,54375,4567,42676,3915,14277,2068,3087,882,0400000US29,4840335,10209,1455497,15071,2399788,21601,677971,13339,307079,7033,4108252,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,29
7131,168072,5210,377607,8800,96424,4704,45902,2616,72082,5239,31117,3391,23583,2719,14057,2231,3325,844,29738,3341,16010,2259,8365,1783,4515,960,848,405,27248,3283,11842,2055,9131,2195,4324,1177,1951,793,0400000US30,817073,5285,227041,5380,418686,8515,119320,5446,52026,2870,688005,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,30
8996,316132,7510,709077,10242,141102,5635,71801,2819,134128,6467,65135,4743,41908,4207,21753,2504,5332,996,60786,4082,32444,3128,17927,2423,8053,1391,2362,568,39159,3185,20263,2578,13666,2234,4185,1258,1045,426,0400000US31,1472185,5491,433974,7105,782578,10245,175093,6027,80540,2928,1238112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,31
17446,540496,12720,856241,15997,275427,9539,102714,4826,322693,13973,134241,7352,114150,8638,62525,5081,11777,1812,23696,3363,9917,1616,7821,2238,4491,1008,1467,714,82536,6053,33854,3261,32442,3916,13081,2043,3159,1161,0400000US32,2203803,10072,718508,13297,1010654,17102,355524,10621,119117,5340,1774878,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,null,null,null,null,null,32
7499,248047,8189,528186,9723,121837,6398,54178,3017,81618,5820,37448,3551,24545,3889,16636,2258,2989,914,25421,2651,13676,2093,6573,1550,4236,956,936,405,40043,3743,20026,2713,13278,2626,5102,1143,1637,581,0400000US33,1099330,5277,319197,8614,572582,11402,147811,7279,59740,3085,952248,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,33
18040,2147472,21359,3282592,26706,675827,13423,418347,9041,373223,14531,169261,8494,130658,7398,55242,3907,18062,2173,171642,8578,89496,5371,52177,5066,21532,2094,8437,1725,180925,7317,97188,5238,56546,4344,19231,2182,7960,1845,0400000US34,7250028,10156,2503417,19472,3521973,28041,771832,15208,452806,9633,6524238,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,null,null,null,null,null,34
9606,461043,10178,671475,13526,201633,7402,90977,4269,137689,7296,68296,5072,38206,4090,25022,3297,6165,1327,39085,4276,21885,2945,9716,2056,6004,1279,1480,695,61503,6214,22097,2925,27339,4048,9473,1895,2594,857,0400000US35,1663405,8772,573321,9901,746736,15326,242132,8453,101216,4390,1425128,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,35
27093,5207208,33621,6600350,44534,1626920,21483,918436,12429,1002547,24238,507198,15842,316361,11812,136719,6666,42269,3092,426972,12531,254906,9046,110952,6376,48267,3572,12847,1941,343425,11699,173724,8817,121031,7901,35074,3000,13596,2351,0400000US36,16125858,15344,6143036,32889,7148694,45827,1846980,23602,987148,13033,14352914,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New York,null,null,null,null,null,null,null,null,null,null,null,36
24434,1933189,21489,3447854,28565,910531,17076,442351,9589,622090,17506,298129,13322,190155,9897,107567,6587,26239,2582,305411,11286,158926,7492,82827,6524,53530,4230,10128,1962,199526,9102,80151,5317,84569,6581,28136,2793,6670,1239,0400000US37,7860952,15537,2470395,21187,3805405,31717,1099764,17009,485388,9753,6733925,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,37
5257,130066,4975,271720,6165,50544,3369,30488,1693,46859,4092,25304,2948,15078,2710,4963,1038,1514,409,21382,2531,13055,2058,5544,1162,1773,560,1010,436,26731,3402,12896,1902,9282,2209,3676,1001,877,467,0400000US38,577790,4699,181321,5290,301624,6407,60956,3877,33889,1845,482818,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,38
24356,2292318,20517,4105580,32185,1078438,16169,548710,8866,842251,19693,418777,12789,231052,9525,153673,7360,38749,3038,324267,11462,184255,7095,81105,5973,48768,3410,10139,1528,171954,7775,79677,5197,63502,4465,21507,2692,7268,1798,0400000US39,9363518,11728,2975027,22390,4481239,33382,1302386,18890,604866,9199,8025046,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,null,null,null,null,null,39
11150,628199,10807,1350121,12813,372546,8432,179533,4641,288310,11564,121855,7131,95599,6099,60059,3798,10797,1620,133632,6046,57246,3773,43870,4098,26632,2756,5884,1288,78405,6243,32006,2830,32354,4945,10441,2028,3604,942,0400000US40,3030746,7846,839306,10472,1521944,13521,469678,9293,199818,4875,2530399,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,40
16462,685201,13594,1389260,16860,380869,11592,157142,5007,338871,13580,157590,9036,108290,7619,60288,5246,12703,1815,131264,7590,66873,4738,42008,4630,18882,2386,3501,920,93579,5794,45652,3280,29768,3909,15339,2531,2820,990,0400000US41,3176186,10771,955316,14035,1569326,17804,475378,12577,176166,5317,2612472,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,null,null,null,null,null,41
21243,2856875,20039,4673720,30305,1067747,16026,674494,10352,734803,17644,379782,12667,196354,8973,122862,5689,35805,2751,286821,9169,170822,6304,67689,5581,37260,3090,11050,1372,211748,8786,108652,6450,73836,5977,21459,2816,7801,1330,0400000US42,10506208,13933,3516131,22411,5011599,31535,1249328,17105,729150,10441,9272836,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,42
6710,255678,7732,358036,9607,96504,5581,52439,3453,61259,5367,29091,3472,17367,2820,10940,1709,3861,812,16409,2562,7440,1648,5454,1689,3115,921,400,281,31800,2959,18650,2322,8537,1736,3815,1041,798,456,0400000US44,872125,4176,310859,7816,389394,10324,114374,5876,57498,3390,762657,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,44
17748,961348,15902,1630883,25398,454609,13021,244334,5980,305227,13454,154001,7954,87721,7019,50360,4619,13145,1559,119601,6387,67041,4273,27754,3261,21137,2156,3669,823,106747,7124,46924,3989,38429,4629,17280,2618,4114,1149,0400000US45,3822749,12026,1229314,16148,1784787,25356,543386,14128,265262,6362,3291174,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,null,null,null,null,null,45
5044,143155,5384,313742,7098,64220,3536,34042,2264,55540,3657,26838,2923,17859,2424,8505,1358,2338,625,30711,3136,17253,2319,8670,1699,3983,1049,805,442,22681,2886,9926,1521,9723,2607,2440,707,592,306,0400000US46,664091,3476,197172,5595,349994,7294,79148,3957,37777,2499,555159,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,46
17828,1192437,15577,2328129,23833,641483,14077,308107,8656,452640,14426,198450,8962,141829,8303,94258,6030,18103,2286,157104,7230,74635,4806,46493,4587,27857,2613,8119,1691,132370,7009,54739,3632,50584,4730,22072,2956,4975,1363,0400000US47,5212270,11486,1520261,15560,2567035,23539,785670,14044,339304,8960,4470156,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tennessee,null,null,null,null,null,null,null,null,null,null,null,47
42106,5052107,39806,8866324,53488,2217130,28166,948985,13114,1971176,31084,870871,20047,693913,18373,341303,11963,65089,4224,896408,22008,434887,12592,287441,15357,143941,6384,30139,2778,336686,13608,144043,6770,137074,9451,46720,4195,8849,1425,0400000US48,20288816,24289,6501908,36928,9984752,54504,2749094,31600,1053062,13680,17084546,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Texas,null,null,null,null,null,null,null,null,null,null,null,48
10392,458640,9844,1035462,12057,186215,6956,72546,3817,223512,8390,94887,6843,93934,6228,29409,2946,5282,1102,69393,5826,27873,3057,29914,3570,9996,1714,1610,674,74726,6877,31668,4518,33763,4130,7323,1610,1972,778,0400000US49,2120494,9186,613068,9795,1193073,13596,232943,7789,81410,3970,1752863,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Utah,null,null,null,null,null,null,null,null,null,null,null,49
4354,129097,4881,238939,6348,63955,3807,25340,1783,34883,3508,19598,2315,9216,2018,4495,1017,1574,517,10574,1417,6061,964,2934,869,1264,344,315,213,19317,3057,10962,1903,5375,1784,2489,779,491,324,0400000US50,522105,4175,165718,5460,256464,6558,72203,3709,27720,1832,457331,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,50
