B17010A_005E,B17010A_005M,B17010A_006E,B17010A_006M,B17010A_007E,B17010A_007M,B17010A_008E,B17010A_008M,B17010A_009E,B17010A_009M,B17010A_010E,B17010A_010M,B17010A_011E,B17010A_011M,B17010A_012E,B17010A_012M,B17010A_013E,B17010A_013M,B17010A_014E,B17010A_014M,B17010A_015E,B17010A_015M,B17010A_016E,B17010A_016M,B17010A_017E,B17010A_017M,B17010A_018E,B17010A_018M,B17010A_019E,B17010A_019M,B17010A_020E,B17010A_020M,B17010A_021E,B17010A_021M,B17010A_022E,B17010A_022M,B17010A_023E,B17010A_023M,B17010A_024E,B17010A_024M,B17010A_025E,B17010A_025M,B17010A_026E,B17010A_026M,B17010A_027E,B17010A_027M,B17010A_028E,B17010A_028M,B17010A_029E,B17010A_029M,B17010A_030E,B17010A_030M,B17010A_031E,B17010A_031M,B17010A_032E,B17010A_032M,B17010A_033E,B17010A_033M,B17010A_034E,B17010A_034M,B17010A_035E,B17010A_035M,B17010A_036E,B17010A_036M,B17010A_037E,B17010A_037M,B17010A_038E,B17010A_038M,B17010A_039E,B17010A_039M,B17010A_040E,B17010A_040M,B17010A_041E,B17010A_041M,GEO_ID,B17010A_001E,B17010A_001M,B17010A_002E,B17010A_002M,B17010A_003E,B17010A_003M,B17010A_004E,B17010A_004M,B17010A_005EA,B17010A_005MA,B17010A_006MA,B17010A_006EA,B17010A_007EA,B17010A_007MA,B17010A_008MA,B17010A_008EA,B17010A_009EA,B17010A_009MA,B17010A_010MA,B17010A_010EA,B17010A_011MA,B17010A_011EA,B17010A_012MA,B17010A_012EA,B17010A_013MA,B17010A_013EA,B17010A_014EA,B17010A_014MA,B17010A_015EA,B17010A_015MA,B17010A_016EA,B17010A_016MA,B17010A_017MA,B17010A_017EA,B17010A_018MA,B17010A_018EA,B17010A_019MA,B17010A_019EA,B17010A_020EA,B17010A_020MA,B17010A_021MA,B17010A_021EA,B17010A_022MA,B17010A_022EA,B17010A_023MA,B17010A_023EA,B17010A_024MA,B17010A_024EA,B17010A_025MA,B17010A_025EA,B17010A_026EA,B17010A_026MA,B17010A_027EA,B17010A_027MA,B17010A_028MA,B17010A_028EA,B17010A_029EA,B17010A_029MA,B17010A_030MA,B17010A_030EA,B17010A_031EA,B17010A_031MA,B17010A_032EA,B17010A_032MA,B17010A_033MA,B17010A_033EA,B17010A_034EA,B17010A_034MA,B17010A_035MA,B17010A_035EA,B17010A_036EA,B17010A_036MA,B17010A_037EA,B17010A_037MA,B17010A_038EA,B17010A_038MA,B17010A_039MA,B17010A_039EA,B17010A_040EA,B17010A_040MA,B17010A_041MA,B17010A_041EA,NAME,B17010A_001MA,B17010A_001EA,B17010A_002EA,B17010A_002MA,B17010A_003MA,B17010A_003EA,B17010A_004EA,B17010A_004MA,state
6138,1308,15251,2179,20971,2607,31496,2910,81758,5219,18133,2530,13373,2241,3138,1264,2609,1055,7626,1931,4760,1141,63625,4889,54158,4296,9521,1565,13419,2155,31218,3581,9467,1708,1381818,13485,1148867,13495,471540,9785,90708,5753,81004,5114,299828,9017,677327,10098,232951,8155,79546,4496,41248,3460,7588,1497,5544,1365,28116,2943,38298,3156,153405,6590,83265,4839,10629,1872,8344,1715,64292,4197,70140,4041,0400000US13,1537432,13943,155614,6166,73856,4441,42360,3518,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,13
53,91,180,213,513,420,1607,584,3576,1023,1467,790,1137,739,332,444,211,341,594,449,330,306,2109,706,1848,707,630,516,356,217,862,404,261,167,87842,2945,75990,2936,30761,2299,10043,1369,6015,1438,14703,1792,45229,2510,11852,1599,3752,823,2198,735,343,299,601,504,1254,554,1554,558,8100,1209,4080,868,872,523,235,186,2973,735,4020,819,0400000US15,93771,3258,5929,1230,2353,771,746,478,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,15
2385,700,3323,952,4446,1154,7441,1455,19440,2294,4205,1238,3655,1221,543,410,267,208,2845,1086,550,238,15235,2123,14070,2021,3103,1056,2045,599,8922,1761,1165,482,345334,6333,287449,6035,121396,4845,23637,3000,27907,2539,69852,3540,166053,3974,57885,3628,20437,2376,13057,2082,2149,922,1999,845,8909,1759,7380,1309,37448,2968,22143,2462,3070,1042,2370,801,16703,2207,15305,2093,0400000US16,382369,6635,37035,3339,17595,2149,10154,1619,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,16
6027,1436,16754,2005,24686,2409,27293,1983,102869,4799,20415,2319,15398,1848,3496,916,3346,995,8556,1741,5017,1282,82454,4277,71499,3914,16494,2136,14695,2184,40310,3196,10955,1494,2215281,13126,1823255,14012,742154,10069,143296,5278,129319,4927,469539,8949,1081101,11541,392026,7819,129764,4829,65052,3902,16516,2143,8297,1533,40239,2964,64712,3590,262262,6221,137010,4959,21676,2631,15698,2015,99636,4366,125252,4603,0400000US17,2392910,13551,177629,7088,74760,4089,47467,3460,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,17
5585,1274,10517,1676,13905,1736,20375,2127,82979,4197,14937,2001,11729,1778,3063,943,1585,674,7081,1431,3208,852,68042,4007,58810,3911,11516,1398,13712,2083,33582,2790,9232,1306,1300822,11678,1069122,10634,420420,7793,72834,4160,82107,3999,265479,6661,648702,8276,231700,7438,76998,3896,43258,3330,10066,1651,4507,1224,28685,2833,33740,2362,154702,6369,87601,4645,13855,2337,7637,1338,66109,3795,67101,4244,0400000US18,1434183,11538,133361,5405,50382,3596,30007,2596,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,18
1211,497,3155,587,5024,1000,8506,1100,34786,2802,6328,1045,5232,986,1365,577,908,450,2959,695,1096,446,28458,2483,26397,2401,5803,1071,6647,1274,13947,1912,2061,502,691766,7283,579475,7408,222140,5474,40181,3112,47481,3035,134478,4249,357335,5257,112291,4781,41215,2939,25036,2167,6080,1152,3291,970,15665,1786,16179,1849,71076,3561,43404,2926,5683,1155,6326,1688,31395,2563,27672,2351,0400000US19,744448,7332,52682,3284,17896,1703,9390,1362,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,19
3178,993,5008,1098,5863,1063,8643,1222,32112,3029,4624,1080,3634,979,1032,468,1008,598,1594,570,990,380,27488,2833,24976,2611,5503,1355,7508,1497,11965,1800,2512,827,596991,7617,493752,7478,206479,5270,40760,3320,40092,2825,125627,4105,287273,5592,103239,4467,36818,2925,21818,2191,5428,1042,1808,639,14582,1916,15000,1871,66421,3768,38484,3020,5744,1263,5680,1058,27060,2535,27937,2193,0400000US20,651795,7218,54804,3649,22692,2198,14049,1767,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,20
6228,1174,10516,1592,15092,1934,25709,2543,81656,4350,16573,2119,11680,1844,3111,1048,1895,734,6674,1313,4893,1316,65083,3628,55307,3513,12265,1924,12138,1996,30904,2807,9776,1586,891031,9020,723438,7815,276934,7027,51268,3293,50530,3587,175136,5996,446504,6276,167593,6188,59904,4416,29487,3149,5316,1298,4088,1348,20083,2529,30417,2689,107689,4776,56571,3259,9123,1495,4854,896,42594,2808,51118,3218,0400000US21,1030232,9965,139201,5269,57545,3789,31836,2810,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,21
2096,658,3426,1051,7007,1355,13190,1957,39720,3159,5829,1051,4090,903,364,277,638,404,3088,868,1739,665,33891,3249,28547,2962,7258,1625,6061,1125,15228,2121,5344,1160,685085,9539,552920,10299,221222,7552,40426,2937,42320,3669,138476,5832,331698,7472,132165,5716,48556,4340,24990,2849,5603,1241,3545,1318,15842,2041,23566,2710,83609,4689,47047,4128,6697,1344,6631,1236,33719,3588,36562,2693,0400000US22,750524,9292,65439,3972,25719,2552,12529,1717,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,22
801,362,1423,604,2429,778,6394,1040,18630,2296,3429,972,2873,951,309,226,378,249,2186,901,556,306,15201,2214,12718,2035,2810,989,2256,766,7652,1346,2483,784,296429,5199,244375,4996,79965,3638,15191,1700,12736,1805,52038,2805,164410,4294,52054,3943,19281,2617,12685,2270,3118,1098,1373,703,8194,1546,6596,1317,32773,2636,19441,2205,2276,666,2190,766,14975,1932,13332,1315,0400000US23,326106,5837,29677,2956,11047,1548,4653,1056,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,23
1634,657,2979,891,2718,648,7902,1426,24048,2719,3966,1001,3184,851,515,313,738,522,1931,528,782,383,20082,2414,16392,2306,3358,1200,4436,1228,8598,1283,3690,968,843762,9287,694042,9202,281595,6880,54706,3013,49116,3368,177773,5729,412447,7328,149720,5699,48372,3238,24942,2480,4699,1172,3271,1003,16972,2003,23430,2043,101348,4644,50626,3972,6826,1448,5539,1084,38261,3589,50722,3103,0400000US24,883043,9299,39281,3141,15233,1946,7331,1238,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,24
2517,791,4298,1005,7280,1328,13290,1671,55387,3893,9778,1706,6958,1449,1694,827,1313,811,3951,1034,2820,790,45609,3288,39806,3118,6071,1595,10255,1845,23480,2153,5803,1069,1251225,10578,1004740,12171,400680,9649,78593,4520,61736,4333,260351,7245,604060,9985,246485,8618,71050,4250,30113,3077,5577,1235,2905,970,21631,2569,40937,2776,175435,6965,88258,5336,13641,2001,8599,1612,66018,4740,87177,4770,0400000US25,1333997,10034,82772,4940,27385,2761,14095,1976,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,25
9513,1392,15337,1922,23768,2289,29301,2138,110456,4620,22424,2414,17172,2357,6140,1416,3013,842,8019,1359,5252,992,88032,4341,75053,4286,16414,2079,17080,1857,41559,3256,12979,1673,1864003,12932,1526722,13438,565316,8967,96605,4005,103889,4244,364822,7156,961406,9806,337281,6996,116017,5184,58513,3755,11899,1818,6998,1370,39616,3014,57504,3868,221264,6214,113830,5130,17724,2099,11978,1550,84128,4912,107434,4110,0400000US26,2052378,12521,188375,5683,77919,3622,48618,3293,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,26
1942,615,4522,1051,5536,1008,11687,1063,39948,2792,6290,1140,5017,1076,1497,551,747,301,2773,783,1273,373,33658,2778,30653,2785,7585,1466,6987,1307,16081,2092,3005,674,1154503,9301,967986,9920,382262,6706,74260,3844,70795,3638,237207,5585,585724,7092,186517,5577,61529,3093,34915,2373,6882,1219,5848,1368,22185,1897,26614,1826,124988,4981,75288,4051,11958,1834,9238,1555,54092,3188,49700,3010,0400000US27,1218138,9142,63635,3403,23687,1954,12000,1706,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,27
1749,902,4410,1320,6787,1283,11380,1452,27537,3322,3330,905,2592,861,696,465,251,217,1645,689,738,357,24207,3281,20765,2890,3585,1087,5449,1820,11731,1959,3442,1076,418605,7262,346539,6832,129845,4495,24256,2644,25318,2407,80271,4025,216694,6230,72066,3832,26560,2821,12039,1783,2734,983,2307,1017,6998,1444,14521,2201,45506,3241,22927,2362,2981,947,2770,985,17176,2068,22579,2236,0400000US28,470468,7131,51863,4389,24326,2635,12946,2184,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,28
5714,1331,9058,1621,15464,2024,24179,2719,72226,5358,13364,1862,10506,1713,3170,1087,1776,596,5560,1367,2858,847,58862,4907,51316,4645,11732,1860,12598,2162,26986,3017,7546,1483,1182643,10085,978094,10885,376938,7778,72055,3828,71991,4320,232892,6381,601156,8351,204549,6256,67220,3679,37126,3102,8433,1656,2649,726,26044,2693,30094,2539,137329,5277,77135,4994,13536,1921,8278,1763,55321,3798,60194,3350,0400000US29,1309284,10673,126641,6970,54415,4078,30236,3268,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,29
755,324,1722,757,2073,852,4558,916,13592,2186,3298,1014,2609,936,232,199,307,355,2070,864,689,392,10294,1717,9429,1613,2011,727,1811,747,5607,1215,865,385,212523,4316,178949,3752,63518,2938,12003,1546,13093,1456,38422,2549,115431,3039,33574,2915,13564,1602,7595,1373,912,326,979,462,5704,1233,5969,1091,20010,1966,11871,1551,2141,778,1807,797,7923,1257,8139,1226,0400000US30,235223,4503,22700,2531,9108,1419,4550,1147,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,30
