GEO_ID,B12001_001E,B12001_001M,B12001_002E,B12001_002M,B12001_003E,B12001_003M,B12001_004E,B12001_004M,B12001_005E,B12001_005M,B12001_006E,B12001_006M,B12001_007E,B12001_007M,B12001_008E,B12001_008M,B12001_009E,B12001_009M,B12001_010E,B12001_010M,B12001_011E,B12001_011M,B12001_012E,B12001_012M,B12001_013E,B12001_013M,B12001_014E,B12001_014M,B12001_015E,B12001_015M,B12001_016E,B12001_016M,B12001_017E,B12001_017M,B12001_018E,B12001_018M,B12001_019E,B12001_019M,NAME,B12001_001EA,B12001_001MA,B12001_002MA,B12001_002EA,B12001_003EA,B12001_003MA,B12001_004MA,B12001_004EA,B12001_005MA,B12001_005EA,B12001_006EA,B12001_006MA,B12001_007EA,B12001_007MA,B12001_008MA,B12001_008EA,B12001_009MA,B12001_009EA,B12001_010EA,B12001_010MA,B12001_011MA,B12001_011EA,B12001_012EA,B12001_012MA,B12001_013EA,B12001_013MA,B12001_014EA,B12001_014MA,B12001_015MA,B12001_015EA,B12001_016MA,B12001_016EA,B12001_017EA,B12001_017MA,B12001_018EA,B12001_018MA,B12001_019EA,B12001_019MA,state
0400000US44,877192,1106,422789,1421,165025,4888,205337,5834,187893,6011,17444,2050,5862,1156,11582,1891,11599,1514,40828,3171,454403,1151,149747,4276,201956,5646,182600,5598,19356,2297,10639,1649,8717,1787,46431,2377,56269,3866,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3872748,2384,1862523,3071,656215,11018,963854,14105,860236,13668,103618,5924,54773,4227,48845,4034,59501,3427,182953,6715,2010225,3108,591979,8692,974314,12942,853065,13912,121249,4995,75634,4260,45615,3833,207880,5363,236052,9316,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,668811,1397,333069,1857,110545,3797,179924,4027,171347,4266,8577,1266,2381,681,6196,1157,7404,1046,35196,2516,335742,1634,88949,3473,177707,4048,165383,4306,12324,1650,4436,1112,7888,1298,30154,2204,38932,2862,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,5255128,3510,2537029,3895,813995,11208,1349969,13655,1235594,14452,114375,6909,48155,4151,66220,5107,68233,3763,304832,9250,2718099,3905,722679,9892,1360671,13186,1229822,13680,130849,6152,71843,4086,59006,4312,272485,7101,362264,8612,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,20547265,4807,10130288,6889,3573092,23724,5386893,30228,4797444,30552,589449,15759,215432,8411,374017,12933,229388,8042,940915,16075,10416977,6724,3028462,21415,5272475,28945,4632078,29866,640397,14418,331065,9942,309332,9622,832944,13106,1283096,20755,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2141536,1590,1067533,2093,343466,6568,617457,7580,579815,7643,37642,3179,13448,1824,24194,2867,17299,2133,89311,4302,1074003,1989,285821,5687,612637,7521,565137,7742,47500,3630,20420,2614,27080,2854,63948,3131,111597,4674,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,525951,888,256664,1131,91909,3046,130132,4101,123196,4116,6936,1147,3240,752,3696,827,6311,873,28312,2235,269287,1186,77217,3021,133872,3609,125198,3682,8674,1222,3755,898,4919,861,21507,1483,36691,2423,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,6707967,3871,3270177,3947,1159664,11684,1752181,13233,1580229,15379,171952,6947,74251,4604,97701,6244,73515,3777,284817,8152,3437790,3835,995498,11577,1745068,15564,1559314,17166,185754,7702,102694,6052,83060,4461,297910,6590,399314,9997,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,5639983,2184,2799219,2597,980648,11546,1473324,13479,1350015,13799,123309,5889,45646,3945,77663,4881,59640,4345,285607,9252,2840764,2953,773013,10199,1449160,14512,1327489,15073,121671,5834,51654,3978,70017,4517,214925,6094,403666,11184,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1537629,1480,754927,2170,241913,5855,395052,7714,368246,7490,26806,2784,10793,1640,16013,2217,24330,2184,93632,4632,782702,2035,190819,5289,389096,7936,357891,7959,31205,3172,13429,2020,17776,2422,93888,3952,108899,4855,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,4661823,2630,2300997,3208,806954,8664,1205215,11514,1144391,11771,60824,3639,20343,2150,40481,3094,59484,3361,229344,5955,2360826,2729,684026,9054,1194893,11642,1131380,12193,63513,3431,26985,2261,36528,2679,211995,4915,269912,6774,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,464301,1506,235543,2066,71168,3595,132786,4230,122166,4512,10620,2630,5277,2012,5343,1405,6153,1219,25436,2279,228758,1729,53292,3649,126450,4239,118682,4296,7768,1607,2875,1148,4893,1289,18376,1747,30640,2814,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2955172,931,1387905,2147,588088,10278,601072,10094,532804,9463,68268,4319,34731,3052,33537,3168,43106,2739,155639,5960,1567267,2216,548626,8482,612042,10535,527593,10387,84449,4965,51836,4050,32613,3195,171070,5474,235529,6954,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
