B25074_033E,B25074_033M,B25074_034E,B25074_034M,B25074_035E,B25074_035M,B25074_036E,B25074_036M,B25074_037E,B25074_037M,B25074_038E,B25074_038M,B25074_039E,B25074_039M,B25074_040E,B25074_040M,B25074_041E,B25074_041M,B25074_042E,B25074_042M,B25074_043E,B25074_043M,B25074_044E,B25074_044M,B25074_045E,B25074_045M,B25074_046E,B25074_046M,B25074_047E,B25074_047M,B25074_048E,B25074_048M,B25074_049E,B25074_049M,B25074_050E,B25074_050M,GEO_ID,B25074_001E,B25074_001M,B25074_002E,B25074_002M,B25074_003E,B25074_003M,B25074_004E,B25074_004M,B25074_005E,B25074_005M,B25074_006E,B25074_006M,B25074_007E,B25074_007M,B25074_008E,B25074_008M,B25074_009E,B25074_009M,B25074_010E,B25074_010M,B25074_011E,B25074_011M,B25074_012E,B25074_012M,B25074_013E,B25074_013M,B25074_014E,B25074_014M,B25074_015E,B25074_015M,B25074_016E,B25074_016M,B25074_017E,B25074_017M,B25074_018E,B25074_018M,B25074_019E,B25074_019M,B25074_020E,B25074_020M,B25074_021E,B25074_021M,B25074_022E,B25074_022M,B25074_023E,B25074_023M,B25074_024E,B25074_024M,B25074_025E,B25074_025M,B25074_026E,B25074_026M,B25074_027E,B25074_027M,B25074_028E,B25074_028M,B25074_029E,B25074_029M,B25074_030E,B25074_030M,B25074_031E,B25074_031M,B25074_032E,B25074_032M,B25074_033EA,B25074_033MA,B25074_034MA,B25074_034EA,B25074_035EA,B25074_035MA,B25074_036EA,B25074_036MA,B25074_037MA,B25074_037EA,B25074_038EA,B25074_038MA,B25074_039EA,B25074_039MA,B25074_040MA,B25074_040EA,B25074_041EA,B25074_041MA,B25074_042MA,B25074_042EA,B25074_043MA,B25074_043EA,B25074_044EA,B25074_044MA,B25074_045EA,B25074_045MA,B25074_046EA,B25074_046MA,B25074_047EA,B25074_047MA,B25074_048MA,B25074_048EA,B25074_049MA,B25074_049EA,B25074_050MA,B25074_050EA,NAME,B25074_001MA,B25074_001EA,B25074_002EA,B25074_002MA,B25074_003EA,B25074_003MA,B25074_004MA,B25074_004EA,B25074_005MA,B25074_005EA,B25074_006EA,B25074_006MA,B25074_007MA,B25074_007EA,B25074_008MA,B25074_008EA,B25074_009EA,B25074_009MA,B25074_010MA,B25074_010EA,B25074_011MA,B25074_011EA,B25074_012MA,B25074_012EA,B25074_013EA,B25074_013MA,B25074_014EA,B25074_014MA,B25074_015MA,B25074_015EA,B25074_016MA,B25074_016EA,B25074_017EA,B25074_017MA,B25074_018MA,B25074_018EA,B25074_019EA,B25074_019MA,B25074_020EA,B25074_020MA,B25074_021MA,B25074_021EA,B25074_022EA,B25074_022MA,B25074_023EA,B25074_023MA,B25074_024MA,B25074_024EA,B25074_025EA,B25074_025MA,B25074_026MA,B25074_026EA,B25074_027MA,B25074_027EA,B25074_028EA,B25074_028MA,B25074_029MA,B25074_029EA,B25074_030EA,B25074_030MA,B25074_031EA,B25074_031MA,B25074_032MA,B25074_032EA,state
28982,3749,12282,2256,6605,1650,8558,1550,91533,5790,67067,5253,13777,2052,4439,1263,1021,627,1128,413,4101,1080,84974,5555,74673,5241,4731,1179,1179,648,271,300,831,536,3289,1016,0400000US13,1324588,15205,219282,7622,1241,500,2102,667,5652,1230,3125,908,136830,5826,70332,5049,229833,7891,5681,1291,5586,1177,12709,2122,13711,2205,176945,7177,15201,1887,304455,8726,15021,1901,21366,2610,40651,4216,47404,4232,166091,6854,13922,1951,197801,8516,34352,2939,40572,3549,48364,3906,33718,4068,32689,3208,8106,1515,196710,7892,86323,5007,53960,4607,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
6267,1216,5074,1136,14199,2219,2682,776,23375,2242,6884,1206,4244,883,3792,1056,3003,1115,4086,840,1366,447,34972,3046,19750,2349,5743,1199,4034,899,2278,697,1586,702,1581,465,0400000US15,197121,5311,18204,2587,170,176,503,323,1108,488,669,405,10285,1854,5469,1174,19000,2181,570,349,497,320,1174,494,725,323,14033,1956,2001,761,32200,2815,1862,818,853,415,2119,862,2670,878,22501,2513,2195,666,27043,2217,1052,491,2251,743,2977,802,3253,940,15757,1874,1753,562,42327,3274,6155,1434,7950,1354,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
3462,1696,1246,627,138,166,2278,788,10398,2275,8150,1929,746,478,1029,888,0,193,77,127,396,351,8153,1413,7245,1366,64,105,134,157,0,193,0,193,710,322,0400000US16,180315,6715,27234,3263,227,234,47,65,594,356,1068,655,18938,2628,6360,1670,34010,3321,1015,509,943,507,2386,1118,2639,840,24764,2659,2263,572,44515,3578,4672,1189,5827,1405,7037,1211,5961,1310,17483,2596,3535,748,29964,3312,7498,1647,8520,1621,6789,1532,2621,970,2727,1106,1809,658,26041,3050,12799,1929,6118,1289,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
30858,3459,16979,2435,16732,2889,8301,1217,129387,5853,85446,4794,21665,2406,11955,2093,3744,1025,1880,613,4697,949,152328,7486,124689,6386,14310,2081,5220,1296,1762,631,1015,422,5332,1244,0400000US17,1629394,15616,260495,8323,3323,848,2685,775,11240,1611,7985,1629,165139,6543,70123,4374,266427,8163,9467,1355,8286,1389,14968,1743,14938,1994,206170,7250,12598,1520,326838,9065,20037,2465,24859,2243,39875,2873,50312,3904,179025,7515,12730,1473,242976,7023,43642,3368,55071,3600,54739,4019,35056,2994,45157,3586,9311,1551,250943,9319,117896,6234,60177,4395,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
6924,1458,1873,715,2836,1229,4603,1001,45825,3780,38437,3497,3716,1235,940,541,316,360,209,186,2207,684,32731,2967,29399,3045,780,405,327,305,45,79,0,190,2180,634,0400000US18,786375,11440,138512,5171,1396,556,1577,854,5934,1188,3926,844,90610,4421,35069,2846,158194,6780,5638,1129,6627,1331,7382,1145,12847,1900,115841,5741,9859,1852,180150,6594,11480,1662,18421,2195,32990,2872,36635,3508,70197,4295,10427,1780,120746,5530,34160,2818,37368,3372,22466,2329,9755,1530,10624,1872,6373,1054,110217,5345,70980,4160,23001,2989,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
3336,1029,607,348,1546,591,4167,701,24056,2708,19295,2310,1992,756,604,350,73,103,238,259,1854,514,17706,2289,15840,2354,152,134,27,45,0,157,18,31,1669,555,0400000US19,360847,6767,52030,4020,311,218,868,405,2635,550,1726,579,36769,2873,9721,1666,70475,3151,2148,489,3506,635,7036,1148,6649,1266,46593,2954,4543,984,83668,4352,9162,1293,11758,1581,17202,2190,14292,2105,27011,2656,4243,794,57371,3457,21372,2176,17007,2235,8213,1452,3535,900,3885,810,3359,721,55541,3102,37984,2880,7901,1367,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
4312,1058,1999,664,1876,694,4244,865,25064,2316,19386,2430,2846,802,952,519,381,274,243,224,1256,503,21414,1948,18461,1796,1479,581,198,262,85,104,0,170,1191,418,0400000US20,377992,7275,53849,3735,96,79,724,376,1660,488,1769,584,37382,3266,12218,1627,62009,3815,2818,851,2320,660,4411,918,5687,1077,43020,3322,3753,823,93634,4693,8029,1400,11995,1675,18221,1956,14251,1700,35710,2780,5428,944,65111,3468,19120,2136,15171,2176,13045,1761,6188,1152,7455,1504,4132,960,56911,3927,31624,2710,12856,2112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
4435,1017,982,419,1483,696,5513,1164,29258,3008,23904,2758,1516,608,274,245,0,189,435,436,3129,879,22706,2156,20432,2118,434,319,377,252,0,189,33,58,1430,467,0400000US21,556315,9575,106846,5108,2174,890,1830,777,6065,1290,3190,827,62988,3862,30599,3250,119891,5713,5542,1245,5459,1021,8268,1463,10553,1873,76725,4517,13344,1651,121222,5368,14098,1724,17622,2272,23538,2606,17250,2168,37542,3309,11172,1728,84483,4670,29967,3199,21889,2603,13337,1833,7039,1365,4769,1058,7482,1647,71909,4548,47153,3521,12343,1920,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
9391,1639,2638,890,2505,788,6091,1269,36382,2993,28118,2749,3581,1068,963,397,274,193,201,168,3245,1012,35008,2939,30379,2894,1423,534,404,447,62,110,9,14,2731,654,0400000US22,588097,11088,117913,5739,553,304,1212,552,3286,801,2775,774,77404,5008,32683,2728,118373,6286,3818,953,3141,868,6212,1358,7228,1484,83879,5450,14095,1591,118857,5587,9673,1834,10634,1895,17210,2464,18584,2426,52151,3571,10605,1654,83495,5373,19318,2152,20729,2809,16176,1988,10769,1889,9177,1392,7326,1199,78069,5388,40531,3859,16913,2371,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
2569,1034,899,619,1262,574,2288,765,7396,1402,5739,1344,283,185,412,329,327,247,81,136,554,290,7174,1474,6010,1337,651,559,112,149,0,165,0,165,401,246,0400000US23,163449,5445,26698,2846,487,276,346,332,2352,722,1109,511,18210,2263,4194,1043,36319,3192,1352,584,1572,726,4881,862,3279,976,23020,3009,2215,604,38082,3616,2326,751,3794,1187,5586,1256,7055,1449,16243,1965,3078,839,24412,2925,4379,943,6029,1294,5316,1443,2976,894,3698,970,2014,748,23368,2355,10759,1727,5591,1422,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
30877,2551,18877,2240,27802,2656,4637,1142,82591,4351,35198,3076,23460,2684,12319,1848,5554,1121,3851,1103,2209,754,109830,5737,82001,5264,15562,1920,5491,1136,1650,588,885,513,4241,998,0400000US24,724773,10402,82260,4748,700,337,2048,746,4537,1062,2925,924,54485,3627,17565,2362,84290,5128,4273,974,3517,909,4579,973,3422,844,64704,4427,3795,1047,121157,5878,5115,1273,2745,810,8504,1549,10606,1774,88433,5330,5754,1249,103702,4873,7145,1383,9766,1610,15460,2149,20218,2117,47681,3746,3432,775,140943,5909,29414,2714,29336,2394,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
30238,2834,16321,2359,20469,1974,4243,1164,94740,5174,44778,3156,24733,2987,12825,1715,5922,1395,4223,1045,2259,789,135568,6521,104893,5952,16609,2087,7340,1547,1765,743,1368,467,3593,817,0400000US25,975512,13094,126693,5944,2338,1029,2275,863,5077,1052,9519,1701,81694,4745,25790,2861,167116,6859,7458,1392,8374,1409,19924,2411,15956,2164,110027,5965,5377,939,172785,7526,12609,1906,9822,1688,15317,1919,17816,2137,111204,5894,6017,1357,125890,5897,15774,2157,17809,2057,20943,2557,18835,2147,48378,3727,4151,1143,152720,6207,43544,3243,37905,3222,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
