GEO_ID,C17024_001E,C17024_001M,C17024_002E,C17024_002M,C17024_003E,C17024_003M,C17024_004E,C17024_004M,C17024_005E,C17024_005M,C17024_006E,C17024_006M,C17024_007E,C17024_007M,C17024_008E,C17024_008M,C17024_009E,C17024_009M,C17024_010E,C17024_010M,C17024_011E,C17024_011M,C17024_012E,C17024_012M,C17024_013E,C17024_013M,C17024_014E,C17024_014M,C17024_015E,C17024_015M,C17024_016E,C17024_016M,C17024_017E,C17024_017M,C17024_018E,C17024_018M,C17024_019E,C17024_019M,C17024_020E,C17024_020M,C17024_021E,C17024_021M,C17024_022E,C17024_022M,C17024_023E,C17024_023M,C17024_024E,C17024_024M,C17024_025E,C17024_025M,C17024_026E,C17024_026M,C17024_027E,C17024_027M,C17024_028E,C17024_028M,NAME,C17024_001EA,C17024_001MA,C17024_002EA,C17024_002MA,C17024_003MA,C17024_003EA,C17024_004EA,C17024_004MA,C17024_005EA,C17024_005MA,C17024_006MA,C17024_006EA,C17024_007MA,C17024_007EA,C17024_008EA,C17024_008MA,C17024_009MA,C17024_009EA,C17024_010MA,C17024_010EA,C17024_011EA,C17024_011MA,C17024_012EA,C17024_012MA,C17024_013EA,C17024_013MA,C17024_014EA,C17024_014MA,C17024_015MA,C17024_015EA,C17024_016EA,C17024_016MA,C17024_017EA,C17024_017MA,C17024_018MA,C17024_018EA,C17024_019EA,C17024_019MA,C17024_020EA,C17024_020MA,C17024_021MA,C17024_021EA,C17024_022MA,C17024_022EA,C17024_023EA,C17024_023MA,C17024_024MA,C17024_024EA,C17024_025MA,C17024_025EA,C17024_026EA,C17024_026MA,C17024_027MA,C17024_027EA,C17024_028MA,C17024_028EA,state
0400000US13,9720914,4997,2456254,5501,305229,16215,345681,15657,162778,12343,425004,17546,390289,14454,287094,12312,182508,8547,357671,12887,6102742,5079,517852,15758,550189,17891,288721,13357,890036,23843,1018364,20290,796009,18708,605695,15851,1435876,27014,1161918,4109,35065,3210,89752,4986,66778,4089,192097,7098,214116,7065,157869,6730,110488,5683,295753,9172,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1367662,1488,302318,1615,19347,3479,20941,3914,17141,3872,42277,4562,54789,5917,47198,4731,41026,3763,59599,4902,849566,902,48956,4839,43665,4537,25449,3705,90699,6928,127342,8142,127820,8611,117651,7129,267984,8980,215778,811,4619,1067,10840,1821,7903,1546,26361,2478,33420,2690,33074,3212,25396,2968,74165,3946,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1582911,1262,421646,1745,29384,4064,51292,7105,32417,4803,94299,7644,95104,8082,50474,5192,27697,3221,40979,3882,941984,1761,65579,5411,82276,6227,44898,3574,153813,8403,193652,10963,132309,8570,93765,7302,175692,8250,219281,1361,7534,1935,10485,1580,10656,1566,36783,3284,52078,4277,33594,3212,26677,3232,41474,3167,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12576680,3928,2974889,4487,273767,12266,342293,15809,161297,9700,456488,16842,495038,15210,374155,12500,274532,11584,597319,13188,7925906,3352,535196,14579,545826,14366,307094,12860,902253,20071,1219809,21707,1074526,20323,878994,21023,2462208,26644,1675885,2533,46574,3902,101737,4488,67190,3162,275121,9122,325606,8722,243089,8733,178809,5998,437759,9533,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6367890,3100,1553397,4199,156731,10490,188325,10536,97360,8664,272822,11357,292463,12180,212029,9443,139405,8395,194262,9316,3935907,3249,286195,10729,314658,11487,168810,9100,520541,14380,704868,18872,597519,15714,456199,14119,887117,17017,878586,3049,19201,1890,50017,3631,40347,3077,160539,5930,198493,5587,149371,5190,91185,5944,169433,6015,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2991670,1604,712071,2700,50980,5762,64214,5766,37284,4352,114305,6966,139328,6931,117001,7080,77376,5058,111583,5978,1824431,2399,105554,5599,122651,5471,61330,5144,207150,9051,320196,9038,292460,9566,238185,8264,476905,10295,455168,1686,9831,1385,25897,2130,20825,1919,78788,3651,92678,3709,72828,3529,48564,3439,105757,3938,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2811722,2188,709813,2699,50674,5834,81786,8822,38974,4918,122239,6891,147654,7526,103090,5786,59650,4044,105746,6277,1714479,2787,105597,6235,124565,7443,64857,5077,214014,7438,306125,9850,256126,9389,197853,8721,445342,11395,387430,1816,10018,1352,20718,2015,14476,1523,67190,3005,76368,3633,63404,3360,41690,2951,93566,4436,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4266556,2510,994926,3779,113550,8402,137712,8814,64526,6000,158853,7536,170672,9206,135665,7629,84120,5878,129828,7236,2658829,3283,211308,8245,269285,9904,129735,7691,367612,11931,451108,12548,387183,11212,285125,11232,557473,12113,612801,2596,15374,1912,53406,3530,36309,3644,111688,5477,129545,5478,92860,4889,61926,3732,111693,4077,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4494989,2903,1096920,3046,148426,11506,155818,9836,72141,6902,173428,8991,167017,9532,134321,8976,97578,6649,148191,7987,2811237,2761,236477,11307,272712,12017,141601,8131,375755,13728,463469,16510,361106,14922,298940,15308,661177,13829,586832,2388,19263,2012,55323,3479,36696,3460,110141,4585,116085,4913,75796,4719,52644,3953,120884,4595,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1293827,1147,255203,1625,18069,3156,27090,3495,16357,2786,46352,4418,51728,4977,37062,3861,22434,2603,36111,3741,809767,1729,43145,4471,71618,4487,40521,4222,106973,5676,144743,7280,117191,6569,88373,5913,197203,7228,228857,1052,4732,877,15985,1884,13439,1520,44817,2790,42583,2805,34892,3093,24459,2461,47950,3026,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
