GEO_ID,B28004_001E,B28004_001M,B28004_002E,B28004_002M,B28004_003E,B28004_003M,B28004_004E,B28004_004M,B28004_005E,B28004_005M,B28004_006E,B28004_006M,B28004_007E,B28004_007M,B28004_008E,B28004_008M,B28004_009E,B28004_009M,B28004_010E,B28004_010M,B28004_011E,B28004_011M,B28004_012E,B28004_012M,B28004_013E,B28004_013M,B28004_014E,B28004_014M,B28004_015E,B28004_015M,B28004_016E,B28004_016M,B28004_017E,B28004_017M,B28004_018E,B28004_018M,B28004_019E,B28004_019M,B28004_020E,B28004_020M,B28004_021E,B28004_021M,B28004_022E,B28004_022M,B28004_023E,B28004_023M,B28004_024E,B28004_024M,B28004_025E,B28004_025M,NAME,B28004_001MA,B28004_001EA,B28004_002EA,B28004_002MA,B28004_003EA,B28004_003MA,B28004_004MA,B28004_004EA,B28004_005EA,B28004_005MA,B28004_006EA,B28004_006MA,B28004_007MA,B28004_007EA,B28004_008MA,B28004_008EA,B28004_009EA,B28004_009MA,B28004_010MA,B28004_010EA,B28004_011MA,B28004_011EA,B28004_012EA,B28004_012MA,B28004_013MA,B28004_013EA,B28004_014MA,B28004_014EA,B28004_015EA,B28004_015MA,B28004_016EA,B28004_016MA,B28004_017EA,B28004_017MA,B28004_018EA,B28004_018MA,B28004_019MA,B28004_019EA,B28004_020EA,B28004_020MA,B28004_021EA,B28004_021MA,B28004_022MA,B28004_022EA,B28004_023EA,B28004_023MA,B28004_024EA,B28004_024MA,B28004_025MA,B28004_025EA,state
0400000US30,406288,3840,31743,2816,370,210,15193,2009,16180,1918,50061,3485,1089,594,25019,2616,23953,2118,73684,3938,1833,604,44661,3559,27190,2051,58393,3010,550,221,41080,2702,16763,1697,79958,3922,1773,667,65771,3768,12414,1513,112449,4252,1429,567,101015,4318,10005,1321,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,730579,4441,44429,3012,343,240,19996,1910,24090,2244,74634,2918,1206,401,31843,2249,41585,2459,121578,4459,1725,498,69918,3671,49935,3056,111749,4187,1760,488,80656,3654,29333,2435,147505,4716,1355,454,119480,4115,26670,2330,230684,4062,2227,565,210864,4189,17593,1608,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1002571,7173,69318,4111,402,250,34049,2886,34867,2797,101407,5027,1757,675,50090,3633,49560,3585,166391,6191,1820,589,107913,4534,56658,3734,150190,6143,1509,598,114981,5311,33700,2737,203202,6473,1698,538,167426,5634,34078,2982,312063,7076,1668,481,283575,6892,26820,3111,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,519246,4617,25077,2618,71,86,13683,1950,11323,1780,41400,3418,469,267,21070,2643,19861,1990,66900,3930,860,414,41923,3039,24117,2398,67417,3736,562,296,51711,3312,15144,1948,100213,3949,1284,479,86866,4101,12063,1917,218239,5166,1177,529,204758,4988,12304,1836,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,3176139,9966,180114,7033,1450,525,83307,5157,95357,4795,264510,7724,2206,775,127425,5431,134879,6481,375205,8179,3343,727,231229,7178,140633,5552,345179,8373,3193,911,252168,7171,89818,5129,513936,8927,3586,837,426853,8520,83497,4615,1497195,10269,8510,1200,1391596,9897,97089,5628,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,753507,6087,76050,4793,505,293,27784,2825,47761,3438,99882,4740,1471,526,40797,3584,57614,3625,133124,5785,1895,784,67100,4559,64129,3907,106223,4427,2299,869,68841,3213,35083,2978,130399,4929,1558,462,98643,4565,30198,2760,207829,5495,1696,650,182057,5292,24076,2592,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,7219356,14194,583048,12748,3404,862,265016,9012,314628,8731,746576,12845,5896,1061,361040,10004,379640,8696,1017313,15429,8691,1105,628840,12730,379782,9563,854859,13107,8868,1307,625327,12172,220664,7259,1181675,13481,10698,1412,964832,11906,206145,6693,2835885,21878,15154,1718,2592716,22282,228015,7712,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,3757480,13443,314399,8610,2175,700,131251,5541,180973,6277,459508,9354,4414,1081,200502,7031,254592,6848,679195,12810,9564,1446,395455,10512,274176,8510,564792,10426,7633,1166,409275,9189,147884,5432,678437,12337,6014,1140,555295,12585,117128,5628,1061149,13928,7224,1465,970368,13298,83557,4862,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,298298,2835,20189,1897,284,211,9670,1588,10235,1306,26130,2190,480,311,11223,1439,14427,1578,47709,3058,850,320,28359,2602,18500,1825,40574,2747,497,294,28600,2437,11477,1476,53820,3229,619,266,41823,2824,11378,1335,109876,3321,700,237,96524,3315,12652,1554,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,4564745,13440,384453,9535,4067,921,158190,5849,222196,7852,521230,10632,6504,1068,234817,7661,279909,7847,785478,13123,12905,1737,455203,9773,317370,9077,662058,10433,10110,1159,471062,8885,180886,6203,837411,12790,10265,1200,679979,11405,147167,5686,1374115,15871,10850,1440,1250856,14838,112409,5566,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
