GEO_ID,C27003_001E,C27003_001M,C27003_002E,C27003_002M,C27003_003E,C27003_003M,C27003_004E,C27003_004M,C27003_005E,C27003_005M,C27003_006E,C27003_006M,C27003_007E,C27003_007M,C27003_008E,C27003_008M,C27003_009E,C27003_009M,C27003_010E,C27003_010M,C27003_011E,C27003_011M,C27003_012E,C27003_012M,C27003_013E,C27003_013M,C27003_014E,C27003_014M,C27003_015E,C27003_015M,C27003_016E,C27003_016M,C27003_017E,C27003_017M,C27003_018E,C27003_018M,C27003_019E,C27003_019M,C27003_020E,C27003_020M,C27003_021E,C27003_021M,NAME,C27003_001EA,C27003_001MA,C27003_002MA,C27003_002EA,C27003_003EA,C27003_003MA,C27003_004EA,C27003_004MA,C27003_005MA,C27003_005EA,C27003_006EA,C27003_006MA,C27003_007MA,C27003_007EA,C27003_008EA,C27003_008MA,C27003_009EA,C27003_009MA,C27003_010EA,C27003_010MA,C27003_011EA,C27003_011MA,C27003_012MA,C27003_012EA,C27003_013MA,C27003_013EA,C27003_014EA,C27003_014MA,C27003_015MA,C27003_015EA,C27003_016EA,C27003_016MA,C27003_017MA,C27003_017EA,C27003_018MA,C27003_018EA,C27003_019EA,C27003_019MA,C27003_020EA,C27003_020MA,C27003_021EA,C27003_021MA,state
0400000US25,6613654,1154,3199534,2499,711741,1820,236472,7742,475269,7595,2077396,2161,395274,11196,1682122,11109,410397,1522,387806,2782,22591,2246,3414120,2292,677424,1689,225058,8366,452366,8621,2195447,1966,482653,10464,1712794,10558,541249,1493,518411,2473,22838,2126,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9784451,851,4782902,4723,1147117,2539,456541,10215,690576,9903,2993301,3793,480160,9805,2513141,10795,642484,2055,628052,2998,14432,1892,5001549,4686,1092886,2761,437012,9042,655874,9192,3103460,3883,584976,11126,2518484,11768,805203,1958,789723,2618,15480,1815,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5362681,492,2657604,4203,653089,3350,173456,6583,479633,6598,1679652,2650,221422,6673,1458230,7122,324863,1570,315108,2125,9755,1226,2705077,4152,627147,3131,157827,7259,469320,7155,1677519,2746,249375,7762,1428144,7532,400411,1589,388924,2049,11487,1489,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2925211,1208,1401940,6050,374912,4448,189718,7049,185194,6050,854907,3621,151207,6288,703700,6326,172121,1842,167488,2113,4633,1132,1523271,5966,359163,4847,191212,6215,167951,6135,935839,3223,177570,6569,758269,6692,228269,1667,224925,1734,3344,779,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5930677,1536,2885793,5048,712591,4282,242886,8669,469705,8494,1788252,3811,236957,7697,1551295,8110,384950,1563,372816,2417,12134,1855,3044884,4865,681997,3807,228946,8912,453051,7980,1877767,2891,256205,7295,1621562,8120,485120,2001,475333,2628,9787,1517,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,999390,857,496670,2242,112618,1259,45531,2966,67087,2963,308076,1859,42413,2726,265663,2933,75976,747,74628,867,1348,494,502720,2261,110425,1669,38858,3005,71567,2768,308049,2003,34715,2812,273334,3416,84246,1001,82302,1105,1944,525,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1840659,988,909423,2444,233653,1863,68297,3462,165356,3743,562421,1713,51512,3173,510909,3305,113349,910,110157,1221,3192,788,931236,2120,228984,1956,71852,4184,157132,4048,563004,1468,55567,3136,507437,3215,139248,1189,135006,1421,4242,836,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2757207,1123,1376313,2556,336507,1713,96195,6643,240312,6511,862994,2075,90302,5107,772692,5289,176812,807,167090,1773,9722,1462,1380894,2325,324590,1893,92101,6020,232489,6028,856891,1547,94285,5347,762606,5260,199413,1101,187248,2032,12165,1672,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1308658,377,644859,2213,136956,1301,41609,3904,95347,3726,419117,1905,41044,3946,378073,4509,88786,986,84645,1314,4141,975,663799,2133,133686,1291,38896,3455,94790,3636,423763,1890,43927,3066,379836,3564,106350,1216,103457,1228,2893,637,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8791652,1201,4272037,3641,1030738,2142,311812,8942,718926,8643,2709556,2147,261843,9360,2447713,9617,531743,1580,501158,3045,30585,2620,4519615,3370,986974,2293,293694,7891,693280,8507,2819281,1844,342203,8733,2477078,8997,713360,1967,678629,3252,34731,2851,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,2051900,1154,1008227,2950,257870,2579,138422,4649,119448,4684,611782,1831,113092,4823,498690,5332,138575,1130,132063,1550,6512,1175,1043673,2686,249081,2225,133690,4732,115391,4251,631571,1549,131239,5881,500332,5835,163021,1077,157586,1642,5435,1095,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,19400069,2026,9372524,5325,2163862,3485,875823,12840,1288039,12468,6048931,4143,1113900,16819,4935031,17343,1159731,2726,1103244,4458,56487,3644,10027545,5101,2067113,3488,841378,14348,1225735,14605,6391044,3547,1391806,20943,4999238,20829,1569388,2475,1507388,4235,62000,3875,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9645320,3881,4640984,8103,1164447,6175,498359,12215,666088,11178,2879124,5487,391549,8401,2487575,10176,597413,2776,581921,3279,15492,2171,5004336,7224,1116102,6731,475330,12055,640772,11616,3121078,4214,453776,10028,2667302,10549,767156,2297,751896,2762,15260,1711,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,708181,783,359898,2199,82017,1592,19056,2202,62961,2269,233881,1813,19017,2144,214864,2520,44000,544,42388,750,1612,558,348283,2069,78413,1564,15698,1558,62715,1816,217423,1290,20828,2037,196595,2272,52447,509,51364,672,1083,377,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,11398298,1524,5549819,4462,1351621,3390,489988,11989,861633,12132,3465095,3632,492825,9959,2972270,10899,733103,2243,711238,3276,21865,2237,5848479,4420,1293331,3169,466237,11491,827094,11357,3607019,3668,616609,12677,2990410,12655,948129,2723,919622,3425,28507,2482,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3770254,1443,1848734,4134,485071,2668,213651,5667,271420,5864,1127344,3140,152556,4801,974788,5222,236319,1653,229515,1657,6804,1034,1921520,4017,461062,2511,196762,5793,264300,5473,1168390,2823,173742,5838,994648,6452,292068,1505,285508,1644,6560,897,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3893092,601,1918225,3306,441242,3039,167754,6857,273488,6920,1207436,2441,173399,6721,1034037,7109,269547,1342,262245,1873,7302,1298,1974867,3282,417017,3122,155005,6685,262012,6581,1233316,2213,187801,7630,1045515,8285,324534,1643,317298,1904,7236,1198,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12569375,1134,6108662,4941,1383436,3287,497146,10735,886290,11163,3853909,3598,508723,9302,3345186,9119,871317,2501,842274,3157,29043,1952,6460713,4826,1325407,3465,465205,10994,860202,10993,3995607,3027,637015,12270,3358592,12603,1139699,2675,1106491,3472,33208,2502,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
