GEO_ID,B15002D_001E,B15002D_001M,B15002D_002E,B15002D_002M,B15002D_003E,B15002D_003M,B15002D_004E,B15002D_004M,B15002D_005E,B15002D_005M,B15002D_006E,B15002D_006M,B15002D_007E,B15002D_007M,B15002D_008E,B15002D_008M,B15002D_009E,B15002D_009M,B15002D_010E,B15002D_010M,B15002D_011E,B15002D_011M,B15002D_012E,B15002D_012M,B15002D_013E,B15002D_013M,B15002D_014E,B15002D_014M,B15002D_015E,B15002D_015M,B15002D_016E,B15002D_016M,B15002D_017E,B15002D_017M,B15002D_018E,B15002D_018M,B15002D_019E,B15002D_019M,NAME,B15002D_001MA,B15002D_001EA,B15002D_002EA,B15002D_002MA,B15002D_003EA,B15002D_003MA,B15002D_004EA,B15002D_004MA,B15002D_005MA,B15002D_005EA,B15002D_006MA,B15002D_006EA,B15002D_007EA,B15002D_007MA,B15002D_008EA,B15002D_008MA,B15002D_009EA,B15002D_009MA,B15002D_010MA,B15002D_010EA,B15002D_011EA,B15002D_011MA,B15002D_012MA,B15002D_012EA,B15002D_013EA,B15002D_013MA,B15002D_014EA,B15002D_014MA,B15002D_015MA,B15002D_015EA,B15002D_016EA,B15002D_016MA,B15002D_017MA,B15002D_017EA,B15002D_018EA,B15002D_018MA,B15002D_019EA,B15002D_019MA,state
0400000US31,23073,1079,11197,776,1622,573,664,392,1941,682,207,185,1103,460,671,399,2280,495,2709,671,11876,698,1962,746,833,449,2159,598,205,168,1455,683,491,267,2476,576,2295,475,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,157488,2820,67999,1988,3511,794,3792,1286,12362,1873,1278,608,16898,1727,5321,1521,17741,1961,7096,1260,89489,1597,7353,1212,5607,1211,15671,1963,1801,627,17646,2062,9858,1859,24417,2137,7136,1179,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,19816,1382,9083,939,334,248,81,138,664,397,547,594,1041,529,106,158,3079,729,3231,915,10733,923,1223,520,444,266,1389,542,97,119,1661,808,707,482,2813,789,2399,654,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,557498,3593,267306,2043,8488,1642,6612,1288,23146,2839,2297,804,21805,2260,12750,2109,97729,4183,94479,4187,290192,2450,15512,1908,11499,1736,30819,2973,2614,737,21094,2420,13398,1732,113647,4438,81609,3891,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,19355,1477,7861,998,246,200,1058,557,815,520,73,62,1029,544,203,267,1338,700,3099,742,11494,1082,594,380,661,392,1996,667,120,151,2034,726,792,438,2587,633,2710,765,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1083650,5661,507234,3834,55576,3916,45880,3411,78059,4537,8715,1281,44566,3360,36215,3236,138577,5807,99646,4025,576416,3531,84871,4991,49668,3794,90513,3996,8872,1379,41157,3328,42396,3612,154461,5556,104478,4648,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,152196,3215,69579,2000,4541,884,4022,974,7852,1513,1729,758,7529,1570,3311,943,18061,2076,22534,2218,82617,2191,8508,1092,5926,1092,11485,1493,589,342,9804,1970,6113,1566,22022,1924,18170,1873,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,5804,1226,2741,958,293,245,73,136,984,605,59,85,230,272,251,363,151,186,700,420,3063,686,679,342,120,120,487,329,0,149,370,308,8,17,1112,562,287,220,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,139547,2907,67006,2095,4800,1321,2583,617,6468,1302,574,370,5946,1021,2074,699,18048,1847,26513,2217,72541,1829,6381,1372,4680,1223,11531,1862,646,297,5756,1088,3160,849,21288,2254,19099,1780,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,44502,1703,19916,1120,1499,514,2153,698,3425,899,513,268,1937,645,1468,538,4351,848,4570,877,24586,1246,2804,703,3106,689,4931,825,463,257,2552,665,1649,555,5205,781,3876,848,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
