GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014M,B17025_015E,B17025_015M,NAME,B17025_001EA,B17025_001MA,B17025_002MA,B17025_002EA,B17025_003EA,B17025_003MA,B17025_004MA,B17025_004EA,B17025_005EA,B17025_005MA,B17025_006MA,B17025_006EA,B17025_007MA,B17025_007EA,B17025_008MA,B17025_008EA,B17025_009MA,B17025_009EA,B17025_010MA,B17025_010EA,B17025_011MA,B17025_011EA,B17025_012MA,B17025_012EA,B17025_013EA,B17025_013MA,B17025_014MA,B17025_014EA,B17025_015MA,B17025_015EA,state
0400000US28,2893768,2850,695915,21951,682662,22436,679163,22414,3499,1271,13253,2441,3143,850,10110,2269,2197853,22087,2152724,23234,2137262,23002,15462,2598,45129,5238,20196,2692,24933,4016,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5861009,3082,931066,25159,884535,24807,878707,24480,5828,1682,46531,4792,13263,2083,33268,4305,4929943,24927,4749628,27100,4718348,26662,31280,3429,180315,8030,90396,5404,89919,6679,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,990603,976,163637,9336,160065,8957,158432,8838,1633,709,3572,1441,1923,954,1649,881,826966,9401,811754,9754,805126,9740,6628,1440,15212,1960,8978,1512,6234,1144,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1815565,1350,239433,11539,210186,9558,208821,9578,1365,542,29247,4452,6297,1775,22950,4061,1576132,11766,1484870,10430,1472195,10606,12675,1670,91262,5138,34716,3263,56546,4887,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2750476,2092,433576,18630,341676,14866,334440,14648,7236,1834,91900,7895,23711,3142,68189,7040,2316900,18797,1883147,16483,1844891,16324,38256,4286,433753,10816,226173,7673,207580,8642,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1281181,1408,111495,9003,104019,8226,102408,8123,1611,885,7476,2010,2042,941,5434,1815,1169686,9099,1103536,8423,1091229,8538,12307,2035,66150,4796,37586,3162,28564,3926,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8721010,3187,998549,28143,746774,24202,702314,23308,44460,4420,251775,10634,92053,6580,159722,8979,7722461,28293,6064472,30377,5892985,30002,171487,8303,1657989,22016,921142,16736,736847,18893,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,2045402,1557,448461,14432,389500,12979,386098,12911,3402,1130,58961,6154,11997,2653,46964,5543,1596941,14304,1453151,15577,1432148,16049,21003,2653,143790,7250,59703,4063,84087,6879,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,19133973,5745,3055645,41913,2249911,34166,2125672,33444,124239,7038,805734,22410,313961,12927,491773,16042,16078328,41967,12561119,43958,12229773,41641,331346,11342,3517209,36931,2019987,28302,1497222,26297,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9588277,3839,1715397,30951,1545766,27847,1532311,27312,13455,2270,169631,11591,24403,3441,145228,10567,7872880,30909,7303619,28885,7210527,28096,93092,6634,569261,13156,211206,8947,358055,11540,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,698199,719,82398,5117,75880,4841,75050,4839,830,482,6518,1803,1061,645,5457,1845,615801,5189,601966,5084,596588,5356,5378,1515,13835,2065,5139,1298,8696,1655,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,11248753,4641,1796942,35664,1707837,35034,1688259,34566,19578,3030,89105,9044,28216,4040,60889,7011,9451811,35475,9076455,38233,9008369,37431,68086,5792,375356,11400,204999,8968,170357,8748,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3735207,2100,626906,13621,586785,12678,581378,12603,5407,1180,40121,4334,7161,1307,32960,4067,3108301,13512,2935087,14535,2905535,14962,29552,2645,173214,6136,68077,3886,105137,5327,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3852871,2320,642138,19715,559872,16391,552511,16198,7361,1795,82266,7354,19746,2728,62520,7496,3210733,19873,2907600,21841,2873782,22280,33818,3132,303133,8585,133690,7105,169443,7854,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12353256,3882,1690405,39229,1546971,36246,1483350,35918,63621,7281,143434,10954,50252,5353,93182,9044,10662851,39468,10028080,42899,9890096,41295,137984,6878,634771,15966,353966,9959,280805,12255,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1010827,1740,144446,9182,117076,7653,108004,7630,9072,1850,27370,3785,9378,1935,17992,3241,866381,9236,761061,9252,746985,9003,14076,2413,105320,6251,58765,3871,46555,4960,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4631801,2952,860380,21666,815555,20837,808617,20708,6938,1750,44825,4791,7795,2276,37030,4653,3771421,22022,3590842,24095,3547568,23743,43274,3945,180579,8991,80252,4759,100327,8256,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
