C05008_025M,C05008_026E,C05008_026M,C05008_027E,C05008_027M,C05008_028E,C05008_028M,C05008_029E,C05008_029M,C05008_030E,C05008_030M,C05008_031E,C05008_031M,C05008_032E,C05008_032M,C05008_033E,C05008_033M,C05008_034E,C05008_034M,C05008_035E,C05008_035M,C05008_036E,C05008_036M,C05008_037E,C05008_037M,C05008_038E,C05008_038M,C05008_039E,C05008_039M,C05008_040E,C05008_040M,C05008_041E,C05008_041M,C05008_042E,C05008_042M,C05008_043E,C05008_043M,C05008_044E,C05008_044M,C05008_045E,C05008_045M,C05008_046E,C05008_046M,C05008_047E,C05008_047M,C05008_048E,C05008_048M,C05008_049E,C05008_049M,C05008_050E,C05008_050M,C05008_051E,C05008_051M,GEO_ID,C05008_001E,C05008_001M,C05008_002E,C05008_002M,C05008_003E,C05008_003M,C05008_004E,C05008_004M,C05008_005E,C05008_005M,C05008_006E,C05008_006M,C05008_007E,C05008_007M,C05008_008E,C05008_008M,C05008_009E,C05008_009M,C05008_010E,C05008_010M,C05008_011E,C05008_011M,C05008_012E,C05008_012M,C05008_013E,C05008_013M,C05008_014E,C05008_014M,C05008_015E,C05008_015M,C05008_016E,C05008_016M,C05008_017E,C05008_017M,C05008_018E,C05008_018M,C05008_019E,C05008_019M,C05008_020E,C05008_020M,C05008_021E,C05008_021M,C05008_022E,C05008_022M,C05008_023E,C05008_023M,C05008_024E,C05008_024M,C05008_025E,C05008_025MA,C05008_026EA,C05008_026MA,C05008_027MA,C05008_027EA,C05008_028EA,C05008_028MA,C05008_029EA,C05008_029MA,C05008_030MA,C05008_030EA,C05008_031MA,C05008_031EA,C05008_032EA,C05008_032MA,C05008_033EA,C05008_033MA,C05008_034MA,C05008_034EA,C05008_035MA,C05008_035EA,C05008_036MA,C05008_036EA,C05008_037EA,C05008_037MA,C05008_038MA,C05008_038EA,C05008_039MA,C05008_039EA,C05008_040MA,C05008_040EA,C05008_041MA,C05008_041EA,C05008_042MA,C05008_042EA,C05008_043MA,C05008_043EA,C05008_044EA,C05008_044MA,C05008_045EA,C05008_045MA,C05008_046EA,C05008_046MA,C05008_047EA,C05008_047MA,C05008_048MA,C05008_048EA,C05008_049EA,C05008_049MA,C05008_050MA,C05008_050EA,C05008_051EA,C05008_051MA,NAME,C05008_001EA,C05008_001MA,C05008_002MA,C05008_002EA,C05008_003EA,C05008_003MA,C05008_004MA,C05008_004EA,C05008_005MA,C05008_005EA,C05008_006EA,C05008_006MA,C05008_007MA,C05008_007EA,C05008_008MA,C05008_008EA,C05008_009EA,C05008_009MA,C05008_010MA,C05008_010EA,C05008_011MA,C05008_011EA,C05008_012EA,C05008_012MA,C05008_013MA,C05008_013EA,C05008_014MA,C05008_014EA,C05008_015MA,C05008_015EA,C05008_016MA,C05008_016EA,C05008_017MA,C05008_017EA,C05008_018EA,C05008_018MA,C05008_019EA,C05008_019MA,C05008_020MA,C05008_020EA,C05008_021EA,C05008_021MA,C05008_022MA,C05008_022EA,C05008_023MA,C05008_023EA,C05008_024EA,C05008_024MA,C05008_025EA,state
3569,26014,2789,474272,9459,48498,4391,3757,1190,12140,2488,32601,3134,146194,3819,24671,3651,46156,3901,75367,3684,229700,7657,12885,2573,90767,6071,126048,6184,113407,5921,3967,1409,54937,4323,54503,4628,116293,7232,8918,1995,35830,4853,71545,5133,49880,4412,9166,2476,19392,3077,21322,2677,0400000US13,970979,19012,496707,12971,41843,3649,3628,964,11835,2597,26380,2535,127468,4817,20359,2899,43143,4629,63966,3791,273405,9069,19224,3629,105454,6927,148727,6192,163019,7900,8973,2733,66219,4990,87827,6275,110386,7865,10251,2371,39235,5062,60900,5196,53991,4932,7883,2067,20094,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
1413,5502,1380,139046,5459,6454,1146,1411,815,1432,577,3611,756,112061,4483,8026,1528,28082,2994,75953,3720,4047,1044,157,211,1158,531,2732,845,1572,793,118,198,270,203,1184,704,2475,829,39,67,888,490,1548,656,16484,2497,2024,793,8538,2099,5922,1106,0400000US15,246464,10113,107418,5933,4691,992,715,571,1114,536,2862,739,83157,5245,8231,1754,19812,2960,55114,3524,5952,1496,288,296,1904,1110,3760,1009,2273,698,171,216,391,319,1711,652,3679,1289,117,197,1513,1060,2049,793,13618,2289,2317,1108,5799,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
445,1398,538,46759,3372,7012,1357,470,378,1512,860,5030,974,11295,1564,3397,1409,2374,720,5524,1198,24026,2502,2017,1053,8656,2004,13353,1495,21660,2369,1337,742,8186,1923,12137,1523,2366,1026,680,773,470,325,1216,546,4426,1025,342,228,1015,449,3069,899,0400000US16,95525,5759,48766,3623,6077,1363,1135,620,1850,979,3092,754,8039,1346,3007,1092,2087,799,2945,753,30643,2587,2013,948,8795,1965,19835,2044,28611,2501,1659,901,8388,1906,18564,1873,2032,861,354,251,407,278,1271,767,4007,1826,1564,1653,1045,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
2813,20096,2476,900813,13181,201821,6714,9471,1653,52730,4442,139620,5524,266680,5275,39996,3304,82581,4038,144103,4270,386604,8969,14106,2208,113304,6511,259194,6896,319984,7850,9483,1804,95726,5669,214775,6700,66620,5628,4623,1226,17578,2843,44419,3790,45708,4483,8390,1963,16725,2362,20593,2471,0400000US17,1807468,23442,906655,13905,185015,7330,10795,1765,44033,4294,130187,5261,245003,6722,41717,3535,74586,5015,128700,5252,432145,8952,15523,2802,112364,6992,304258,6781,366984,7901,10393,2078,92716,6213,263875,7065,65161,5342,5130,1706,19648,3476,40383,3421,44492,4921,7819,2101,16577,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1792,6218,1471,155428,6023,23001,2840,1523,549,4436,1437,17042,2268,52079,2812,13422,2310,17892,2428,20765,1878,65564,3770,4076,958,32869,3387,28619,3059,47543,3710,1667,631,24456,3250,21420,2507,18021,2375,2409,793,8413,1895,7199,1511,14784,2797,2599,1215,6736,1825,5449,1265,0400000US18,314501,10231,159073,6047,19524,2730,1253,538,5673,1955,12598,1513,49139,2516,16960,2190,16401,2279,15778,1964,75371,3913,5786,1667,33067,3181,36518,2875,57580,4135,2911,1094,25732,2987,28937,2688,17791,2482,2875,1409,7335,1720,7581,1466,15039,2856,3093,1230,5728,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
997,3154,1348,73392,4342,11755,1878,1203,626,3041,978,7511,1201,27110,1931,6837,1280,8298,1404,11975,1218,26197,2584,2955,1420,11598,2071,11644,1674,17719,2328,1787,1023,7522,1584,8410,1479,8478,1972,1168,1045,4076,1314,3234,1020,8330,1811,1771,940,3520,1313,3039,942,0400000US19,149122,7274,75730,3983,11308,2226,1246,837,3968,1378,6094,1256,25147,1885,8019,1800,7010,1165,10118,1316,31115,2422,2386,947,13308,1834,15421,1562,23856,2421,1560,800,10296,1661,12000,1377,7259,1667,826,445,3012,1086,3421,1100,8160,1774,1897,1010,3109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
1106,2488,651,95936,4324,7946,1276,1073,583,1472,489,5401,1010,30855,2169,7397,1932,8783,1301,14675,1211,49482,3020,3481,1098,20038,2783,25963,2418,39682,2688,1848,723,16873,2591,20961,2138,9800,1833,1633,838,3165,1027,5002,1062,7653,1600,1308,902,3507,1213,2838,826,0400000US20,198173,7952,102237,4988,6307,1342,1032,514,1134,565,4141,1080,26757,2125,7334,1458,6130,1162,13293,1312,61541,3517,4326,1379,24272,2854,32943,2180,47559,3536,2377,1028,18083,2587,27099,2223,13982,2575,1949,931,6189,1754,5844,1348,7632,1790,2170,1364,2974,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
1704,2211,794,71865,4329,13180,1756,983,435,2953,1031,9244,1433,26083,2217,5570,1455,10114,1645,10399,1609,25333,2473,2374,917,14659,2267,8300,1424,12571,1881,466,369,7418,1650,4687,1121,12762,2088,1908,815,7241,1925,3613,893,7269,1835,1168,564,4342,1711,1759,545,0400000US21,149016,7107,77151,4219,9319,1346,1278,534,1420,595,6621,1081,22246,1466,6608,1487,6994,1440,8644,1150,37188,3244,6391,1808,17593,2504,13204,1983,20783,2949,2128,1589,9827,1674,8828,1666,16405,2452,4263,1306,7766,1730,4376,1173,8398,1936,2067,717,4120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
871,1809,753,82818,3857,9292,1572,1085,576,1852,757,6355,1238,30436,1973,5568,1270,8276,1870,16592,1816,38823,3159,5478,1968,15079,2519,18266,1677,11419,2014,1344,774,5579,1495,4496,1034,27404,2854,4134,1818,9500,1978,13770,1462,4267,1141,816,787,1175,454,2276,653,0400000US22,182559,7574,99741,5640,7827,1399,1240,586,1876,711,4711,1105,29398,3488,6636,3048,7424,1312,15338,1714,57635,3967,11169,2486,22609,3004,23857,2868,21472,3030,5052,1696,9894,2037,6526,1425,36163,3279,6117,1928,12715,1982,17331,2388,4881,1249,918,525,2154,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
995,3877,830,26114,2133,6001,1124,765,537,618,377,4618,864,7492,1586,1486,803,3068,1312,2938,654,2297,718,324,205,466,390,1507,612,427,277,191,183,32,46,204,177,1870,651,133,164,434,384,1303,569,10324,1290,721,532,1939,597,7664,1173,0400000US23,44687,3136,18573,2034,4328,1082,500,349,829,563,2999,722,5409,1221,1154,787,2065,969,2190,734,2060,802,130,98,641,489,1289,592,291,206,37,44,151,180,103,111,1769,756,93,90,490,433,1186,551,6776,1096,1005,525,1894,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
3401,30674,3631,437085,9114,48768,3669,5011,1389,10855,1623,32902,2766,151077,4537,17526,2813,48063,3371,85488,3653,158995,4873,12089,2231,60534,4086,86372,3990,13761,2282,780,505,7805,2042,5176,1166,145234,5349,11309,2255,52729,4376,81196,4151,78245,5921,13708,2656,32470,3489,32067,3143,0400000US24,842250,15351,405165,8565,36022,2986,3717,889,7870,1352,24435,2454,129164,3684,14037,2225,42238,3505,72889,3320,169449,5612,14281,2900,64936,4187,90232,4044,20140,2834,1002,791,9378,2023,9760,1905,149309,6218,13279,2770,55558,4636,80472,4161,70530,5130,10716,1933,29140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
