B17016_042M,B17016_043E,B17016_043M,B17016_044E,B17016_044M,B17016_045E,B17016_045M,B17016_046E,B17016_046M,B17016_047E,B17016_047M,GEO_ID,B17016_001E,B17016_001M,B17016_002E,B17016_002M,B17016_003E,B17016_003M,B17016_004E,B17016_004M,B17016_005E,B17016_005M,B17016_006E,B17016_006M,B17016_007E,B17016_007M,B17016_008E,B17016_008M,B17016_009E,B17016_009M,B17016_010E,B17016_010M,B17016_011E,B17016_011M,B17016_012E,B17016_012M,B17016_013E,B17016_013M,B17016_014E,B17016_014M,B17016_015E,B17016_015M,B17016_016E,B17016_016M,B17016_017E,B17016_017M,B17016_018E,B17016_018M,B17016_019E,B17016_019M,B17016_020E,B17016_020M,B17016_021E,B17016_021M,B17016_022E,B17016_022M,B17016_023E,B17016_023M,B17016_024E,B17016_024M,B17016_025E,B17016_025M,B17016_026E,B17016_026M,B17016_027E,B17016_027M,B17016_028E,B17016_028M,B17016_029E,B17016_029M,B17016_030E,B17016_030M,B17016_031E,B17016_031M,B17016_032E,B17016_032M,B17016_033E,B17016_033M,B17016_034E,B17016_034M,B17016_035E,B17016_035M,B17016_036E,B17016_036M,B17016_037E,B17016_037M,B17016_038E,B17016_038M,B17016_039E,B17016_039M,B17016_040E,B17016_040M,B17016_041E,B17016_041M,B17016_042E,B17016_042MA,B17016_043MA,B17016_043EA,B17016_044MA,B17016_044EA,B17016_045EA,B17016_045MA,B17016_046EA,B17016_046MA,B17016_047EA,B17016_047MA,NAME,B17016_001EA,B17016_001MA,B17016_002EA,B17016_002MA,B17016_003MA,B17016_003EA,B17016_004EA,B17016_004MA,B17016_005MA,B17016_005EA,B17016_006EA,B17016_006MA,B17016_007EA,B17016_007MA,B17016_008MA,B17016_008EA,B17016_009MA,B17016_009EA,B17016_010MA,B17016_010EA,B17016_011MA,B17016_011EA,B17016_012EA,B17016_012MA,B17016_013EA,B17016_013MA,B17016_014MA,B17016_014EA,B17016_015MA,B17016_015EA,B17016_016MA,B17016_016EA,B17016_017MA,B17016_017EA,B17016_018EA,B17016_018MA,B17016_019MA,B17016_019EA,B17016_020MA,B17016_020EA,B17016_021MA,B17016_021EA,B17016_022MA,B17016_022EA,B17016_023EA,B17016_023MA,B17016_024EA,B17016_024MA,B17016_025MA,B17016_025EA,B17016_026MA,B17016_026EA,B17016_027MA,B17016_027EA,B17016_028EA,B17016_028MA,B17016_029EA,B17016_029MA,B17016_030MA,B17016_030EA,B17016_031MA,B17016_031EA,B17016_032MA,B17016_032EA,B17016_033EA,B17016_033MA,B17016_034EA,B17016_034MA,B17016_035MA,B17016_035EA,B17016_036MA,B17016_036EA,B17016_037MA,B17016_037EA,B17016_038EA,B17016_038MA,B17016_039EA,B17016_039MA,B17016_040EA,B17016_040MA,B17016_041MA,B17016_041EA,B17016_042EA,state
2365,22830,2622,352551,9633,215801,8598,63367,5147,73383,4142,0400000US13,2389803,16893,346652,9098,121547,6217,24784,3021,1697,755,4632,1415,18455,2504,33329,3196,3358,1035,9736,1670,20235,2526,63434,4607,11331,2148,9435,1623,42668,3654,225105,7304,36259,3715,8742,2060,13027,2125,14490,2221,188846,7307,31411,2987,69902,4835,87533,4823,2043151,17369,1551157,16529,884459,13554,483606,12336,180950,7093,219903,7135,259404,7947,138748,6190,59014,3676,61642,3379,407294,9215,136729,6463,46641,3225,223924,6245,491994,12413,139443,6317,95649,5411,20964,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
1027,4292,853,43251,3488,21134,2240,7599,1337,14518,1502,0400000US15,311203,4720,22104,2150,9098,1355,1197,595,257,274,148,156,792,372,2774,850,422,481,915,469,1437,466,5127,1032,853,517,674,430,3600,804,13006,1611,3288,984,422,260,1121,540,1745,776,9718,1365,623,361,3953,973,5142,1023,289099,4979,226092,4799,128869,4547,69033,3750,29939,2494,29897,2507,40831,2873,20873,2110,11852,1346,8106,1187,56392,3231,17199,2133,5486,847,33707,2311,63007,3971,19756,2125,12130,1558,3334,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
755,3315,821,40264,3045,20465,2340,9574,1780,10225,1631,0400000US16,410061,6537,42621,3508,20025,2292,3078,999,57,96,886,401,2135,858,7517,1454,574,346,4142,1127,2801,938,9430,1697,2211,722,2370,820,4849,1412,22596,2518,5339,1542,1885,1073,1637,716,1817,854,17257,2240,2926,1202,7201,1350,7130,1499,367440,6439,304897,6146,152345,6047,73943,4720,41779,3201,36623,3314,68149,4763,35660,3722,19003,2087,13486,1674,84403,4166,27466,2867,8978,1340,47959,2507,62543,3665,22279,2407,16248,2268,2716,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
3156,31966,2440,423262,9450,237269,6822,88133,4636,97860,4816,0400000US17,3128369,16865,336300,8797,114178,5289,23830,2571,876,364,4349,1182,18605,2163,34268,3002,2558,780,11776,1555,19934,2212,56080,3720,8562,1645,11887,1559,35631,2766,222122,6513,38918,3214,8784,1617,15633,2409,14501,2040,183204,6098,27246,3089,73779,4060,82179,4607,2792069,16410,2185466,17613,1216487,13049,656514,10006,291282,6984,268691,7301,430201,8656,227813,7012,109058,5353,93330,4450,538778,8982,172366,6395,70811,3872,295601,5500,606603,11632,183341,5881,117365,5614,34010,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1553,14709,1574,199778,7560,117649,5898,37333,3591,44796,2690,0400000US18,1647941,12570,195995,6985,66213,4206,13752,1816,652,332,2536,890,10564,1570,18489,2252,1582,720,8076,1618,8831,1412,33972,3479,5899,1283,8070,1646,20003,2365,129782,5588,22096,2619,3942,1278,8142,1320,10012,1895,107686,5389,15467,1949,45490,3387,46729,3626,1451946,12889,1159991,12181,643003,9895,343865,8177,155999,6339,143139,5479,219987,6604,117237,4755,50656,2995,52094,3327,297001,6240,89936,4538,36236,3016,170829,4811,291955,8414,92177,4459,64642,3653,12826,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
1296,5214,913,79422,3915,49136,2967,13907,1449,16379,1889,0400000US19,793749,7802,64097,3688,20459,1867,3862,902,148,123,735,372,2979,810,5301,1063,671,418,1599,501,3031,760,11296,1246,1376,418,2565,664,7355,999,43638,2894,7450,1116,1422,520,3111,752,2917,885,36188,2512,7332,1217,17442,2196,11414,1642,729652,7685,604648,7402,349240,6451,221232,4953,78391,4120,49617,2681,117543,3616,66051,3192,25691,1834,25801,1687,137865,4153,35045,2546,18138,1724,84682,3115,125004,5124,45582,3176,33282,2833,7086,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
1380,5236,992,81616,4034,50752,3576,14364,1933,16500,1487,0400000US20,735596,7493,70937,4162,27616,2432,6137,1210,654,384,1539,586,3944,1092,8143,1289,1208,414,2949,752,3986,1060,13336,1815,1486,438,3642,958,8208,1208,43321,3714,5850,1173,1367,560,2505,721,1978,592,37471,3467,6552,1634,17903,2307,13016,1854,664659,8088,540549,7886,317837,6910,183879,5658,71504,4222,62454,3163,102491,3953,57130,3279,23769,1823,21592,1892,120221,4257,40681,3209,15227,1674,64313,2425,124110,4907,42494,3195,30219,2667,7039,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
1846,17084,2050,135402,5445,73209,4293,21821,2479,40372,3127,0400000US21,1139596,10907,165026,5325,61993,3848,8595,1334,622,352,2029,705,5944,1002,14656,1731,1577,504,5352,1263,7727,1242,38742,2903,5016,1101,6231,1187,27495,2185,103033,4941,19050,2336,3064,894,6571,1257,9415,1570,83983,4090,11805,1956,29212,3026,42966,3305,974570,10050,771347,8914,402532,7543,226195,5872,87251,3807,89086,4504,137975,5507,69562,3748,32802,2577,35611,2447,230840,5328,68607,3587,27030,2286,135203,4247,203223,6723,67821,4643,41414,3966,9323,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
1708,15921,1816,177395,5878,107495,4436,25415,2485,44485,2891,0400000US22,1129437,12269,173115,5872,41715,3054,6130,1176,948,531,1156,484,4026,1008,9953,1788,1754,902,3427,956,4772,1051,25632,2442,3643,1012,3820,1085,18169,2117,131400,5137,15795,2153,2382,880,6102,1192,7311,1666,115605,5018,23892,2928,38624,2974,53089,3697,956322,11629,703917,11605,393518,9001,225754,6876,70195,4099,97569,4681,117832,5296,60960,3901,25644,2627,31228,2604,192567,5133,69528,3503,22381,1749,100658,4050,252405,6243,75010,5466,48586,4571,10503,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
983,3645,1045,34780,2749,19376,2000,7402,1366,8002,1025,0400000US23,338609,6098,32477,2997,12059,1586,1309,528,103,100,477,331,729,409,3491,934,378,335,762,274,2351,788,7259,1110,642,415,1750,606,4867,919,20418,2331,3813,997,232,123,1610,590,1971,774,16605,2265,1943,893,7007,1295,7655,1592,306132,5500,251454,5302,121093,4064,70896,3168,29656,2137,20541,1986,57751,3334,28275,2492,15479,1527,13997,1418,72610,3367,19514,2208,12666,1642,40430,2078,54678,4018,19898,2682,12464,2096,3789,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
1571,12794,1356,258708,8759,166077,6720,47132,3427,45499,3282,0400000US24,1443796,11656,101919,5268,32094,2988,6745,1446,366,346,1390,514,4989,1352,7985,1274,687,353,3262,869,4036,905,17364,1861,1726,590,2638,849,13000,1827,69825,5054,9266,1712,1363,702,3736,1117,4167,1091,60559,4564,6666,1310,24886,2878,29007,3386,1341877,11651,990300,11818,597062,9317,349538,9078,125979,5382,121545,5531,178978,6091,96664,4457,42742,3245,39572,2376,214260,6038,73432,4296,27644,2252,113184,3694,351577,9490,92869,4626,66975,4200,13100,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
2212,17795,2144,239830,8209,122559,6278,61565,3998,55706,3599,0400000US25,1620802,11444,138598,5776,40585,3237,5856,1288,568,458,1477,574,3811,1213,11532,1707,1027,563,3817,1047,6688,1308,23197,2590,2250,824,5587,1172,15360,2119,98013,4546,15332,2021,1988,765,5466,1257,7878,1363,82681,4038,5689,1507,33432,3356,43560,3072,1482204,12602,1149664,14236,633842,12504,345344,9557,172399,6285,116099,4663,252288,7246,136557,5170,64439,3770,51292,2742,263534,6542,81677,4368,40199,2631,141658,4151,332540,9472,92710,4654,56717,4095,18198,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
2627,31861,2390,323952,7380,169526,5266,65888,3805,88538,4534,0400000US26,2484558,15688,305163,6944,97528,4237,17930,2011,1413,630,3378,825,13139,1593,29816,2681,2390,639,10439,1523,16987,1846,49782,2458,5252,1013,11690,1456,32840,2010,207635,5408,36204,3048,5075,1286,14782,2057,16347,1737,171431,5223,22017,2460,72376,4015,77038,3887,2179395,15204,1712295,14909,859044,10926,433782,8666,228363,5700,196899,5497,343945,7002,172217,5131,85859,3853,85869,3680,509306,7513,121865,4820,64319,3328,323122,5710,467100,8862,143148,5530,87766,4796,23521,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
