GEO_ID,C24010A_001E,C24010A_001M,C24010A_002E,C24010A_002M,C24010A_003E,C24010A_003M,C24010A_004E,C24010A_004M,C24010A_005E,C24010A_005M,C24010A_006E,C24010A_006M,C24010A_007E,C24010A_007M,C24010A_008E,C24010A_008M,C24010A_009E,C24010A_009M,C24010A_010E,C24010A_010M,C24010A_011E,C24010A_011M,C24010A_012E,C24010A_012M,C24010A_013E,C24010A_013M,NAME,C24010A_001MA,C24010A_001EA,C24010A_002EA,C24010A_002MA,C24010A_003EA,C24010A_003MA,C24010A_004MA,C24010A_004EA,C24010A_005EA,C24010A_005MA,C24010A_006MA,C24010A_006EA,C24010A_007EA,C24010A_007MA,C24010A_008EA,C24010A_008MA,C24010A_009EA,C24010A_009MA,C24010A_010MA,C24010A_010EA,C24010A_011EA,C24010A_011MA,C24010A_012MA,C24010A_012EA,C24010A_013EA,C24010A_013MA,state
0400000US44,426173,6586,217186,4582,76593,4217,34641,3018,41341,3216,28690,2175,35921,3338,208987,4556,89770,3780,41268,2954,66018,3839,1732,830,10199,1783,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1464111,12033,779799,7675,251301,7733,117670,6605,138252,5805,135869,6180,136707,6137,684312,8725,284976,6481,127482,6377,230084,6011,5132,1213,36638,3370,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,390872,4546,204128,3414,67115,3069,23321,2384,34546,2371,42206,3021,36940,2650,186744,2874,68257,3264,42356,2876,65125,3283,1578,425,9428,1345,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,2290325,16498,1220174,11189,384853,8950,155251,6958,219008,7883,206161,6850,254901,7899,1070151,10373,426923,9412,205060,7518,358086,10137,7811,1377,72271,5127,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,9147634,31830,5045215,22447,1632834,19765,660299,15934,865160,16983,1028661,20131,858261,18611,4102419,22686,1625958,19756,866155,14936,1403377,17956,36041,3734,170888,6500,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,1178420,11853,658749,6408,248588,6239,77013,4043,133016,5007,95842,4733,104290,4750,519671,8600,203594,5990,98770,4205,184858,6258,2505,690,29944,3096,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,310236,4219,157038,3202,54711,2665,23520,2486,23461,2058,29721,2183,25625,2088,153198,2846,68926,2693,30982,2135,44895,2712,1566,535,6829,1106,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2848203,17720,1513476,11647,633274,10626,198727,7631,241754,7869,250963,8874,188758,6321,1334727,10578,646571,9756,239835,7980,389905,8142,8678,1579,49738,3544,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,2579758,16677,1374906,10240,515076,10617,170284,8097,231866,8460,228472,8434,229208,7377,1204852,13028,509114,9078,248591,7460,377045,8966,14633,2023,55469,4279,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,714214,9285,383501,6529,98241,4355,52690,3840,61204,4029,87053,4954,84313,4235,330713,6149,123102,4305,79481,4210,111202,4513,2234,712,14694,2054,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,2578019,14350,1336057,8764,414405,7040,160348,5324,217191,6135,213387,5572,330726,6960,1241962,8737,479240,8353,258632,6727,394589,7832,13201,1525,96300,3813,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,272458,3894,148969,3231,43314,2599,16535,1744,20523,2474,42218,3031,26379,2264,123489,2930,50023,2750,31198,2657,36319,2857,1868,647,4081,1065,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,745021,12697,393019,8492,106577,5618,86069,4647,79389,4742,62804,4367,58180,3953,352002,9078,146871,6841,58695,4178,125647,5632,2645,837,18144,2706,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
