GEO_ID,B28009I_001E,B28009I_001M,B28009I_002E,B28009I_002M,B28009I_003E,B28009I_003M,B28009I_004E,B28009I_004M,B28009I_005E,B28009I_005M,B28009I_006E,B28009I_006M,NAME,B28009I_001EA,B28009I_001MA,B28009I_002EA,B28009I_002MA,B28009I_003MA,B28009I_003EA,B28009I_004EA,B28009I_004MA,B28009I_005EA,B28009I_005MA,B28009I_006EA,B28009I_006MA,state
0400000US15,132301,1193,124494,2483,2353,1933,111996,4200,10145,2992,7807,2295,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,185992,652,154860,4870,2992,1621,123420,6350,28448,5285,31132,4875,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2091441,1889,1814930,15526,19418,3998,1523204,20895,272308,17119,276511,15381,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,413321,2066,344593,7845,3839,1971,269678,10396,71076,7968,68728,7649,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,162256,2090,136643,4920,2218,1063,107577,6140,26848,3946,25613,4323,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,315077,1322,259394,7221,1923,1113,210530,8969,46941,6945,55683,7474,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,138634,3114,116211,4405,1075,1363,92025,5579,23111,4410,22423,4543,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,210250,2869,166366,5562,541,407,135512,6791,30313,5742,43884,4937,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,17362,678,14932,1303,21,45,12005,1664,2906,1118,2430,1151,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,526290,996,471084,7985,3591,1867,406691,9728,60802,8443,55206,7907,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,680722,1923,588302,9359,3786,2634,517390,13183,67126,9218,92420,8900,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,456165,1421,396406,7553,2822,1451,318254,9625,75330,6882,59759,7565,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,261081,1296,239741,3843,1786,1236,199077,7047,38878,6249,21340,3699,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,74219,3257,61082,4167,363,594,47004,2889,13715,3981,13137,2683,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,222967,2183,188636,5608,1494,718,151608,7602,35534,5764,34331,4985,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,31812,783,26577,1765,110,154,24321,1746,2146,971,5235,1639,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,180567,1017,142242,6241,2263,1405,112776,7509,27203,6068,38325,6138,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,759638,1008,660005,10002,5626,2162,540213,14157,114166,12076,99633,10099,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,40308,779,35422,2181,0,185,32496,2349,2926,1392,4886,1994,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1659629,1985,1468823,13096,10568,3112,1290316,17228,167939,13732,190806,12940,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,964272,1239,743409,13176,6491,2132,602734,14585,134184,9114,220863,13247,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3521174,3981,3056881,22225,11833,2784,2679293,28410,365755,20326,464293,22530,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,853260,2269,705411,12028,9056,3060,543451,17202,152904,12966,147849,11492,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,16692,930,14295,1261,55,73,11018,1700,3222,1420,2397,891,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,372279,2704,320417,7182,3344,2103,259570,8949,57503,6515,51862,6731,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,360390,1123,296716,6028,2802,1371,233129,7220,60785,4994,63674,6049,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,474477,1184,409588,10453,3098,2141,330793,12629,75697,11090,64889,10088,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,778305,2133,661856,11789,6716,2815,537632,14209,117508,12167,116449,11583,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,139625,633,116991,4968,156,258,101021,5764,15814,4359,22634,4905,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,243630,1617,196701,6812,1433,1272,154336,8991,40932,6093,46929,6668,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,25652,746,22798,1323,137,181,16826,1888,5835,1800,2854,938,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,305476,1926,248372,6964,1376,1085,178412,8991,68584,8346,57104,6715,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,9987288,5208,8107835,45148,85693,10758,6396727,58812,1625415,41959,1879453,45160,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,380707,1083,343883,5305,5547,3539,277314,9723,61022,9263,36824,5423,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,9002,369,8394,471,88,145,7658,608,648,352,608,312,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,691506,3024,622510,10406,4542,2537,534145,13779,83823,9748,68996,10179,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,818261,1700,693617,10488,7105,2555,560418,12733,126094,9429,124644,10437,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,23854,1597,20547,1630,78,131,15615,1345,4854,1277,3307,1015,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,355990,1707,296763,6568,3618,2121,240005,8192,53140,6502,59227,6510,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,49971,1228,45457,1824,714,477,35235,3254,9508,2982,4514,1492,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3543408,3613,2295230,25020,53724,7743,1750743,26602,490763,19156,1248178,25769,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
