GEO_ID,C08007_001E,C08007_001M,C08007_002E,C08007_002M,C08007_003E,C08007_003M,C08007_004E,C08007_004M,C08007_005E,C08007_005M,C08007_006E,C08007_006M,C08007_007E,C08007_007M,C08007_008E,C08007_008M,C08007_009E,C08007_009M,NAME,C08007_001MA,C08007_001EA,C08007_002MA,C08007_002EA,C08007_003EA,C08007_003MA,C08007_004MA,C08007_004EA,C08007_005MA,C08007_005EA,C08007_006MA,C08007_006EA,C08007_007EA,C08007_007MA,C08007_008EA,C08007_008MA,C08007_009MA,C08007_009EA,state
0400000US40,1703568,10166,1271688,9623,431880,6962,929509,7972,668779,6957,260730,5825,774059,7413,602909,7373,171150,4662,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,1745718,13311,1344829,15378,400889,9517,918376,8926,685910,11011,232466,6403,827342,10165,658919,10260,168423,6645,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,5867765,21065,4169627,23493,1698138,17467,3045676,14589,2076754,15611,968922,13070,2822089,16192,2092873,16686,729216,11183,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,505361,7913,315962,8662,189399,6336,263687,5230,155360,5646,108327,4363,241674,5478,160602,5601,81072,3820,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2064944,15572,1476888,15109,588056,11792,1067409,9871,744089,10653,323320,7532,997535,11207,732799,10775,264736,7890,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,427117,4859,338847,5310,88270,3101,224990,3867,176227,4120,48763,2705,202127,3087,162620,2941,39507,1877,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,2837090,18828,2028660,19115,808430,13523,1494523,11419,1028213,12465,466310,10706,1342567,13275,1000447,13453,342120,7895,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,11939372,33410,9235190,36915,2704182,26432,6554033,23010,4901887,26254,1652146,20179,5385339,26049,4333303,25296,1052036,16924,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,1307408,11591,1082100,12611,225308,7217,737249,6859,587385,8598,149864,5506,570159,9244,494715,7876,75444,4079,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,314505,4380,244675,4831,69830,2919,159977,3237,121106,3256,38871,2030,154528,2926,123569,3172,30959,1865,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,4018400,20536,1953176,21714,2065224,18801,2121830,14095,974750,14791,1147080,13080,1896570,13468,978426,13361,918144,13485,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,3204510,17884,2603090,21051,601420,13086,1728778,10293,1359867,11866,368911,9867,1475732,15453,1243223,16281,232509,6303,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,738848,9897,503353,9155,235495,6580,397001,6750,252665,7105,144336,4832,341847,6486,250688,6252,91159,3685,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,2822070,15380,2035915,15816,786155,11506,1459601,9689,1023714,9733,435887,8376,1362469,9813,1012201,10050,350268,6907,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,290906,4133,267360,4424,23546,2244,158875,3421,140981,3414,17894,1863,132031,3372,126379,3505,5652,1085,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,1026188,11409,479446,10260,546742,10176,543534,8503,248880,8340,294654,7003,482654,8738,230566,6757,252088,8731,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
