GEO_ID,C24010I_001E,C24010I_001M,C24010I_002E,C24010I_002M,C24010I_003E,C24010I_003M,C24010I_004E,C24010I_004M,C24010I_005E,C24010I_005M,C24010I_006E,C24010I_006M,C24010I_007E,C24010I_007M,C24010I_008E,C24010I_008M,C24010I_009E,C24010I_009M,C24010I_010E,C24010I_010M,C24010I_011E,C24010I_011M,C24010I_012E,C24010I_012M,C24010I_013E,C24010I_013M,NAME,C24010I_001EA,C24010I_001MA,C24010I_002EA,C24010I_002MA,C24010I_003MA,C24010I_003EA,C24010I_004EA,C24010I_004MA,C24010I_005EA,C24010I_005MA,C24010I_006MA,C24010I_006EA,C24010I_007EA,C24010I_007MA,C24010I_008EA,C24010I_008MA,C24010I_009MA,C24010I_009EA,C24010I_010EA,C24010I_010MA,C24010I_011EA,C24010I_011MA,C24010I_012MA,C24010I_012EA,C24010I_013EA,C24010I_013MA,state
0400000US24,271083,4481,159492,3340,28713,3453,36206,3636,20053,2637,54706,4049,19814,2649,111591,2849,29507,2742,43872,3144,31266,2758,1424,709,5522,1453,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,293361,6957,150971,4321,26935,2707,47657,3841,23943,2898,19316,2503,33120,3059,142390,4307,39092,2926,50401,3540,37832,3131,816,473,14249,1796,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,182260,4309,99096,3284,18324,2013,20646,2238,12650,2134,21635,2247,25841,2600,83164,3047,19421,2180,23486,2284,24896,2344,2033,733,13328,1883,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,117322,2804,70222,2147,10081,1716,21824,2203,8922,1386,12463,1857,16932,1732,47100,2306,11883,1641,15521,1886,11702,1627,399,220,7595,1352,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,30775,2252,19007,2041,2109,852,3305,1226,1055,579,6406,1584,6132,1707,11768,1580,3300,1018,2879,888,3914,1192,349,283,1326,690,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,93883,2968,54168,2110,10899,1748,12985,1928,7398,1247,10183,1971,12703,2035,39715,2184,11196,1823,12047,1834,11580,1899,544,295,4348,1201,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,12350,1235,6190,1138,1265,693,1108,589,1141,574,1766,566,910,391,6160,1106,1430,722,1809,546,2193,707,140,167,588,432,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,77767,2808,45490,1648,4303,967,6998,1962,4612,1077,13580,2185,15997,1942,32277,2190,5243,1033,9082,1592,7675,1067,1511,695,8766,1255,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,332804,6275,190515,3520,21951,2176,68021,3943,25836,2993,43728,3477,30979,3222,142289,4926,23972,3280,59793,3472,46144,3749,1957,999,10423,1952,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,19360,1455,11005,1265,2707,818,2642,756,1598,735,987,615,3071,1201,8355,1231,2973,819,2082,745,2612,768,196,292,492,359,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,780181,8633,430971,5726,71123,4892,99867,5593,65027,4588,78537,4410,116417,5228,349210,6812,87990,4583,110392,5735,99748,4762,2602,1039,48478,3853,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,394681,7446,208823,4980,42707,3831,44095,4011,29694,3032,56792,4136,35535,3023,185858,5086,56598,3644,58346,4307,58403,3639,1701,682,10810,1866,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1549375,15377,849430,10488,144278,6412,253979,9252,138161,6409,161582,8088,151430,6477,699945,9891,185698,7313,253005,7281,205900,8196,5680,1568,49662,4259,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,356031,7307,225076,5017,27430,3074,50629,5073,18219,2566,85252,5261,43546,4451,130955,5571,24998,2590,46278,3678,32820,3653,3820,1371,23039,3002,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,7283,1296,5285,1111,278,299,635,535,690,419,2188,936,1494,612,1998,652,871,489,602,329,458,245,3,8,64,65,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,155010,4385,86886,2987,16770,2087,20084,2576,9953,1819,18098,2800,21981,2304,68124,3454,16992,2122,20973,2091,21660,2189,844,536,7655,1370,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,153797,3133,94215,2126,9463,1367,18864,1759,8378,1356,35666,2640,21844,2026,59582,2514,10252,1235,24755,2366,17272,2020,1406,544,5897,998,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,210113,4327,121568,3012,17757,3099,28720,3910,13477,2233,33582,3747,28032,2909,88545,3066,18744,2306,31074,3261,20894,2629,7010,1555,10823,1938,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,299578,5053,166247,4469,27729,2662,35224,3709,21541,2795,33057,4498,48696,3444,133331,4048,31307,2986,39035,3320,41678,3257,1661,721,19650,2437,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,59017,2831,34254,2131,4675,1013,10686,2436,3793,1162,5391,1364,9709,1831,24763,1919,5384,1270,8158,1609,6731,1331,373,357,4117,1135,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,111711,3654,73016,2599,9556,1151,18875,3015,6759,1830,24657,2863,13169,2105,38695,3122,7382,1209,14858,2139,10410,1973,1475,685,4570,1147,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,12219,1342,6801,836,934,372,1514,661,1220,524,1524,613,1609,608,5418,919,1205,595,1614,665,1455,528,0,155,1144,505,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,131699,3755,88782,2077,10534,1919,17862,2082,10270,1605,35395,2874,14721,2277,42917,3225,9324,1575,13769,2182,10487,1860,1085,660,8252,1980,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,4292301,19573,2470691,12963,394712,10840,452994,10874,356544,11618,735627,14540,530814,13633,1821610,16165,464374,11899,602277,12148,612653,13575,20238,3142,122068,6220,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,165672,5112,94742,2831,12319,1683,20497,2846,14325,2297,25609,2492,21992,2575,70930,3939,16516,2249,23692,2451,20119,2597,449,324,10154,2044,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,4771,551,2327,489,520,331,464,501,440,257,693,254,210,170,2444,592,917,336,671,304,565,387,261,322,30,56,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,349445,6297,202970,4350,41638,3636,46263,4784,23125,3086,66336,4789,25608,2694,146475,4463,41041,2858,57113,3678,37512,3316,2072,798,8737,1702,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,342728,6210,199342,3612,30460,3586,44381,4125,22942,3335,60192,5275,41367,3528,143386,5272,32517,2754,45800,4077,36047,3330,12245,1849,16777,2530,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,9638,1665,6134,1315,821,364,2259,920,1394,648,858,415,802,379,3504,801,659,282,1372,454,1123,529,34,57,316,287,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,150396,3240,87889,2596,10990,1575,21071,2437,9228,1549,15523,2180,31077,2460,62507,2239,13834,1870,18740,1911,16558,1846,3652,1125,9723,1462,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,23020,1707,12625,1094,1466,557,2069,732,3180,931,3515,879,2395,707,10395,1420,2712,867,3754,1130,3252,909,303,293,374,269,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,1053966,11162,554060,8022,136878,6225,128097,5550,108068,5649,97047,5001,83970,4922,499906,8837,200800,7158,94497,4833,176092,6724,3734,1001,24783,3181,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
