GEO_ID,C02003_001E,C02003_001M,C02003_002E,C02003_002M,C02003_003E,C02003_003M,C02003_004E,C02003_004M,C02003_005E,C02003_005M,C02003_006E,C02003_006M,C02003_007E,C02003_007M,C02003_008E,C02003_008M,C02003_009E,C02003_009M,C02003_010E,C02003_010M,C02003_011E,C02003_011M,C02003_012E,C02003_012M,C02003_013E,C02003_013M,C02003_014E,C02003_014M,C02003_015E,C02003_015M,C02003_016E,C02003_016M,C02003_017E,C02003_017M,C02003_018E,C02003_018M,C02003_019E,C02003_019M,NAME,C02003_001EA,C02003_001MA,C02003_002EA,C02003_002MA,C02003_003EA,C02003_003MA,C02003_004MA,C02003_004EA,C02003_005MA,C02003_005EA,C02003_006MA,C02003_006EA,C02003_007MA,C02003_007EA,C02003_008MA,C02003_008EA,C02003_009MA,C02003_009EA,C02003_010MA,C02003_010EA,C02003_011MA,C02003_011EA,C02003_012MA,C02003_012EA,C02003_013MA,C02003_013EA,C02003_014EA,C02003_014MA,C02003_015EA,C02003_015MA,C02003_016MA,C02003_016EA,C02003_017MA,C02003_017EA,C02003_018MA,C02003_018EA,C02003_019MA,C02003_019EA,state
0400000US35,2085287,-555555555,2015885,6099,1569585,12950,41733,2692,189392,3936,28274,2559,1622,673,185279,11623,69402,6099,19789,3405,49613,4600,65445,5910,8973,2199,19128,3084,10193,2059,3792,1538,23359,3646,3900,1294,57,88,New Mexico,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,19651127,-555555555,19086433,20017,12695280,28799,3079582,16847,73231,5463,1554980,9200,9962,3006,1673398,31480,564694,20017,152684,11512,412010,15514,509237,17642,158344,10245,57121,5649,94317,7372,18877,4957,180578,12334,49074,7395,6383,3447,New York,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,9848060,-555555555,9611916,12145,6811501,15914,2121712,11398,112630,4384,238502,4452,6661,2706,320910,15939,236144,12145,30834,4694,205310,11572,212294,11187,77308,7256,40727,3986,31449,3765,19319,3656,43491,5012,23157,3767,693,427,North Carolina,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,723393,-555555555,708606,2126,643478,1336,10827,1906,40214,1927,9096,1178,371,373,4620,1346,14787,2126,1035,594,13752,2093,13409,2243,3545,1421,6749,1706,1754,751,27,60,1334,663,1378,1008,0,149,North Dakota,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,11570808,-555555555,11274849,10226,9541274,8254,1405148,9823,18273,2560,212547,5049,3118,911,94489,7026,295959,10226,20704,2847,275255,9499,273629,10470,146419,8613,47820,3696,38187,3424,11711,2257,29492,3417,20786,3428,1544,711,Ohio,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3850568,-555555555,3563123,8038,2815708,6474,277016,4245,289909,6109,71433,3415,5486,2060,103571,6608,287445,8038,14428,2185,273017,7985,272074,7677,31547,3530,187966,6126,14035,2386,19474,2961,19052,2499,14980,2281,391,326,Oklahoma,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3930065,-555555555,3764285,7176,3370391,10721,72655,3250,43202,4171,152271,4385,14038,1868,111728,9291,165780,7176,16255,3206,149525,6020,150342,6362,20616,2907,58749,3588,41033,3961,3198,1536,26746,3748,12511,2797,2927,1694,Oregon,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12773801,-555555555,12510693,10534,10427694,14989,1409021,11876,22855,3241,384783,4798,2241,960,264099,15494,263108,10534,33505,5217,229603,9090,241847,10723,112133,7916,36101,2458,38791,3197,11536,3074,43286,5693,20247,3377,1014,523,Pennsylvania,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1051511,-555555555,1024609,4271,846102,6637,67541,5169,4136,1050,33240,2461,531,465,73059,7004,26902,4271,4605,1491,22297,3681,25385,4028,9033,2371,2505,992,5445,1898,1766,815,6636,2229,1492,854,25,48,Rhode Island,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4774839,-555555555,4684091,6428,3209900,7245,1320131,5887,14297,1656,65048,3121,3137,1451,71578,6948,90748,6428,11619,2786,79129,6324,85704,6350,34365,4295,17472,2152,13638,2231,5157,1869,15072,3171,4715,1332,329,297,South Carolina,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,844877,-555555555,820340,3567,719112,2326,13001,1955,71981,2924,9105,1240,420,367,6721,1634,24537,3567,1537,784,23000,3416,23586,3516,3071,1176,14901,2624,1997,709,692,401,2925,1069,830,492,121,186,South Dakota,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6495978,-555555555,6372755,7384,5060129,9986,1102455,6795,16101,2792,98746,3220,2990,1282,92334,8959,123223,7384,11375,2273,111848,7283,115903,7170,48851,5257,30624,2835,17349,2949,4249,1703,14830,2363,7032,2065,288,265,Tennessee,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,26448193,-555555555,25801309,18699,19840367,43056,3142866,13424,118862,10020,1089907,10307,19892,2713,1589415,40495,646884,18699,140449,8800,506435,18440,602613,19252,160324,11189,141122,9633,106206,7828,24448,4072,170513,9901,39577,5792,4694,1834,Texas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2900872,-555555555,2830402,5314,2534534,11587,32754,2655,33325,2553,62671,2745,27513,1830,139605,11002,70470,5314,14984,2658,55486,4512,64880,5427,10199,2108,10906,2007,19593,2582,130,156,24052,3495,5342,2643,248,244,Utah,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,626630,-555555555,613406,1405,595148,621,7184,983,1579,501,7640,1131,222,251,1633,532,13224,1405,595,309,12629,1415,12606,1488,3345,995,4852,766,3339,1110,176,182,894,370,586,513,32,64,Vermont,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,8260405,-555555555,7991894,10993,5726886,11488,1592426,9897,19615,2763,484497,6079,5808,1398,162662,11034,268511,10993,23708,4051,244803,10483,246077,10036,88015,6893,31844,3386,74406,5689,11932,2641,39880,5102,21331,3873,1103,652,Virginia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,6971406,-555555555,6628247,13390,5439705,17362,259337,8144,95193,5306,536093,8185,42335,2971,255584,14344,343159,13390,27877,4375,315282,12514,307440,12367,58116,5863,83823,5540,99748,6677,6898,2048,58855,6340,33159,4352,2560,1264,Washington,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1854304,-555555555,1820385,2912,1737683,2487,62788,2989,1842,704,10455,1525,1547,953,6070,2079,33919,2912,794,356,33125,2845,32440,2842,12886,1969,12519,1989,3651,1219,1958,878,1426,652,1479,804,0,190,West Virginia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5742713,-555555555,5621540,6418,4972949,8691,357899,4965,49653,2263,142590,3212,1512,606,96937,8304,121173,6418,12706,2806,108467,5944,110615,6310,40670,4341,30120,2527,20028,2543,3446,1009,16351,3029,10011,2447,547,397,Wisconsin,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,582658,-555555555,566676,2509,528303,4118,7435,1382,13675,1946,5729,1326,185,169,11349,2817,15982,2509,2349,913,13633,2272,15184,2338,2699,1360,7945,1842,1589,1241,50,51,2901,987,768,690,30,60,Wyoming,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3615086,-555555555,3291243,14520,2596735,21672,280579,12353,15942,3524,10998,2381,86,97,386903,14606,323843,14520,22485,3153,301358,14761,314358,14550,285616,14813,3044,1170,398,307,1893,1263,23407,3248,9179,2736,306,346,Puerto Rico,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
