B05003F_001E,B05003F_001M,B05003F_002E,B05003F_002M,B05003F_003E,B05003F_003M,B05003F_004E,B05003F_004M,B05003F_005E,B05003F_005M,B05003F_006E,B05003F_006M,B05003F_007E,B05003F_007M,B05003F_008E,B05003F_008M,B05003F_009E,B05003F_009M,B05003F_010E,B05003F_010M,B05003F_011E,B05003F_011M,B05003F_012E,B05003F_012M,B05003F_013E,B05003F_013M,B05003F_014E,B05003F_014M,B05003F_015E,B05003F_015M,B05003F_016E,B05003F_016M,B05003F_017E,B05003F_017M,B05003F_018E,B05003F_018M,B05003F_019E,B05003F_019M,B05003F_020E,B05003F_020M,B05003F_021E,B05003F_021M,B05003F_022E,B05003F_022M,B05003F_023E,B05003F_023M,B05003F_001M,B05003F_001EA,B05003F_001MA,B05003F_002M,B05003F_002EA,B05003F_002MA,B05003F_003M,B05003F_003EA,B05003F_003MA,B05003F_004M,B05003F_004EA,B05003F_004MA,B05003F_005M,B05003F_005EA,B05003F_005MA,B05003F_006M,B05003F_006EA,B05003F_006MA,B05003F_007M,B05003F_007EA,B05003F_007MA,B05003F_008M,B05003F_008EA,B05003F_008MA,B05003F_009M,B05003F_009EA,B05003F_009MA,B05003F_010M,B05003F_010EA,B05003F_010MA,B05003F_011M,B05003F_011EA,B05003F_011MA,B05003F_012M,B05003F_012EA,B05003F_012MA,B05003F_013M,B05003F_013EA,B05003F_013MA,B05003F_014M,B05003F_014EA,B05003F_014MA,B05003F_015M,B05003F_015EA,B05003F_015MA,B05003F_016M,B05003F_016EA,B05003F_016MA,B05003F_017M,B05003F_017EA,B05003F_017MA,B05003F_018M,B05003F_018EA,B05003F_018MA,B05003F_019M,B05003F_019EA,B05003F_019MA,B05003F_020M,B05003F_020EA,B05003F_020MA,B05003F_021M,B05003F_021EA,B05003F_021MA,B05003F_022M,B05003F_022EA,B05003F_022MA,B05003F_023M,B05003F_023EA,B05003F_023MA,state
2450,826,766,325,212,173,212,173,0,172,0,172,0,172,554,261,421,242,133,103,45,58,88,83,1684,646,415,229,304,198,111,115,0,172,111,115,1269,580,820,451,449,395,352,379,97,90,826,null,null,325,null,null,173,null,null,173,null,null,172,null,null,172,null,null,172,null,null,261,null,null,242,null,null,103,null,null,58,null,null,83,null,null,646,null,null,229,null,null,198,null,null,115,null,null,172,null,null,115,null,null,580,null,null,451,null,null,395,null,null,379,null,null,90,null,null,23
230326,12625,123574,7037,38414,3449,32772,3517,5642,1519,452,390,5190,1510,85160,5534,16146,2238,69014,5085,15690,2740,53324,5491,106752,6730,32088,3091,27675,3184,4413,1508,607,727,3806,1296,74664,4938,17703,2300,56961,4245,16139,2216,40822,3366,12625,null,null,7037,null,null,3449,null,null,3517,null,null,1519,null,null,390,null,null,1510,null,null,5534,null,null,2238,null,null,5085,null,null,2740,null,null,5491,null,null,6730,null,null,3091,null,null,3184,null,null,1508,null,null,727,null,null,1296,null,null,4938,null,null,2300,null,null,4245,null,null,2216,null,null,3366,null,null,24
285412,15924,144511,7339,39730,3937,35087,3772,4643,1529,802,461,3841,1539,104781,5684,50315,4026,54466,3971,19820,2492,34646,3525,140901,10021,39560,4549,34655,4228,4905,1360,1465,747,3440,1224,101341,6508,46299,4168,55042,5020,24384,3136,30658,3916,15924,null,null,7339,null,null,3937,null,null,3772,null,null,1529,null,null,461,null,null,1539,null,null,5684,null,null,4026,null,null,3971,null,null,2492,null,null,3525,null,null,10021,null,null,4549,null,null,4228,null,null,1360,null,null,747,null,null,1224,null,null,6508,null,null,4168,null,null,5020,null,null,3136,null,null,3916,null,null,25
118621,8994,62354,4883,20891,2641,19379,2499,1512,673,649,344,863,586,41463,3424,19644,2157,21819,2781,6291,1456,15528,2419,56267,4967,18808,2853,17573,2761,1235,592,220,181,1015,554,37459,2971,21264,2167,16195,2109,5863,1524,10332,1531,8994,null,null,4883,null,null,2641,null,null,2499,null,null,673,null,null,344,null,null,586,null,null,3424,null,null,2157,null,null,2781,null,null,1456,null,null,2419,null,null,4967,null,null,2853,null,null,2761,null,null,592,null,null,181,null,null,554,null,null,2971,null,null,2167,null,null,2109,null,null,1524,null,null,1531,null,null,26
111852,6950,59692,3542,19868,2246,17110,2179,2758,962,978,708,1780,836,39824,2385,11761,1530,28063,2423,5437,1349,22626,2206,52160,4641,20437,2782,18970,2673,1467,590,502,328,965,549,31723,2721,9552,1493,22171,2404,4662,996,17509,2194,6950,null,null,3542,null,null,2246,null,null,2179,null,null,962,null,null,708,null,null,836,null,null,2385,null,null,1530,null,null,2423,null,null,1349,null,null,2206,null,null,4641,null,null,2782,null,null,2673,null,null,590,null,null,328,null,null,549,null,null,2721,null,null,1493,null,null,2404,null,null,996,null,null,2194,null,null,27
30583,4250,17534,2593,6331,1609,5951,1540,380,286,0,213,380,286,11203,1962,5411,1186,5792,1554,1511,686,4281,1440,13049,2169,4553,1411,4387,1434,166,173,81,100,85,124,8496,1772,3610,1221,4886,1325,1081,668,3805,1126,4250,null,null,2593,null,null,1609,null,null,1540,null,null,286,null,null,213,null,null,286,null,null,1962,null,null,1186,null,null,1554,null,null,686,null,null,1440,null,null,2169,null,null,1411,null,null,1434,null,null,173,null,null,100,null,null,124,null,null,1772,null,null,1221,null,null,1325,null,null,668,null,null,1126,null,null,28
71031,6374,35550,3454,13751,1863,13036,1869,715,401,199,231,516,349,21799,2630,10037,1927,11762,1734,2842,846,8920,1641,35481,4043,14320,2343,12810,2233,1510,702,591,451,919,497,21161,2280,10328,1618,10833,1497,3113,1005,7720,1208,6374,null,null,3454,null,null,1863,null,null,1869,null,null,401,null,null,231,null,null,349,null,null,2630,null,null,1927,null,null,1734,null,null,846,null,null,1641,null,null,4043,null,null,2343,null,null,2233,null,null,702,null,null,451,null,null,497,null,null,2280,null,null,1618,null,null,1497,null,null,1005,null,null,1208,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
38348,5844,18159,2900,5851,1479,5331,1410,520,285,50,57,470,278,12308,2021,4822,1093,7486,1449,1885,600,5601,1334,20189,3675,8248,2209,7801,2166,447,278,54,67,393,259,11941,1962,4648,1159,7293,1616,1786,592,5507,1400,5844,null,null,2900,null,null,1479,null,null,1410,null,null,285,null,null,57,null,null,278,null,null,2021,null,null,1093,null,null,1449,null,null,600,null,null,1334,null,null,3675,null,null,2209,null,null,2166,null,null,278,null,null,67,null,null,259,null,null,1962,null,null,1159,null,null,1616,null,null,592,null,null,1400,null,null,31
274293,14398,140604,8055,42048,3824,39299,3707,2749,1021,142,141,2607,1006,98556,5989,36409,2730,62147,5205,19942,2798,42205,4412,133689,7826,42952,4355,39512,4192,3440,1252,173,201,3267,1238,90737,5294,32378,2780,58359,4174,17416,2190,40943,4182,14398,null,null,8055,null,null,3824,null,null,3707,null,null,1021,null,null,141,null,null,1006,null,null,5989,null,null,2730,null,null,5205,null,null,2798,null,null,4412,null,null,7826,null,null,4355,null,null,4192,null,null,1252,null,null,201,null,null,1238,null,null,5294,null,null,2780,null,null,4174,null,null,2190,null,null,4182,null,null,32
8057,2144,4447,1238,1161,551,1019,496,142,235,0,187,142,235,3286,1006,2311,824,975,482,437,399,538,360,3610,1344,990,618,894,614,96,158,96,158,0,187,2620,908,1410,708,1210,564,882,426,328,290,2144,null,null,1238,null,null,551,null,null,496,null,null,235,null,null,187,null,null,235,null,null,1006,null,null,824,null,null,482,null,null,399,null,null,360,null,null,1344,null,null,618,null,null,614,null,null,158,null,null,158,null,null,187,null,null,908,null,null,708,null,null,564,null,null,426,null,null,290,null,null,33
543530,20839,276374,10621,81611,4993,73857,5127,7754,1544,1654,694,6100,1371,194763,8418,72089,4883,122674,7675,46146,4603,76528,6524,267156,12457,79385,5444,70516,5403,8869,1892,1218,611,7651,1872,187771,8790,68572,4535,119199,7861,51155,3917,68044,5965,20839,null,null,10621,null,null,4993,null,null,5127,null,null,1544,null,null,694,null,null,1371,null,null,8418,null,null,4883,null,null,7675,null,null,4603,null,null,6524,null,null,12457,null,null,5444,null,null,5403,null,null,1892,null,null,611,null,null,1872,null,null,8790,null,null,4535,null,null,7861,null,null,3917,null,null,5965,null,null,34
206526,11007,103530,6846,25802,3478,25215,3411,587,571,0,195,587,571,77728,5010,59825,4389,17903,2590,4774,1285,13129,2070,102996,6292,24900,3414,24399,3402,501,436,0,195,501,436,78096,4287,62045,4158,16051,2576,6147,1447,9904,1879,11007,null,null,6846,null,null,3478,null,null,3411,null,null,571,null,null,195,null,null,571,null,null,5010,null,null,4389,null,null,2590,null,null,1285,null,null,2070,null,null,6292,null,null,3414,null,null,3402,null,null,436,null,null,195,null,null,436,null,null,4287,null,null,4158,null,null,2576,null,null,1447,null,null,1879,null,null,35
1767107,34876,874838,20041,252546,9769,225448,9058,27098,3742,4912,1360,22186,3618,622292,14040,250091,9247,372201,12141,137592,8009,234609,11482,892269,18697,236246,8025,211711,8454,24535,3251,5214,1313,19321,2810,656023,13867,273304,10364,382719,11616,180794,9085,201925,10166,34876,null,null,20041,null,null,9769,null,null,9058,null,null,3742,null,null,1360,null,null,3618,null,null,14040,null,null,9247,null,null,12141,null,null,8009,null,null,11482,null,null,18697,null,null,8025,null,null,8454,null,null,3251,null,null,1313,null,null,2810,null,null,13867,null,null,10364,null,null,11616,null,null,9085,null,null,10166,null,null,36
304293,14221,157946,8082,56290,4278,49184,4023,7106,1867,872,547,6234,1677,101656,5745,27853,3128,73803,5381,14361,2908,59442,5090,146347,8565,55676,4427,50753,3887,4923,1578,1012,760,3911,1215,90671,5109,26958,2826,63713,4150,14322,2331,49391,3819,14221,null,null,8082,null,null,4278,null,null,4023,null,null,1867,null,null,547,null,null,1677,null,null,5745,null,null,3128,null,null,5381,null,null,2908,null,null,5090,null,null,8565,null,null,4427,null,null,3887,null,null,1578,null,null,760,null,null,1215,null,null,5109,null,null,2826,null,null,4150,null,null,2331,null,null,3819,null,null,37
5114,2109,2665,1124,736,585,736,585,0,155,0,155,0,155,1929,671,1201,448,728,608,59,46,669,597,2449,1135,1012,653,984,663,28,41,19,36,9,22,1437,611,856,361,581,464,54,46,527,454,2109,null,null,1124,null,null,585,null,null,585,null,null,155,null,null,155,null,null,155,null,null,671,null,null,448,null,null,608,null,null,46,null,null,597,null,null,1135,null,null,653,null,null,663,null,null,41,null,null,36,null,null,22,null,null,611,null,null,361,null,null,464,null,null,46,null,null,454,null,null,38
109073,9109,55429,5238,17521,2658,16218,2460,1303,491,198,194,1105,490,37908,3702,22354,2767,15554,2565,3400,918,12154,2254,53644,5288,19758,2777,18581,2666,1177,509,473,300,704,447,33886,3286,22165,2082,11721,2408,4303,1071,7418,1943,9109,null,null,5238,null,null,2658,null,null,2460,null,null,491,null,null,194,null,null,490,null,null,3702,null,null,2767,null,null,2565,null,null,918,null,null,2254,null,null,5288,null,null,2777,null,null,2666,null,null,509,null,null,300,null,null,447,null,null,3286,null,null,2082,null,null,2408,null,null,1071,null,null,1943,null,null,39
107778,7573,58353,4390,18319,2420,16818,2329,1501,604,335,266,1166,544,40034,3092,15901,2161,24133,2149,5134,1177,18999,1942,49425,4052,17651,2205,16674,2161,977,417,155,124,822,383,31774,2573,13162,1819,18612,1904,4043,934,14569,1724,7573,null,null,4390,null,null,2420,null,null,2329,null,null,604,null,null,266,null,null,544,null,null,3092,null,null,2161,null,null,2149,null,null,1177,null,null,1942,null,null,4052,null,null,2205,null,null,2161,null,null,417,null,null,124,null,null,383,null,null,2573,null,null,1819,null,null,1904,null,null,934,null,null,1724,null,null,40
120779,10539,63233,5437,18602,3145,18364,3101,238,229,0,201,238,229,44631,3887,18132,2444,26499,3341,7647,1654,18852,2998,57546,6097,19278,3393,18731,3223,547,448,0,201,547,448,38268,3755,15368,1962,22900,2888,7734,1451,15166,2829,10539,null,null,5437,null,null,3145,null,null,3101,null,null,229,null,null,201,null,null,229,null,null,3887,null,null,2444,null,null,3341,null,null,1654,null,null,2998,null,null,6097,null,null,3393,null,null,3223,null,null,448,null,null,201,null,null,448,null,null,3755,null,null,1962,null,null,2888,null,null,1451,null,null,2829,null,null,41
262396,14058,132362,8607,43629,4728,40376,4572,3253,1485,1854,1205,1399,736,88733,5561,58681,4778,30052,3387,10059,1897,19993,2827,130034,7184,42679,3998,39589,3930,3090,1146,1309,769,1781,749,87355,4573,58472,3581,28883,3615,11800,2255,17083,2525,14058,null,null,8607,null,null,4728,null,null,4572,null,null,1485,null,null,1205,null,null,736,null,null,5561,null,null,4778,null,null,3387,null,null,1897,null,null,2827,null,null,7184,null,null,3998,null,null,3930,null,null,1146,null,null,769,null,null,749,null,null,4573,null,null,3581,null,null,3615,null,null,2255,null,null,2525,null,null,42
62292,6199,32239,4013,9898,1882,8914,1876,984,718,0,208,984,718,22341,2748,9830,1839,12511,2306,4288,1217,8223,1887,30053,3104,8511,1757,7871,1711,640,471,169,207,471,380,21542,2051,9906,1773,11636,1676,5405,1256,6231,1247,6199,null,null,4013,null,null,1882,null,null,1876,null,null,718,null,null,208,null,null,718,null,null,2748,null,null,1839,null,null,2306,null,null,1217,null,null,1887,null,null,3104,null,null,1757,null,null,1711,null,null,471,null,null,207,null,null,380,null,null,2051,null,null,1773,null,null,1676,null,null,1256,null,null,1247,null,null,44
77386,9581,40361,5494,13394,2697,11954,2569,1440,1136,100,173,1340,1110,26967,3815,10671,2351,16296,3087,2580,991,13716,2960,37025,5108,12098,2720,11121,2611,977,703,205,254,772,611,24927,3238,9746,1975,15181,2450,3519,990,11662,2212,9581,null,null,5494,null,null,2697,null,null,2569,null,null,1136,null,null,173,null,null,1110,null,null,3815,null,null,2351,null,null,3087,null,null,991,null,null,2960,null,null,5108,null,null,2720,null,null,2611,null,null,703,null,null,254,null,null,611,null,null,3238,null,null,1975,null,null,2450,null,null,990,null,null,2212,null,null,45
5894,1933,3361,1123,937,585,893,563,44,75,27,60,17,38,2424,804,625,279,1799,714,521,392,1278,669,2533,1001,1179,711,1152,700,27,64,0,157,27,64,1354,496,427,249,927,426,55,80,872,432,1933,null,null,1123,null,null,585,null,null,563,null,null,75,null,null,60,null,null,38,null,null,804,null,null,279,null,null,714,null,null,392,null,null,669,null,null,1001,null,null,711,null,null,700,null,null,64,null,null,157,null,null,64,null,null,496,null,null,249,null,null,426,null,null,80,null,null,432,null,null,46
79206,7466,43000,4444,16691,2572,14062,2264,2629,916,350,329,2279,879,26309,2771,7524,1504,18785,2302,3149,934,15636,2290,36206,4095,15887,2530,14536,2555,1351,669,105,176,1246,630,20319,2344,6629,1420,13690,1734,2743,703,10947,1705,7466,null,null,4444,null,null,2572,null,null,2264,null,null,916,null,null,329,null,null,879,null,null,2771,null,null,1504,null,null,2302,null,null,934,null,null,2290,null,null,4095,null,null,2530,null,null,2555,null,null,669,null,null,176,null,null,630,null,null,2344,null,null,1420,null,null,1734,null,null,703,null,null,1705,null,null,47
1622087,41067,837527,24040,246590,12089,227234,11944,19356,3093,1689,698,17667,2908,590937,16104,276511,10636,314426,10986,79263,5477,235163,10208,784560,22121,240057,10497,224217,10398,15840,2906,823,548,15017,2845,544503,15089,265868,11301,278635,10987,78690,4855,199945,9136,41067,null,null,24040,null,null,12089,null,null,11944,null,null,3093,null,null,698,null,null,2908,null,null,16104,null,null,10636,null,null,10986,null,null,5477,null,null,10208,null,null,22121,null,null,10497,null,null,10398,null,null,2906,null,null,548,null,null,2845,null,null,15089,null,null,11301,null,null,10987,null,null,4855,null,null,9136,null,null,48
164775,9993,85533,5436,29225,3406,27283,3149,1942,768,158,189,1784,762,56308,3454,19775,2883,36533,3412,6856,1814,29677,2657,79242,5630,29900,3093,28514,3037,1386,868,53,87,1333,872,49342,3212,16302,2137,33040,2964,6498,1659,26542,2891,9993,null,null,5436,null,null,3406,null,null,3149,null,null,768,null,null,189,null,null,762,null,null,3454,null,null,2883,null,null,3412,null,null,1814,null,null,2657,null,null,5630,null,null,3093,null,null,3037,null,null,868,null,null,87,null,null,872,null,null,3212,null,null,2137,null,null,2964,null,null,1659,null,null,2891,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
228627,12459,124637,7375,35362,3738,29006,3536,6356,2338,400,367,5956,2293,89275,5268,21341,2677,67934,5269,16962,2302,50972,5464,103990,6932,32451,3657,28600,3368,3851,1374,914,577,2937,1118,71539,4532,20884,2296,50655,4015,18131,2972,32524,3591,12459,null,null,7375,null,null,3738,null,null,3536,null,null,2338,null,null,367,null,null,2293,null,null,5268,null,null,2677,null,null,5269,null,null,2302,null,null,5464,null,null,6932,null,null,3657,null,null,3368,null,null,1374,null,null,577,null,null,1118,null,null,4532,null,null,2296,null,null,4015,null,null,2972,null,null,3591,null,null,51
350251,13940,186284,8661,61653,5152,53578,4868,8075,1935,567,459,7508,1851,124631,5566,45499,4076,79132,4951,16357,2620,62775,4576,163967,7813,55510,4579,50899,4317,4611,1376,496,436,4115,1233,108457,5327,37669,3301,70788,4238,13846,2460,56942,4517,13940,null,null,8661,null,null,5152,null,null,4868,null,null,1935,null,null,459,null,null,1851,null,null,5566,null,null,4076,null,null,4951,null,null,2620,null,null,4576,null,null,7813,null,null,4579,null,null,4317,null,null,1376,null,null,436,null,null,1233,null,null,5327,null,null,3301,null,null,4238,null,null,2460,null,null,4517,null,null,53
7494,1784,4097,1052,788,484,751,477,37,63,37,63,0,193,3309,886,1874,770,1435,512,249,167,1186,464,3397,1127,771,502,746,504,25,45,25,45,0,193,2626,842,1420,746,1206,520,341,254,865,444,1784,null,null,1052,null,null,484,null,null,477,null,null,63,null,null,63,null,null,193,null,null,886,null,null,770,null,null,512,null,null,167,null,null,464,null,null,1127,null,null,502,null,null,504,null,null,45,null,null,45,null,null,193,null,null,842,null,null,746,null,null,520,null,null,254,null,null,444,null,null,54
125644,7705,64495,4147,21877,2526,19999,2575,1878,768,254,193,1624,758,42618,2692,19554,2162,23064,2603,5735,1365,17329,2332,61149,4612,22770,2810,21095,2607,1675,780,150,128,1525,753,38379,2762,20107,2224,18272,2247,4560,922,13712,1949,7705,null,null,4147,null,null,2526,null,null,2575,null,null,768,null,null,193,null,null,758,null,null,2692,null,null,2162,null,null,2603,null,null,1365,null,null,2332,null,null,4612,null,null,2810,null,null,2607,null,null,780,null,null,128,null,null,753,null,null,2762,null,null,2224,null,null,2247,null,null,922,null,null,1949,null,null,55
5782,1948,3334,1349,711,637,711,637,0,197,0,197,0,197,2623,1102,1579,627,1044,830,0,197,1044,830,2448,963,838,591,637,378,201,264,15,30,186,261,1610,557,809,343,801,443,381,360,420,309,1948,null,null,1349,null,null,637,null,null,637,null,null,197,null,null,197,null,null,197,null,null,1102,null,null,627,null,null,830,null,null,197,null,null,830,null,null,963,null,null,591,null,null,378,null,null,264,null,null,30,null,null,261,null,null,557,null,null,343,null,null,443,null,null,360,null,null,309,null,null,56
575686,19645,280225,11818,71363,5513,71145,5531,218,213,0,222,218,213,208862,9080,200357,9000,8505,1797,3384,936,5121,1322,295461,10315,61540,4406,61181,4354,359,296,83,138,276,240,233921,8261,222687,8193,11234,1797,4429,965,6805,1466,19645,null,null,11818,null,null,5513,null,null,5531,null,null,213,null,null,222,null,null,213,null,null,9080,null,null,9000,null,null,1797,null,null,936,null,null,1322,null,null,10315,null,null,4406,null,null,4354,null,null,296,null,null,138,null,null,240,null,null,8261,null,null,8193,null,null,1797,null,null,965,null,null,1466,null,null,72
