B25116_001E,B25116_001M,B25116_002E,B25116_002M,B25116_003E,B25116_003M,B25116_004E,B25116_004M,B25116_005E,B25116_005M,B25116_006E,B25116_006M,B25116_007E,B25116_007M,B25116_008E,B25116_008M,B25116_009E,B25116_009M,B25116_010E,B25116_010M,B25116_011E,B25116_011M,B25116_012E,B25116_012M,B25116_013E,B25116_013M,B25116_014E,B25116_014M,B25116_015E,B25116_015M,B25116_016E,B25116_016M,B25116_017E,B25116_017M,B25116_018E,B25116_018M,B25116_019E,B25116_019M,B25116_020E,B25116_020M,B25116_021E,B25116_021M,B25116_022E,B25116_022M,B25116_023E,B25116_023M,B25116_001M,B25116_001EA,B25116_001MA,B25116_002M,B25116_002EA,B25116_002MA,B25116_003M,B25116_003EA,B25116_003MA,B25116_004M,B25116_004EA,B25116_004MA,B25116_005M,B25116_005EA,B25116_005MA,B25116_006M,B25116_006EA,B25116_006MA,B25116_007M,B25116_007EA,B25116_007MA,B25116_008M,B25116_008EA,B25116_008MA,B25116_009M,B25116_009EA,B25116_009MA,B25116_010M,B25116_010EA,B25116_010MA,B25116_011M,B25116_011EA,B25116_011MA,B25116_012M,B25116_012EA,B25116_012MA,B25116_013M,B25116_013EA,B25116_013MA,B25116_014M,B25116_014EA,B25116_014MA,B25116_015M,B25116_015EA,B25116_015MA,B25116_016M,B25116_016EA,B25116_016MA,B25116_017M,B25116_017EA,B25116_017MA,B25116_018M,B25116_018EA,B25116_018MA,B25116_019M,B25116_019EA,B25116_019MA,B25116_020M,B25116_020EA,B25116_020MA,B25116_021M,B25116_021EA,B25116_021MA,B25116_022M,B25116_022EA,B25116_022MA,B25116_023M,B25116_023EA,B25116_023MA,state
520643,5191,365021,5402,73376,3269,21128,2151,17212,2057,18056,1676,16980,1866,291645,5408,145617,4066,75693,2663,47626,1577,22709,1562,155622,5342,63816,4037,29583,2825,11422,1561,7704,1287,15107,2290,91806,4575,71065,3812,13238,1801,4259,989,3244,730,5191,null,null,5402,null,null,3269,null,null,2151,null,null,2057,null,null,1676,null,null,1866,null,null,5408,null,null,4066,null,null,2663,null,null,1577,null,null,1562,null,null,5342,null,null,4037,null,null,2825,null,null,1561,null,null,1287,null,null,2290,null,null,4575,null,null,3812,null,null,1801,null,null,989,null,null,730,null,null,33
3194519,10274,2019927,14176,428051,9829,106116,4936,99093,4298,99949,4555,122893,4113,1591876,14290,810977,11571,385710,6207,251772,5004,143417,3805,1174592,13481,413278,8804,202399,7190,78912,5062,62357,3960,69610,3900,761314,12139,593178,9781,95517,5197,48641,3289,23978,2327,10274,null,null,14176,null,null,9829,null,null,4936,null,null,4298,null,null,4555,null,null,4113,null,null,14290,null,null,11571,null,null,6207,null,null,5004,null,null,3805,null,null,13481,null,null,8804,null,null,7190,null,null,5062,null,null,3960,null,null,3900,null,null,12139,null,null,9781,null,null,5197,null,null,3289,null,null,2327,null,null,34
758364,6296,511099,7819,136868,5260,34317,2784,33521,2918,35323,2971,33707,2458,374231,7364,178429,5370,87614,3512,67670,2902,40518,2232,247265,6812,93544,4319,51186,3345,17301,2360,13161,1790,11896,1738,153721,6441,129091,5180,13576,1817,7511,1718,3543,939,6296,null,null,7819,null,null,5260,null,null,2784,null,null,2918,null,null,2971,null,null,2458,null,null,7364,null,null,5370,null,null,3512,null,null,2902,null,null,2232,null,null,6812,null,null,4319,null,null,3345,null,null,2360,null,null,1790,null,null,1738,null,null,6441,null,null,5180,null,null,1817,null,null,1718,null,null,939,null,null,35
7209054,17665,3841170,19390,898771,12838,244849,6887,205070,6308,209959,5754,238893,6158,2942399,18188,1447081,14510,729206,8738,486949,7357,279163,5264,3367884,19924,1259969,16381,622962,11352,243537,7880,182201,6633,211269,6694,2107915,19083,1591313,17355,280423,7808,146128,5727,90051,4871,17665,null,null,19390,null,null,12838,null,null,6887,null,null,6308,null,null,5754,null,null,6158,null,null,18188,null,null,14510,null,null,8738,null,null,7357,null,null,5264,null,null,19924,null,null,16381,null,null,11352,null,null,7880,null,null,6633,null,null,6694,null,null,19083,null,null,17355,null,null,7808,null,null,5727,null,null,4871,null,null,36
3882423,16063,2493388,15093,602432,10116,172716,7244,145718,6134,140315,5095,143683,4738,1890956,15971,969210,11450,427365,7224,326129,5697,168252,4081,1389035,15637,505857,10766,290538,8872,92254,4822,64508,3436,58557,3722,883178,15945,736160,13851,83271,4311,42087,3014,21660,1901,16063,null,null,15093,null,null,10116,null,null,7244,null,null,6134,null,null,5095,null,null,4738,null,null,15971,null,null,11450,null,null,7224,null,null,5697,null,null,4081,null,null,15637,null,null,10766,null,null,8872,null,null,4822,null,null,3436,null,null,3722,null,null,15945,null,null,13851,null,null,4311,null,null,3014,null,null,1901,null,null,37
315134,3356,199208,3641,46800,3041,16125,1974,10232,1260,9343,1042,11100,1122,152408,3627,85735,2813,34032,1530,20335,1005,12306,892,115926,4095,55105,3796,33268,3192,8255,1486,5120,1348,8462,1258,60821,4031,52610,3565,4250,947,2181,626,1780,483,3356,null,null,3641,null,null,3041,null,null,1974,null,null,1260,null,null,1042,null,null,1122,null,null,3627,null,null,2813,null,null,1530,null,null,1005,null,null,892,null,null,4095,null,null,3796,null,null,3192,null,null,1486,null,null,1348,null,null,1258,null,null,4031,null,null,3565,null,null,947,null,null,626,null,null,483,null,null,38
4624669,14929,3022809,18037,730972,12758,201141,6368,178030,5913,165705,5871,186096,5421,2291837,16924,1166239,11625,537327,6561,374274,5422,213997,4675,1601860,14736,671455,12466,354738,9733,138706,5318,88794,4885,89217,4228,930405,12829,762166,11860,97023,5000,44496,3351,26720,2466,14929,null,null,18037,null,null,12758,null,null,6368,null,null,5913,null,null,5871,null,null,5421,null,null,16924,null,null,11625,null,null,6561,null,null,5422,null,null,4675,null,null,14736,null,null,12466,null,null,9733,null,null,5318,null,null,4885,null,null,4228,null,null,12829,null,null,11860,null,null,5000,null,null,3351,null,null,2466,null,null,39
1469342,7193,953552,7733,229933,5242,63750,3319,54808,2848,52810,2655,58565,2461,723619,6812,377628,5796,159339,3048,119535,2385,67117,1985,515790,7857,191072,5527,106784,4397,35983,2648,24996,1840,23309,1637,324718,6612,273994,5965,29944,1866,13689,1243,7091,1193,7193,null,null,7733,null,null,5242,null,null,3319,null,null,2848,null,null,2655,null,null,2461,null,null,6812,null,null,5796,null,null,3048,null,null,2385,null,null,1985,null,null,7857,null,null,5527,null,null,4397,null,null,2648,null,null,1840,null,null,1637,null,null,6612,null,null,5965,null,null,1866,null,null,1243,null,null,1193,null,null,40
1571678,6691,969579,10315,212211,7344,47395,4000,53359,3645,58781,3283,52676,2917,757368,10152,373438,7106,174164,4542,140154,3907,69612,3305,602099,10324,218777,7048,109201,4956,39111,3495,32328,2975,38137,2652,383322,10842,313636,8962,36763,3696,20193,2119,12730,1761,6691,null,null,10315,null,null,7344,null,null,4000,null,null,3645,null,null,3283,null,null,2917,null,null,10152,null,null,7106,null,null,4542,null,null,3907,null,null,3305,null,null,10324,null,null,7048,null,null,4956,null,null,3495,null,null,2975,null,null,2652,null,null,10842,null,null,8962,null,null,3696,null,null,2119,null,null,1761,null,null,41
4937771,13721,3382514,17950,804993,10420,220390,7133,195180,6219,183753,4692,205670,5058,2577521,16234,1282814,12646,629127,7656,428258,5888,237322,4446,1555257,14774,674898,11983,331285,8751,122081,5327,94741,4166,126791,4885,880359,11798,702713,10709,89271,4421,48385,3145,39990,2585,13721,null,null,17950,null,null,10420,null,null,7133,null,null,6219,null,null,4692,null,null,5058,null,null,16234,null,null,12646,null,null,7656,null,null,5888,null,null,4446,null,null,14774,null,null,11983,null,null,8751,null,null,5327,null,null,4166,null,null,4885,null,null,11798,null,null,10709,null,null,4421,null,null,3145,null,null,2585,null,null,42
