B13012_001E,B13012_001M,B13012_002E,B13012_002M,B13012_003E,B13012_003M,B13012_004E,B13012_004M,B13012_005E,B13012_005M,B13012_006E,B13012_006M,B13012_007E,B13012_007M,B13012_008E,B13012_008M,B13012_009E,B13012_009M,B13012_010E,B13012_010M,B13012_011E,B13012_011M,B13012_012E,B13012_012M,B13012_013E,B13012_013M,B13012_014E,B13012_014M,B13012_015E,B13012_015M,B13012_001M,B13012_001EA,B13012_001MA,B13012_002M,B13012_002EA,B13012_002MA,B13012_003M,B13012_003EA,B13012_003MA,B13012_004M,B13012_004EA,B13012_004MA,B13012_005M,B13012_005EA,B13012_005MA,B13012_006M,B13012_006EA,B13012_006MA,B13012_007M,B13012_007EA,B13012_007MA,B13012_008M,B13012_008EA,B13012_008MA,B13012_009M,B13012_009EA,B13012_009MA,B13012_010M,B13012_010EA,B13012_010MA,B13012_011M,B13012_011EA,B13012_011MA,B13012_012M,B13012_012EA,B13012_012MA,B13012_013M,B13012_013EA,B13012_013MA,B13012_014M,B13012_014EA,B13012_014MA,B13012_015M,B13012_015EA,B13012_015MA,state
4702635,8855,225390,7843,150557,6628,96477,4847,54080,4213,74833,4798,49822,3805,25011,2820,4477245,11173,1737433,17136,1290110,15201,447323,9760,2739812,18264,1928952,17539,810860,14153,8855,null,null,7843,null,null,6628,null,null,4847,null,null,4213,null,null,4798,null,null,3805,null,null,2820,null,null,11173,null,null,17136,null,null,15201,null,null,9760,null,null,18264,null,null,17539,null,null,14153,null,null,36
2371850,6818,119727,5443,78278,4538,48941,4045,29337,2798,41449,3922,27214,3412,14235,2218,2252123,8814,1010825,13304,748909,12255,261916,7902,1241298,16162,882623,15638,358675,11717,6818,null,null,5443,null,null,4538,null,null,4045,null,null,2798,null,null,3922,null,null,3412,null,null,2218,null,null,8814,null,null,13304,null,null,12255,null,null,7902,null,null,16162,null,null,15638,null,null,11717,null,null,37
165954,1929,11609,1848,8728,1631,6392,1375,2336,887,2881,1022,2134,973,747,385,154345,2584,72964,3488,59804,3107,13160,1704,81381,4159,64679,4190,16702,2066,1929,null,null,1848,null,null,1631,null,null,1375,null,null,887,null,null,1022,null,null,973,null,null,385,null,null,2584,null,null,3488,null,null,3107,null,null,1704,null,null,4159,null,null,4190,null,null,2066,null,null,38
2574143,5608,144872,4757,84178,4139,55746,3392,28432,2943,60694,3650,40897,3542,19797,2475,2429271,7821,1037015,12235,803256,10765,233759,8057,1392256,12246,1030599,11487,361657,8494,5608,null,null,4757,null,null,4139,null,null,3392,null,null,2943,null,null,3650,null,null,3542,null,null,2475,null,null,7821,null,null,12235,null,null,10765,null,null,8057,null,null,12246,null,null,11487,null,null,8494,null,null,39
879922,3104,53821,3268,34496,2691,19042,1938,15454,1651,19325,1675,11542,1476,7783,1332,826101,4333,393359,5848,285955,5183,107404,3998,432742,5953,297883,5252,134859,5026,3104,null,null,3268,null,null,2691,null,null,1938,null,null,1651,null,null,1675,null,null,1476,null,null,1332,null,null,4333,null,null,5848,null,null,5183,null,null,3998,null,null,5953,null,null,5252,null,null,5026,null,null,40
933907,3696,42136,3199,30041,2777,17628,2315,12413,1871,12095,1985,6560,1439,5535,1304,891771,4370,397833,7149,295329,6590,102504,6119,493938,7616,360869,7711,133069,5740,3696,null,null,3199,null,null,2777,null,null,2315,null,null,1871,null,null,1985,null,null,1439,null,null,1304,null,null,4370,null,null,7149,null,null,6590,null,null,6119,null,null,7616,null,null,7711,null,null,5740,null,null,41
2815609,6046,144711,5691,90300,4066,61777,3599,28523,2283,54411,4107,35918,3845,18493,2426,2670898,8419,1114078,12321,867978,11308,246100,8549,1556820,14132,1119525,12108,437295,10414,6046,null,null,5691,null,null,4066,null,null,3599,null,null,2283,null,null,4107,null,null,3845,null,null,2426,null,null,8419,null,null,12321,null,null,11308,null,null,8549,null,null,14132,null,null,12108,null,null,10414,null,null,42
247507,1790,11348,1978,5719,1465,4076,1123,1643,1020,5629,1490,3649,1185,1980,776,236159,2830,86874,4151,68245,3852,18629,2309,149285,4253,107790,4325,41495,3338,1790,null,null,1978,null,null,1465,null,null,1123,null,null,1020,null,null,1490,null,null,1185,null,null,776,null,null,2830,null,null,4151,null,null,3852,null,null,2309,null,null,4253,null,null,4325,null,null,3338,null,null,44
1131261,4568,59895,3929,35552,3002,22093,2436,13459,2146,24343,2636,16898,2197,7445,1658,1071366,6246,453641,8341,342882,7588,110759,5049,617725,8826,445953,8823,171772,7024,4568,null,null,3929,null,null,3002,null,null,2436,null,null,2146,null,null,2636,null,null,2197,null,null,1658,null,null,6246,null,null,8341,null,null,7588,null,null,5049,null,null,8826,null,null,8823,null,null,7024,null,null,45
181189,2088,13050,1417,9204,1218,6567,983,2637,730,3846,921,2089,634,1757,714,168139,2476,78338,3057,66240,3232,12098,1404,89801,3678,67607,3529,22194,2152,2088,null,null,1417,null,null,1218,null,null,983,null,null,730,null,null,921,null,null,634,null,null,714,null,null,2476,null,null,3057,null,null,3232,null,null,1404,null,null,3678,null,null,3529,null,null,2152,null,null,46
1524550,5061,77859,4838,47709,3759,27087,2769,20622,2372,30150,3258,19215,2767,10935,2448,1446691,7162,659953,11227,476172,9888,183781,6830,786738,11938,551685,10662,235053,9090,5061,null,null,4838,null,null,3759,null,null,2769,null,null,2372,null,null,3258,null,null,2767,null,null,2448,null,null,7162,null,null,11227,null,null,9888,null,null,6830,null,null,11938,null,null,10662,null,null,9090,null,null,47
6692146,10106,401880,14386,264869,9427,143363,7377,121506,6647,137011,8369,81661,7149,55350,4936,6290266,16525,2955200,22494,2042380,22734,912820,14334,3335066,25356,2305124,26019,1029942,18964,10106,null,null,14386,null,null,9427,null,null,7377,null,null,6647,null,null,8369,null,null,7149,null,null,4936,null,null,16525,null,null,22494,null,null,22734,null,null,14334,null,null,25356,null,null,26019,null,null,18964,null,null,48
733165,3510,52956,4044,45313,3136,21214,2580,24099,2396,7643,1686,6004,1701,1639,538,680209,5474,354714,6621,244350,6796,110364,4650,325495,7841,245131,8250,80364,4521,3510,null,null,4044,null,null,3136,null,null,2580,null,null,2396,null,null,1686,null,null,1701,null,null,538,null,null,5474,null,null,6621,null,null,6796,null,null,4650,null,null,7841,null,null,8250,null,null,4521,null,null,49
135599,1382,5712,1053,3584,868,2872,761,712,338,2128,610,1537,566,591,323,129887,1841,53449,2201,44193,2191,9256,1326,76438,2396,57162,2688,19276,1805,1382,null,null,1053,null,null,868,null,null,761,null,null,338,null,null,610,null,null,566,null,null,323,null,null,1841,null,null,2201,null,null,2191,null,null,1326,null,null,2396,null,null,2688,null,null,1805,null,null,50
1977534,6515,99992,5679,71956,4937,47177,3499,24779,3054,28036,2964,19311,2340,8725,1689,1877542,8397,857361,12960,652915,12842,204446,6720,1020181,13585,744139,13193,276042,9213,6515,null,null,5679,null,null,4937,null,null,3499,null,null,3054,null,null,2964,null,null,2340,null,null,1689,null,null,8397,null,null,12960,null,null,12842,null,null,6720,null,null,13585,null,null,13193,null,null,9213,null,null,51
