C15002A_001E,C15002A_001M,C15002A_002E,C15002A_002M,C15002A_003E,C15002A_003M,C15002A_004E,C15002A_004M,C15002A_005E,C15002A_005M,C15002A_006E,C15002A_006M,C15002A_007E,C15002A_007M,C15002A_008E,C15002A_008M,C15002A_009E,C15002A_009M,C15002A_010E,C15002A_010M,C15002A_011E,C15002A_011M,C15002A_001M,C15002A_001EA,C15002A_001MA,C15002A_002M,C15002A_002EA,C15002A_002MA,C15002A_003M,C15002A_003EA,C15002A_003MA,C15002A_004M,C15002A_004EA,C15002A_004MA,C15002A_005M,C15002A_005EA,C15002A_005MA,C15002A_006M,C15002A_006EA,C15002A_006MA,C15002A_007M,C15002A_007EA,C15002A_007MA,C15002A_008M,C15002A_008EA,C15002A_008MA,C15002A_009M,C15002A_009EA,C15002A_009MA,C15002A_010M,C15002A_010EA,C15002A_010MA,C15002A_011M,C15002A_011EA,C15002A_011MA,state
3954098,7121,1953217,4472,143436,6774,459261,9874,651147,10901,699373,8796,2000881,4471,123389,6331,439361,10020,729937,9418,708194,10626,7121,null,null,4472,null,null,6774,null,null,9874,null,null,10901,null,null,8796,null,null,4471,null,null,6331,null,null,10020,null,null,9418,null,null,10626,null,null,53
1217471,2362,587568,1786,93339,5035,243229,5865,133323,4786,117677,4789,629903,1385,78015,4407,244276,6415,175775,5999,131837,5644,2362,null,null,1786,null,null,5035,null,null,5865,null,null,4786,null,null,4789,null,null,1385,null,null,4407,null,null,6415,null,null,5999,null,null,5644,null,null,54
3489696,4104,1716861,2787,128957,4743,555294,8696,536076,7687,496534,8611,1772835,2540,100316,4262,538730,7335,569050,8165,564739,7538,4104,null,null,2787,null,null,4743,null,null,8696,null,null,7687,null,null,8611,null,null,2540,null,null,4262,null,null,7335,null,null,8165,null,null,7538,null,null,55
365750,2037,184641,1515,12307,1938,58771,3213,64001,3340,49562,2723,181109,1207,11095,1687,48261,2514,71237,3498,50516,3104,2037,null,null,1515,null,null,1938,null,null,3213,null,null,3340,null,null,2723,null,null,1207,null,null,1687,null,null,2514,null,null,3498,null,null,3104,null,null,56
1599336,13713,725601,8176,185635,7178,213429,7667,162179,5969,164358,6707,873735,8538,187462,6342,215735,7087,200095,6985,270443,8210,13713,null,null,8176,null,null,7178,null,null,7667,null,null,5969,null,null,6707,null,null,8538,null,null,6342,null,null,7087,null,null,6985,null,null,8210,null,null,72
2343981,4452,1127274,3073,160674,6764,336860,7258,316385,7723,313355,7542,1216707,2766,149867,6903,369953,7559,378691,7281,318196,7157,4452,null,null,3073,null,null,6764,null,null,7258,null,null,7723,null,null,7542,null,null,2766,null,null,6903,null,null,7559,null,null,7281,null,null,7157,null,null,01
333536,2215,176949,1452,8905,1336,45314,3041,66509,3360,56221,2787,156587,1532,5442,1037,33810,2365,53701,3451,63634,3431,2215,null,null,1452,null,null,1336,null,null,3041,null,null,3360,null,null,2787,null,null,1532,null,null,1037,null,null,2365,null,null,3451,null,null,3431,null,null,02
3681437,12219,1796907,7009,200072,6605,429136,10273,605235,10026,562464,8147,1884530,7262,192433,5681,446989,10028,672829,10449,572279,10738,12219,null,null,7009,null,null,6605,null,null,10273,null,null,10026,null,null,8147,null,null,7262,null,null,5681,null,null,10028,null,null,10449,null,null,10738,null,null,04
1591895,4036,768252,2444,102238,4496,274878,5963,214258,6637,176878,5735,823643,2642,93453,4696,276979,7058,254850,7169,198361,6386,4036,null,null,2444,null,null,4496,null,null,5963,null,null,6637,null,null,5735,null,null,2642,null,null,4696,null,null,7058,null,null,7169,null,null,6386,null,null,05
16275015,32000,8030670,18536,1216855,18044,1678089,21074,2369359,23491,2766367,19951,8244345,18045,1191202,16915,1655494,21412,2628830,23388,2768819,23192,32000,null,null,18536,null,null,18044,null,null,21074,null,null,23491,null,null,19951,null,null,18045,null,null,16915,null,null,21412,null,null,23388,null,null,23192,null,null,06
3228969,6855,1601628,4706,124991,6374,353850,8678,461015,8043,661772,9433,1627341,4305,109473,5007,332708,6920,502330,9085,682830,8765,6855,null,null,4706,null,null,6374,null,null,8678,null,null,8043,null,null,9433,null,null,4305,null,null,5007,null,null,6920,null,null,9085,null,null,8765,null,null,08
1966682,7931,938384,4948,71067,4052,265860,6909,219583,6738,381874,6805,1028298,4092,77655,4436,264065,6081,259668,7452,426910,7193,7931,null,null,4948,null,null,4052,null,null,6909,null,null,6738,null,null,6805,null,null,4092,null,null,4436,null,null,6081,null,null,7452,null,null,7193,null,null,09
482121,2772,230704,1800,26210,2487,72395,4188,58396,3262,73703,3463,251417,1321,21481,2395,77873,3902,69359,3888,82704,3935,2772,null,null,1800,null,null,2487,null,null,4188,null,null,3262,null,null,3463,null,null,1321,null,null,2395,null,null,3902,null,null,3888,null,null,3935,null,null,10
209538,2427,106850,1964,2650,1093,3260,975,6762,1466,94178,1989,102688,1238,2855,996,2791,710,4857,983,92185,1582,2427,null,null,1964,null,null,1093,null,null,975,null,null,1466,null,null,1989,null,null,1238,null,null,996,null,null,710,null,null,983,null,null,1582,null,null,11
