B18101C_001E,B18101C_001M,B18101C_002E,B18101C_002M,B18101C_003E,B18101C_003M,B18101C_004E,B18101C_004M,B18101C_005E,B18101C_005M,B18101C_006E,B18101C_006M,B18101C_007E,B18101C_007M,B18101C_008E,B18101C_008M,B18101C_009E,B18101C_009M,B18101C_010E,B18101C_010M,B18101C_001M,B18101C_001EA,B18101C_001MA,B18101C_002M,B18101C_002EA,B18101C_002MA,B18101C_003M,B18101C_003EA,B18101C_003MA,B18101C_004M,B18101C_004EA,B18101C_004MA,B18101C_005M,B18101C_005EA,B18101C_005MA,B18101C_006M,B18101C_006EA,B18101C_006MA,B18101C_007M,B18101C_007EA,B18101C_007MA,B18101C_008M,B18101C_008EA,B18101C_008MA,B18101C_009M,B18101C_009EA,B18101C_009MA,B18101C_010M,B18101C_010EA,B18101C_010MA,state
12463,2147,2524,754,108,170,2416,755,8894,1706,1057,525,7837,1606,1045,557,870,561,175,116,2147,null,null,754,null,null,170,null,null,755,null,null,1706,null,null,525,null,null,1606,null,null,557,null,null,561,null,null,116,null,null,25
49519,3514,11476,1780,1001,365,10475,1758,32139,2044,6933,995,25206,2057,5904,1040,2823,663,3081,692,3514,null,null,1780,null,null,365,null,null,1758,null,null,2044,null,null,995,null,null,2057,null,null,1040,null,null,663,null,null,692,null,null,26
60807,3028,21085,1771,1577,616,19508,1559,35587,2000,5639,1038,29948,2083,4135,642,2160,499,1975,561,3028,null,null,1771,null,null,616,null,null,1559,null,null,2000,null,null,1038,null,null,2083,null,null,642,null,null,499,null,null,561,null,null,27
12975,1524,3988,695,0,213,3988,695,8512,1078,2002,627,6510,988,475,308,353,286,122,149,1524,null,null,695,null,null,213,null,null,695,null,null,1078,null,null,627,null,null,988,null,null,308,null,null,286,null,null,149,null,null,28
30065,3403,8232,1682,529,354,7703,1535,18630,2428,4511,954,14119,1906,3203,919,2115,777,1088,441,3403,null,null,1682,null,null,354,null,null,1535,null,null,2428,null,null,954,null,null,1906,null,null,919,null,null,777,null,null,441,null,null,29
64396,2559,24583,1837,924,375,23659,1853,35159,1618,5681,1056,29478,1836,4654,602,2070,427,2584,440,2559,null,null,1837,null,null,375,null,null,1853,null,null,1618,null,null,1056,null,null,1836,null,null,602,null,null,427,null,null,440,null,null,30
15099,1360,5619,637,362,318,5257,651,8383,1014,1937,499,6446,948,1097,354,662,267,435,198,1360,null,null,637,null,null,318,null,null,651,null,null,1014,null,null,499,null,null,948,null,null,354,null,null,267,null,null,198,null,null,31
33745,3567,9207,1696,364,262,8843,1561,20575,2028,3988,972,16587,2006,3963,630,1931,547,2032,540,3567,null,null,1696,null,null,262,null,null,1561,null,null,2028,null,null,972,null,null,2006,null,null,630,null,null,547,null,null,540,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
19888,3348,5456,1525,403,306,5053,1538,12468,2348,2619,687,9849,2213,1964,642,1026,417,938,460,3348,null,null,1525,null,null,306,null,null,1538,null,null,2348,null,null,687,null,null,2213,null,null,642,null,null,417,null,null,460,null,null,34
192368,4648,55452,2583,2208,667,53244,2557,117434,3385,14716,1438,102718,3412,19482,950,11172,964,8310,892,4648,null,null,2583,null,null,667,null,null,2557,null,null,3385,null,null,1438,null,null,3412,null,null,950,null,null,964,null,null,892,null,null,35
71926,6141,17246,2637,1102,575,16144,2537,45669,4073,6871,1280,38798,3799,9011,1470,3496,882,5515,1106,6141,null,null,2637,null,null,575,null,null,2537,null,null,4073,null,null,1280,null,null,3799,null,null,1470,null,null,882,null,null,1106,null,null,36
117541,4931,29583,2521,1404,510,28179,2499,74013,3538,11142,1489,62871,3340,13945,1330,6813,1048,7132,1082,4931,null,null,2521,null,null,510,null,null,2499,null,null,3538,null,null,1489,null,null,3340,null,null,1330,null,null,1048,null,null,1082,null,null,37
40648,2283,15324,1431,895,388,14429,1261,22835,1555,4048,878,18787,1466,2489,441,1231,436,1258,388,2283,null,null,1431,null,null,388,null,null,1261,null,null,1555,null,null,878,null,null,1466,null,null,441,null,null,436,null,null,388,null,null,38
17590,2460,3080,1101,310,231,2770,1096,12639,2002,3080,774,9559,1796,1871,574,997,485,874,337,2460,null,null,1101,null,null,231,null,null,1096,null,null,2002,null,null,774,null,null,1796,null,null,574,null,null,485,null,null,337,null,null,39
291369,7107,88292,4016,3872,666,84420,3974,175817,4404,31115,2365,144702,3927,27260,1278,13126,1130,14134,1142,7107,null,null,4016,null,null,666,null,null,3974,null,null,4404,null,null,2365,null,null,3927,null,null,1278,null,null,1130,null,null,1142,null,null,40
44207,4263,10844,1793,587,366,10257,1668,28662,2762,6266,1314,22396,2487,4701,1059,2776,970,1925,625,4263,null,null,1793,null,null,366,null,null,1668,null,null,2762,null,null,1314,null,null,2487,null,null,1059,null,null,970,null,null,625,null,null,41
22675,3746,4585,1519,239,197,4346,1480,16159,2508,4285,1171,11874,2245,1931,573,883,363,1048,473,3746,null,null,1519,null,null,197,null,null,1480,null,null,2508,null,null,1171,null,null,2245,null,null,573,null,null,363,null,null,473,null,null,42
5270,1771,863,647,0,208,863,647,3941,1360,1200,692,2741,1078,466,301,266,203,200,194,1771,null,null,647,null,null,208,null,null,647,null,null,1360,null,null,692,null,null,1078,null,null,301,null,null,203,null,null,194,null,null,44
15726,2744,4111,1416,510,346,3601,1331,9521,1621,1533,556,7988,1470,2094,825,671,342,1423,758,2744,null,null,1416,null,null,346,null,null,1331,null,null,1621,null,null,556,null,null,1470,null,null,825,null,null,342,null,null,758,null,null,45
74590,3656,29544,2276,1712,509,27832,2314,40578,2172,7869,1636,32709,1723,4468,614,2086,491,2382,459,3656,null,null,2276,null,null,509,null,null,2314,null,null,2172,null,null,1636,null,null,1723,null,null,614,null,null,491,null,null,459,null,null,46
18864,2881,3824,1036,572,402,3252,1012,13497,2444,2902,952,10595,2093,1543,616,781,440,762,413,2881,null,null,1036,null,null,402,null,null,1012,null,null,2444,null,null,952,null,null,2093,null,null,616,null,null,440,null,null,413,null,null,47
131875,9344,34344,3672,1988,777,32356,3444,84104,7386,13679,2982,70425,5892,13427,1939,6878,1436,6549,1052,9344,null,null,3672,null,null,777,null,null,3444,null,null,7386,null,null,2982,null,null,5892,null,null,1939,null,null,1436,null,null,1052,null,null,48
31184,2913,10090,1575,396,340,9694,1558,18731,1794,3133,829,15598,1804,2363,647,1011,396,1352,564,2913,null,null,1575,null,null,340,null,null,1558,null,null,1794,null,null,829,null,null,1804,null,null,647,null,null,396,null,null,564,null,null,49
2170,934,160,103,54,61,106,78,1791,835,816,594,975,460,219,163,195,154,24,40,934,null,null,103,null,null,61,null,null,78,null,null,835,null,null,594,null,null,460,null,null,163,null,null,154,null,null,40,null,null,50
22294,3426,3606,1345,160,256,3446,1333,15222,2538,2728,844,12494,2455,3466,884,1941,756,1525,503,3426,null,null,1345,null,null,256,null,null,1333,null,null,2538,null,null,844,null,null,2455,null,null,884,null,null,756,null,null,503,null,null,51
92262,6508,27452,3355,1210,513,26242,3155,56117,3893,11577,1572,44540,3525,8693,1349,4181,771,4512,980,6508,null,null,3355,null,null,513,null,null,3155,null,null,3893,null,null,1572,null,null,3525,null,null,1349,null,null,771,null,null,980,null,null,53
3769,1228,713,521,0,193,713,521,2638,924,1025,554,1613,753,418,325,273,289,145,144,1228,null,null,521,null,null,193,null,null,521,null,null,924,null,null,554,null,null,753,null,null,325,null,null,289,null,null,144,null,null,54
50703,2732,14357,1329,719,392,13638,1333,32160,1966,6007,1133,26153,1893,4186,679,2483,574,1703,362,2732,null,null,1329,null,null,392,null,null,1333,null,null,1966,null,null,1133,null,null,1893,null,null,679,null,null,574,null,null,362,null,null,55
12469,1436,4450,812,280,282,4170,680,6740,1013,1090,542,5650,916,1279,406,323,147,956,398,1436,null,null,812,null,null,282,null,null,680,null,null,1013,null,null,542,null,null,916,null,null,406,null,null,147,null,null,398,null,null,56
8082,2395,1695,796,144,231,1551,779,5227,1697,1100,548,4127,1497,1160,539,688,480,472,270,2395,null,null,796,null,null,231,null,null,779,null,null,1697,null,null,548,null,null,1497,null,null,539,null,null,480,null,null,270,null,null,72
24269,3211,5247,1345,196,147,5051,1360,16288,2367,4250,1324,12038,1846,2734,679,1666,465,1068,438,3211,null,null,1345,null,null,147,null,null,1360,null,null,2367,null,null,1324,null,null,1846,null,null,679,null,null,465,null,null,438,null,null,01
105728,3673,34010,2335,1296,476,32714,2362,62950,2274,9921,1549,53029,2263,8768,734,4934,602,3834,777,3673,null,null,2335,null,null,476,null,null,2362,null,null,2274,null,null,1549,null,null,2263,null,null,734,null,null,602,null,null,777,null,null,02
300673,7007,94027,3807,3504,940,90523,3486,181643,3952,24144,1779,157499,4176,25003,1146,12553,1221,12450,1117,7007,null,null,3807,null,null,940,null,null,3486,null,null,3952,null,null,1779,null,null,4176,null,null,1146,null,null,1221,null,null,1117,null,null,04
18556,2035,5008,1407,313,233,4695,1398,11912,1712,2905,955,9007,1474,1636,674,827,474,809,459,2035,null,null,1407,null,null,233,null,null,1398,null,null,1712,null,null,955,null,null,1474,null,null,674,null,null,474,null,null,459,null,null,05
284213,15444,69348,7719,3507,1274,65841,7673,182124,9581,29067,2463,153057,9029,32741,2882,15361,1746,17380,1980,15444,null,null,7719,null,null,1274,null,null,7673,null,null,9581,null,null,2463,null,null,9029,null,null,2882,null,null,1746,null,null,1980,null,null,06
53271,4497,11724,2074,271,189,11453,2039,36345,3681,6769,1665,29576,2974,5202,898,1971,563,3231,693,4497,null,null,2074,null,null,189,null,null,2039,null,null,3681,null,null,1665,null,null,2974,null,null,898,null,null,563,null,null,693,null,null,08
9645,2989,2832,1324,155,158,2677,1300,6338,2045,1170,555,5168,1811,475,329,304,317,171,149,2989,null,null,1324,null,null,158,null,null,1300,null,null,2045,null,null,555,null,null,1811,null,null,329,null,null,317,null,null,149,null,null,09
4055,1038,728,479,0,193,728,479,2718,780,388,265,2330,702,609,252,483,299,126,112,1038,null,null,479,null,null,193,null,null,479,null,null,780,null,null,265,null,null,702,null,null,252,null,null,299,null,null,112,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
