B27001H_001E,B27001H_001M,B27001H_002E,B27001H_002M,B27001H_003E,B27001H_003M,B27001H_004E,B27001H_004M,B27001H_005E,B27001H_005M,B27001H_006E,B27001H_006M,B27001H_007E,B27001H_007M,B27001H_008E,B27001H_008M,B27001H_009E,B27001H_009M,B27001H_010E,B27001H_010M,B27001H_011E,B27001H_011M,B27001H_012E,B27001H_012M,B27001H_013E,B27001H_013M,B27001H_014E,B27001H_014M,B27001H_015E,B27001H_015M,B27001H_016E,B27001H_016M,B27001H_017E,B27001H_017M,B27001H_018E,B27001H_018M,B27001H_019E,B27001H_019M,B27001H_020E,B27001H_020M,B27001H_021E,B27001H_021M,B27001H_022E,B27001H_022M,B27001H_023E,B27001H_023M,B27001H_024E,B27001H_024M,B27001H_025E,B27001H_025M,B27001H_026E,B27001H_026M,B27001H_027E,B27001H_027M,B27001H_028E,B27001H_028M,B27001H_001M,B27001H_001EA,B27001H_001MA,B27001H_002M,B27001H_002EA,B27001H_002MA,B27001H_003M,B27001H_003EA,B27001H_003MA,B27001H_004M,B27001H_004EA,B27001H_004MA,B27001H_005M,B27001H_005EA,B27001H_005MA,B27001H_006M,B27001H_006EA,B27001H_006MA,B27001H_007M,B27001H_007EA,B27001H_007MA,B27001H_008M,B27001H_008EA,B27001H_008MA,B27001H_009M,B27001H_009EA,B27001H_009MA,B27001H_010M,B27001H_010EA,B27001H_010MA,B27001H_011M,B27001H_011EA,B27001H_011MA,B27001H_012M,B27001H_012EA,B27001H_012MA,B27001H_013M,B27001H_013EA,B27001H_013MA,B27001H_014M,B27001H_014EA,B27001H_014MA,B27001H_015M,B27001H_015EA,B27001H_015MA,B27001H_016M,B27001H_016EA,B27001H_016MA,B27001H_017M,B27001H_017EA,B27001H_017MA,B27001H_018M,B27001H_018EA,B27001H_018MA,B27001H_019M,B27001H_019EA,B27001H_019MA,B27001H_020M,B27001H_020EA,B27001H_020MA,B27001H_021M,B27001H_021EA,B27001H_021MA,B27001H_022M,B27001H_022EA,B27001H_022MA,B27001H_023M,B27001H_023EA,B27001H_023MA,B27001H_024M,B27001H_024EA,B27001H_024MA,B27001H_025M,B27001H_025EA,B27001H_025MA,B27001H_026M,B27001H_026EA,B27001H_026MA,B27001H_027M,B27001H_027EA,B27001H_027MA,B27001H_028M,B27001H_028EA,B27001H_028MA,state
1231065,811,70182,1803,67410,1779,2772,850,155128,1818,147327,2827,7801,2033,97554,699,87959,1769,9595,1639,141989,607,118075,2916,23914,2883,138930,423,121118,2168,17812,2183,180693,375,162136,2352,18557,2247,202623,226,186642,2302,15981,2286,146982,453,146804,473,178,135,96984,557,96984,557,0,172,811,null,null,1803,null,null,1779,null,null,850,null,null,1818,null,null,2827,null,null,2033,null,null,699,null,null,1769,null,null,1639,null,null,607,null,null,2916,null,null,2883,null,null,423,null,null,2168,null,null,2183,null,null,375,null,null,2352,null,null,2247,null,null,226,null,null,2302,null,null,2286,null,null,453,null,null,473,null,null,135,null,null,557,null,null,557,null,null,172,null,null,23
3042420,3209,179452,2689,175633,2747,3819,1242,395267,2689,384588,3879,10679,2964,246688,1568,235145,2893,11543,2338,382296,1694,356398,3224,25898,3004,344592,1230,328536,2100,16056,1953,451039,1058,433753,2551,17286,2312,474893,718,457693,2593,17200,2529,330469,548,329363,726,1106,485,237724,1240,237355,1312,369,351,3209,null,null,2689,null,null,2747,null,null,1242,null,null,2689,null,null,3879,null,null,2964,null,null,1568,null,null,2893,null,null,2338,null,null,1694,null,null,3224,null,null,3004,null,null,1230,null,null,2100,null,null,1953,null,null,1058,null,null,2551,null,null,2312,null,null,718,null,null,2593,null,null,2529,null,null,548,null,null,726,null,null,485,null,null,1240,null,null,1312,null,null,351,null,null,24
4876774,6564,252814,3381,250541,3548,2273,993,600910,3809,596032,3887,4878,1408,462949,1306,451377,2575,11572,2065,622806,1975,600122,3568,22684,2987,552177,2120,536973,2946,15204,2503,731161,1626,711826,2537,19335,2414,754089,1634,740098,2242,13991,1788,519829,1097,518826,1215,1003,499,380039,1593,379656,1550,383,233,6564,null,null,3381,null,null,3548,null,null,993,null,null,3809,null,null,3887,null,null,1408,null,null,1306,null,null,2575,null,null,2065,null,null,1975,null,null,3568,null,null,2987,null,null,2120,null,null,2946,null,null,2503,null,null,1626,null,null,2537,null,null,2414,null,null,1634,null,null,2242,null,null,1788,null,null,1097,null,null,1215,null,null,499,null,null,1593,null,null,1550,null,null,233,null,null,25
7412229,3393,452359,3810,438606,4353,13753,2118,1017903,4062,990913,5182,26990,3091,670352,1379,623201,4254,47151,3889,888983,1649,807660,4871,81323,4228,841699,1247,781114,4447,60585,4227,1051669,1041,991655,4532,60014,4413,1144763,796,1096048,3171,48715,3107,787610,910,786064,1090,1546,587,556891,1582,556602,1580,289,222,3393,null,null,3810,null,null,4353,null,null,2118,null,null,4062,null,null,5182,null,null,3091,null,null,1379,null,null,4254,null,null,3889,null,null,1649,null,null,4871,null,null,4228,null,null,1247,null,null,4447,null,null,4227,null,null,1041,null,null,4532,null,null,4413,null,null,796,null,null,3171,null,null,3107,null,null,910,null,null,1090,null,null,587,null,null,1582,null,null,1580,null,null,222,null,null,26
4401935,2560,290397,3054,282329,3464,8068,1447,608950,3200,595296,3482,13654,2100,375694,946,360313,1840,15381,1626,560500,1538,532565,3116,27935,2705,528610,862,507580,2204,21030,2200,617622,1096,598085,2094,19537,1886,667216,805,648118,1860,19098,1778,435460,768,435173,800,287,187,317486,1048,317287,1107,199,220,2560,null,null,3054,null,null,3464,null,null,1447,null,null,3200,null,null,3482,null,null,2100,null,null,946,null,null,1840,null,null,1626,null,null,1538,null,null,3116,null,null,2705,null,null,862,null,null,2204,null,null,2200,null,null,1096,null,null,2094,null,null,1886,null,null,805,null,null,1860,null,null,1778,null,null,768,null,null,800,null,null,187,null,null,1048,null,null,1107,null,null,220,null,null,27
1668795,2166,108225,2783,102605,2749,5620,1481,245820,2848,235199,3615,10621,2255,147797,2344,126290,3496,21507,2858,194445,3486,155638,4780,38807,4393,201094,2944,169124,3999,31970,3683,222604,1904,190715,3540,31889,2997,235166,900,211123,2763,24043,2638,185907,1266,185322,1272,585,315,127737,1363,127384,1383,353,311,2166,null,null,2783,null,null,2749,null,null,1481,null,null,2848,null,null,3615,null,null,2255,null,null,2344,null,null,3496,null,null,2858,null,null,3486,null,null,4780,null,null,4393,null,null,2944,null,null,3999,null,null,3683,null,null,1904,null,null,3540,null,null,2997,null,null,900,null,null,2763,null,null,2638,null,null,1266,null,null,1272,null,null,315,null,null,1363,null,null,1383,null,null,311,null,null,28
4769311,3220,318475,3332,307070,3696,11405,1762,689142,3512,657164,5271,31978,3695,420978,2240,361854,4271,59124,3730,606836,2618,518105,5100,88731,4586,568823,1937,502303,5086,66520,4511,640967,1712,574555,4312,66412,4326,691333,911,639866,3887,51467,3801,486342,1106,484811,1167,1531,512,346415,1339,345987,1345,428,250,3220,null,null,3332,null,null,3696,null,null,1762,null,null,3512,null,null,5271,null,null,3695,null,null,2240,null,null,4271,null,null,3730,null,null,2618,null,null,5100,null,null,4586,null,null,1937,null,null,5086,null,null,4511,null,null,1712,null,null,4312,null,null,4326,null,null,911,null,null,3887,null,null,3801,null,null,1106,null,null,1167,null,null,512,null,null,1339,null,null,1345,null,null,250,null,null,29
889270,952,58196,1218,56806,1308,1390,484,119475,1188,115358,2023,4117,1229,81410,1267,72004,2161,9406,1660,106169,1385,94144,2399,12025,1906,103304,657,92530,1661,10774,1659,110873,460,99637,1821,11236,1734,139257,341,128807,1424,10450,1387,102870,286,102670,338,200,170,67716,404,67695,404,21,37,952,null,null,1218,null,null,1308,null,null,484,null,null,1188,null,null,2023,null,null,1229,null,null,1267,null,null,2161,null,null,1660,null,null,1385,null,null,2399,null,null,1906,null,null,657,null,null,1661,null,null,1659,null,null,460,null,null,1821,null,null,1734,null,null,341,null,null,1424,null,null,1387,null,null,286,null,null,338,null,null,170,null,null,404,null,null,404,null,null,37,null,null,30
1498129,1616,109046,1474,105307,1660,3739,918,220194,1599,214100,1902,6094,1073,140359,1217,127123,2137,13236,1945,188513,1567,167401,2733,21112,2421,181129,1105,164759,2063,16370,1917,188736,749,175307,2089,13429,1827,214420,533,200105,2042,14315,2018,145283,650,144776,697,507,408,110449,768,110406,769,43,50,1616,null,null,1474,null,null,1660,null,null,918,null,null,1599,null,null,1902,null,null,1073,null,null,1217,null,null,2137,null,null,1945,null,null,1567,null,null,2733,null,null,2421,null,null,1105,null,null,2063,null,null,1917,null,null,749,null,null,2089,null,null,1827,null,null,533,null,null,2042,null,null,2018,null,null,650,null,null,697,null,null,408,null,null,768,null,null,769,null,null,50,null,null,31
1446739,2128,76757,1757,73435,1777,3322,1267,164227,1743,156248,2309,7979,1777,90333,987,81299,1658,9034,1385,184563,1458,162053,3053,22510,3125,176610,1431,159562,2533,17048,2160,209111,1095,189355,2521,19756,2259,230770,619,214641,2429,16129,2282,195652,403,193798,700,1854,614,118716,571,118654,577,62,90,2128,null,null,1757,null,null,1777,null,null,1267,null,null,1743,null,null,2309,null,null,1777,null,null,987,null,null,1658,null,null,1385,null,null,1458,null,null,3053,null,null,3125,null,null,1431,null,null,2533,null,null,2160,null,null,1095,null,null,2521,null,null,2259,null,null,619,null,null,2429,null,null,2282,null,null,403,null,null,700,null,null,614,null,null,571,null,null,577,null,null,90,null,null,32
1196775,1527,66007,1357,64361,1365,1646,624,156882,1412,153305,1708,3577,1032,110154,699,100223,2044,9931,1948,138442,596,121551,1858,16891,1705,133019,735,123505,1832,9514,1742,185281,523,171177,2153,14104,2077,196414,185,185279,1751,11135,1767,129094,684,129040,688,54,69,81482,681,81482,681,0,187,1527,null,null,1357,null,null,1365,null,null,624,null,null,1412,null,null,1708,null,null,1032,null,null,699,null,null,2044,null,null,1948,null,null,596,null,null,1858,null,null,1705,null,null,735,null,null,1832,null,null,1742,null,null,523,null,null,2153,null,null,2077,null,null,185,null,null,1751,null,null,1767,null,null,684,null,null,688,null,null,69,null,null,681,null,null,681,null,null,187,null,null,33
4914852,5144,271463,3676,266467,3790,4996,1266,656050,3910,642214,4428,13836,2455,384599,1310,364007,2854,20592,2715,547726,1293,504642,3505,43084,3406,543949,1478,514296,3564,29653,3610,753133,1241,716095,3316,37038,3348,789111,1172,758364,3123,30747,2979,541961,1033,539638,1232,2323,937,426860,1815,425629,1901,1231,602,5144,null,null,3676,null,null,3790,null,null,1266,null,null,3910,null,null,4428,null,null,2455,null,null,1310,null,null,2854,null,null,2715,null,null,1293,null,null,3505,null,null,3406,null,null,1478,null,null,3564,null,null,3610,null,null,1241,null,null,3316,null,null,3348,null,null,1172,null,null,3123,null,null,2979,null,null,1033,null,null,1232,null,null,937,null,null,1815,null,null,1901,null,null,602,null,null,34
773505,2460,36256,1399,34810,1578,1446,769,83077,1392,79705,2255,3372,1681,49241,2179,45701,2114,3540,1166,87010,2564,78331,2884,8679,1984,81367,1814,76190,2274,5177,1523,99470,1868,94335,2007,5135,1375,138342,671,130451,1524,7891,1436,118973,931,118373,941,600,388,79769,951,79721,944,48,79,2460,null,null,1399,null,null,1578,null,null,769,null,null,1392,null,null,2255,null,null,1681,null,null,2179,null,null,2114,null,null,1166,null,null,2564,null,null,2884,null,null,1984,null,null,1814,null,null,2274,null,null,1523,null,null,1868,null,null,2007,null,null,1375,null,null,671,null,null,1524,null,null,1436,null,null,931,null,null,941,null,null,388,null,null,951,null,null,944,null,null,79,null,null,35
10846940,6815,628317,4413,613996,4537,14321,2129,1369638,4970,1335452,6060,34186,4211,947468,1957,904480,4412,42988,4024,1441462,2761,1334379,5334,107083,4699,1243266,1822,1171545,4881,71721,4977,1542209,1589,1475587,5444,66622,4789,1626027,1775,1574772,4011,51255,3411,1153136,1750,1149142,2048,3994,971,895417,2655,893656,2760,1761,786,6815,null,null,4413,null,null,4537,null,null,2129,null,null,4970,null,null,6060,null,null,4211,null,null,1957,null,null,4412,null,null,4024,null,null,2761,null,null,5334,null,null,4699,null,null,1822,null,null,4881,null,null,4977,null,null,1589,null,null,5444,null,null,4789,null,null,1775,null,null,4011,null,null,3411,null,null,1750,null,null,2048,null,null,971,null,null,2655,null,null,2760,null,null,786,null,null,36
6327792,5350,362262,3869,351345,4106,10917,1628,844306,3876,816027,5601,28279,3955,531821,3176,474559,5128,57262,4545,763726,4367,651077,7547,112649,6350,771096,3613,677378,6901,93718,5890,920574,1841,822243,5392,98331,5689,929619,1253,858173,4225,71446,3839,721994,1304,719935,1608,2059,793,482394,1402,481610,1473,784,370,5350,null,null,3869,null,null,4106,null,null,1628,null,null,3876,null,null,5601,null,null,3955,null,null,3176,null,null,5128,null,null,4545,null,null,4367,null,null,7547,null,null,6350,null,null,3613,null,null,6901,null,null,5890,null,null,1841,null,null,5392,null,null,5689,null,null,1253,null,null,4225,null,null,3839,null,null,1304,null,null,1608,null,null,793,null,null,1402,null,null,1473,null,null,370,null,null,37
631712,1300,49517,1286,46916,1568,2601,986,85690,1284,80683,1725,5007,1030,69577,1448,64526,1839,5051,1133,91969,1066,85332,1597,6637,1472,72378,492,67697,1165,4681,1069,75232,263,71921,795,3311,765,87721,352,84108,907,3613,827,55719,254,55484,345,235,203,43909,336,43889,340,20,35,1300,null,null,1286,null,null,1568,null,null,986,null,null,1284,null,null,1725,null,null,1030,null,null,1448,null,null,1839,null,null,1133,null,null,1066,null,null,1597,null,null,1472,null,null,492,null,null,1165,null,null,1069,null,null,263,null,null,795,null,null,765,null,null,352,null,null,907,null,null,827,null,null,254,null,null,345,null,null,203,null,null,336,null,null,340,null,null,35,null,null,38
9099530,4037,580429,4069,558612,4476,21817,2634,1297483,4394,1249912,6727,47571,5006,792572,1313,730069,4276,62503,4085,1127846,2232,1026871,5427,100975,5167,1069871,1875,999019,4211,70852,4186,1270412,1324,1191089,4565,79323,4674,1357513,1459,1291154,4308,66359,3682,931865,1355,928291,1679,3574,889,671539,2274,669992,2324,1547,591,4037,null,null,4069,null,null,4476,null,null,2634,null,null,4394,null,null,6727,null,null,5006,null,null,1313,null,null,4276,null,null,4085,null,null,2232,null,null,5427,null,null,5167,null,null,1875,null,null,4211,null,null,4186,null,null,1324,null,null,4565,null,null,4674,null,null,1459,null,null,4308,null,null,3682,null,null,1355,null,null,1679,null,null,889,null,null,2274,null,null,2324,null,null,591,null,null,39
2549864,2066,168200,2137,161187,2470,7013,1292,348624,2093,330937,2723,17687,2292,213650,1669,180325,3312,33325,2586,330572,1762,271401,4260,59171,4001,308120,1263,262765,3112,45355,2794,333637,1044,286366,3136,47271,3015,371472,761,334309,2156,37163,2073,275736,921,274601,975,1135,441,199853,1051,199544,1078,309,181,2066,null,null,2137,null,null,2470,null,null,1292,null,null,2093,null,null,2723,null,null,2292,null,null,1669,null,null,3312,null,null,2586,null,null,1762,null,null,4260,null,null,4001,null,null,1263,null,null,3112,null,null,2794,null,null,1044,null,null,3136,null,null,3015,null,null,761,null,null,2156,null,null,2073,null,null,921,null,null,975,null,null,441,null,null,1051,null,null,1078,null,null,181,null,null,40
3091963,2239,177665,2639,174334,2844,3331,1179,377609,2673,366720,3312,10889,2037,243052,1177,226373,3058,16679,3068,412196,1250,373337,4168,38859,4061,388680,1025,363583,3175,25097,3100,403489,1061,379637,2907,23852,2508,471200,885,444964,3541,26236,3378,373038,690,371079,1273,1959,1124,245034,817,244464,1013,570,391,2239,null,null,2639,null,null,2844,null,null,1179,null,null,2673,null,null,3312,null,null,2037,null,null,1177,null,null,3058,null,null,3068,null,null,1250,null,null,4168,null,null,4061,null,null,1025,null,null,3175,null,null,3100,null,null,1061,null,null,2907,null,null,2508,null,null,885,null,null,3541,null,null,3378,null,null,690,null,null,1273,null,null,1124,null,null,817,null,null,1013,null,null,391,null,null,41
9708659,4523,558400,3875,527564,5414,30836,3604,1242666,4063,1187872,6408,54794,5105,825839,1345,771486,4994,54353,4838,1192474,1695,1087000,5878,105474,5356,1089788,1739,1020581,5273,69207,4944,1380036,1470,1309726,4428,70310,4286,1522420,1341,1462133,4384,60287,4102,1069077,1536,1065927,1654,3150,723,827959,2138,825794,2195,2165,691,4523,null,null,3875,null,null,5414,null,null,3604,null,null,4063,null,null,6408,null,null,5105,null,null,1345,null,null,4994,null,null,4838,null,null,1695,null,null,5878,null,null,5356,null,null,1739,null,null,5273,null,null,4944,null,null,1470,null,null,4428,null,null,4286,null,null,1341,null,null,4384,null,null,4102,null,null,1536,null,null,1654,null,null,723,null,null,2138,null,null,2195,null,null,691,null,null,42
755969,2561,35271,1545,34757,1473,514,451,86259,1300,84714,1517,1545,718,73899,399,70971,1106,2928,1042,92816,619,86100,1521,6716,1417,82740,1115,78570,1598,4170,1228,113706,508,110185,1189,3521,1094,122824,652,120566,874,2258,801,84649,536,84512,581,137,134,63805,669,63805,669,0,208,2561,null,null,1545,null,null,1473,null,null,451,null,null,1300,null,null,1517,null,null,718,null,null,399,null,null,1106,null,null,1042,null,null,619,null,null,1521,null,null,1417,null,null,1115,null,null,1598,null,null,1228,null,null,508,null,null,1189,null,null,1094,null,null,652,null,null,874,null,null,801,null,null,536,null,null,581,null,null,134,null,null,669,null,null,669,null,null,208,null,null,44
3111532,3717,188516,2831,181245,3549,7271,1617,409855,3091,392768,4118,17087,2725,256057,2130,225777,3239,30280,2840,379673,3001,320581,5842,59092,5349,366549,1939,316547,4674,50002,4508,429832,1136,380700,4210,49132,4248,457482,672,418998,3570,38484,3680,386467,808,385485,970,982,597,237101,977,236706,1069,395,311,3717,null,null,2831,null,null,3549,null,null,1617,null,null,3091,null,null,4118,null,null,2725,null,null,2130,null,null,3239,null,null,2840,null,null,3001,null,null,5842,null,null,5349,null,null,1939,null,null,4674,null,null,4508,null,null,1136,null,null,4210,null,null,4248,null,null,672,null,null,3570,null,null,3680,null,null,808,null,null,970,null,null,597,null,null,977,null,null,1069,null,null,311,null,null,45
