B19019_001E,B19019_001M,B19019_002E,B19019_002M,B19019_003E,B19019_003M,B19019_004E,B19019_004M,B19019_005E,B19019_005M,B19019_006E,B19019_006M,B19019_007E,B19019_007M,B19019_008E,B19019_008M,B19019_001M,B19019_001EA,B19019_001MA,B19019_002M,B19019_002EA,B19019_002MA,B19019_003M,B19019_003EA,B19019_003MA,B19019_004M,B19019_004EA,B19019_004MA,B19019_005M,B19019_005EA,B19019_005MA,B19019_006M,B19019_006EA,B19019_006MA,B19019_007M,B19019_007EA,B19019_007MA,B19019_008M,B19019_008EA,B19019_008MA,state
53079,1379,25466,1005,61478,1429,76644,4987,90179,4130,79637,5846,83930,17919,64833,28705,1379,null,null,1005,null,null,1429,null,null,4987,null,null,4130,null,null,5846,null,null,17919,null,null,28705,null,null,23
78945,737,41865,763,86207,1141,98222,1896,114654,2885,105924,3895,106371,9935,106467,9077,737,null,null,763,null,null,1141,null,null,1896,null,null,2885,null,null,3895,null,null,9935,null,null,9077,null,null,24
75297,771,34851,1043,82409,1150,97487,2414,121106,1920,118251,3505,118504,5602,118807,13559,771,null,null,1043,null,null,1150,null,null,2414,null,null,1920,null,null,3505,null,null,5602,null,null,13559,null,null,25
52492,402,27626,527,60357,494,70575,1184,84109,1802,78579,2648,71822,2945,66414,7228,402,null,null,527,null,null,494,null,null,1184,null,null,1802,null,null,2648,null,null,2945,null,null,7228,null,null,26
65599,606,32067,479,74135,1050,86882,1139,103836,2109,97052,3102,86235,5048,77344,11097,606,null,null,479,null,null,1050,null,null,1139,null,null,2109,null,null,3102,null,null,5048,null,null,11097,null,null,27
41754,556,21133,583,49583,1472,53413,2179,64068,3246,59681,4514,61514,7171,43623,9482,556,null,null,583,null,null,1472,null,null,2179,null,null,3246,null,null,4514,null,null,7171,null,null,9482,null,null,28
51746,374,27899,726,58168,784,69861,1878,80777,1362,76974,3324,71092,6202,69273,4664,374,null,null,726,null,null,784,null,null,1878,null,null,1362,null,null,3324,null,null,6202,null,null,4664,null,null,29
50027,1096,26074,912,59994,1607,72673,3263,80420,4969,78800,8444,77761,13107,59314,8392,1096,null,null,912,null,null,1607,null,null,3263,null,null,4969,null,null,8444,null,null,13107,null,null,8392,null,null,30
56927,767,28875,1003,66999,1505,76104,2623,84250,3638,78598,5404,81413,8765,86054,8490,767,null,null,1003,null,null,1505,null,null,2623,null,null,3638,null,null,5404,null,null,8765,null,null,8490,null,null,31
55180,901,30139,918,62358,1671,67642,2093,77071,3387,70160,3942,74597,6096,76387,10316,901,null,null,918,null,null,1671,null,null,2093,null,null,3387,null,null,3942,null,null,6096,null,null,10316,null,null,32
70936,1422,32396,1465,74520,1960,93380,4183,113167,4026,102198,8678,109580,11790,121447,24321,1422,null,null,1465,null,null,1960,null,null,4183,null,null,4026,null,null,8678,null,null,11790,null,null,24321,null,null,33
76126,701,35532,611,81956,1158,98088,2118,117199,2430,109680,3799,105736,7115,99805,5896,701,null,null,611,null,null,1158,null,null,2118,null,null,2430,null,null,3799,null,null,7115,null,null,5896,null,null,34
46748,826,25414,1162,57270,1785,59024,3256,63959,3499,56525,5607,53489,12257,57874,7164,826,null,null,1162,null,null,1785,null,null,3256,null,null,3499,null,null,5607,null,null,12257,null,null,7164,null,null,35
62909,631,32225,347,70692,649,82330,1296,96261,1361,91032,1574,87481,3774,91851,3761,631,null,null,347,null,null,649,null,null,1296,null,null,1361,null,null,1574,null,null,3774,null,null,3761,null,null,36
50584,292,27398,529,57666,798,65749,1315,75199,1705,68588,3473,64178,4626,65229,3052,292,null,null,529,null,null,798,null,null,1315,null,null,1705,null,null,3473,null,null,4626,null,null,3052,null,null,37
60656,1528,31185,1953,70728,2371,79358,4714,94126,5103,92016,8105,91052,14850,93314,26645,1528,null,null,1953,null,null,2371,null,null,4714,null,null,5103,null,null,8105,null,null,14850,null,null,26645,null,null,38
52334,275,27392,410,60648,471,69722,1318,82184,1238,80397,2017,71043,3543,73988,5655,275,null,null,410,null,null,471,null,null,1318,null,null,1238,null,null,2017,null,null,3543,null,null,5655,null,null,39
49176,625,25509,594,57643,1112,65548,1638,68825,2305,65741,2506,66419,3609,58731,4145,625,null,null,594,null,null,1112,null,null,1638,null,null,2305,null,null,2506,null,null,3609,null,null,4145,null,null,40
57532,855,29460,980,63805,1110,75396,2625,86333,2429,75730,5329,77063,4486,76259,4630,855,null,null,980,null,null,1110,null,null,2625,null,null,2429,null,null,5329,null,null,4486,null,null,4630,null,null,41
56907,360,29004,475,63889,591,78482,1548,90297,1432,86570,2530,83943,4326,79652,5712,360,null,null,475,null,null,591,null,null,1548,null,null,1432,null,null,2530,null,null,4326,null,null,5712,null,null,42
60596,1591,29230,1791,71506,2131,83410,5041,101636,3743,97516,13027,70818,8368,122826,35436,1591,null,null,1791,null,null,2131,null,null,5041,null,null,3743,null,null,13027,null,null,8368,null,null,35436,null,null,44
49501,601,25822,655,58082,1067,61391,1725,74362,3122,71127,3474,64587,7646,71489,7915,601,null,null,655,null,null,1067,null,null,1725,null,null,3122,null,null,3474,null,null,7646,null,null,7915,null,null,45
54467,1289,30013,1316,62151,1987,75277,3968,85427,2575,80101,5236,73343,9294,63248,9489,1289,null,null,1316,null,null,1987,null,null,3968,null,null,2575,null,null,5236,null,null,9294,null,null,9489,null,null,46
48547,675,25977,550,55376,941,62562,1950,72361,2162,69833,3129,65443,4821,68721,8262,675,null,null,550,null,null,941,null,null,1950,null,null,2162,null,null,3129,null,null,4821,null,null,8262,null,null,47
56565,300,31770,334,63134,732,69978,1057,76775,1078,70181,1498,67394,3195,71714,2687,300,null,null,334,null,null,732,null,null,1057,null,null,1078,null,null,1498,null,null,3195,null,null,2687,null,null,48
65977,955,31371,1223,64983,1647,75489,2108,81135,3013,83713,3734,87273,3599,96334,3873,955,null,null,1223,null,null,1647,null,null,2108,null,null,3013,null,null,3734,null,null,3599,null,null,3873,null,null,49
57677,1672,28069,1812,67404,1926,81339,4467,89824,4713,87269,13345,95389,4305,89722,32783,1672,null,null,1812,null,null,1926,null,null,4467,null,null,4713,null,null,13345,null,null,4305,null,null,32783,null,null,50
68114,748,36561,817,74243,1190,86569,2091,99010,1819,97495,5125,92315,9355,111754,8835,748,null,null,817,null,null,1190,null,null,2091,null,null,1819,null,null,5125,null,null,9355,null,null,8835,null,null,51
67106,595,35051,596,73999,1283,86525,1769,99556,2010,83572,2659,85902,5884,92761,5870,595,null,null,596,null,null,1283,null,null,1769,null,null,2010,null,null,2659,null,null,5884,null,null,5870,null,null,53
43385,1112,22127,679,51623,1342,59940,2215,70343,4056,66868,6223,53722,4376,61316,11614,1112,null,null,679,null,null,1342,null,null,2215,null,null,4056,null,null,6223,null,null,4376,null,null,11614,null,null,54
56811,549,29921,516,64687,748,76905,1341,91532,1106,85232,2647,75336,5211,78284,7694,549,null,null,516,null,null,748,null,null,1341,null,null,1106,null,null,2647,null,null,5211,null,null,7694,null,null,55
59882,2214,27700,1852,67928,3072,73918,4552,88936,5281,83151,9629,93350,18438,100174,16727,2214,null,null,1852,null,null,3072,null,null,4552,null,null,5281,null,null,9629,null,null,18438,null,null,16727,null,null,56
20078,354,10569,308,21739,533,25791,1080,32645,1937,31021,2631,31315,2412,39604,10416,354,null,null,308,null,null,533,null,null,1080,null,null,1937,null,null,2631,null,null,2412,null,null,10416,null,null,72
46257,677,23478,664,53414,1005,60929,1648,74914,3016,70221,3171,73195,6325,56652,7874,677,null,null,664,null,null,1005,null,null,1648,null,null,3016,null,null,3171,null,null,6325,null,null,7874,null,null,01
76440,2230,40766,2631,86668,4405,90476,4879,102937,7890,93227,8896,101625,7923,101966,22953,2230,null,null,2631,null,null,4405,null,null,4879,null,null,7890,null,null,8896,null,null,7923,null,null,22953,null,null,02
53558,634,30078,667,61198,843,66709,1630,73878,2104,67369,3308,63699,3753,74069,5967,634,null,null,667,null,null,843,null,null,1630,null,null,2104,null,null,3308,null,null,3753,null,null,5967,null,null,04
44334,921,22637,923,50943,844,57852,2074,66959,2906,60727,3380,61536,7078,57693,12565,921,null,null,923,null,null,844,null,null,2074,null,null,2906,null,null,3380,null,null,7078,null,null,12565,null,null,05
67739,356,35954,396,75107,641,81275,808,90365,930,77811,1250,77294,1716,87934,1917,356,null,null,396,null,null,641,null,null,808,null,null,930,null,null,1250,null,null,1716,null,null,1917,null,null,06
65685,636,34467,1078,73351,1242,85186,2053,94640,2839,84404,2996,79213,4005,85908,5055,636,null,null,1078,null,null,1242,null,null,2053,null,null,2839,null,null,2996,null,null,4005,null,null,5055,null,null,08
73433,1059,36287,844,83536,1618,98481,3527,115376,4068,113258,8060,114480,8388,96423,16117,1059,null,null,844,null,null,1618,null,null,3527,null,null,4068,null,null,8060,null,null,8388,null,null,16117,null,null,09
61757,1492,33413,2206,66362,2723,79090,4825,91775,7276,81205,7547,95382,20375,86353,21790,1492,null,null,2206,null,null,2723,null,null,4825,null,null,7276,null,null,7547,null,null,20375,null,null,21790,null,null,10
75506,3416,48515,3553,112244,5408,95868,15660,112342,22504,106403,40812,103487,47344,71364,47432,3416,null,null,3553,null,null,5408,null,null,15660,null,null,22504,null,null,40812,null,null,47344,null,null,47432,null,null,11
