C01001A_001E,C01001A_001M,C01001A_002E,C01001A_002M,C01001A_003E,C01001A_003M,C01001A_004E,C01001A_004M,C01001A_005E,C01001A_005M,C01001A_006E,C01001A_006M,C01001A_007E,C01001A_007M,C01001A_008E,C01001A_008M,C01001A_009E,C01001A_009M,C01001A_001M,C01001A_001EA,C01001A_001MA,C01001A_002M,C01001A_002EA,C01001A_002MA,C01001A_003M,C01001A_003EA,C01001A_003MA,C01001A_004M,C01001A_004EA,C01001A_004MA,C01001A_005M,C01001A_005EA,C01001A_005MA,C01001A_006M,C01001A_006EA,C01001A_006MA,C01001A_007M,C01001A_007EA,C01001A_007MA,C01001A_008M,C01001A_008EA,C01001A_008MA,C01001A_009M,C01001A_009EA,C01001A_009MA,state
1257120,1699,614633,1239,117216,733,383051,811,114366,320,642487,1420,112075,837,392641,852,137771,371,1699,null,null,1239,null,null,733,null,null,811,null,null,320,null,null,1420,null,null,837,null,null,852,null,null,371,null,null,23
3397255,13132,1665633,7651,340915,4170,1059368,5233,265350,966,1731622,7070,333140,3238,1063526,4823,334956,1477,13132,null,null,7651,null,null,4170,null,null,5233,null,null,966,null,null,7070,null,null,3238,null,null,4823,null,null,1477,null,null,24
5350175,16114,2588218,9359,504080,4900,1669719,6191,414419,1107,2761957,8554,481248,4241,1735519,5480,545190,1569,16114,null,null,9359,null,null,4900,null,null,6191,null,null,1107,null,null,8554,null,null,4241,null,null,5480,null,null,1569,null,null,25
7793481,10297,3851724,5837,810532,3374,2414366,3661,626826,813,3941757,5718,774618,3839,2400105,3433,767034,1102,10297,null,null,5837,null,null,3374,null,null,3661,null,null,813,null,null,5718,null,null,3839,null,null,3433,null,null,1102,null,null,26
4596566,6383,2282256,4209,491459,2474,1435481,2647,355316,787,2314310,4026,465751,2470,1416436,2587,432123,647,6383,null,null,4209,null,null,2474,null,null,2647,null,null,787,null,null,4026,null,null,2470,null,null,2587,null,null,647,null,null,27
1748734,4269,860987,4015,191175,3143,525651,2399,144161,648,887747,3838,182174,3404,524865,1567,180708,578,4269,null,null,4015,null,null,3143,null,null,2399,null,null,648,null,null,3838,null,null,3404,null,null,1567,null,null,578,null,null,28
5011507,6627,2470151,4146,548529,2752,1531472,2662,390150,942,2541356,4440,519134,2892,1534996,2885,487226,908,6627,null,null,4146,null,null,2752,null,null,2662,null,null,942,null,null,4440,null,null,2892,null,null,2885,null,null,908,null,null,29
927374,1791,468373,1905,97821,1364,286014,1235,84538,369,459001,1522,89903,1280,277514,1055,91584,308,1791,null,null,1905,null,null,1364,null,null,1235,null,null,369,null,null,1522,null,null,1280,null,null,1055,null,null,308,null,null,30
1674863,6044,834050,4025,201137,2473,510861,2317,122052,795,840813,3586,190634,2133,500499,2175,149680,642,6044,null,null,4025,null,null,2473,null,null,2317,null,null,795,null,null,3586,null,null,2133,null,null,2175,null,null,642,null,null,31
1966690,14686,994058,9242,206292,4829,617591,6055,170175,1187,972632,7678,199007,4556,593545,4545,180080,1447,14686,null,null,9242,null,null,4829,null,null,6055,null,null,1187,null,null,7678,null,null,4556,null,null,4545,null,null,1447,null,null,32
1247155,2813,619134,2010,121935,1331,396274,1463,100925,497,628021,1827,112651,1042,395563,1295,119807,356,2813,null,null,2010,null,null,1331,null,null,1463,null,null,497,null,null,1827,null,null,1042,null,null,1295,null,null,356,null,null,33
6090908,22621,2985225,12385,637397,5900,1876751,9147,471077,1823,3105683,12906,605656,6023,1877668,8186,622359,1988,22621,null,null,12385,null,null,5900,null,null,9147,null,null,1823,null,null,12906,null,null,6023,null,null,8186,null,null,1988,null,null,34
1539634,11642,761031,7438,173427,4228,457112,5155,130492,1791,778603,6951,167993,4153,456401,4361,154209,1749,11642,null,null,7438,null,null,4228,null,null,5155,null,null,1791,null,null,6951,null,null,4153,null,null,4361,null,null,1749,null,null,35
12530463,29879,6150332,16238,1228009,8892,3930169,11543,992154,2978,6380131,17506,1168769,7785,3923115,12112,1288247,3972,29879,null,null,16238,null,null,8892,null,null,11543,null,null,2978,null,null,17506,null,null,7785,null,null,12112,null,null,3972,null,null,36
6989065,14006,3427711,9040,727536,5878,2142340,5137,557835,1735,3561354,8224,692209,5121,2171152,5117,697993,1547,14006,null,null,9040,null,null,5878,null,null,5137,null,null,1735,null,null,8224,null,null,5121,null,null,5117,null,null,1547,null,null,37
660919,3096,338460,2032,71690,1092,218531,1757,48239,355,322459,1877,68969,1136,195590,1008,57900,443,3096,null,null,2032,null,null,1092,null,null,1757,null,null,355,null,null,1877,null,null,1136,null,null,1008,null,null,443,null,null,38
9476221,11069,4655770,6439,1011419,3838,2906661,3855,737690,1084,4820451,6695,958685,4224,2922830,3856,938936,1237,11069,null,null,6439,null,null,3838,null,null,3855,null,null,1084,null,null,6695,null,null,4224,null,null,3856,null,null,1237,null,null,39
2841467,7869,1406212,4418,315211,2833,867078,2723,223923,737,1435255,4682,297414,3234,860746,2504,277095,779,7869,null,null,4418,null,null,2833,null,null,2723,null,null,737,null,null,4682,null,null,3234,null,null,2504,null,null,779,null,null,40
3455810,13019,1705752,7256,346556,4433,1064616,4558,294580,1116,1750058,7781,332277,4322,1069711,4595,348070,1039,13019,null,null,7256,null,null,4433,null,null,4558,null,null,1116,null,null,7781,null,null,4322,null,null,4595,null,null,1039,null,null,41
10340877,15158,5071236,8890,1012258,4800,3182435,5658,876543,1403,5269641,8412,961721,4655,3184799,5485,1123121,1299,15158,null,null,8890,null,null,4800,null,null,5658,null,null,1403,null,null,8412,null,null,4655,null,null,5485,null,null,1299,null,null,42
850105,6310,408384,3789,76551,1965,263544,2468,68289,589,441721,3528,72891,2139,276559,2168,92271,812,6310,null,null,3789,null,null,1965,null,null,2468,null,null,589,null,null,3528,null,null,2139,null,null,2168,null,null,812,null,null,44
3342552,9869,1641059,5937,340434,3832,1007158,3916,293467,905,1701493,5970,326742,3825,1022675,3299,352076,1010,9869,null,null,5937,null,null,3832,null,null,3916,null,null,905,null,null,5970,null,null,3825,null,null,3299,null,null,1010,null,null,45
732939,2644,368736,1836,83533,1092,225053,1230,60150,35,364203,1845,77933,1189,215119,1138,71151,396,2644,null,null,1836,null,null,1092,null,null,1230,null,null,35,null,null,1845,null,null,1189,null,null,1138,null,null,396,null,null,46
5177478,9138,2542295,6367,559790,4312,1576520,3255,405985,888,2635183,5758,520482,4063,1609864,3034,504837,966,9138,null,null,6367,null,null,4312,null,null,3255,null,null,888,null,null,5758,null,null,4063,null,null,3034,null,null,966,null,null,47
20702709,41751,10304549,25253,2688520,15268,6370451,14932,1245578,4151,10398160,23551,2564734,13150,6301186,15324,1532240,4757,41751,null,null,25253,null,null,15268,null,null,14932,null,null,4151,null,null,23551,null,null,13150,null,null,15324,null,null,4757,null,null,48
2633283,10649,1322908,6306,397606,3771,785403,3750,139899,731,1310375,5820,373889,3057,774564,3439,161922,1220,10649,null,null,6306,null,null,3771,null,null,3750,null,null,731,null,null,5820,null,null,3057,null,null,3439,null,null,1220,null,null,49
589379,961,290228,781,55382,546,184452,685,50394,168,299151,994,52407,720,186391,756,60353,360,961,null,null,781,null,null,546,null,null,685,null,null,168,null,null,994,null,null,720,null,null,756,null,null,360,null,null,50
5707035,12066,2821717,8244,590922,4814,1799896,5740,430899,1376,2885318,7753,564649,4761,1789735,4838,530934,1345,12066,null,null,8244,null,null,4814,null,null,5740,null,null,1376,null,null,7753,null,null,4761,null,null,4838,null,null,1345,null,null,51
5516602,14010,2757081,8796,566971,5317,1754056,5105,436054,1074,2759521,8051,538992,4884,1707295,4804,513234,1289,14010,null,null,8796,null,null,5317,null,null,5105,null,null,1074,null,null,8051,null,null,4884,null,null,4804,null,null,1289,null,null,53
1704195,2452,837370,2352,173533,1778,514366,1593,149471,470,866825,2528,166743,2002,519358,1202,180724,773,2452,null,null,2352,null,null,1778,null,null,1593,null,null,470,null,null,2528,null,null,2002,null,null,1202,null,null,773,null,null,54
4941688,8179,2460862,5035,513868,3129,1549473,2966,397521,719,2480826,4722,484267,2886,1515748,2839,480811,880,8179,null,null,5035,null,null,3129,null,null,2966,null,null,719,null,null,4722,null,null,2886,null,null,2839,null,null,880,null,null,55
538819,2339,273901,1993,62913,1760,171173,1494,39815,392,264918,2016,60852,1851,159279,844,44787,557,2339,null,null,1993,null,null,1760,null,null,1494,null,null,392,null,null,2016,null,null,1851,null,null,844,null,null,557,null,null,56
2278731,20296,1073997,12443,234206,7164,642051,8394,197740,4036,1204734,11599,220409,5538,721616,8298,262709,3880,20296,null,null,12443,null,null,7164,null,null,8394,null,null,4036,null,null,11599,null,null,5538,null,null,8298,null,null,3880,null,null,72
3316384,6545,1624451,4343,350500,2870,1000393,2713,273558,1048,1691933,5150,332492,3194,1013146,2689,346295,1088,6545,null,null,4343,null,null,2870,null,null,2713,null,null,1048,null,null,5150,null,null,3194,null,null,2689,null,null,1088,null,null,01
477895,3267,255347,2292,52959,1093,172469,1633,29919,245,222548,1895,47479,1000,146941,1574,28128,241,3267,null,null,2292,null,null,1093,null,null,1633,null,null,245,null,null,1895,null,null,1000,null,null,1574,null,null,241,null,null,02
5254944,21891,2601945,10970,566871,6033,1548008,7899,487066,1608,2652999,13797,546739,7276,1543128,8704,563132,1953,21891,null,null,10970,null,null,6033,null,null,7899,null,null,1608,null,null,13797,null,null,7276,null,null,8704,null,null,1953,null,null,04
2290066,5262,1129742,3675,255320,2858,684044,2296,190378,871,1160324,3976,237777,3000,687539,2426,235008,970,5262,null,null,3675,null,null,2858,null,null,2296,null,null,871,null,null,3976,null,null,3000,null,null,2426,null,null,970,null,null,05
23420234,62421,11699791,34015,2562974,16686,7440106,21868,1696711,4884,11720443,35440,2452852,19224,7191908,21696,2075683,6649,62421,null,null,34015,null,null,16686,null,null,21868,null,null,4884,null,null,35440,null,null,19224,null,null,21696,null,null,6649,null,null,06
4654921,13381,2338405,8112,513593,4867,1514159,5568,310653,1430,2316516,8785,482686,5331,1465787,5203,368043,1699,13381,null,null,8112,null,null,4867,null,null,5568,null,null,1430,null,null,8785,null,null,5331,null,null,5203,null,null,1699,null,null,08
2741892,12294,1333837,7365,266584,3160,844483,5441,222770,1028,1408055,7034,254955,3705,864072,4259,289028,994,12294,null,null,7365,null,null,3160,null,null,5441,null,null,1028,null,null,7034,null,null,3705,null,null,4259,null,null,994,null,null,09
659091,5072,321219,3034,63953,1424,196103,1998,61163,564,337872,2700,60002,1656,203106,1428,74764,474,5072,null,null,3034,null,null,1424,null,null,1998,null,null,564,null,null,2700,null,null,1656,null,null,1428,null,null,474,null,null,10
277268,3530,138829,2431,16471,1034,108999,1942,13359,334,138439,1970,15976,1063,107718,1325,14745,642,3530,null,null,2431,null,null,1034,null,null,1942,null,null,334,null,null,1970,null,null,1063,null,null,1325,null,null,642,null,null,11
