B11002F_001E,B11002F_001M,B11002F_002E,B11002F_002M,B11002F_003E,B11002F_003M,B11002F_004E,B11002F_004M,B11002F_005E,B11002F_005M,B11002F_006E,B11002F_006M,B11002F_007E,B11002F_007M,B11002F_008E,B11002F_008M,B11002F_009E,B11002F_009M,B11002F_010E,B11002F_010M,B11002F_011E,B11002F_011M,B11002F_012E,B11002F_012M,B11002F_001M,B11002F_001EA,B11002F_001MA,B11002F_002M,B11002F_002EA,B11002F_002MA,B11002F_003M,B11002F_003EA,B11002F_003MA,B11002F_004M,B11002F_004EA,B11002F_004MA,B11002F_005M,B11002F_005EA,B11002F_005MA,B11002F_006M,B11002F_006EA,B11002F_006MA,B11002F_007M,B11002F_007EA,B11002F_007MA,B11002F_008M,B11002F_008EA,B11002F_008MA,B11002F_009M,B11002F_009EA,B11002F_009MA,B11002F_010M,B11002F_010EA,B11002F_010MA,B11002F_011M,B11002F_011EA,B11002F_011MA,B11002F_012M,B11002F_012EA,B11002F_012MA,state
59263,6373,53939,6221,26825,6141,25577,6001,1248,833,6121,2385,5564,2276,557,357,20993,4402,20127,4190,866,516,5324,1491,6373,null,null,6221,null,null,6141,null,null,6001,null,null,833,null,null,2385,null,null,2276,null,null,357,null,null,4402,null,null,4190,null,null,516,null,null,1491,null,null,44
69850,9424,62625,9219,37184,6989,37053,6988,131,218,8745,4216,7129,3261,1616,1251,16696,5237,15100,4606,1596,1018,7225,1983,9424,null,null,9219,null,null,6989,null,null,6988,null,null,218,null,null,4216,null,null,3261,null,null,1251,null,null,5237,null,null,4606,null,null,1018,null,null,1983,null,null,45
5623,1978,5142,1970,3991,1890,3958,1882,33,66,845,643,768,626,77,67,306,363,273,318,33,61,481,407,1978,null,null,1970,null,null,1890,null,null,1882,null,null,66,null,null,643,null,null,626,null,null,67,null,null,363,null,null,318,null,null,61,null,null,407,null,null,46
70190,6905,64170,6969,37686,5825,37056,5557,630,825,10144,3309,8658,2847,1486,774,16340,4022,15054,3705,1286,892,6020,1867,6905,null,null,6969,null,null,5825,null,null,5557,null,null,825,null,null,3309,null,null,2847,null,null,774,null,null,4022,null,null,3705,null,null,892,null,null,1867,null,null,47
1558550,41996,1406291,40421,914661,32266,908577,32050,6084,1802,171849,19849,153030,17482,18819,3165,319781,21641,301740,20491,18041,3073,152259,9630,41996,null,null,40421,null,null,32266,null,null,32050,null,null,1802,null,null,19849,null,null,17482,null,null,3165,null,null,21641,null,null,20491,null,null,3073,null,null,9630,null,null,48
159638,10523,147271,10535,96908,10167,95494,9986,1414,776,19425,6610,16728,5815,2697,1146,30938,6611,28620,6039,2318,1237,12367,3208,10523,null,null,10535,null,null,10167,null,null,9986,null,null,776,null,null,6610,null,null,5815,null,null,1146,null,null,6611,null,null,6039,null,null,1237,null,null,3208,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
211655,13026,189833,14343,119155,14156,114118,13610,5037,2182,27611,6753,20555,4911,7056,2700,43067,7793,38174,6948,4893,1701,21822,5388,13026,null,null,14343,null,null,14156,null,null,13610,null,null,2182,null,null,6753,null,null,4911,null,null,2700,null,null,7793,null,null,6948,null,null,1701,null,null,5388,null,null,51
334613,15355,301630,15931,199863,15385,197867,14980,1996,1131,38227,7978,32788,6906,5439,1588,63540,9166,55770,7949,7770,2370,32983,4618,15355,null,null,15931,null,null,15385,null,null,14980,null,null,1131,null,null,7978,null,null,6906,null,null,1588,null,null,9166,null,null,7949,null,null,2370,null,null,4618,null,null,53
5456,1686,4380,1670,1596,906,1596,906,0,193,1089,953,1089,953,0,193,1695,1099,1111,717,584,449,1076,556,1686,null,null,1670,null,null,906,null,null,906,null,null,193,null,null,953,null,null,953,null,null,193,null,null,1099,null,null,717,null,null,449,null,null,556,null,null,54
118530,8901,105956,9055,60359,7176,59724,7231,635,461,15497,4364,12784,3805,2713,968,30100,6505,28413,6138,1687,786,12574,2529,8901,null,null,9055,null,null,7176,null,null,7231,null,null,461,null,null,4364,null,null,3805,null,null,968,null,null,6505,null,null,6138,null,null,786,null,null,2529,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
571326,20946,497153,21544,255323,14873,254493,14935,830,547,52971,7149,46194,6147,6777,1501,188859,13677,180963,13288,7896,1564,74173,4867,20946,null,null,21544,null,null,14873,null,null,14935,null,null,547,null,null,7149,null,null,6147,null,null,1501,null,null,13677,null,null,13288,null,null,1564,null,null,4867,null,null,72
61943,6522,55416,6412,42652,6321,42316,6291,336,261,6530,3360,5891,2922,639,563,6234,2872,5928,2704,306,322,6527,1561,6522,null,null,6412,null,null,6321,null,null,6291,null,null,261,null,null,3360,null,null,2922,null,null,563,null,null,2872,null,null,2704,null,null,322,null,null,1561,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
560662,22170,509245,22232,297674,18201,295063,18001,2611,1100,71275,11699,62192,10380,9083,2035,140296,14247,132209,13643,8087,1499,51417,5160,22170,null,null,22232,null,null,18201,null,null,18001,null,null,1100,null,null,11699,null,null,10380,null,null,2035,null,null,14247,null,null,13643,null,null,1499,null,null,5160,null,null,04
83328,6974,75937,7162,55472,6081,55329,6089,143,288,6492,2907,5669,2510,823,633,13973,4355,13391,4062,582,602,7391,2045,6974,null,null,7162,null,null,6081,null,null,6089,null,null,288,null,null,2907,null,null,2510,null,null,633,null,null,4355,null,null,4062,null,null,602,null,null,2045,null,null,05
5512859,67257,5132144,65745,3230280,62950,3168520,60739,61760,7078,672556,34095,579733,29691,92823,7207,1229308,44263,1130383,39528,98925,8194,380715,17161,67257,null,null,65745,null,null,62950,null,null,60739,null,null,7078,null,null,34095,null,null,29691,null,null,7207,null,null,44263,null,null,39528,null,null,8194,null,null,17161,null,null,06
219145,13097,191983,12798,131854,12314,129929,12079,1925,1100,17311,5338,15685,4872,1626,735,42818,6681,39587,6022,3231,1364,27162,3760,13097,null,null,12798,null,null,12314,null,null,12079,null,null,1100,null,null,5338,null,null,4872,null,null,735,null,null,6681,null,null,6022,null,null,1364,null,null,3760,null,null,08
163876,11990,139767,11332,60427,8708,60039,8582,388,429,18917,5796,15770,4932,3147,1316,60423,9207,55896,8217,4527,1677,24109,4374,11990,null,null,11332,null,null,8708,null,null,8582,null,null,429,null,null,5796,null,null,4932,null,null,1316,null,null,9207,null,null,8217,null,null,1677,null,null,4374,null,null,09
14669,4684,14271,4723,7451,3943,7451,3943,0,193,2013,1969,2002,1968,11,20,4807,2422,4807,2422,0,193,398,219,4684,null,null,4723,null,null,3943,null,null,3943,null,null,193,null,null,1969,null,null,1968,null,null,20,null,null,2422,null,null,2422,null,null,193,null,null,219,null,null,10
35573,4608,29251,4846,13599,4926,13131,4963,468,625,6095,2657,4399,1913,1696,1221,9557,3298,9373,3265,184,287,6322,1873,4608,null,null,4846,null,null,4926,null,null,4963,null,null,625,null,null,2657,null,null,1913,null,null,1221,null,null,3298,null,null,3265,null,null,287,null,null,1873,null,null,11
