B28009H_001E,B28009H_001M,B28009H_002E,B28009H_002M,B28009H_003E,B28009H_003M,B28009H_004E,B28009H_004M,B28009H_005E,B28009H_005M,B28009H_006E,B28009H_006M,B28009H_001M,B28009H_001EA,B28009H_001MA,B28009H_002M,B28009H_002EA,B28009H_002MA,B28009H_003M,B28009H_003EA,B28009H_003MA,B28009H_004M,B28009H_004EA,B28009H_004MA,B28009H_005M,B28009H_005EA,B28009H_005MA,B28009H_006M,B28009H_006EA,B28009H_006MA,state
483262,1097,456730,3271,2126,805,426127,5230,28477,4108,26532,3091,1097,null,null,3271,null,null,805,null,null,5230,null,null,4108,null,null,3091,null,null,56
35258,4796,31559,4694,749,507,25879,4064,4931,1993,3699,1326,4796,null,null,4694,null,null,507,null,null,4064,null,null,1993,null,null,1326,null,null,72
3132383,3539,2843021,12976,12539,2778,2582421,17903,248061,13116,289362,11911,3539,null,null,12976,null,null,2778,null,null,17903,null,null,13116,null,null,11911,null,null,01
438082,1366,427385,2427,2290,980,397596,4761,27499,3808,10697,2154,1366,null,null,2427,null,null,980,null,null,4761,null,null,3808,null,null,2154,null,null,02
3756132,3899,3576083,10260,11219,2287,3365703,14638,199161,10878,180049,8671,3899,null,null,10260,null,null,2287,null,null,14638,null,null,10878,null,null,8671,null,null,04
2119887,2237,1904683,9497,7541,1484,1631478,16971,265664,14995,215204,9424,2237,null,null,9497,null,null,1484,null,null,16971,null,null,14995,null,null,9424,null,null,05
14390910,11180,13781785,18100,41216,4198,13151996,26454,588573,18572,609125,14414,11180,null,null,18100,null,null,4198,null,null,26454,null,null,18572,null,null,14414,null,null,06
3722228,2864,3604614,7008,14574,3130,3429037,12041,161003,8855,117614,6450,2864,null,null,7008,null,null,3130,null,null,12041,null,null,8855,null,null,6450,null,null,08
2339648,3601,2202363,6985,7686,1949,2114622,9979,80055,6822,137285,7059,3601,null,null,6985,null,null,1949,null,null,9979,null,null,6822,null,null,7059,null,null,09
583792,1331,551255,3994,1169,832,523391,5859,26695,4358,32537,3960,1331,null,null,3994,null,null,832,null,null,5859,null,null,4358,null,null,3960,null,null,10
231560,2058,227737,2181,30,50,222959,2440,4748,1331,3823,919,2058,null,null,2181,null,null,50,null,null,2440,null,null,1331,null,null,919,null,null,11
