B19101B_001E,B19101B_001M,B19101B_002E,B19101B_002M,B19101B_003E,B19101B_003M,B19101B_004E,B19101B_004M,B19101B_005E,B19101B_005M,B19101B_006E,B19101B_006M,B19101B_007E,B19101B_007M,B19101B_008E,B19101B_008M,B19101B_009E,B19101B_009M,B19101B_010E,B19101B_010M,B19101B_011E,B19101B_011M,B19101B_012E,B19101B_012M,B19101B_013E,B19101B_013M,B19101B_014E,B19101B_014M,B19101B_015E,B19101B_015M,B19101B_016E,B19101B_016M,B19101B_017E,B19101B_017M,B19101B_001M,B19101B_001EA,B19101B_001MA,B19101B_002M,B19101B_002EA,B19101B_002MA,B19101B_003M,B19101B_003EA,B19101B_003MA,B19101B_004M,B19101B_004EA,B19101B_004MA,B19101B_005M,B19101B_005EA,B19101B_005MA,B19101B_006M,B19101B_006EA,B19101B_006MA,B19101B_007M,B19101B_007EA,B19101B_007MA,B19101B_008M,B19101B_008EA,B19101B_008MA,B19101B_009M,B19101B_009EA,B19101B_009MA,B19101B_010M,B19101B_010EA,B19101B_010MA,B19101B_011M,B19101B_011EA,B19101B_011MA,B19101B_012M,B19101B_012EA,B19101B_012MA,B19101B_013M,B19101B_013EA,B19101B_013MA,B19101B_014M,B19101B_014EA,B19101B_014MA,B19101B_015M,B19101B_015EA,B19101B_015MA,B19101B_016M,B19101B_016EA,B19101B_016MA,B19101B_017M,B19101B_017EA,B19101B_017MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
409069,6644,18662,2346,9442,1702,13662,2001,14392,2213,15509,2215,16036,2682,12663,2053,15323,1554,14125,2501,33365,3526,40296,3822,60571,3292,45961,3291,33011,2921,37676,2622,28375,2209,6644,null,null,2346,null,null,1702,null,null,2001,null,null,2213,null,null,2215,null,null,2682,null,null,2053,null,null,1554,null,null,2501,null,null,3526,null,null,3822,null,null,3292,null,null,3291,null,null,2921,null,null,2622,null,null,2209,null,null,24
109908,3807,9937,1922,4985,1223,3838,1050,4689,1248,4460,1248,6718,1613,5009,1082,5419,1208,4436,1075,8618,1512,11624,1876,12762,1746,9605,1441,5794,1401,6368,1501,5646,1078,3807,null,null,1922,null,null,1223,null,null,1050,null,null,1248,null,null,1248,null,null,1613,null,null,1082,null,null,1208,null,null,1075,null,null,1512,null,null,1876,null,null,1746,null,null,1441,null,null,1401,null,null,1501,null,null,1078,null,null,25
298551,6081,33284,2888,17497,2448,21491,2187,21746,2044,17327,1984,20583,2282,14150,1693,18731,2268,13783,1931,20816,2423,28564,2685,31515,2597,16564,1882,8691,1296,9362,1351,4447,968,6081,null,null,2888,null,null,2448,null,null,2187,null,null,2044,null,null,1984,null,null,2282,null,null,1693,null,null,2268,null,null,1931,null,null,2423,null,null,2685,null,null,2597,null,null,1882,null,null,1296,null,null,1351,null,null,968,null,null,26
61692,2599,5749,1384,3811,1111,4044,1331,4527,1319,4447,1104,4499,1245,4035,1137,3251,1132,3025,1032,4456,1089,4591,1156,7367,1593,2360,715,2258,882,1900,713,1372,535,2599,null,null,1384,null,null,1111,null,null,1331,null,null,1319,null,null,1104,null,null,1245,null,null,1137,null,null,1132,null,null,1032,null,null,1089,null,null,1156,null,null,1593,null,null,715,null,null,882,null,null,713,null,null,535,null,null,27
254801,6418,30338,3211,21062,3039,21881,2659,17083,2464,18668,2171,17199,2345,13293,2020,14214,1986,10767,1702,21102,2579,22104,2651,23134,2303,10780,2061,7322,1550,3681,826,2173,919,6418,null,null,3211,null,null,3039,null,null,2659,null,null,2464,null,null,2171,null,null,2345,null,null,2020,null,null,1986,null,null,1702,null,null,2579,null,null,2651,null,null,2303,null,null,2061,null,null,1550,null,null,826,null,null,919,null,null,28
158012,5051,12133,2329,10044,1641,11084,1799,9156,1631,9801,1578,9330,1690,10697,1874,10682,2027,6514,1460,13343,2185,16297,2216,16075,2188,10169,1380,5311,1247,5059,1052,2317,869,5051,null,null,2329,null,null,1641,null,null,1799,null,null,1631,null,null,1578,null,null,1690,null,null,1874,null,null,2027,null,null,1460,null,null,2185,null,null,2216,null,null,2188,null,null,1380,null,null,1247,null,null,1052,null,null,869,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
19245,1427,1507,666,1073,511,863,412,2156,889,1552,739,1733,591,1337,718,1026,507,612,368,1337,629,1402,617,1650,662,766,346,1032,508,370,217,829,517,1427,null,null,666,null,null,511,null,null,412,null,null,889,null,null,739,null,null,591,null,null,718,null,null,507,null,null,368,null,null,629,null,null,617,null,null,662,null,null,346,null,null,508,null,null,217,null,null,517,null,null,31
53695,2784,4616,1247,2452,740,2571,850,2868,953,2639,937,3723,1133,3842,1095,2973,1000,2569,847,5020,1078,4971,1140,6548,1450,2905,727,1992,875,3081,1070,925,470,2784,null,null,1247,null,null,740,null,null,850,null,null,953,null,null,937,null,null,1133,null,null,1095,null,null,1000,null,null,847,null,null,1078,null,null,1140,null,null,1450,null,null,727,null,null,875,null,null,1070,null,null,470,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
257018,5811,16569,2401,9592,1665,11336,1848,12423,2394,12594,2220,13909,2468,12647,2352,10242,1596,8298,1373,17944,2190,23339,2761,32762,2814,26669,2798,15854,2063,17809,2120,15031,2136,5811,null,null,2401,null,null,1665,null,null,1848,null,null,2394,null,null,2220,null,null,2468,null,null,2352,null,null,1596,null,null,1373,null,null,2190,null,null,2761,null,null,2814,null,null,2798,null,null,2063,null,null,2120,null,null,2136,null,null,34
8023,1020,443,280,267,237,345,310,386,315,393,279,585,381,198,157,533,396,1245,772,452,318,864,459,1132,490,497,324,162,151,245,225,276,213,1020,null,null,280,null,null,237,null,null,310,null,null,315,null,null,279,null,null,381,null,null,157,null,null,396,null,null,772,null,null,318,null,null,459,null,null,490,null,null,324,null,null,151,null,null,225,null,null,213,null,null,35
659545,9372,55691,4305,32549,2973,30322,2549,31042,3144,30382,3161,32010,2983,30917,2907,28369,2314,24684,3024,50739,3935,65147,3791,87493,5085,56992,3776,36633,2455,39813,2859,26762,2144,9372,null,null,4305,null,null,2973,null,null,2549,null,null,3144,null,null,3161,null,null,2983,null,null,2907,null,null,2314,null,null,3024,null,null,3935,null,null,3791,null,null,5085,null,null,3776,null,null,2455,null,null,2859,null,null,2144,null,null,36
496674,9008,38645,3630,31284,3338,32924,3369,32762,3274,33807,2902,31347,2828,29328,3535,29459,2716,22092,2474,43927,3382,52090,3865,57961,4069,27577,2804,13574,2005,11981,1896,7916,1424,9008,null,null,3630,null,null,3338,null,null,3369,null,null,3274,null,null,2902,null,null,2828,null,null,3535,null,null,2716,null,null,2474,null,null,3382,null,null,3865,null,null,4069,null,null,2804,null,null,2005,null,null,1896,null,null,1424,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
324019,5702,42847,3569,21146,2315,21177,2448,19431,2444,20349,2648,20317,2178,19403,2497,17296,2083,14147,2093,24464,2280,32485,3328,31365,2699,17689,2451,8991,1655,7515,1606,5397,1051,5702,null,null,3569,null,null,2315,null,null,2448,null,null,2444,null,null,2648,null,null,2178,null,null,2497,null,null,2083,null,null,2093,null,null,2280,null,null,3328,null,null,2699,null,null,2451,null,null,1655,null,null,1606,null,null,1051,null,null,39
62040,2470,7061,1248,3497,820,4129,909,4495,955,3948,922,3980,788,3964,1003,3762,876,2204,626,5261,977,4999,1099,6330,1373,3951,1026,1697,715,1747,591,1015,381,2470,null,null,1248,null,null,820,null,null,909,null,null,955,null,null,922,null,null,788,null,null,1003,null,null,876,null,null,626,null,null,977,null,null,1099,null,null,1373,null,null,1026,null,null,715,null,null,591,null,null,381,null,null,40
13848,1794,1663,712,301,242,454,378,991,568,799,471,1153,739,402,327,765,516,261,231,1178,676,1792,865,1721,650,881,564,501,358,546,408,440,309,1794,null,null,712,null,null,242,null,null,378,null,null,568,null,null,471,null,null,739,null,null,327,null,null,516,null,null,231,null,null,676,null,null,865,null,null,650,null,null,564,null,null,358,null,null,408,null,null,309,null,null,41
285881,6078,27127,2707,16810,2338,16258,2363,14572,2218,20427,2387,17340,2518,15473,2572,16627,2266,12368,1876,25167,2617,27835,2829,28751,2801,17395,2292,10251,1437,10702,2069,8778,1712,6078,null,null,2707,null,null,2338,null,null,2363,null,null,2218,null,null,2387,null,null,2518,null,null,2572,null,null,2266,null,null,1876,null,null,2617,null,null,2829,null,null,2801,null,null,2292,null,null,1437,null,null,2069,null,null,1712,null,null,42
14302,1501,1049,529,887,478,792,485,361,264,1004,535,292,275,547,335,728,464,342,312,1533,772,2130,748,1050,521,2031,843,531,331,703,438,322,261,1501,null,null,529,null,null,478,null,null,485,null,null,264,null,null,535,null,null,275,null,null,335,null,null,464,null,null,312,null,null,772,null,null,748,null,null,521,null,null,843,null,null,331,null,null,438,null,null,261,null,null,44
298044,6358,27895,3126,15587,1919,19231,2691,23367,2406,20348,2528,21946,2486,17936,2656,15632,2336,16384,2113,25318,2812,28751,2771,31673,3512,17484,2608,7220,1325,5858,1269,3414,896,6358,null,null,3126,null,null,1919,null,null,2691,null,null,2406,null,null,2528,null,null,2486,null,null,2656,null,null,2336,null,null,2113,null,null,2812,null,null,2771,null,null,3512,null,null,2608,null,null,1325,null,null,1269,null,null,896,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
250298,6291,25111,2830,15260,2436,15166,2045,17403,2456,15530,2226,15881,1972,15039,2043,11426,2005,10757,2212,20258,2256,26306,2721,27135,2755,15612,2233,8117,1692,6693,1344,4604,931,6291,null,null,2830,null,null,2436,null,null,2045,null,null,2456,null,null,2226,null,null,1972,null,null,2043,null,null,2005,null,null,2212,null,null,2256,null,null,2721,null,null,2755,null,null,2233,null,null,1692,null,null,1344,null,null,931,null,null,47
748972,11545,54330,4522,34043,3961,41381,3763,42859,4021,38570,3910,43796,4375,37252,3647,39970,4035,30929,2906,59076,4902,75363,4584,96310,5421,65275,5380,32159,3425,32794,3904,24865,2774,11545,null,null,4522,null,null,3961,null,null,3763,null,null,4021,null,null,3910,null,null,4375,null,null,3647,null,null,4035,null,null,2906,null,null,4902,null,null,4584,null,null,5421,null,null,5380,null,null,3425,null,null,3904,null,null,2774,null,null,48
7029,1101,600,631,649,486,1022,677,400,274,710,593,205,176,294,324,223,295,183,212,460,318,611,470,978,560,417,306,0,190,61,87,216,253,1101,null,null,631,null,null,486,null,null,677,null,null,274,null,null,593,null,null,176,null,null,324,null,null,295,null,null,212,null,null,318,null,null,470,null,null,560,null,null,306,null,null,190,null,null,87,null,null,253,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
363808,6519,24106,2744,14702,2164,17054,2391,17390,2204,14950,2014,18326,2442,17895,2282,18089,2589,13558,2158,28564,3203,36827,3352,50324,3902,32399,2729,20000,2223,20490,2223,19134,2465,6519,null,null,2744,null,null,2164,null,null,2391,null,null,2204,null,null,2014,null,null,2442,null,null,2282,null,null,2589,null,null,2158,null,null,3203,null,null,3352,null,null,3902,null,null,2729,null,null,2223,null,null,2223,null,null,2465,null,null,51
56845,3895,3964,1218,3147,1263,3252,1112,2969,927,2640,1151,3467,1038,3100,1228,2136,917,2509,899,4333,1328,6735,1407,6212,1337,5056,1380,2913,1032,2711,811,1701,688,3895,null,null,1218,null,null,1263,null,null,1112,null,null,927,null,null,1151,null,null,1038,null,null,1228,null,null,917,null,null,899,null,null,1328,null,null,1407,null,null,1337,null,null,1380,null,null,1032,null,null,811,null,null,688,null,null,53
14650,1653,2128,1017,1003,413,635,362,421,293,1208,531,580,431,486,266,385,319,924,570,1336,581,1495,638,1873,612,767,383,789,372,325,325,295,324,1653,null,null,1017,null,null,413,null,null,362,null,null,293,null,null,531,null,null,431,null,null,266,null,null,319,null,null,570,null,null,581,null,null,638,null,null,612,null,null,383,null,null,372,null,null,325,null,null,324,null,null,54
74212,2851,9664,1552,6933,1858,5048,1183,5260,1236,5880,1533,3480,901,5649,1377,4139,1012,2983,844,4948,999,7381,1198,5365,1158,3308,716,1526,709,1693,497,955,321,2851,null,null,1552,null,null,1858,null,null,1183,null,null,1236,null,null,1533,null,null,901,null,null,1377,null,null,1012,null,null,844,null,null,999,null,null,1198,null,null,1158,null,null,716,null,null,709,null,null,497,null,null,321,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
97589,4526,24286,2601,10117,1555,8898,1546,9461,1486,7164,1336,6840,1145,6283,1185,4290,904,4023,1032,5220,1110,5222,1171,3175,866,1560,632,478,369,212,224,360,282,4526,null,null,2601,null,null,1555,null,null,1546,null,null,1486,null,null,1336,null,null,1145,null,null,1185,null,null,904,null,null,1032,null,null,1110,null,null,1171,null,null,866,null,null,632,null,null,369,null,null,224,null,null,282,null,null,72
296319,6678,31795,3346,17991,2138,22793,2946,22706,2435,20174,2849,18519,2514,16616,2368,14551,1803,11949,1904,25371,2840,26309,2610,29187,2851,16539,2013,8872,1683,8108,1396,4839,1233,6678,null,null,3346,null,null,2138,null,null,2946,null,null,2435,null,null,2849,null,null,2514,null,null,2368,null,null,1803,null,null,1904,null,null,2840,null,null,2610,null,null,2851,null,null,2013,null,null,1683,null,null,1396,null,null,1233,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
63364,2695,6214,1372,2906,887,2551,873,3446,930,4348,1108,3593,1076,4025,1240,3522,1174,2258,839,5033,1278,6139,1478,7053,1308,5235,1176,2260,924,3010,1065,1771,866,2695,null,null,1372,null,null,887,null,null,873,null,null,930,null,null,1108,null,null,1076,null,null,1240,null,null,1174,null,null,839,null,null,1278,null,null,1478,null,null,1308,null,null,1176,null,null,924,null,null,1065,null,null,866,null,null,04
105282,3382,11844,1921,6529,1299,8401,1759,8372,1713,6442,1490,7164,1610,6896,1666,6875,1562,5084,1161,9520,1700,9292,1813,10175,1726,3974,856,2293,838,1245,528,1176,646,3382,null,null,1921,null,null,1299,null,null,1759,null,null,1713,null,null,1490,null,null,1610,null,null,1666,null,null,1562,null,null,1161,null,null,1700,null,null,1813,null,null,1726,null,null,856,null,null,838,null,null,528,null,null,646,null,null,05
478801,8628,36552,3694,25032,2670,22456,2776,23576,2824,20137,2164,23534,2855,19259,2176,20458,2481,20311,2414,34272,2791,44653,3481,58164,4227,44199,3653,29664,2532,29904,2572,26630,2302,8628,null,null,3694,null,null,2670,null,null,2776,null,null,2824,null,null,2164,null,null,2855,null,null,2176,null,null,2481,null,null,2414,null,null,2791,null,null,3481,null,null,4227,null,null,3653,null,null,2532,null,null,2572,null,null,2302,null,null,06
49000,2795,3331,1124,2430,1060,1766,731,1939,816,3221,1191,1591,753,2133,825,2721,933,3396,1182,4452,1183,5015,1258,5328,1141,5018,1121,2785,844,2272,688,1602,529,2795,null,null,1124,null,null,1060,null,null,731,null,null,816,null,null,1191,null,null,753,null,null,825,null,null,933,null,null,1182,null,null,1183,null,null,1258,null,null,1141,null,null,1121,null,null,844,null,null,688,null,null,529,null,null,08
83572,3203,5676,1217,3001,1190,3284,1203,5582,1432,4900,1266,4102,1068,3618,1086,4848,1092,4143,1093,6453,1225,8873,1781,8822,1486,7999,1753,4826,1106,5415,1183,2030,625,3203,null,null,1217,null,null,1190,null,null,1203,null,null,1432,null,null,1266,null,null,1068,null,null,1086,null,null,1092,null,null,1093,null,null,1225,null,null,1781,null,null,1486,null,null,1753,null,null,1106,null,null,1183,null,null,625,null,null,09
46925,2594,2754,1128,1857,757,1818,752,3027,1108,3104,948,2019,762,2518,1033,2861,773,2595,915,2952,903,5378,951,5774,1283,4088,983,3245,1263,1315,578,1620,716,2594,null,null,1128,null,null,757,null,null,752,null,null,1108,null,null,948,null,null,762,null,null,1033,null,null,773,null,null,915,null,null,903,null,null,951,null,null,1283,null,null,983,null,null,1263,null,null,578,null,null,716,null,null,10
60572,2301,7410,1505,3142,903,2579,815,2992,956,2927,1009,3692,1088,2332,732,2284,889,2170,671,4406,994,4618,1200,6221,1062,4801,902,3256,927,3342,801,4400,983,2301,null,null,1505,null,null,903,null,null,815,null,null,956,null,null,1009,null,null,1088,null,null,732,null,null,889,null,null,671,null,null,994,null,null,1200,null,null,1062,null,null,902,null,null,927,null,null,801,null,null,983,null,null,11
