C21001F_001E,C21001F_001M,C21001F_002E,C21001F_002M,C21001F_003E,C21001F_003M,C21001F_004E,C21001F_004M,C21001F_005E,C21001F_005M,C21001F_006E,C21001F_006M,C21001F_007E,C21001F_007M,C21001F_008E,C21001F_008M,C21001F_009E,C21001F_009M,C21001F_010E,C21001F_010M,C21001F_011E,C21001F_011M,C21001F_012E,C21001F_012M,C21001F_013E,C21001F_013M,C21001F_014E,C21001F_014M,C21001F_015E,C21001F_015M,C21001F_001M,C21001F_001EA,C21001F_001MA,C21001F_002M,C21001F_002EA,C21001F_002MA,C21001F_003M,C21001F_003EA,C21001F_003MA,C21001F_004M,C21001F_004EA,C21001F_004MA,C21001F_005M,C21001F_005EA,C21001F_005MA,C21001F_006M,C21001F_006EA,C21001F_006MA,C21001F_007M,C21001F_007EA,C21001F_007MA,C21001F_008M,C21001F_008EA,C21001F_008MA,C21001F_009M,C21001F_009EA,C21001F_009MA,C21001F_010M,C21001F_010EA,C21001F_010MA,C21001F_011M,C21001F_011EA,C21001F_011MA,C21001F_012M,C21001F_012EA,C21001F_012MA,C21001F_013M,C21001F_013EA,C21001F_013MA,C21001F_014M,C21001F_014EA,C21001F_014MA,C21001F_015M,C21001F_015EA,C21001F_015MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
46352,4254,26074,2791,25547,2710,627,380,24920,2746,527,347,63,120,464,328,20278,2327,18869,2288,232,256,18637,2273,1409,480,0,204,1409,480,4254,null,null,2791,null,null,2710,null,null,380,null,null,2746,null,null,347,null,null,120,null,null,328,null,null,2327,null,null,2288,null,null,256,null,null,2273,null,null,480,null,null,204,null,null,480,null,null,47
1132729,27552,588638,16052,545772,15588,19575,2685,526197,15444,42866,3263,7918,1421,34948,3000,544091,15089,487878,15022,4167,1135,483711,14704,56213,4157,223,185,55990,4178,27552,null,null,16052,null,null,15588,null,null,2685,null,null,15444,null,null,3263,null,null,1421,null,null,3000,null,null,15089,null,null,15022,null,null,1135,null,null,14704,null,null,4157,null,null,185,null,null,4178,null,null,48
105403,5668,56061,3414,54038,3333,1058,567,52980,3452,2023,516,318,222,1705,569,49342,3212,47191,3096,0,190,47191,3096,2151,613,0,190,2151,613,5668,null,null,3414,null,null,3333,null,null,567,null,null,3452,null,null,516,null,null,222,null,null,569,null,null,3212,null,null,3096,null,null,190,null,null,3096,null,null,613,null,null,190,null,null,613,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
158156,8414,87408,5553,85523,5562,4662,1095,80861,5426,1885,965,205,185,1680,960,70748,4541,67527,4286,1905,881,65622,4306,3221,1135,54,93,3167,1139,8414,null,null,5553,null,null,5562,null,null,1095,null,null,5426,null,null,965,null,null,185,null,null,960,null,null,4541,null,null,4286,null,null,881,null,null,4306,null,null,1135,null,null,93,null,null,1139,null,null,51
231712,9061,123548,5659,118981,5673,3977,1195,115004,5603,4567,1020,1243,545,3324,950,108164,5299,102793,5185,272,226,102521,5174,5371,1028,122,158,5249,1064,9061,null,null,5659,null,null,5673,null,null,1195,null,null,5603,null,null,1020,null,null,545,null,null,950,null,null,5299,null,null,5185,null,null,226,null,null,5174,null,null,1028,null,null,158,null,null,1064,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
80996,4492,42617,2692,40871,2681,965,532,39906,2589,1746,604,140,110,1606,602,38379,2762,37063,2619,255,272,36808,2646,1316,514,0,147,1316,514,4492,null,null,2692,null,null,2681,null,null,532,null,null,2589,null,null,604,null,null,110,null,null,602,null,null,2762,null,null,2619,null,null,272,null,null,2646,null,null,514,null,null,147,null,null,514,null,null,55
4233,1349,2623,1102,2294,1046,97,89,2197,1031,329,221,194,161,135,147,1610,557,1359,525,0,197,1359,525,251,175,0,197,251,175,1349,null,null,1102,null,null,1046,null,null,89,null,null,1031,null,null,221,null,null,161,null,null,147,null,null,557,null,null,525,null,null,197,null,null,525,null,null,175,null,null,197,null,null,175,null,null,56
442579,15222,208658,9121,170019,8147,3035,826,166984,8278,38639,2960,3812,978,34827,2836,233921,8261,185022,7352,177,147,184845,7385,48899,2848,0,222,48899,2848,15222,null,null,9121,null,null,8147,null,null,826,null,null,8278,null,null,2960,null,null,978,null,null,2836,null,null,8261,null,null,7352,null,null,147,null,null,7385,null,null,2848,null,null,222,null,null,2848,null,null,72
41838,4450,22420,2531,21901,2548,676,463,21225,2525,519,451,176,346,343,273,19418,2530,18300,2478,310,456,17990,2530,1118,600,0,195,1118,600,4450,null,null,2531,null,null,2548,null,null,463,null,null,2525,null,null,451,null,null,346,null,null,273,null,null,2530,null,null,2478,null,null,456,null,null,2530,null,null,600,null,null,195,null,null,600,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
406988,14506,204874,7969,191537,7597,6654,1584,184883,7966,13337,1616,3144,916,10193,1383,202114,9109,185136,8350,996,612,184140,8313,16978,2012,143,227,16835,2045,14506,null,null,7969,null,null,7597,null,null,1584,null,null,7966,null,null,1616,null,null,916,null,null,1383,null,null,9109,null,null,8350,null,null,612,null,null,8313,null,null,2012,null,null,227,null,null,2045,null,null,04
52768,3931,29164,2290,27953,2307,403,344,27550,2291,1211,480,150,193,1061,521,23604,2291,22443,2239,151,163,22292,2254,1161,616,0,197,1161,616,3931,null,null,2290,null,null,2307,null,null,344,null,null,2291,null,null,480,null,null,193,null,null,521,null,null,2291,null,null,2239,null,null,163,null,null,2254,null,null,616,null,null,197,null,null,616,null,null,05
3995584,44494,2022748,26155,1880899,25064,41909,4521,1838990,25198,141849,5106,18334,2162,123515,4690,1972836,23380,1785320,22527,4562,955,1780758,22437,187516,6772,313,218,187203,6767,44494,null,null,26155,null,null,25064,null,null,4521,null,null,25198,null,null,5106,null,null,2162,null,null,4690,null,null,23380,null,null,22527,null,null,955,null,null,22437,null,null,6772,null,null,218,null,null,6767,null,null,06
160078,8313,85477,5835,80021,5606,3747,979,76274,5397,5456,1037,2326,648,3130,763,74601,4387,67442,4418,805,494,66637,4454,7159,1035,277,244,6882,1016,8313,null,null,5835,null,null,5606,null,null,979,null,null,5397,null,null,1037,null,null,648,null,null,763,null,null,4387,null,null,4418,null,null,494,null,null,4454,null,null,1035,null,null,244,null,null,1016,null,null,08
124254,8294,65352,5328,62125,5268,1322,625,60803,5024,3227,873,363,366,2864,792,58902,3957,53575,3654,281,281,53294,3653,5327,989,0,200,5327,989,8294,null,null,5328,null,null,5268,null,null,625,null,null,5024,null,null,873,null,null,366,null,null,792,null,null,3957,null,null,3654,null,null,281,null,null,3653,null,null,989,null,null,200,null,null,989,null,null,09
11131,3296,6286,2048,5783,1911,0,193,5783,1911,503,407,44,48,459,402,4845,1478,4367,1470,61,105,4306,1474,478,340,0,193,478,340,3296,null,null,2048,null,null,1911,null,null,193,null,null,1911,null,null,407,null,null,48,null,null,402,null,null,1478,null,null,1470,null,null,105,null,null,1474,null,null,340,null,null,193,null,null,340,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
