B99172_001E,B99172_002E,B99172_003E,B99172_004E,B99172_005E,B99172_006E,B99172_007E,B99172_008E,B99172_009E,B99172_010E,B99172_011E,B99172_012E,B99172_013E,B99172_014E,B99172_015E,B99172_001EA,B99172_002EA,B99172_003EA,B99172_004EA,B99172_005EA,B99172_006EA,B99172_007EA,B99172_008EA,B99172_009EA,B99172_010EA,B99172_011EA,B99172_012EA,B99172_013EA,B99172_014EA,B99172_015EA,state
154421,8482,994,139,205,168,303,1535,98835,7588,4755,3206,5271,7837,15103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
2063049,99123,12306,2935,3281,2570,7181,29164,1242107,111677,67651,45419,67600,101075,270960,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
1784043,89442,7899,1814,1710,2622,4355,19640,1167398,86468,56560,39288,50084,79678,177085,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
467396,41889,3911,482,616,663,2236,10390,267873,21204,15617,10198,13985,23723,54609,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
1460922,71665,7832,2401,2119,2216,4944,21062,939669,79380,47884,31076,43029,61731,145914,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
145524,5781,547,167,165,390,204,1900,88499,6835,6222,3340,5090,6567,19817,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
836332,249922,13984,3107,5119,6177,11527,39511,315873,24781,12421,13869,29819,46741,63481,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
1208362,98314,11580,1647,1927,3035,5073,31957,648648,66020,34593,29026,38067,64432,174043,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
164102,7160,520,214,175,709,1022,1231,103297,4581,7570,3919,5361,15541,12802,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1648739,123460,13772,2676,2939,4399,6268,43022,891114,74357,45062,37696,54041,93067,256866,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
747917,62671,5216,2063,944,1634,2521,17465,416131,39848,20232,14282,26288,39133,99489,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
8887761,621365,58477,14219,16761,23116,38840,156475,5010742,429991,282199,240966,332287,552022,1110301,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1347936,62301,7014,1235,1826,1996,3440,16613,853796,64614,43043,28421,37887,61396,164354,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
880600,39791,3461,195,1228,1276,3428,10921,524315,47178,33028,22713,30738,53261,109067,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
232433,12081,1404,367,149,323,342,4102,133747,11806,8215,5784,7513,11657,34943,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
122732,11232,532,206,678,465,553,3168,66819,4400,3747,2798,4340,8532,15262,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
