B98022_001E,B98022_002E,B98022_003E,B98022_004E,B98022_005E,B98022_006E,B98022_007E,B98022_008E,B98022_009E,B98022_010E,B98022_001EA,B98022_002EA,B98022_003EA,B98022_004EA,B98022_005EA,B98022_006EA,B98022_007EA,B98022_008EA,B98022_009EA,B98022_010EA,state
96.7,3.3,0.1,0.8,0.1,0.0,0.0,0.6,1.7,0.0,null,null,null,null,null,null,null,null,null,null,32
92.2,7.8,1.9,0.8,0.7,0.0,0.0,1.3,0.0,3.1,null,null,null,null,null,null,null,null,null,null,33
92.3,7.7,3.8,0.4,0.2,0.0,0.3,0.2,1.7,1.0,null,null,null,null,null,null,null,null,null,null,34
98.0,2.0,0.9,0.1,0.0,0.1,0.0,0.9,0.0,0.0,null,null,null,null,null,null,null,null,null,null,35
95.1,4.9,0.7,0.3,0.2,0.0,0.1,0.9,1.7,1.0,null,null,null,null,null,null,null,null,null,null,36
97.5,2.5,0.5,0.4,0.3,0.0,0.0,0.2,0.8,0.3,null,null,null,null,null,null,null,null,null,null,37
99.1,0.9,0.1,0.6,0.0,0.0,0.0,0.2,0.0,0.0,null,null,null,null,null,null,null,null,null,null,38
95.7,4.3,1.3,0.5,0.3,0.0,0.4,1.4,0.4,0.0,null,null,null,null,null,null,null,null,null,null,39
98.1,1.9,0.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,null,null,null,null,null,null,null,null,null,null,40
93.5,6.5,2.8,0.5,0.1,0.0,0.9,0.5,1.8,0.0,null,null,null,null,null,null,null,null,null,null,41
96.2,3.8,1.1,0.2,0.2,0.0,0.1,0.6,0.8,0.8,null,null,null,null,null,null,null,null,null,null,42
97.5,2.5,0.0,0.1,0.0,0.0,0.0,1.5,0.9,0.0,null,null,null,null,null,null,null,null,null,null,44
99.3,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,45
99.5,0.5,0.0,0.3,0.1,0.0,0.0,0.1,0.0,0.0,null,null,null,null,null,null,null,null,null,null,46
96.7,3.3,1.2,0.2,0.0,0.0,0.3,0.3,0.5,0.7,null,null,null,null,null,null,null,null,null,null,47
93.7,6.3,1.4,0.5,0.2,0.0,0.0,2.3,0.8,1.1,null,null,null,null,null,null,null,null,null,null,48
96.6,3.4,2.6,0.3,0.2,0.1,0.1,0.1,0.0,0.0,null,null,null,null,null,null,null,null,null,null,49
90.8,9.2,1.6,4.8,0.4,0.4,0.0,0.1,1.9,0.0,null,null,null,null,null,null,null,null,null,null,50
93.5,6.5,0.8,0.1,0.8,0.0,1.9,1.2,0.9,0.9,null,null,null,null,null,null,null,null,null,null,51
95.0,5.0,2.2,0.3,0.2,0.0,0.1,0.4,1.1,0.8,null,null,null,null,null,null,null,null,null,null,53
94.9,5.1,1.8,0.9,0.0,0.0,0.0,0.4,2.0,0.0,null,null,null,null,null,null,null,null,null,null,54
99.0,1.0,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,null,null,null,null,null,null,null,null,null,null,55
95.7,4.3,0.1,0.3,0.3,0.0,0.0,1.4,1.1,1.1,null,null,null,null,null,null,null,null,null,null,56
94.5,5.5,1.2,0.0,0.1,0.0,0.0,3.0,0.0,1.2,null,null,null,null,null,null,null,null,null,null,72
97.9,2.1,0.7,0.0,0.0,0.0,0.0,0.9,0.4,0.0,null,null,null,null,null,null,null,null,null,null,01
95.6,4.4,0.8,1.5,0.3,0.0,0.1,0.0,0.0,1.6,null,null,null,null,null,null,null,null,null,null,02
95.3,4.7,1.0,0.8,0.0,0.0,0.0,0.4,2.4,0.0,null,null,null,null,null,null,null,null,null,null,04
96.5,3.5,1.5,0.0,0.0,0.0,0.1,0.1,1.8,0.0,null,null,null,null,null,null,null,null,null,null,05
94.6,5.4,1.7,0.1,0.2,0.1,0.1,0.8,1.2,1.1,null,null,null,null,null,null,null,null,null,null,06
98.1,1.9,1.2,0.1,0.0,0.0,0.0,0.1,0.5,0.0,null,null,null,null,null,null,null,null,null,null,08
98.3,1.7,0.5,0.4,0.0,0.0,0.0,0.1,0.0,0.7,null,null,null,null,null,null,null,null,null,null,09
98.5,1.5,0.2,0.0,0.0,0.0,0.0,0.3,0.9,0.0,null,null,null,null,null,null,null,null,null,null,10
89.7,10.3,0.3,0.0,0.0,0.0,0.2,2.5,2.9,4.4,null,null,null,null,null,null,null,null,null,null,11
