B18101H_001E,B18101H_001M,B18101H_002E,B18101H_002M,B18101H_003E,B18101H_003M,B18101H_004E,B18101H_004M,B18101H_005E,B18101H_005M,B18101H_006E,B18101H_006M,B18101H_007E,B18101H_007M,B18101H_008E,B18101H_008M,B18101H_009E,B18101H_009M,B18101H_010E,B18101H_010M,B18101H_001M,B18101H_001EA,B18101H_001MA,B18101H_002M,B18101H_002EA,B18101H_002MA,B18101H_003M,B18101H_003EA,B18101H_003MA,B18101H_004M,B18101H_004EA,B18101H_004MA,B18101H_005M,B18101H_005EA,B18101H_005MA,B18101H_006M,B18101H_006EA,B18101H_006MA,B18101H_007M,B18101H_007EA,B18101H_007MA,B18101H_008M,B18101H_008EA,B18101H_008MA,B18101H_009M,B18101H_009EA,B18101H_009MA,B18101H_010M,B18101H_010EA,B18101H_010MA,state
1446739,2128,240984,935,11165,1999,229819,2365,891387,1773,113698,5838,777689,6177,314368,679,111461,3873,202907,3816,2128,null,null,935,null,null,1999,null,null,2365,null,null,1773,null,null,5838,null,null,6177,null,null,679,null,null,3873,null,null,3816,null,null,32
1196775,1527,222889,308,10228,2053,212661,2064,763310,1356,80075,5119,683235,5012,210576,424,64249,2971,146327,2934,1527,null,null,308,null,null,2053,null,null,2064,null,null,1356,null,null,5119,null,null,5012,null,null,424,null,null,2971,null,null,2934,null,null,33
4914852,5144,927513,2472,28808,2494,898705,3786,3018518,3208,245912,9313,2772606,9917,968821,1960,304856,7198,663965,7429,5144,null,null,2472,null,null,2494,null,null,3786,null,null,3208,null,null,9313,null,null,9917,null,null,1960,null,null,7198,null,null,7429,null,null,34
773505,2460,119333,600,5260,1001,114073,1164,455430,2269,57447,3591,397983,3940,198742,742,69876,3278,128866,3276,2460,null,null,600,null,null,1001,null,null,1164,null,null,2269,null,null,3591,null,null,3940,null,null,742,null,null,3278,null,null,3276,null,null,35
10846940,6815,1997955,2625,74661,3845,1923294,5000,6800432,4747,593433,13505,6206999,14071,2048553,2979,641965,9340,1406588,9265,6815,null,null,2625,null,null,3845,null,null,5000,null,null,4747,null,null,13505,null,null,14071,null,null,2979,null,null,9340,null,null,9265,null,null,36
6327792,5350,1206568,1482,53592,4314,1152976,4500,3916836,4459,459407,12383,3457429,12764,1204388,1608,414237,7569,790151,7618,5350,null,null,1482,null,null,4314,null,null,4500,null,null,4459,null,null,12383,null,null,12764,null,null,1608,null,null,7569,null,null,7618,null,null,37
631712,1300,135207,176,4544,1021,130663,1036,396877,1248,34788,2592,362089,3010,99628,330,33469,1899,66159,1869,1300,null,null,176,null,null,1021,null,null,1036,null,null,1248,null,null,2592,null,null,3010,null,null,330,null,null,1899,null,null,1869,null,null,38
9099530,4037,1877912,2005,84576,5193,1793336,5419,5618214,2799,652605,11357,4965609,11675,1603404,2275,557381,9233,1046023,9051,4037,null,null,2005,null,null,5193,null,null,5419,null,null,2799,null,null,11357,null,null,11675,null,null,2275,null,null,9233,null,null,9051,null,null,39
2549864,2066,516824,468,24790,1998,492034,1948,1557451,1859,227875,6319,1329576,6458,475589,1012,197002,4491,278587,4556,2066,null,null,468,null,null,1998,null,null,1948,null,null,1859,null,null,6319,null,null,6458,null,null,1012,null,null,4491,null,null,4556,null,null,40
3091963,2239,555274,868,22726,2614,532548,2748,1918617,1903,239928,8544,1678689,8592,618072,848,229677,5827,388395,5774,2239,null,null,868,null,null,2614,null,null,2748,null,null,1903,null,null,8544,null,null,8592,null,null,848,null,null,5827,null,null,5774,null,null,41
9708659,4523,1801066,1710,90173,4593,1710893,4813,6010557,3352,664058,14080,5346499,14188,1897036,2447,640357,9205,1256679,9028,4523,null,null,1710,null,null,4593,null,null,4813,null,null,3352,null,null,14080,null,null,14188,null,null,2447,null,null,9205,null,null,9028,null,null,42
755969,2561,121530,1146,7172,1376,114358,1924,485985,1553,54070,3998,431915,4287,148454,661,46199,2855,102255,2972,2561,null,null,1146,null,null,1376,null,null,1924,null,null,1553,null,null,3998,null,null,4287,null,null,661,null,null,2855,null,null,2972,null,null,44
3111532,3717,598371,1866,28812,2787,569559,3516,1889593,2890,234527,8227,1655066,8409,623568,907,217165,5762,406403,5759,3717,null,null,1866,null,null,2787,null,null,3516,null,null,2890,null,null,8227,null,null,8409,null,null,907,null,null,5762,null,null,5759,null,null,45
702029,866,153677,339,5197,1221,148480,1277,424214,769,38387,3151,385827,3148,124138,299,41462,2376,82676,2363,866,null,null,339,null,null,1221,null,null,1277,null,null,769,null,null,3151,null,null,3148,null,null,299,null,null,2376,null,null,2363,null,null,46
4863168,3529,982784,1497,46229,3691,936555,3658,3002379,3083,432963,10232,2569416,10913,878005,1222,335331,5696,542674,5630,3529,null,null,1497,null,null,3691,null,null,3658,null,null,3083,null,null,10232,null,null,10913,null,null,1222,null,null,5696,null,null,5630,null,null,47
11645811,8290,2321410,2619,95284,5330,2226126,6014,7243650,6362,773381,15660,6470269,16212,2080751,3421,769415,9975,1311336,10338,8290,null,null,2619,null,null,5330,null,null,6014,null,null,6362,null,null,15660,null,null,16212,null,null,3421,null,null,9975,null,null,10338,null,null,48
2382555,2332,681035,1100,24421,2492,656614,2595,1413388,1783,127634,6409,1285754,6679,288132,646,97986,4003,190146,4102,2332,null,null,1100,null,null,2492,null,null,2595,null,null,1783,null,null,6409,null,null,6679,null,null,646,null,null,4003,null,null,4102,null,null,49
575221,628,105513,277,5995,1035,99518,1111,362695,541,45320,3320,317375,3357,107013,370,33440,1923,73573,1936,628,null,null,277,null,null,1035,null,null,1111,null,null,541,null,null,3320,null,null,3357,null,null,370,null,null,1923,null,null,1936,null,null,50
5109894,4744,1006014,1575,39364,3288,966650,3712,3186426,4251,314174,9434,2872252,9411,917454,1119,292815,6206,624639,6187,4744,null,null,1575,null,null,3288,null,null,3712,null,null,4251,null,null,9434,null,null,9411,null,null,1119,null,null,6206,null,null,6187,null,null,51
4985087,3463,928824,1222,38106,3410,890718,3388,3144901,3038,363490,10628,2781411,10643,911362,1184,324711,7185,586651,7325,3463,null,null,1222,null,null,3410,null,null,3388,null,null,3038,null,null,10628,null,null,10643,null,null,1184,null,null,7185,null,null,7325,null,null,53
1664550,2428,331843,1357,20033,2456,311810,2964,1012669,1612,183119,6760,829550,6730,320038,827,137668,4031,182370,3969,2428,null,null,1357,null,null,2456,null,null,2964,null,null,1612,null,null,6760,null,null,6730,null,null,827,null,null,4031,null,null,3969,null,null,54
4670721,2194,915662,717,34535,3107,881127,2975,2913130,1823,274050,7232,2639080,7098,841929,869,262618,4710,579311,4841,2194,null,null,717,null,null,3107,null,null,2975,null,null,1823,null,null,7232,null,null,7098,null,null,869,null,null,4710,null,null,4841,null,null,55
487545,1184,107769,673,5248,1260,102521,1456,301084,918,34556,2961,266528,2977,78692,231,29401,1828,49291,1811,1184,null,null,673,null,null,1260,null,null,1456,null,null,918,null,null,2961,null,null,2977,null,null,231,null,null,1828,null,null,1811,null,null,56
34756,4843,7369,2479,326,311,7043,2413,22805,3345,3090,962,19715,3241,4582,1086,1791,671,2791,865,4843,null,null,2479,null,null,311,null,null,2413,null,null,3345,null,null,962,null,null,3241,null,null,1086,null,null,671,null,null,865,null,null,72
3152371,3237,634896,1415,30505,2602,604391,3119,1918600,2511,268454,8784,1650146,9013,598875,1169,238471,6347,360404,6214,3237,null,null,1415,null,null,2602,null,null,3119,null,null,2511,null,null,8784,null,null,9013,null,null,1169,null,null,6347,null,null,6214,null,null,01
438279,1719,92352,330,3071,729,89281,796,289752,1649,29471,2739,260281,3286,56175,282,20086,1943,36089,1937,1719,null,null,330,null,null,729,null,null,796,null,null,1649,null,null,2739,null,null,3286,null,null,282,null,null,1943,null,null,1937,null,null,02
3788248,4084,643875,1240,25035,3057,618840,3195,2208786,3572,251639,8271,1957147,9003,935587,896,308576,6702,627011,6861,4084,null,null,1240,null,null,3057,null,null,3195,null,null,3572,null,null,8271,null,null,9003,null,null,896,null,null,6702,null,null,6861,null,null,04
2139856,1644,446990,413,23521,2842,423469,2926,1284528,1676,197825,6702,1086703,6890,408338,940,162778,4827,245560,4918,1644,null,null,413,null,null,2842,null,null,2926,null,null,1676,null,null,6702,null,null,6890,null,null,940,null,null,4827,null,null,4918,null,null,05
14526552,11392,2339613,4320,82833,4627,2256780,6214,9142813,7755,867811,15066,8275002,16024,3044126,2737,1045197,13284,1998929,12888,11392,null,null,4320,null,null,4627,null,null,6214,null,null,7755,null,null,15066,null,null,16024,null,null,2737,null,null,13284,null,null,12888,null,null,06
3740156,3206,712333,623,22448,2180,689885,2249,2419226,2975,212053,5987,2207173,6953,608597,830,185622,5056,422975,5141,3206,null,null,623,null,null,2180,null,null,2249,null,null,2975,null,null,5987,null,null,6953,null,null,830,null,null,5056,null,null,5141,null,null,08
2379919,3055,420420,967,12685,1778,407735,2085,1487702,2505,125356,5585,1362346,5499,471797,1212,147117,4141,324680,3942,3055,null,null,967,null,null,1778,null,null,2085,null,null,2505,null,null,5585,null,null,5499,null,null,1212,null,null,4141,null,null,3942,null,null,09
589643,1155,101624,346,4381,1255,97243,1352,357343,948,36609,3033,320734,3205,130676,560,38674,2390,92002,2496,1155,null,null,346,null,null,1255,null,null,1352,null,null,948,null,null,3033,null,null,3205,null,null,560,null,null,2390,null,null,2496,null,null,10
243808,1207,26297,166,657,334,25640,396,191975,1018,7032,1297,184943,1591,25536,577,5222,939,20314,1060,1207,null,null,166,null,null,334,null,null,396,null,null,1018,null,null,1297,null,null,1591,null,null,577,null,null,939,null,null,1060,null,null,11
