B07002_001E,B07002_001M,B07002_002E,B07002_002M,B07002_003E,B07002_003M,B07002_004E,B07002_004M,B07002_005E,B07002_005M,B07002_006E,B07002_006M,B07002_001M,B07002_001EA,B07002_001MA,B07002_002M,B07002_002EA,B07002_002MA,B07002_003M,B07002_003EA,B07002_003MA,B07002_004M,B07002_004EA,B07002_004MA,B07002_005M,B07002_005EA,B07002_005MA,B07002_006M,B07002_006EA,B07002_006MA,state
41.1,0.1,44.2,0.2,28.7,0.3,26.5,0.3,27.4,0.5,29.3,2.0,0.1,null,null,0.2,null,null,0.3,null,null,0.3,null,null,0.5,null,null,2.0,null,null,42
40.6,0.3,43.4,0.5,29.6,1.3,29.9,1.3,28.3,1.2,28.3,3.6,0.3,null,null,0.5,null,null,1.3,null,null,1.3,null,null,1.2,null,null,3.6,null,null,44
39.6,0.2,42.4,0.3,27.8,0.7,25.8,0.7,28.7,1.4,32.1,4.0,0.2,null,null,0.3,null,null,0.7,null,null,0.7,null,null,1.4,null,null,4.0,null,null,45
37.4,0.4,40.9,0.5,26.0,1.0,25.3,1.3,26.3,1.7,22.7,4.1,0.4,null,null,0.5,null,null,1.0,null,null,1.3,null,null,1.7,null,null,4.1,null,null,46
39.1,0.2,41.7,0.2,27.4,0.5,27.7,0.7,28.9,1.3,29.3,2.6,0.2,null,null,0.2,null,null,0.5,null,null,0.7,null,null,1.3,null,null,2.6,null,null,47
34.9,0.2,37.0,0.2,27.3,0.3,27.8,0.4,29.0,0.5,29.5,0.9,0.2,null,null,0.2,null,null,0.3,null,null,0.4,null,null,0.5,null,null,0.9,null,null,48
31.3,0.1,33.9,0.3,25.1,0.3,24.6,0.7,25.2,0.7,22.6,0.8,0.1,null,null,0.3,null,null,0.3,null,null,0.7,null,null,0.7,null,null,0.8,null,null,49
43.5,0.3,46.1,0.4,27.2,1.3,29.4,1.3,27.0,2.1,22.9,5.0,0.3,null,null,0.4,null,null,1.3,null,null,1.3,null,null,2.1,null,null,5.0,null,null,50
38.7,0.1,41.8,0.2,28.8,0.5,27.6,0.5,27.4,0.6,28.1,1.1,0.1,null,null,0.2,null,null,0.5,null,null,0.5,null,null,0.6,null,null,1.1,null,null,51
38.1,0.1,41.2,0.2,28.9,0.4,28.9,0.6,27.9,0.6,28.3,1.4,0.1,null,null,0.2,null,null,0.4,null,null,0.6,null,null,0.6,null,null,1.4,null,null,53
42.7,0.3,45.4,0.3,27.9,1.3,25.9,0.8,28.7,1.0,31.8,4.9,0.3,null,null,0.3,null,null,1.3,null,null,0.8,null,null,1.0,null,null,4.9,null,null,54
39.9,0.2,43.2,0.2,27.3,0.6,25.8,0.5,26.8,0.8,28.2,2.3,0.2,null,null,0.2,null,null,0.6,null,null,0.5,null,null,0.8,null,null,2.3,null,null,55
37.9,0.5,41.2,0.8,27.6,1.7,25.1,2.3,28.0,4.0,25.2,2.2,0.5,null,null,0.8,null,null,1.7,null,null,2.3,null,null,4.0,null,null,2.2,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
39.4,0.2,42.1,0.2,27.8,0.6,27.3,0.7,27.5,0.8,29.9,2.8,0.2,null,null,0.2,null,null,0.6,null,null,0.7,null,null,0.8,null,null,2.8,null,null,01
34.0,0.3,36.7,0.4,27.8,1.0,30.1,2.0,27.6,1.5,28.2,2.1,0.3,null,null,0.4,null,null,1.0,null,null,2.0,null,null,1.5,null,null,2.1,null,null,02
38.0,0.1,40.8,0.2,27.8,0.3,29.0,1.1,33.8,1.2,30.5,1.9,0.1,null,null,0.2,null,null,0.3,null,null,1.1,null,null,1.2,null,null,1.9,null,null,04
38.5,0.2,41.7,0.3,26.7,0.6,26.3,0.9,31.2,1.6,26.1,3.8,0.2,null,null,0.3,null,null,0.6,null,null,0.9,null,null,1.6,null,null,3.8,null,null,05
36.8,0.1,38.7,0.1,29.1,0.2,29.0,0.3,28.6,0.4,29.3,0.6,0.1,null,null,0.1,null,null,0.2,null,null,0.3,null,null,0.4,null,null,0.6,null,null,06
37.1,0.2,40.3,0.2,28.0,0.4,28.5,0.5,27.9,0.5,26.4,1.2,0.2,null,null,0.2,null,null,0.4,null,null,0.5,null,null,0.5,null,null,1.2,null,null,08
41.3,0.2,43.5,0.2,30.4,0.8,29.3,0.8,28.5,1.2,29.8,1.9,0.2,null,null,0.2,null,null,0.8,null,null,0.8,null,null,1.2,null,null,1.9,null,null,09
41.1,0.3,43.4,0.5,28.1,1.7,29.6,3.0,28.3,2.6,32.7,8.2,0.3,null,null,0.5,null,null,1.7,null,null,3.0,null,null,2.6,null,null,8.2,null,null,10
34.2,0.1,36.7,0.4,29.6,0.9,-666666666.0,-222222222.0,25.6,1.1,29.8,4.7,0.1,null,null,0.4,null,null,0.9,null,null,-222222222.0,-,**,1.1,null,null,4.7,null,null,11
