C17001G_001E,C17001G_001M,C17001G_002E,C17001G_002M,C17001G_003E,C17001G_003M,C17001G_004E,C17001G_004M,C17001G_005E,C17001G_005M,C17001G_006E,C17001G_006M,C17001G_007E,C17001G_007M,C17001G_008E,C17001G_008M,C17001G_009E,C17001G_009M,C17001G_010E,C17001G_010M,C17001G_011E,C17001G_011M,C17001G_012E,C17001G_012M,C17001G_013E,C17001G_013M,C17001G_014E,C17001G_014M,C17001G_015E,C17001G_015M,C17001G_016E,C17001G_016M,C17001G_017E,C17001G_017M,C17001G_018E,C17001G_018M,C17001G_019E,C17001G_019M,C17001G_001M,C17001G_001EA,C17001G_001MA,C17001G_002M,C17001G_002EA,C17001G_002MA,C17001G_003M,C17001G_003EA,C17001G_003MA,C17001G_004M,C17001G_004EA,C17001G_004MA,C17001G_005M,C17001G_005EA,C17001G_005MA,C17001G_006M,C17001G_006EA,C17001G_006MA,C17001G_007M,C17001G_007EA,C17001G_007MA,C17001G_008M,C17001G_008EA,C17001G_008MA,C17001G_009M,C17001G_009EA,C17001G_009MA,C17001G_010M,C17001G_010EA,C17001G_010MA,C17001G_011M,C17001G_011EA,C17001G_011MA,C17001G_012M,C17001G_012EA,C17001G_012MA,C17001G_013M,C17001G_013EA,C17001G_013MA,C17001G_014M,C17001G_014EA,C17001G_014MA,C17001G_015M,C17001G_015EA,C17001G_015MA,C17001G_016M,C17001G_016EA,C17001G_016MA,C17001G_017M,C17001G_017EA,C17001G_017MA,C17001G_018M,C17001G_018EA,C17001G_018MA,C17001G_019M,C17001G_019EA,C17001G_019MA,state
24725,2429,6078,1535,2901,942,1786,697,1063,514,52,67,3177,918,993,402,1977,703,207,191,18647,2333,9664,1561,4554,982,4599,985,511,364,8983,1484,3515,1084,4831,927,637,308,2429,null,null,1535,null,null,942,null,null,697,null,null,514,null,null,67,null,null,918,null,null,402,null,null,703,null,null,191,null,null,2333,null,null,1561,null,null,982,null,null,985,null,null,364,null,null,1484,null,null,1084,null,null,927,null,null,308,null,null,23
195218,10827,22838,3770,10118,2118,6725,1827,3086,996,307,220,12720,2388,6872,1814,5071,1143,777,494,172380,10523,85411,6359,44057,4327,38722,4058,2632,641,86969,6005,39850,3912,42236,3404,4883,1221,10827,null,null,3770,null,null,2118,null,null,1827,null,null,996,null,null,220,null,null,2388,null,null,1814,null,null,1143,null,null,494,null,null,10523,null,null,6359,null,null,4327,null,null,4058,null,null,641,null,null,6005,null,null,3912,null,null,3404,null,null,1221,null,null,24
202643,11177,34149,5256,14029,2760,7460,1850,5926,1471,643,401,20120,3359,9546,2178,9774,1907,800,496,168494,10427,86571,6029,36568,3236,47027,4428,2976,827,81923,6403,35282,3303,42164,4006,4477,900,11177,null,null,5256,null,null,2760,null,null,1850,null,null,1471,null,null,401,null,null,3359,null,null,2178,null,null,1907,null,null,496,null,null,10427,null,null,6029,null,null,3236,null,null,4428,null,null,827,null,null,6403,null,null,3303,null,null,4006,null,null,900,null,null,25
295335,11899,67376,6777,32496,3687,20153,2877,11994,1585,349,174,34880,4244,16965,2720,16822,2381,1093,461,227959,9476,115256,5683,53710,3467,55973,4031,5573,990,112703,5625,50890,3829,54286,3373,7527,1179,11899,null,null,6777,null,null,3687,null,null,2877,null,null,1585,null,null,174,null,null,4244,null,null,2720,null,null,2381,null,null,461,null,null,9476,null,null,5683,null,null,3467,null,null,4031,null,null,990,null,null,5625,null,null,3829,null,null,3373,null,null,1179,null,null,26
151961,7706,26744,4427,13309,2730,8451,2101,4838,1208,20,26,13435,2599,8032,2046,5379,1090,24,30,125217,6975,62568,4469,33157,2834,27513,2705,1898,593,62649,4411,30768,2657,29817,3135,2064,590,7706,null,null,4427,null,null,2730,null,null,2101,null,null,1208,null,null,26,null,null,2599,null,null,2046,null,null,1090,null,null,30,null,null,6975,null,null,4469,null,null,2834,null,null,2705,null,null,593,null,null,4411,null,null,2657,null,null,3135,null,null,590,null,null,27
33224,4776,9357,2292,4716,1489,2650,1090,2066,947,0,213,4641,1293,2674,857,1633,734,334,242,23867,3766,11037,2548,5601,1815,4916,1420,520,294,12830,2214,5849,1590,6019,1313,962,399,4776,null,null,2292,null,null,1489,null,null,1090,null,null,947,null,null,213,null,null,1293,null,null,857,null,null,734,null,null,242,null,null,3766,null,null,2548,null,null,1815,null,null,1420,null,null,294,null,null,2214,null,null,1590,null,null,1313,null,null,399,null,null,28
145356,8905,32485,4768,17049,3050,10505,2459,6356,1329,188,153,15436,2666,8704,2253,6289,1184,443,284,112871,7599,57816,4683,27664,3412,26975,3068,3177,769,55055,4565,25837,3128,24536,2728,4682,929,8905,null,null,4768,null,null,3050,null,null,2459,null,null,1329,null,null,153,null,null,2666,null,null,2253,null,null,1184,null,null,284,null,null,7599,null,null,4683,null,null,3412,null,null,3068,null,null,769,null,null,4565,null,null,3128,null,null,2728,null,null,929,null,null,29
31261,2852,6054,1590,2873,1067,1024,529,1761,835,88,109,3181,966,670,374,2308,781,203,284,25207,2385,12640,1549,5235,1352,6445,1270,960,445,12567,1732,5123,1229,6705,1086,739,353,2852,null,null,1590,null,null,1067,null,null,529,null,null,835,null,null,109,null,null,966,null,null,374,null,null,781,null,null,284,null,null,2385,null,null,1549,null,null,1352,null,null,1270,null,null,445,null,null,1732,null,null,1229,null,null,1086,null,null,353,null,null,30
43280,4437,8566,3243,3840,1774,2155,1186,1685,1019,0,159,4726,1701,1972,987,2459,1112,295,261,34714,3192,18825,1989,9772,1476,8682,1330,371,256,15889,2025,8551,1244,6928,1212,410,234,4437,null,null,3243,null,null,1774,null,null,1186,null,null,1019,null,null,159,null,null,1701,null,null,987,null,null,1112,null,null,261,null,null,3192,null,null,1989,null,null,1476,null,null,1330,null,null,256,null,null,2025,null,null,1244,null,null,1212,null,null,234,null,null,31
136518,9495,22822,4934,10595,2671,5840,1653,4583,1443,172,189,12227,2813,6351,1729,5259,1611,617,328,113696,8098,57514,4792,26049,3355,28829,2642,2636,655,56182,4754,23465,3133,29215,2874,3502,937,9495,null,null,4934,null,null,2671,null,null,1653,null,null,1443,null,null,189,null,null,2813,null,null,1729,null,null,1611,null,null,328,null,null,8098,null,null,4792,null,null,3355,null,null,2642,null,null,655,null,null,4754,null,null,3133,null,null,2874,null,null,937,null,null,32
26367,2914,5012,1519,2296,828,1401,647,744,580,151,231,2716,1050,648,401,2012,957,56,82,21355,2815,11662,2117,5317,1188,5989,1498,356,225,9693,1632,3845,1008,4461,1056,1387,651,2914,null,null,1519,null,null,828,null,null,647,null,null,580,null,null,231,null,null,1050,null,null,401,null,null,957,null,null,82,null,null,2815,null,null,2117,null,null,1188,null,null,1498,null,null,225,null,null,1632,null,null,1008,null,null,1056,null,null,651,null,null,33
233170,12648,33637,6405,16558,3929,10242,2985,5524,1417,792,465,17079,3095,7298,1889,8550,1843,1231,586,199533,11479,97611,6367,45778,3662,46132,3932,5701,1005,101922,6690,45333,3424,50104,4564,6485,1167,12648,null,null,6405,null,null,3929,null,null,2985,null,null,1417,null,null,465,null,null,3095,null,null,1889,null,null,1843,null,null,586,null,null,11479,null,null,6367,null,null,3662,null,null,3932,null,null,1005,null,null,6690,null,null,3424,null,null,4564,null,null,1167,null,null,34
64337,6253,12467,3064,6398,1927,3292,1329,3052,1105,54,73,6069,1565,3618,1365,1973,681,478,306,51870,5344,27212,3362,9810,1783,14774,2501,2628,853,24658,2983,8070,1530,14342,2203,2246,842,6253,null,null,3064,null,null,1927,null,null,1329,null,null,1105,null,null,73,null,null,1565,null,null,1365,null,null,681,null,null,306,null,null,5344,null,null,3362,null,null,1783,null,null,2501,null,null,853,null,null,2983,null,null,1530,null,null,2203,null,null,842,null,null,35
596731,22468,123386,10209,55095,5507,30105,4156,22788,2738,2202,765,68291,6352,28829,3882,34685,3623,4777,1105,473345,20401,236268,12418,97850,6266,126276,8599,12142,1540,237077,10281,94935,6459,125407,5770,16735,2003,22468,null,null,10209,null,null,5507,null,null,4156,null,null,2738,null,null,765,null,null,6352,null,null,3882,null,null,3623,null,null,1105,null,null,20401,null,null,12418,null,null,6266,null,null,8599,null,null,1540,null,null,10281,null,null,6459,null,null,5770,null,null,2003,null,null,36
258309,12735,54003,6933,24350,3644,16504,2871,7254,1733,592,448,29653,4586,15040,3198,13977,2160,636,304,204306,10785,97812,6838,52512,4798,41664,4102,3636,898,106494,6396,50748,4014,50518,4185,5228,1117,12735,null,null,6933,null,null,3644,null,null,2871,null,null,1733,null,null,448,null,null,4586,null,null,3198,null,null,2160,null,null,304,null,null,10785,null,null,6838,null,null,4798,null,null,4102,null,null,898,null,null,6396,null,null,4014,null,null,4185,null,null,1117,null,null,37
20673,2889,3908,1842,1966,1068,1559,954,390,305,17,30,1942,1013,838,529,1104,676,0,155,16765,2627,10053,1982,5174,1412,4792,1104,87,126,6712,1283,2006,692,4540,1154,166,118,2889,null,null,1842,null,null,1068,null,null,954,null,null,305,null,null,30,null,null,1013,null,null,529,null,null,676,null,null,155,null,null,2627,null,null,1982,null,null,1412,null,null,1104,null,null,126,null,null,1283,null,null,692,null,null,1154,null,null,118,null,null,38
312621,12654,85234,8079,40702,4227,25105,2957,15155,2236,442,336,44532,5110,24193,3348,18970,2829,1369,646,227387,11748,111462,6738,54566,4053,52405,4227,4491,860,115925,7272,58211,4871,51391,4104,6323,1072,12654,null,null,8079,null,null,4227,null,null,2957,null,null,2236,null,null,336,null,null,5110,null,null,3348,null,null,2829,null,null,646,null,null,11748,null,null,6738,null,null,4053,null,null,4227,null,null,860,null,null,7272,null,null,4871,null,null,4104,null,null,1072,null,null,39
294734,7968,65194,5530,31095,3066,18328,2369,11795,1687,972,321,34099,3111,16035,2198,16257,1446,1807,504,229540,7354,116508,4647,48599,3116,60194,3122,7715,832,113032,4127,42607,2825,59947,3227,10478,984,7968,null,null,5530,null,null,3066,null,null,2369,null,null,1687,null,null,321,null,null,3111,null,null,2198,null,null,1446,null,null,504,null,null,7354,null,null,4647,null,null,3116,null,null,3122,null,null,832,null,null,4127,null,null,2825,null,null,3227,null,null,984,null,null,40
200398,10671,39315,5759,18763,2988,9119,2377,9193,1754,451,363,20552,3540,8606,2281,11339,2173,607,362,161083,9052,81478,6115,35420,4078,42411,3490,3647,796,79605,4942,32106,3060,41682,3716,5817,997,10671,null,null,5759,null,null,2988,null,null,2377,null,null,1754,null,null,363,null,null,3540,null,null,2281,null,null,2173,null,null,362,null,null,9052,null,null,6115,null,null,4078,null,null,3490,null,null,796,null,null,4942,null,null,3060,null,null,3716,null,null,997,null,null,41
310076,13778,77912,7228,35360,3830,21172,2697,13459,2119,729,364,42552,4677,23286,2875,17827,2564,1439,614,232164,12753,117909,6938,59590,4497,54033,4198,4286,945,114255,7797,55169,5353,53644,3966,5442,1109,13778,null,null,7228,null,null,3830,null,null,2697,null,null,2119,null,null,364,null,null,4677,null,null,2875,null,null,2564,null,null,614,null,null,12753,null,null,6938,null,null,4497,null,null,4198,null,null,945,null,null,7797,null,null,5353,null,null,3966,null,null,1109,null,null,42
31262,4405,7232,2237,2762,1213,1759,939,1003,698,0,208,4470,1512,2128,806,2314,1048,28,50,24030,3744,11523,2363,5517,1482,5499,1436,507,298,12507,2178,5464,1500,6544,1489,499,275,4405,null,null,2237,null,null,1213,null,null,939,null,null,698,null,null,208,null,null,1512,null,null,806,null,null,1048,null,null,50,null,null,3744,null,null,2363,null,null,1482,null,null,1436,null,null,298,null,null,2178,null,null,1500,null,null,1489,null,null,275,null,null,44
102948,8997,29193,5217,14589,3129,10485,2526,4104,1424,0,207,14604,2712,8100,1844,5762,1516,742,474,73755,7292,37753,4603,20281,3522,16030,2274,1442,512,36002,4394,18061,2923,15055,2372,2886,799,8997,null,null,5217,null,null,3129,null,null,2526,null,null,1424,null,null,207,null,null,2712,null,null,1844,null,null,1516,null,null,474,null,null,7292,null,null,4603,null,null,3522,null,null,2274,null,null,512,null,null,4394,null,null,2923,null,null,2372,null,null,799,null,null,45
20525,2941,5757,1693,2967,1113,1937,907,1030,601,0,157,2790,973,1339,658,1319,578,132,159,14768,2495,7461,1550,3868,1132,3425,996,168,124,7307,1536,4133,1036,3062,825,112,121,2941,null,null,1693,null,null,1113,null,null,907,null,null,601,null,null,157,null,null,973,null,null,658,null,null,578,null,null,159,null,null,2495,null,null,1550,null,null,1132,null,null,996,null,null,124,null,null,1536,null,null,1036,null,null,825,null,null,121,null,null,46
135163,9722,32509,4183,14817,2556,9990,2092,4490,1224,337,279,17692,2830,9114,2021,8204,1568,374,295,102654,8422,52094,4637,25399,3613,24006,2806,2689,815,50560,5087,23110,3217,23609,3021,3841,866,9722,null,null,4183,null,null,2556,null,null,2092,null,null,1224,null,null,279,null,null,2830,null,null,2021,null,null,1568,null,null,295,null,null,8422,null,null,4637,null,null,3613,null,null,2806,null,null,815,null,null,5087,null,null,3217,null,null,3021,null,null,866,null,null,47
696627,21344,107002,8922,51025,5355,30219,4643,19049,2601,1757,641,55977,5767,26739,3621,26433,3356,2805,820,589625,19753,296696,12186,139529,7438,143421,7994,13746,1854,292929,10847,129004,7366,146528,6404,17397,1881,21344,null,null,8922,null,null,5355,null,null,4643,null,null,2601,null,null,641,null,null,5767,null,null,3621,null,null,3356,null,null,820,null,null,19753,null,null,12186,null,null,7438,null,null,7994,null,null,1854,null,null,10847,null,null,7366,null,null,6404,null,null,1881,null,null,48
86557,6546,9797,2214,4745,1420,3233,1195,1451,661,61,106,5052,1394,1926,778,3070,975,56,97,76760,6361,38684,3759,18789,2422,18876,2383,1019,483,38076,3839,19307,2713,17462,1950,1307,558,6546,null,null,2214,null,null,1420,null,null,1195,null,null,661,null,null,106,null,null,1394,null,null,778,null,null,975,null,null,97,null,null,6361,null,null,3759,null,null,2422,null,null,2383,null,null,483,null,null,3839,null,null,2713,null,null,1950,null,null,558,null,null,49
11482,1616,2560,681,1418,497,474,221,874,439,70,112,1142,440,409,231,428,222,305,245,8922,1580,4298,981,2188,687,1719,522,391,254,4624,1156,1950,790,2485,774,189,171,1616,null,null,681,null,null,497,null,null,221,null,null,439,null,null,112,null,null,440,null,null,231,null,null,222,null,null,245,null,null,1580,null,null,981,null,null,687,null,null,522,null,null,254,null,null,1156,null,null,790,null,null,774,null,null,171,null,null,50
300626,12848,42291,5196,19256,2741,11271,2305,7820,1673,165,137,23035,3464,10306,2145,11275,1950,1454,615,258335,11549,132420,7572,66136,4919,60665,4443,5619,1138,125915,7087,58766,4674,62153,4380,4996,1039,12848,null,null,5196,null,null,2741,null,null,2305,null,null,1673,null,null,137,null,null,3464,null,null,2145,null,null,1950,null,null,615,null,null,11549,null,null,7572,null,null,4919,null,null,4443,null,null,1138,null,null,7087,null,null,4674,null,null,4380,null,null,1039,null,null,51
403155,15422,55581,5801,23099,2869,9911,1694,12694,2106,494,293,32482,3981,14047,2661,17600,2529,835,354,347574,15089,178686,9226,83557,5999,88249,4967,6880,1066,168888,7873,75110,5148,86041,5193,7737,1191,15422,null,null,5801,null,null,2869,null,null,1694,null,null,2106,null,null,293,null,null,3981,null,null,2661,null,null,2529,null,null,354,null,null,15089,null,null,9226,null,null,5999,null,null,4967,null,null,1066,null,null,7873,null,null,5148,null,null,5193,null,null,1191,null,null,53
29673,3375,7348,1805,3543,1073,2216,826,1124,650,203,239,3805,1133,2297,969,1508,643,0,193,22325,2977,10909,1915,6398,1310,3960,991,551,409,11416,2023,5770,1381,4412,1123,1234,547,3375,null,null,1805,null,null,1073,null,null,826,null,null,650,null,null,239,null,null,1133,null,null,969,null,null,643,null,null,193,null,null,2977,null,null,1915,null,null,1310,null,null,991,null,null,409,null,null,2023,null,null,1381,null,null,1123,null,null,547,null,null,54
133369,7653,30993,3880,14445,2099,9992,1870,4260,883,193,186,16548,2545,9277,1818,6786,1483,485,303,102376,7068,52154,4352,28548,3139,22095,2531,1511,415,50222,4031,27127,2819,21206,2177,1889,584,7653,null,null,3880,null,null,2099,null,null,1870,null,null,883,null,null,186,null,null,2545,null,null,1818,null,null,1483,null,null,303,null,null,7068,null,null,4352,null,null,3139,null,null,2531,null,null,415,null,null,4031,null,null,2819,null,null,2177,null,null,584,null,null,55
14436,2058,3708,1305,1749,926,1510,849,239,235,0,197,1959,776,1084,630,875,439,0,197,10728,2075,5453,1213,2050,785,3135,962,268,201,5275,1379,1721,720,3106,1060,448,275,2058,null,null,1305,null,null,926,null,null,849,null,null,235,null,null,197,null,null,776,null,null,630,null,null,439,null,null,197,null,null,2075,null,null,1213,null,null,785,null,null,962,null,null,201,null,null,1379,null,null,720,null,null,1060,null,null,275,null,null,56
144155,10092,64613,7334,29938,3994,8496,1677,18348,2804,3094,812,34675,4406,10829,2492,19244,2555,4602,1155,79542,7454,39029,3844,6122,1448,25852,3139,7055,1410,40513,4361,8438,1980,24674,2795,7401,1482,10092,null,null,7334,null,null,3994,null,null,1677,null,null,2804,null,null,812,null,null,4406,null,null,2492,null,null,2555,null,null,1155,null,null,7454,null,null,3844,null,null,1448,null,null,3139,null,null,1410,null,null,4361,null,null,1980,null,null,2795,null,null,1482,null,null,72
81133,6924,18934,4228,9095,2063,5463,1610,3372,1057,260,233,9839,2599,5243,1659,3986,1386,610,335,62199,5287,32530,3372,14729,2343,15288,1845,2513,672,29669,3140,12091,2104,14875,1992,2703,602,6924,null,null,4228,null,null,2063,null,null,1610,null,null,1057,null,null,233,null,null,2599,null,null,1659,null,null,1386,null,null,335,null,null,5287,null,null,3372,null,null,2343,null,null,1845,null,null,672,null,null,3140,null,null,2104,null,null,1992,null,null,602,null,null,01
62275,5132,7357,1982,3300,1107,1855,824,1364,677,81,104,4057,1270,2594,951,1463,491,0,155,54918,4925,28426,2921,13582,1975,13960,1770,884,355,26492,2854,12291,2002,12968,1563,1233,504,5132,null,null,1982,null,null,1107,null,null,824,null,null,677,null,null,104,null,null,1270,null,null,951,null,null,491,null,null,155,null,null,4925,null,null,2921,null,null,1975,null,null,1770,null,null,355,null,null,2854,null,null,2002,null,null,1563,null,null,504,null,null,02
240528,13626,46509,6196,21917,3349,12275,2373,9241,1711,401,278,24592,3981,11696,2561,12047,2111,849,432,194019,12215,101590,7019,49766,4261,46884,4323,4940,1000,92429,6636,43195,3957,43738,3833,5496,1274,13626,null,null,6196,null,null,3349,null,null,2373,null,null,1711,null,null,278,null,null,3981,null,null,2561,null,null,2111,null,null,432,null,null,12215,null,null,7019,null,null,4261,null,null,4323,null,null,1000,null,null,6636,null,null,3957,null,null,3833,null,null,1274,null,null,04
75458,5995,18399,3197,9240,2051,6181,1751,2650,1015,409,233,9159,1938,4905,1438,3640,890,614,326,57059,5012,27564,3446,12526,2433,13129,2082,1909,668,29495,2888,12824,2105,14341,2120,2330,659,5995,null,null,3197,null,null,2051,null,null,1751,null,null,1015,null,null,233,null,null,1938,null,null,1438,null,null,890,null,null,326,null,null,5012,null,null,3446,null,null,2433,null,null,2082,null,null,668,null,null,2888,null,null,2105,null,null,2120,null,null,659,null,null,05
1832060,30283,249004,13858,113940,6081,58313,4439,50925,3850,4702,1053,135064,9458,57102,6179,69103,4635,8859,1606,1583056,28110,791722,17026,347704,10246,405584,11215,38434,2592,791334,16552,335662,10582,404812,9843,50860,3362,30283,null,null,13858,null,null,6081,null,null,4439,null,null,3850,null,null,1053,null,null,9458,null,null,6179,null,null,4635,null,null,1606,null,null,28110,null,null,17026,null,null,10246,null,null,11215,null,null,2592,null,null,16552,null,null,10582,null,null,9843,null,null,3362,null,null,06
180526,9718,26754,4410,11970,2551,5251,1614,6353,1440,366,234,14784,2766,5430,1770,8532,1835,822,367,153772,8630,82325,5479,37941,3628,41226,3379,3158,830,71447,5200,32644,3578,35191,2999,3612,721,9718,null,null,4410,null,null,2551,null,null,1614,null,null,1440,null,null,234,null,null,2766,null,null,1770,null,null,1835,null,null,367,null,null,8630,null,null,5479,null,null,3628,null,null,3379,null,null,830,null,null,5200,null,null,3578,null,null,2999,null,null,721,null,null,08
107533,8364,18551,4201,8667,2189,4270,1473,4352,1411,45,76,9884,2556,4847,1576,4802,1307,235,216,88982,8054,45440,4466,22913,3230,21383,2720,1144,444,43542,4667,20687,2862,21096,2875,1759,516,8364,null,null,4201,null,null,2189,null,null,1473,null,null,1411,null,null,76,null,null,2556,null,null,1576,null,null,1307,null,null,216,null,null,8054,null,null,4466,null,null,3230,null,null,2720,null,null,444,null,null,4667,null,null,2862,null,null,2875,null,null,516,null,null,09
24979,3571,4789,1602,2052,942,1368,837,672,379,12,21,2737,1102,914,555,1751,896,72,117,20190,2998,8182,1548,5097,1211,2640,730,445,247,12008,2083,5229,1675,6231,1290,548,356,3571,null,null,1602,null,null,942,null,null,837,null,null,379,null,null,21,null,null,1102,null,null,555,null,null,896,null,null,117,null,null,2998,null,null,1548,null,null,1211,null,null,730,null,null,247,null,null,2083,null,null,1675,null,null,1290,null,null,356,null,null,10
16809,2382,1747,890,560,332,120,143,302,270,138,116,1187,656,195,237,992,489,0,203,15062,2291,6880,1361,2808,755,3865,998,207,128,8182,1578,3114,1005,4665,979,403,295,2382,null,null,890,null,null,332,null,null,143,null,null,270,null,null,116,null,null,656,null,null,237,null,null,489,null,null,203,null,null,2291,null,null,1361,null,null,755,null,null,998,null,null,128,null,null,1578,null,null,1005,null,null,979,null,null,295,null,null,11
