B06004G_001E,B06004G_001M,B06004G_002E,B06004G_002M,B06004G_003E,B06004G_003M,B06004G_004E,B06004G_004M,B06004G_005E,B06004G_005M,B06004G_001M,B06004G_001EA,B06004G_001MA,B06004G_002M,B06004G_002EA,B06004G_002MA,B06004G_003M,B06004G_003EA,B06004G_003MA,B06004G_004M,B06004G_004EA,B06004G_004MA,B06004G_005M,B06004G_005EA,B06004G_005MA,state
140330,7902,101357,7122,30834,3009,2893,918,5246,1141,7902,null,null,7122,null,null,3009,null,null,918,null,null,1141,null,null,55
15304,2090,5521,1503,8790,1587,473,378,520,560,2090,null,null,1503,null,null,1587,null,null,378,null,null,560,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
83858,7172,53655,5986,23287,3324,2840,1087,4076,1214,7172,null,null,5986,null,null,3324,null,null,1087,null,null,1214,null,null,01
63961,5261,39880,3886,21387,2460,1496,558,1198,447,5261,null,null,3886,null,null,2460,null,null,558,null,null,447,null,null,02
249680,13653,134406,10337,92250,6917,6536,1370,16488,2681,13653,null,null,10337,null,null,6917,null,null,1370,null,null,2681,null,null,04
77421,6277,44105,4971,27516,2672,1618,833,4182,1744,6277,null,null,4971,null,null,2672,null,null,833,null,null,1744,null,null,05
1879650,30456,1360363,25450,254607,10110,55642,4373,209038,10094,30456,null,null,25450,null,null,10110,null,null,4373,null,null,10094,null,null,06
184361,9839,101223,6896,70033,5465,5449,1167,7656,1656,9839,null,null,6896,null,null,5465,null,null,1167,null,null,1656,null,null,08
111524,8304,65149,5767,28294,3464,6171,1822,11910,2355,8304,null,null,5767,null,null,3464,null,null,1822,null,null,2355,null,null,09
25714,3500,13902,2489,9683,1703,428,263,1701,943,3500,null,null,2489,null,null,1703,null,null,263,null,null,943,null,null,10
17735,2345,6826,1632,7535,1363,848,418,2526,840,2345,null,null,1632,null,null,1363,null,null,418,null,null,840,null,null,11
