C17010A_001E,C17010A_001M,C17010A_002E,C17010A_002M,C17010A_003E,C17010A_003M,C17010A_004E,C17010A_004M,C17010A_005E,C17010A_005M,C17010A_006E,C17010A_006M,C17010A_007E,C17010A_007M,C17010A_008E,C17010A_008M,C17010A_009E,C17010A_009M,C17010A_010E,C17010A_010M,C17010A_011E,C17010A_011M,C17010A_012E,C17010A_012M,C17010A_013E,C17010A_013M,C17010A_014E,C17010A_014M,C17010A_015E,C17010A_015M,C17010A_016E,C17010A_016M,C17010A_017E,C17010A_017M,C17010A_001M,C17010A_001EA,C17010A_001MA,C17010A_002M,C17010A_002EA,C17010A_002MA,C17010A_003M,C17010A_003EA,C17010A_003MA,C17010A_004M,C17010A_004EA,C17010A_004MA,C17010A_005M,C17010A_005EA,C17010A_005MA,C17010A_006M,C17010A_006EA,C17010A_006MA,C17010A_007M,C17010A_007EA,C17010A_007MA,C17010A_008M,C17010A_008EA,C17010A_008MA,C17010A_009M,C17010A_009EA,C17010A_009MA,C17010A_010M,C17010A_010EA,C17010A_010MA,C17010A_011M,C17010A_011EA,C17010A_011MA,C17010A_012M,C17010A_012EA,C17010A_012MA,C17010A_013M,C17010A_013EA,C17010A_013MA,C17010A_014M,C17010A_014EA,C17010A_014MA,C17010A_015M,C17010A_015EA,C17010A_015MA,C17010A_016M,C17010A_016EA,C17010A_016MA,C17010A_017M,C17010A_017EA,C17010A_017MA,state
316108,6125,22072,2402,9323,1494,3863,1003,12749,1844,3667,1062,3213,1009,9082,1419,7828,1326,294036,6092,239065,5816,74581,3567,54971,3013,19274,1936,10953,1579,35697,2415,19121,1895,6125,null,null,2402,null,null,1494,null,null,1003,null,null,1844,null,null,1062,null,null,1009,null,null,1419,null,null,1326,null,null,6092,null,null,5816,null,null,3567,null,null,3013,null,null,1936,null,null,1579,null,null,2415,null,null,1895,null,null,23
880265,8549,37245,2313,15094,1835,7652,1589,22151,2140,4127,984,3096,915,18024,2103,14806,1795,843020,8237,694021,7959,277405,6559,148999,5981,50779,3485,26531,2760,98220,4471,48093,3156,8549,null,null,2313,null,null,1835,null,null,1589,null,null,2140,null,null,984,null,null,915,null,null,2103,null,null,1795,null,null,8237,null,null,7959,null,null,6559,null,null,5981,null,null,3485,null,null,2760,null,null,4471,null,null,3156,null,null,24
1326410,10724,71187,3717,20582,2205,7847,1500,50605,2915,7369,1601,4753,1379,43236,3205,36498,2884,1255223,10448,992854,10701,385876,7733,262369,7434,77573,4059,35071,3658,184796,6574,89205,5099,10724,null,null,3717,null,null,2205,null,null,1500,null,null,2915,null,null,1601,null,null,1379,null,null,3205,null,null,2884,null,null,10448,null,null,10701,null,null,7733,null,null,7434,null,null,4059,null,null,3658,null,null,6574,null,null,5099,null,null,25
2030438,12764,157353,5014,67035,3040,38157,2843,90318,4417,19667,2285,13992,1864,70651,3858,59655,3838,1873085,12990,1537039,12138,549874,8837,336046,8079,114444,4462,58759,3392,221602,6755,108561,5671,12764,null,null,5014,null,null,3040,null,null,2843,null,null,4417,null,null,2285,null,null,1864,null,null,3858,null,null,3838,null,null,12990,null,null,12138,null,null,8837,null,null,8079,null,null,4462,null,null,3392,null,null,6755,null,null,5671,null,null,26
1199232,8229,49930,2838,19425,1629,7948,1132,30505,2254,4497,819,3097,610,26008,2203,23394,2012,1149302,8630,965798,9706,375257,6618,183504,5245,70618,3595,41028,3053,112886,4403,67488,3159,8229,null,null,2838,null,null,1629,null,null,1132,null,null,2254,null,null,819,null,null,610,null,null,2203,null,null,2012,null,null,8630,null,null,9706,null,null,6618,null,null,5245,null,null,3595,null,null,3053,null,null,4403,null,null,3159,null,null,27
456260,7205,43254,3416,20199,2424,10055,1832,23055,2668,3245,875,2223,805,19810,2538,15245,2234,413006,6887,344347,7178,129443,5565,68659,4441,21134,2476,10308,1866,47525,4062,23543,2409,7205,null,null,3416,null,null,2424,null,null,1832,null,null,2668,null,null,875,null,null,805,null,null,2538,null,null,2234,null,null,6887,null,null,7178,null,null,5565,null,null,4441,null,null,2476,null,null,1866,null,null,4062,null,null,2409,null,null,28
1302641,9768,105541,4345,45930,3269,23396,2385,59611,3835,12601,1730,8678,1672,47010,3605,40670,3347,1197100,10635,985995,11423,379712,8461,211105,8092,73688,4368,41745,3432,137417,5823,75245,3981,9768,null,null,4345,null,null,3269,null,null,2385,null,null,3835,null,null,1730,null,null,1672,null,null,3605,null,null,3347,null,null,10635,null,null,11423,null,null,8461,null,null,8092,null,null,4368,null,null,3432,null,null,5823,null,null,3981,null,null,29
238649,4999,16991,2164,8811,1522,4313,1036,8180,1430,1518,437,1058,394,6662,1301,6055,1206,221658,4608,187363,5167,67727,3464,34295,2499,13422,1731,7820,1550,20873,2337,11377,1643,4999,null,null,2164,null,null,1522,null,null,1036,null,null,1430,null,null,437,null,null,394,null,null,1301,null,null,1206,null,null,4608,null,null,5167,null,null,3464,null,null,2499,null,null,1731,null,null,1550,null,null,2337,null,null,1643,null,null,30
432529,5228,26090,2352,9318,1277,5150,973,16772,2068,2646,739,2242,673,14126,1914,12590,1829,406439,4998,334948,5524,138866,3459,71491,3565,22219,2096,12941,1658,49272,2664,29600,2242,5228,null,null,2352,null,null,1277,null,null,973,null,null,2068,null,null,739,null,null,673,null,null,1914,null,null,1829,null,null,4998,null,null,5524,null,null,3459,null,null,3565,null,null,2096,null,null,1658,null,null,2664,null,null,2242,null,null,31
474418,7275,39564,3547,17029,1860,8685,1511,22535,2622,3609,936,2736,902,18926,2515,16518,2305,434854,7391,336064,7502,124773,5111,98790,4555,38327,2953,20339,1950,60463,3349,31922,2877,7275,null,null,3547,null,null,1860,null,null,1511,null,null,2622,null,null,936,null,null,902,null,null,2515,null,null,2305,null,null,7391,null,null,7502,null,null,5111,null,null,4555,null,null,2953,null,null,1950,null,null,3349,null,null,2877,null,null,32
327158,5521,12580,1957,4521,1268,1827,905,8059,1733,1849,933,1611,791,6210,1413,5576,1343,314578,5339,255165,5563,89476,3356,59413,3972,19962,2219,11491,1706,39451,3406,22625,2654,5521,null,null,1957,null,null,1268,null,null,905,null,null,1733,null,null,933,null,null,791,null,null,1413,null,null,1343,null,null,5339,null,null,5563,null,null,3356,null,null,3972,null,null,2219,null,null,1706,null,null,3406,null,null,2654,null,null,33
1559431,13444,92009,5046,37533,2538,19906,2083,54476,4248,9765,1773,7363,1535,44711,3995,37170,3722,1467422,12761,1180598,12044,477469,9076,286824,9912,89512,5225,38778,3243,197312,7208,90661,4890,13444,null,null,5046,null,null,2538,null,null,2083,null,null,4248,null,null,1773,null,null,1535,null,null,3995,null,null,3722,null,null,12761,null,null,12044,null,null,9076,null,null,9912,null,null,5225,null,null,3243,null,null,7208,null,null,4890,null,null,34
370295,7430,49610,3842,18834,2387,11672,1735,30776,3129,5352,1312,4735,1212,25424,3265,22943,3137,320685,7114,252166,6700,88917,4342,68519,3888,20770,2090,9457,1559,47749,3257,24699,2516,7430,null,null,3842,null,null,2387,null,null,1735,null,null,3129,null,null,1312,null,null,1212,null,null,3265,null,null,3137,null,null,7114,null,null,6700,null,null,4342,null,null,3888,null,null,2090,null,null,1559,null,null,3257,null,null,2516,null,null,35
3033575,17165,219157,7408,98363,5034,57688,3786,120794,5847,21129,2021,15749,1848,99665,5908,80248,5287,2814418,16207,2254081,17151,853515,11181,560337,11504,183569,6404,79353,4518,376768,9291,175457,6001,17165,null,null,7408,null,null,5034,null,null,3786,null,null,5847,null,null,2021,null,null,1848,null,null,5908,null,null,5287,null,null,16207,null,null,17151,null,null,11181,null,null,11504,null,null,6404,null,null,4518,null,null,9291,null,null,6001,null,null,36
1854790,15241,154417,5665,65743,4100,34523,3573,88674,4294,16387,2225,11226,2005,72287,4218,60879,3961,1700373,14203,1426294,14341,540237,9440,274079,7575,91141,5051,49114,4122,182938,5551,97843,4721,15241,null,null,5665,null,null,4100,null,null,3573,null,null,4294,null,null,2225,null,null,2005,null,null,4218,null,null,3961,null,null,14203,null,null,14341,null,null,9440,null,null,7575,null,null,5051,null,null,4122,null,null,5551,null,null,4721,null,null,37
166571,4163,7003,1456,3258,847,1271,515,3745,1161,908,491,797,465,2837,965,2666,950,159568,4258,137705,4023,54434,3008,21863,2054,8408,1370,5314,1159,13455,1749,8006,1359,4163,null,null,1456,null,null,847,null,null,515,null,null,1161,null,null,491,null,null,465,null,null,965,null,null,950,null,null,4258,null,null,4023,null,null,3008,null,null,2054,null,null,1370,null,null,1159,null,null,1749,null,null,1359,null,null,38
2485919,14388,198311,7383,69840,3286,35503,2574,128471,6818,24359,2834,18642,2401,104112,5783,87483,5109,2287608,13992,1841366,15171,684994,10355,446242,10290,151653,6560,81713,4868,294589,7527,156907,6438,14388,null,null,7383,null,null,3286,null,null,2574,null,null,6818,null,null,2834,null,null,2401,null,null,5783,null,null,5109,null,null,13992,null,null,15171,null,null,10355,null,null,10290,null,null,6560,null,null,4868,null,null,7527,null,null,6438,null,null,39
742619,6965,67440,3222,27053,2201,15355,1742,40387,2565,6129,990,4787,856,34258,2383,29752,2152,675179,7510,550537,7578,211679,5456,124642,3395,45460,2287,26470,1839,79182,3315,41728,2401,6965,null,null,3222,null,null,2201,null,null,1742,null,null,2565,null,null,990,null,null,856,null,null,2383,null,null,2152,null,null,7510,null,null,7578,null,null,5456,null,null,3395,null,null,2287,null,null,1839,null,null,3315,null,null,2401,null,null,40
874855,10845,67945,4314,27436,2704,14378,2233,40509,3148,6391,1273,5151,1210,34118,3043,29018,2906,806910,9937,653399,9298,233106,6264,153511,6229,51644,3953,30169,3072,101867,5560,53844,4437,10845,null,null,4314,null,null,2704,null,null,2233,null,null,3148,null,null,1273,null,null,1210,null,null,3043,null,null,2906,null,null,9937,null,null,9298,null,null,6264,null,null,6229,null,null,3953,null,null,3072,null,null,5560,null,null,4437,null,null,41
2671640,13735,173000,5723,70032,3806,35716,3007,102968,4830,18908,1724,13536,1644,84060,4325,72688,4062,2498640,14121,2034921,14642,721195,9914,463719,8298,160069,4872,78746,3942,303650,8297,149725,5642,13735,null,null,5723,null,null,3806,null,null,3007,null,null,4830,null,null,1724,null,null,1644,null,null,4325,null,null,4062,null,null,14121,null,null,14642,null,null,9914,null,null,8298,null,null,4872,null,null,3942,null,null,8297,null,null,5642,null,null,42
206277,5320,14771,2175,5121,1108,3085,891,9650,1882,1394,591,927,526,8256,1841,7003,1717,191506,5189,145368,5212,49596,2969,46138,3701,12604,1799,6574,1352,33534,3195,17347,2257,5320,null,null,2175,null,null,1108,null,null,891,null,null,1882,null,null,591,null,null,526,null,null,1841,null,null,1717,null,null,5189,null,null,5212,null,null,2969,null,null,3701,null,null,1799,null,null,1352,null,null,3195,null,null,2257,null,null,44
880001,9640,64656,3632,26533,2242,14226,1731,38123,3088,7256,1693,5251,1399,30867,2748,26789,2602,815345,9099,680693,9475,241946,6553,134652,5989,43346,3464,21814,2667,91306,4621,47923,3854,9640,null,null,3632,null,null,2242,null,null,1731,null,null,3088,null,null,1693,null,null,1399,null,null,2748,null,null,2602,null,null,9099,null,null,9475,null,null,6553,null,null,5989,null,null,3464,null,null,2667,null,null,4621,null,null,3854,null,null,45
187761,3542,8698,1022,3651,655,1350,427,5047,968,686,284,425,239,4361,898,3889,891,179063,3511,151731,3769,59395,2589,27332,2343,9767,1406,6301,1109,17565,1918,11129,1511,3542,null,null,1022,null,null,655,null,null,427,null,null,968,null,null,284,null,null,239,null,null,898,null,null,891,null,null,3511,null,null,3769,null,null,2589,null,null,2343,null,null,1406,null,null,1109,null,null,1918,null,null,1511,null,null,46
1356067,11760,126497,5928,57856,3892,32588,3155,68641,4871,13321,1913,10371,1725,55320,4131,47179,3652,1229570,11566,1012945,11561,375699,8231,216625,7497,69027,4263,37685,3307,147598,6020,77856,4395,11760,null,null,5928,null,null,3892,null,null,3155,null,null,4871,null,null,1913,null,null,1725,null,null,4131,null,null,3652,null,null,11566,null,null,11561,null,null,8231,null,null,7497,null,null,4263,null,null,3307,null,null,6020,null,null,4395,null,null,47
5046504,20860,549267,10781,243425,9731,162221,8190,305842,8363,45170,3842,34388,3322,260672,7629,232500,7637,4497237,21898,3564559,23839,1602945,17767,932678,18025,304511,9286,160344,6516,628167,14938,370388,11558,20860,null,null,10781,null,null,9731,null,null,8190,null,null,8363,null,null,3842,null,null,3322,null,null,7629,null,null,7637,null,null,21898,null,null,23839,null,null,17767,null,null,18025,null,null,9286,null,null,6516,null,null,14938,null,null,11558,null,null,48
633190,7199,37614,3122,19789,1901,11822,1537,17825,2285,2331,838,1598,708,15494,2118,13643,2018,595576,7738,506705,8116,256502,6157,88871,5044,31328,3108,17138,2334,57543,3853,31355,2802,7199,null,null,3122,null,null,1901,null,null,1537,null,null,2285,null,null,838,null,null,708,null,null,2118,null,null,2018,null,null,7738,null,null,8116,null,null,6157,null,null,5044,null,null,3108,null,null,2334,null,null,3853,null,null,2802,null,null,49
148588,3731,10810,1508,3818,678,1398,522,6992,1419,1017,590,958,582,5975,1417,5361,1334,137778,3671,112331,3604,38264,1946,25447,2322,9494,1673,5333,1317,15953,1565,9919,1222,3731,null,null,1508,null,null,678,null,null,522,null,null,1419,null,null,590,null,null,582,null,null,1417,null,null,1334,null,null,3671,null,null,3604,null,null,1946,null,null,2322,null,null,1673,null,null,1317,null,null,1565,null,null,1222,null,null,50
1478146,13779,81316,4173,35035,2978,18508,2416,46281,3564,8660,1498,5559,1274,37621,3019,31423,2988,1396830,13769,1164543,12799,465227,8650,232287,8847,75558,5280,40301,3638,156729,6822,86971,4643,13779,null,null,4173,null,null,2978,null,null,2416,null,null,3564,null,null,1498,null,null,1274,null,null,3019,null,null,2988,null,null,13769,null,null,12799,null,null,8650,null,null,8847,null,null,5280,null,null,3638,null,null,6822,null,null,4643,null,null,51
1425315,11932,80849,3926,35470,2817,17955,2041,45379,3168,8773,1567,6496,1274,36606,3462,30917,2989,1344466,12505,1108573,11042,422487,8355,235893,8004,81839,4333,46719,3919,154054,6708,80190,4784,11932,null,null,3926,null,null,2817,null,null,2041,null,null,3168,null,null,1567,null,null,1274,null,null,3462,null,null,2989,null,null,12505,null,null,11042,null,null,8355,null,null,8004,null,null,4333,null,null,3919,null,null,6708,null,null,4784,null,null,53
444543,6312,55361,3616,22706,2312,11997,1708,32655,2717,6009,1076,4460,982,26646,2603,22329,2324,389182,6634,311992,5844,106830,4024,77190,4225,25124,2292,12690,1873,52066,3377,26527,2564,6312,null,null,3616,null,null,2312,null,null,1708,null,null,2717,null,null,1076,null,null,982,null,null,2603,null,null,2324,null,null,6634,null,null,5844,null,null,4024,null,null,4225,null,null,2292,null,null,1873,null,null,3377,null,null,2564,null,null,54
1301963,9313,74053,4119,29418,2048,13433,1372,44635,3409,9947,1621,7768,1409,34688,2670,30537,2620,1227910,10029,1023887,10619,373075,6416,204023,6243,75644,3589,43985,3053,128379,5215,70804,3594,9313,null,null,4119,null,null,2048,null,null,1372,null,null,3409,null,null,1621,null,null,1409,null,null,2670,null,null,2620,null,null,10029,null,null,10619,null,null,6416,null,null,6243,null,null,3589,null,null,3053,null,null,5215,null,null,3594,null,null,55
137379,3742,7941,1362,4357,1110,1720,592,3584,958,206,208,206,208,3378,929,2976,905,129438,3711,107213,4085,39401,2313,22225,2557,9700,1687,6663,1410,12525,1644,8016,1313,3742,null,null,1362,null,null,1110,null,null,592,null,null,958,null,null,208,null,null,208,null,null,929,null,null,905,null,null,3711,null,null,4085,null,null,2313,null,null,2557,null,null,1687,null,null,1410,null,null,1644,null,null,1313,null,null,56
563153,9551,209820,7381,80476,3801,27280,2623,129344,6789,22778,2403,13619,2044,106566,6056,72336,4751,353333,7815,242068,6928,75186,4593,111265,4223,29138,2829,10366,1931,82127,3949,33162,2872,9551,null,null,7381,null,null,3801,null,null,2623,null,null,6789,null,null,2403,null,null,2044,null,null,6056,null,null,4751,null,null,7815,null,null,6928,null,null,4593,null,null,4223,null,null,2829,null,null,1931,null,null,3949,null,null,2872,null,null,72
865288,9527,76718,4413,35910,3135,17198,2179,40808,3373,8322,1419,6299,1347,32486,3112,26935,2849,788570,9595,658995,8647,245583,6871,129575,6048,41711,3029,20686,2328,87864,4719,42173,3147,9527,null,null,4413,null,null,3135,null,null,2179,null,null,3373,null,null,1419,null,null,1347,null,null,3112,null,null,2849,null,null,9595,null,null,8647,null,null,6871,null,null,6048,null,null,3029,null,null,2328,null,null,4719,null,null,3147,null,null,01
117795,3819,4751,1069,1516,507,787,373,3235,955,650,469,619,467,2585,860,2380,823,113044,3774,93562,3586,39533,2838,19482,2371,8148,1290,5246,1183,11334,1735,5727,1130,3819,null,null,1069,null,null,507,null,null,373,null,null,955,null,null,469,null,null,467,null,null,860,null,null,823,null,null,3774,null,null,3586,null,null,2838,null,null,2371,null,null,1290,null,null,1183,null,null,1735,null,null,1130,null,null,02
1315237,11142,127463,5247,57757,4053,31706,2891,69706,3850,14865,1956,10620,1726,54841,3487,45911,3387,1187774,10710,940084,10538,335350,8332,247690,8547,81083,4478,39943,3660,166607,7035,90642,4911,11142,null,null,5247,null,null,4053,null,null,2891,null,null,3850,null,null,1956,null,null,1726,null,null,3487,null,null,3387,null,null,10710,null,null,10538,null,null,8332,null,null,8547,null,null,4478,null,null,3660,null,null,7035,null,null,4911,null,null,04
599291,7825,58512,3666,25924,2602,14472,1982,32588,2869,5716,1240,3934,986,26872,2460,22625,2408,540779,7781,448670,7725,167940,5408,92109,5816,29004,3041,16036,2248,63105,4336,33959,3143,7825,null,null,3666,null,null,2602,null,null,1982,null,null,2869,null,null,1240,null,null,986,null,null,2460,null,null,2408,null,null,7781,null,null,7725,null,null,5408,null,null,5816,null,null,3041,null,null,2248,null,null,4336,null,null,3143,null,null,05
5593742,23159,485390,11749,217238,7799,139360,6508,268152,8911,57149,4349,42712,3666,211003,7682,176796,7041,5108352,23667,3987766,27173,1668437,18694,1120586,16468,380469,10149,195975,7488,740117,13033,372448,9432,23159,null,null,11749,null,null,7799,null,null,6508,null,null,8911,null,null,4349,null,null,3666,null,null,7682,null,null,7041,null,null,23667,null,null,27173,null,null,18694,null,null,16468,null,null,10149,null,null,7488,null,null,13033,null,null,9432,null,null,06
1171190,9728,70524,4093,30975,2426,18266,1890,39549,3578,7026,1240,4571,1108,32523,3366,29022,3144,1100666,10325,902172,9647,372375,7626,198494,6532,73511,4489,38716,2988,124983,4732,73485,4084,9728,null,null,4093,null,null,2426,null,null,1890,null,null,3578,null,null,1240,null,null,1108,null,null,3366,null,null,3144,null,null,10325,null,null,9647,null,null,7626,null,null,6532,null,null,4489,null,null,2988,null,null,4732,null,null,4084,null,null,08
700583,9248,35649,3321,12208,1907,5907,1184,23441,2504,3092,954,2155,765,20349,2252,16529,2079,664934,8718,537026,7868,198044,4819,127908,5664,40441,3476,16581,2231,87467,4296,42356,3221,9248,null,null,3321,null,null,1907,null,null,1184,null,null,2504,null,null,954,null,null,765,null,null,2252,null,null,2079,null,null,8718,null,null,7868,null,null,4819,null,null,5664,null,null,3476,null,null,2231,null,null,4296,null,null,3221,null,null,09
168772,4020,9699,1354,4217,1004,2029,731,5482,1118,684,394,340,224,4798,1036,3988,992,159073,3901,128272,4175,40451,2706,30801,2435,8129,1452,3768,907,22672,2035,11329,1860,4020,null,null,1354,null,null,1004,null,null,731,null,null,1118,null,null,394,null,null,224,null,null,1036,null,null,992,null,null,3901,null,null,4175,null,null,2706,null,null,2435,null,null,1452,null,null,907,null,null,2035,null,null,1860,null,null,10
48414,2414,691,395,185,194,103,174,506,347,102,172,102,172,404,307,344,290,47723,2415,43271,2472,17115,1521,4452,935,1432,493,884,390,3020,865,2027,637,2414,null,null,395,null,null,194,null,null,174,null,null,347,null,null,172,null,null,172,null,null,307,null,null,290,null,null,2415,null,null,2472,null,null,1521,null,null,935,null,null,493,null,null,390,null,null,865,null,null,637,null,null,11
