B12002F_001E,B12002F_001M,B12002F_002E,B12002F_002M,B12002F_003E,B12002F_003M,B12002F_004E,B12002F_004M,B12002F_005E,B12002F_005M,B12002F_006E,B12002F_006M,B12002F_007E,B12002F_007M,B12002F_008E,B12002F_008M,B12002F_009E,B12002F_009M,B12002F_010E,B12002F_010M,B12002F_011E,B12002F_011M,B12002F_012E,B12002F_012M,B12002F_013E,B12002F_013M,B12002F_001M,B12002F_001EA,B12002F_001MA,B12002F_002M,B12002F_002EA,B12002F_002MA,B12002F_003M,B12002F_003EA,B12002F_003MA,B12002F_004M,B12002F_004EA,B12002F_004MA,B12002F_005M,B12002F_005EA,B12002F_005MA,B12002F_006M,B12002F_006EA,B12002F_006MA,B12002F_007M,B12002F_007EA,B12002F_007MA,B12002F_008M,B12002F_008EA,B12002F_008MA,B12002F_009M,B12002F_009EA,B12002F_009MA,B12002F_010M,B12002F_010EA,B12002F_010MA,B12002F_011M,B12002F_011EA,B12002F_011MA,B12002F_012M,B12002F_012EA,B12002F_012MA,B12002F_013M,B12002F_013EA,B12002F_013MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
169119,9457,89675,5629,47597,4384,33910,3482,3181,1421,598,465,4389,1841,79444,5211,34282,3478,33781,3014,2350,843,2226,879,6805,1427,9457,null,null,5629,null,null,4384,null,null,3482,null,null,1421,null,null,465,null,null,1841,null,null,5211,null,null,3478,null,null,3014,null,null,843,null,null,879,null,null,1427,null,null,24
218126,11873,111220,6048,58716,4570,40646,3655,3200,942,1070,527,7588,1834,106906,7070,49919,5102,37918,3016,5435,1329,3433,924,10201,1831,11873,null,null,6048,null,null,4570,null,null,3655,null,null,942,null,null,527,null,null,1834,null,null,7070,null,null,5102,null,null,3016,null,null,1329,null,null,924,null,null,1831,null,null,25
85931,6121,45387,3434,20220,2410,19849,1935,648,357,1088,636,3582,1006,40544,3489,15944,2243,17628,1886,1775,688,1892,655,3305,1033,6121,null,null,3434,null,null,2410,null,null,1935,null,null,357,null,null,636,null,null,1006,null,null,3489,null,null,2243,null,null,1886,null,null,688,null,null,655,null,null,1033,null,null,26
76746,4661,42627,2533,20712,2289,18374,1965,645,386,266,220,2630,755,34119,2970,14169,2184,16197,1792,991,432,667,399,2095,633,4661,null,null,2533,null,null,2289,null,null,1965,null,null,386,null,null,220,null,null,755,null,null,2970,null,null,2184,null,null,1792,null,null,432,null,null,399,null,null,633,null,null,27
21763,3337,12649,2050,5785,1446,5758,1358,685,564,0,213,421,354,9114,1739,3349,1218,4900,1193,278,315,315,230,272,369,3337,null,null,2050,null,null,1446,null,null,1358,null,null,564,null,null,213,null,null,354,null,null,1739,null,null,1218,null,null,1193,null,null,315,null,null,230,null,null,369,null,null,28
47078,4206,23434,2715,10639,1767,11263,1788,176,167,98,160,1258,602,23644,2488,9483,1717,11155,1519,1177,603,538,421,1291,448,4206,null,null,2715,null,null,1767,null,null,1788,null,null,167,null,null,160,null,null,602,null,null,2488,null,null,1717,null,null,1519,null,null,603,null,null,421,null,null,448,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
26160,3867,13455,2203,6021,1301,6413,1465,41,74,140,131,840,412,12705,2013,3775,1020,6352,1289,318,308,743,576,1517,562,3867,null,null,2203,null,null,1301,null,null,1465,null,null,74,null,null,131,null,null,412,null,null,2013,null,null,1020,null,null,1289,null,null,308,null,null,576,null,null,562,null,null,31
204166,10922,105641,6393,50542,4745,42227,3557,2998,1225,1695,887,8179,1916,98525,5795,37702,3330,40698,3366,5447,1280,4586,1124,10092,1810,10922,null,null,6393,null,null,4745,null,null,3557,null,null,1225,null,null,887,null,null,1916,null,null,5795,null,null,3330,null,null,3366,null,null,1280,null,null,1124,null,null,1810,null,null,32
6014,1562,3305,1006,1161,613,1913,644,195,318,0,187,36,60,2709,921,636,427,1240,461,164,204,328,252,341,341,1562,null,null,1006,null,null,613,null,null,644,null,null,318,null,null,187,null,null,60,null,null,921,null,null,427,null,null,461,null,null,204,null,null,252,null,null,341,null,null,33
406198,15623,207764,8631,100722,5994,84867,5606,6760,1643,2315,973,13100,2135,198434,9262,80315,4910,77647,5555,12232,1886,10156,1948,18084,2600,15623,null,null,8631,null,null,5994,null,null,5606,null,null,1643,null,null,973,null,null,2135,null,null,9262,null,null,4910,null,null,5555,null,null,1886,null,null,1948,null,null,2600,null,null,34
164126,8232,81588,5363,36257,3874,29731,3113,2418,1020,2404,722,10778,1751,82538,4617,30884,3118,30699,2387,2546,1114,6853,1552,11556,1827,8232,null,null,5363,null,null,3874,null,null,3113,null,null,1020,null,null,722,null,null,1751,null,null,4617,null,null,3118,null,null,2387,null,null,1114,null,null,1552,null,null,1827,null,null,35
1354177,26383,660295,15023,336750,10279,253347,9770,21229,3357,9242,1922,39727,4843,693882,14420,319063,9846,232404,8811,39753,3613,38681,3396,63981,4019,26383,null,null,15023,null,null,10279,null,null,9770,null,null,3357,null,null,1922,null,null,4843,null,null,14420,null,null,9846,null,null,8811,null,null,3613,null,null,3396,null,null,4019,null,null,36
209345,9697,110555,6211,47747,4799,51879,3692,3326,1470,1238,881,6365,1443,98790,5606,40354,3886,48361,3111,2615,888,2791,1045,4669,1388,9697,null,null,6211,null,null,4799,null,null,3692,null,null,1470,null,null,881,null,null,1443,null,null,5606,null,null,3886,null,null,3111,null,null,888,null,null,1045,null,null,1388,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
78866,6101,41333,3905,19820,2671,15659,2133,1045,503,646,470,4163,1156,37533,3744,17464,2521,13698,2076,1471,658,919,459,3981,980,6101,null,null,3905,null,null,2671,null,null,2133,null,null,503,null,null,470,null,null,1156,null,null,3744,null,null,2521,null,null,2076,null,null,658,null,null,459,null,null,980,null,null,39
76496,5309,42662,3349,19272,2427,19148,1856,1061,464,367,244,2814,695,33834,2867,10875,1558,17457,1804,1024,438,1261,441,3217,794,5309,null,null,3349,null,null,2427,null,null,1856,null,null,464,null,null,244,null,null,695,null,null,2867,null,null,1558,null,null,1804,null,null,438,null,null,441,null,null,794,null,null,40
89371,7064,47837,4027,20332,2914,22336,2861,928,588,568,499,3673,1139,41534,4156,16024,2616,20062,2372,905,731,1752,713,2791,965,7064,null,null,4027,null,null,2914,null,null,2861,null,null,588,null,null,499,null,null,1139,null,null,4156,null,null,2616,null,null,2372,null,null,731,null,null,713,null,null,965,null,null,41
192058,9653,97340,6509,53776,4996,33418,3264,3050,1336,1514,656,5582,1295,94718,4878,46330,4406,28749,2813,5571,1263,3971,946,10097,1738,9653,null,null,6509,null,null,4996,null,null,3264,null,null,1336,null,null,656,null,null,1295,null,null,4878,null,null,4406,null,null,2813,null,null,1263,null,null,946,null,null,1738,null,null,42
46694,4439,23808,2993,13145,2190,8222,1730,441,424,108,170,1892,820,22886,2163,9747,1523,7106,1492,2212,962,1303,581,2518,790,4439,null,null,2993,null,null,2190,null,null,1730,null,null,424,null,null,170,null,null,820,null,null,2163,null,null,1523,null,null,1492,null,null,962,null,null,581,null,null,790,null,null,44
56152,6973,28740,3986,13034,2375,12107,2553,1886,823,0,207,1713,909,27412,3930,11052,2503,11379,1838,1044,678,1282,897,2655,812,6973,null,null,3986,null,null,2375,null,null,2553,null,null,823,null,null,207,null,null,909,null,null,3930,null,null,2503,null,null,1838,null,null,678,null,null,897,null,null,812,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
50219,4776,28775,3113,15898,2495,11274,1602,481,338,141,184,981,506,21444,2533,8376,1858,9905,1571,733,454,884,512,1546,589,4776,null,null,3113,null,null,2495,null,null,1602,null,null,338,null,null,184,null,null,506,null,null,2533,null,null,1858,null,null,1571,null,null,454,null,null,512,null,null,589,null,null,47
1215935,29304,632936,17030,264734,11825,291251,9522,19182,2484,10846,2245,46923,4976,582999,16116,202175,11670,270545,8000,25052,2912,32080,2926,53147,4227,29304,null,null,17030,null,null,11825,null,null,9522,null,null,2484,null,null,2245,null,null,4976,null,null,16116,null,null,11670,null,null,8000,null,null,2912,null,null,2926,null,null,4227,null,null,48
115711,6527,60992,3783,27274,3446,27948,2940,2469,1101,249,216,3052,952,54719,3645,21505,3166,24204,2617,2254,959,1777,756,4979,1437,6527,null,null,3783,null,null,3446,null,null,2940,null,null,1101,null,null,216,null,null,952,null,null,3645,null,null,3166,null,null,2617,null,null,959,null,null,756,null,null,1437,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
172013,8695,95831,5455,47038,4801,42416,4214,2146,887,114,143,4117,1128,76182,4711,30887,2856,35149,3965,3062,960,1322,592,5762,1392,8695,null,null,5455,null,null,4801,null,null,4214,null,null,887,null,null,143,null,null,1128,null,null,4711,null,null,2856,null,null,3965,null,null,960,null,null,592,null,null,1392,null,null,51
251644,9924,133897,6221,62644,4939,59930,3993,2652,974,1099,646,7572,1351,117747,5587,48739,4082,52329,3735,4425,1205,3161,943,9093,1904,9924,null,null,6221,null,null,4939,null,null,3993,null,null,974,null,null,646,null,null,1351,null,null,5587,null,null,4082,null,null,3735,null,null,1205,null,null,943,null,null,1904,null,null,53
6096,1486,3309,886,1370,593,1040,576,171,168,48,79,680,449,2787,966,1618,836,710,380,118,152,259,379,82,96,1486,null,null,886,null,null,593,null,null,576,null,null,168,null,null,79,null,null,449,null,null,966,null,null,836,null,null,380,null,null,152,null,null,379,null,null,96,null,null,54
88314,5015,45922,2830,22312,2135,18252,2057,1374,657,237,226,3747,1103,42392,3203,17693,2352,16918,1984,1417,612,1233,548,5131,1450,5015,null,null,2830,null,null,2135,null,null,2057,null,null,657,null,null,226,null,null,1103,null,null,3203,null,null,2352,null,null,1984,null,null,612,null,null,548,null,null,1450,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
470477,15623,223350,9414,102537,7023,83055,5054,5873,1630,4670,1040,27215,2891,247127,8404,97548,4446,76389,4164,6388,1441,26376,2670,40426,3317,15623,null,null,9414,null,null,7023,null,null,5054,null,null,1630,null,null,1040,null,null,2891,null,null,8404,null,null,4446,null,null,4164,null,null,1441,null,null,2670,null,null,3317,null,null,72
47155,4812,25119,2690,11384,1878,11920,1665,475,412,33,79,1307,700,22036,2851,8517,1921,11399,1599,245,237,79,80,1796,914,4812,null,null,2690,null,null,1878,null,null,1665,null,null,412,null,null,79,null,null,700,null,null,2851,null,null,1921,null,null,1599,null,null,237,null,null,80,null,null,914,null,null,01
10231,2461,5335,2200,2764,1225,2248,1180,44,58,93,143,186,185,4896,1096,2102,1054,2003,697,22,42,20,36,749,563,2461,null,null,2200,null,null,1225,null,null,1180,null,null,58,null,null,143,null,null,185,null,null,1096,null,null,1054,null,null,697,null,null,42,null,null,36,null,null,563,null,null,02
440187,15301,221305,7954,106080,6026,88948,4659,4639,1307,4156,1109,17482,2610,218882,9697,91162,6239,85312,4812,8886,1528,8941,1910,24581,2990,15301,null,null,7954,null,null,6026,null,null,4659,null,null,1307,null,null,1109,null,null,2610,null,null,9697,null,null,6239,null,null,4812,null,null,1528,null,null,1910,null,null,2990,null,null,04
58489,4393,31841,2614,13706,2096,15563,1632,845,542,339,309,1388,805,26648,2619,9604,1674,13553,1604,872,591,685,506,1934,902,4393,null,null,2614,null,null,2096,null,null,1632,null,null,542,null,null,309,null,null,805,null,null,2619,null,null,1674,null,null,1604,null,null,591,null,null,506,null,null,902,null,null,05
4286731,47801,2175651,28329,1048777,19620,927540,16479,50935,3723,27226,3380,121173,6864,2111080,25678,903576,21296,874344,13800,78290,4562,98548,5751,156322,6737,47801,null,null,28329,null,null,19620,null,null,16479,null,null,3723,null,null,3380,null,null,6864,null,null,25678,null,null,21296,null,null,13800,null,null,4562,null,null,5751,null,null,6737,null,null,06
174299,9360,92229,6068,40479,4577,42135,3367,1963,786,1077,617,6575,1474,82070,5041,28920,3134,38061,3235,2525,964,3554,819,9010,1397,9360,null,null,6068,null,null,4577,null,null,3367,null,null,786,null,null,617,null,null,1474,null,null,5041,null,null,3134,null,null,3235,null,null,964,null,null,819,null,null,1397,null,null,08
132164,8655,70233,5628,39974,3987,22027,2705,2172,1566,1050,588,5010,1300,61931,4120,28791,3185,18096,2213,2784,1054,2291,849,9969,1756,8655,null,null,5628,null,null,3987,null,null,2705,null,null,1566,null,null,588,null,null,1300,null,null,4120,null,null,3185,null,null,2213,null,null,1054,null,null,849,null,null,1756,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
26157,3268,13805,2160,8474,1831,4102,1269,353,341,67,113,809,531,12352,1720,7082,1394,3591,1134,663,437,160,261,856,527,3268,null,null,2160,null,null,1831,null,null,1269,null,null,341,null,null,113,null,null,531,null,null,1720,null,null,1394,null,null,1134,null,null,437,null,null,261,null,null,527,null,null,11
