B10051I_001E,B10051I_001M,B10051I_002E,B10051I_002M,B10051I_003E,B10051I_003M,B10051I_004E,B10051I_004M,B10051I_005E,B10051I_005M,B10051I_006E,B10051I_006M,B10051I_007E,B10051I_007M,B10051I_001M,B10051I_001EA,B10051I_001MA,B10051I_002M,B10051I_002EA,B10051I_002MA,B10051I_003M,B10051I_003EA,B10051I_003MA,B10051I_004M,B10051I_004EA,B10051I_004MA,B10051I_005M,B10051I_005EA,B10051I_005MA,B10051I_006M,B10051I_006EA,B10051I_006MA,B10051I_007M,B10051I_007EA,B10051I_007MA,state
1209,475,435,295,344,262,91,133,774,398,386,230,388,271,475,null,null,295,null,null,262,null,null,133,null,null,398,null,null,230,null,null,271,null,null,28
5614,1564,1928,720,1308,672,620,295,3686,1385,1706,997,1980,821,1564,null,null,720,null,null,672,null,null,295,null,null,1385,null,null,997,null,null,821,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
6300,1551,1014,501,597,355,417,351,5286,1683,3618,1548,1668,706,1551,null,null,501,null,null,355,null,null,351,null,null,1683,null,null,1548,null,null,706,null,null,31
23298,3046,7251,1525,4593,1230,2658,946,16047,2509,8746,2039,7301,1879,3046,null,null,1525,null,null,1230,null,null,946,null,null,2509,null,null,2039,null,null,1879,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
52158,4427,11723,2061,7195,1593,4528,1309,40435,3817,17930,2189,22505,2819,4427,null,null,2061,null,null,1593,null,null,1309,null,null,3817,null,null,2189,null,null,2819,null,null,34
29721,3892,12567,2538,8218,2029,4349,1367,17154,2978,8186,2241,8968,1720,3892,null,null,2538,null,null,2029,null,null,1367,null,null,2978,null,null,2241,null,null,1720,null,null,35
124224,7557,31328,4181,18223,2704,13105,2408,92896,6627,44324,4686,48572,5017,7557,null,null,4181,null,null,2704,null,null,2408,null,null,6627,null,null,4686,null,null,5017,null,null,36
17392,3073,6617,1716,5490,1599,1127,583,10775,2337,5783,1746,4992,1439,3073,null,null,1716,null,null,1599,null,null,583,null,null,2337,null,null,1746,null,null,1439,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
8107,1496,2047,704,1529,658,518,278,6060,1421,3628,1234,2432,868,1496,null,null,704,null,null,658,null,null,278,null,null,1421,null,null,1234,null,null,868,null,null,39
7987,1435,3297,981,2678,911,619,308,4690,1020,3134,809,1556,619,1435,null,null,981,null,null,911,null,null,308,null,null,1020,null,null,809,null,null,619,null,null,40
9547,2036,2631,1114,2021,939,610,431,6916,1677,4142,1483,2774,975,2036,null,null,1114,null,null,939,null,null,431,null,null,1677,null,null,1483,null,null,975,null,null,41
25053,3239,7241,1943,5460,1731,1781,787,17812,2478,10437,2452,7375,1346,3239,null,null,1943,null,null,1731,null,null,787,null,null,2478,null,null,2452,null,null,1346,null,null,42
4545,1399,1536,874,1048,687,488,426,3009,1037,1942,809,1067,686,1399,null,null,874,null,null,687,null,null,426,null,null,1037,null,null,809,null,null,686,null,null,44
4703,1367,1160,480,430,307,730,421,3543,1309,1588,714,1955,973,1367,null,null,480,null,null,307,null,null,421,null,null,1309,null,null,714,null,null,973,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
7237,1729,2271,1136,1964,1094,307,223,4966,1460,2563,922,2403,944,1729,null,null,1136,null,null,1094,null,null,223,null,null,1460,null,null,922,null,null,944,null,null,47
390820,11703,129667,7144,90987,6454,38680,3430,261153,10441,137598,8556,123555,7697,11703,null,null,7144,null,null,6454,null,null,3430,null,null,10441,null,null,8556,null,null,7697,null,null,48
12355,2091,2813,1154,1915,976,898,541,9542,1946,5900,1635,3642,1127,2091,null,null,1154,null,null,976,null,null,541,null,null,1946,null,null,1635,null,null,1127,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
25237,3770,4821,1375,3334,1230,1487,642,20416,3183,12902,2734,7514,1629,3770,null,null,1375,null,null,1230,null,null,642,null,null,3183,null,null,2734,null,null,1629,null,null,51
20597,3100,6420,1812,4375,1599,2045,898,14177,2307,8214,2022,5963,1606,3100,null,null,1812,null,null,1599,null,null,898,null,null,2307,null,null,2022,null,null,1606,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
7908,2017,1933,661,1624,623,309,278,5975,1783,4052,1780,1923,720,2017,null,null,661,null,null,623,null,null,278,null,null,1783,null,null,1780,null,null,720,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
95387,5628,38893,3520,19373,2399,19520,2559,56494,4780,24399,3418,32095,3413,5628,null,null,3520,null,null,2399,null,null,2559,null,null,4780,null,null,3418,null,null,3413,null,null,72
3603,1078,639,403,560,354,79,156,2964,1054,1678,680,1286,939,1078,null,null,403,null,null,354,null,null,156,null,null,1054,null,null,680,null,null,939,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
82532,5485,33459,4320,22208,3847,11251,2223,49073,3909,25951,3104,23122,2788,5485,null,null,4320,null,null,3847,null,null,2223,null,null,3909,null,null,3104,null,null,2788,null,null,04
5668,1909,1761,1129,1354,1068,407,355,3907,1567,2639,1293,1268,754,1909,null,null,1129,null,null,1068,null,null,355,null,null,1567,null,null,1293,null,null,754,null,null,05
619042,15818,121795,7496,79458,5492,42337,4217,497247,13582,256950,11503,240297,8072,15818,null,null,7496,null,null,5492,null,null,4217,null,null,13582,null,null,11503,null,null,8072,null,null,06
34629,3746,12029,1837,8030,1417,3999,971,22600,2945,10597,1764,12003,2514,3746,null,null,1837,null,null,1417,null,null,971,null,null,2945,null,null,1764,null,null,2514,null,null,08
13045,2167,3516,1152,2651,994,865,458,9529,1596,5295,1279,4234,988,2167,null,null,1152,null,null,994,null,null,458,null,null,1596,null,null,1279,null,null,988,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
