C27001H_001E,C27001H_001M,C27001H_002E,C27001H_002M,C27001H_003E,C27001H_003M,C27001H_004E,C27001H_004M,C27001H_005E,C27001H_005M,C27001H_006E,C27001H_006M,C27001H_007E,C27001H_007M,C27001H_008E,C27001H_008M,C27001H_009E,C27001H_009M,C27001H_010E,C27001H_010M,C27001H_001M,C27001H_001EA,C27001H_001MA,C27001H_002M,C27001H_002EA,C27001H_002MA,C27001H_003M,C27001H_003EA,C27001H_003MA,C27001H_004M,C27001H_004EA,C27001H_004MA,C27001H_005M,C27001H_005EA,C27001H_005MA,C27001H_006M,C27001H_006EA,C27001H_006MA,C27001H_007M,C27001H_007EA,C27001H_007MA,C27001H_008M,C27001H_008EA,C27001H_008MA,C27001H_009M,C27001H_009EA,C27001H_009MA,C27001H_010M,C27001H_010EA,C27001H_010MA,state
4876774,6564,853724,2371,846573,3028,7151,2129,3123182,5166,3040396,8054,82786,6465,899868,1610,898482,1675,1386,516,6564,null,null,2371,null,null,3028,null,null,2129,null,null,5166,null,null,8054,null,null,6465,null,null,1610,null,null,1675,null,null,516,null,null,25
7412229,3393,1470262,1537,1429519,4197,40743,4089,4597466,2126,4299678,9953,297788,9819,1344501,1531,1342666,1551,1835,626,3393,null,null,1537,null,null,4197,null,null,4089,null,null,2126,null,null,9953,null,null,9819,null,null,1531,null,null,1551,null,null,626,null,null,26
4401935,2560,899347,1086,877625,3067,21722,2898,2749642,2033,2646661,4992,102981,4788,752946,855,752460,898,486,255,2560,null,null,1086,null,null,3067,null,null,2898,null,null,2033,null,null,4992,null,null,4788,null,null,855,null,null,898,null,null,255,null,null,27
1668795,2166,354045,491,337804,3048,16241,2879,1001106,2168,852890,9023,148216,8497,313644,1105,312706,1236,938,442,2166,null,null,491,null,null,3048,null,null,2879,null,null,2168,null,null,9023,null,null,8497,null,null,1105,null,null,1236,null,null,442,null,null,28
4769311,3220,1007617,1477,964234,4453,43383,4180,2928937,2599,2596683,11020,332254,10705,832757,1168,830798,1260,1959,614,3220,null,null,1477,null,null,4453,null,null,4180,null,null,2599,null,null,11020,null,null,10705,null,null,1168,null,null,1260,null,null,614,null,null,29
889270,952,177671,327,172164,1414,5507,1366,541013,941,487122,4362,53891,4222,170586,441,170365,468,221,175,952,null,null,327,null,null,1414,null,null,1366,null,null,941,null,null,4362,null,null,4222,null,null,441,null,null,468,null,null,175,null,null,30
1498129,1616,329240,650,319407,1721,9833,1508,913157,1467,834695,4976,78462,4695,255732,726,255182,761,550,414,1616,null,null,650,null,null,1721,null,null,1508,null,null,1467,null,null,4976,null,null,4695,null,null,726,null,null,761,null,null,414,null,null,31
1446739,2128,240984,935,229683,2502,11301,2214,891387,1773,806910,6316,84477,5953,314368,679,312452,810,1916,626,2128,null,null,935,null,null,2502,null,null,2214,null,null,1773,null,null,6316,null,null,5953,null,null,679,null,null,810,null,null,626,null,null,32
1196775,1527,222889,308,217666,1323,5223,1302,763310,1356,701735,5056,61575,4891,210576,424,210522,433,54,69,1527,null,null,308,null,null,1323,null,null,1302,null,null,1356,null,null,5056,null,null,4891,null,null,424,null,null,433,null,null,69,null,null,33
4914852,5144,927513,2472,908681,3744,18832,2917,3018518,3208,2857404,6795,161114,6321,968821,1960,965267,2216,3554,1163,5144,null,null,2472,null,null,3744,null,null,2917,null,null,3208,null,null,6795,null,null,6321,null,null,1960,null,null,2216,null,null,1163,null,null,34
773505,2460,119333,600,114515,2035,4818,2005,455430,2269,425008,4070,30422,3564,198742,742,198094,782,648,410,2460,null,null,600,null,null,2035,null,null,2005,null,null,2269,null,null,4070,null,null,3564,null,null,742,null,null,782,null,null,410,null,null,35
10846940,6815,1997955,2625,1949448,5514,48507,5305,6800432,4747,6460763,12257,339669,11647,2048553,2979,2042798,3277,5755,1323,6815,null,null,2625,null,null,5514,null,null,5305,null,null,4747,null,null,12257,null,null,11647,null,null,2979,null,null,3277,null,null,1323,null,null,36
6327792,5350,1206568,1482,1167372,4866,39196,4543,3916836,4459,3483430,14353,433406,13597,1204388,1608,1201545,2004,2843,943,5350,null,null,1482,null,null,4866,null,null,4543,null,null,4459,null,null,14353,null,null,13597,null,null,1608,null,null,2004,null,null,943,null,null,37
631712,1300,135207,176,127599,1621,7608,1606,396877,1248,373584,2691,23293,2289,99628,330,99373,360,255,195,1300,null,null,176,null,null,1621,null,null,1606,null,null,1248,null,null,2691,null,null,2289,null,null,330,null,null,360,null,null,195,null,null,38
9099530,4037,1877912,2005,1808524,6868,69388,6402,5618214,2799,5238202,11104,380012,11198,1603404,2275,1598283,2505,5121,1074,4037,null,null,2005,null,null,6868,null,null,6402,null,null,2799,null,null,11104,null,null,11198,null,null,2275,null,null,2505,null,null,1074,null,null,39
2549864,2066,516824,468,492124,2915,24700,2933,1557451,1859,1335166,7450,222285,7320,475589,1012,474145,1114,1444,507,2066,null,null,468,null,null,2915,null,null,2933,null,null,1859,null,null,7450,null,null,7320,null,null,1012,null,null,1114,null,null,507,null,null,40
3091963,2239,555274,868,541054,2882,14220,2617,1918617,1903,1787894,8397,130723,7895,618072,848,615543,1511,2529,1183,2239,null,null,868,null,null,2882,null,null,2617,null,null,1903,null,null,8397,null,null,7895,null,null,848,null,null,1511,null,null,1183,null,null,41
9708659,4523,1801066,1710,1715436,7632,85630,7618,6010557,3352,5650926,13613,359631,12971,1897036,2447,1891721,2436,5315,1084,4523,null,null,1710,null,null,7632,null,null,7618,null,null,3352,null,null,13613,null,null,12971,null,null,2447,null,null,2436,null,null,1084,null,null,42
755969,2561,121530,1146,119471,1462,2059,936,485985,1553,466392,3269,19593,2997,148454,661,148317,699,137,134,2561,null,null,1146,null,null,1462,null,null,936,null,null,1553,null,null,3269,null,null,2997,null,null,661,null,null,699,null,null,134,null,null,44
3111532,3717,598371,1866,574013,4253,24358,3464,1889593,2890,1662603,10662,226990,10787,623568,907,622191,1105,1377,664,3717,null,null,1866,null,null,4253,null,null,3464,null,null,2890,null,null,10662,null,null,10787,null,null,907,null,null,1105,null,null,664,null,null,45
702029,866,153677,339,149511,1335,4166,1319,424214,769,387496,3407,36718,3466,124138,299,123959,343,179,184,866,null,null,339,null,null,1335,null,null,1319,null,null,769,null,null,3407,null,null,3466,null,null,299,null,null,343,null,null,184,null,null,46
4863168,3529,982784,1497,954990,4819,27794,4942,3002379,3083,2678038,9883,324341,9820,878005,1222,876002,1198,2003,579,3529,null,null,1497,null,null,4819,null,null,4942,null,null,3083,null,null,9883,null,null,9820,null,null,1222,null,null,1198,null,null,579,null,null,47
11645811,8290,2321410,2619,2186023,9783,135387,9471,7243650,6362,6307085,21499,936565,20105,2080751,3421,2074348,3920,6403,1487,8290,null,null,2619,null,null,9783,null,null,9471,null,null,6362,null,null,21499,null,null,20105,null,null,3421,null,null,3920,null,null,1487,null,null,48
2382555,2332,681035,1100,650415,3998,30620,3861,1413388,1783,1299807,6857,113581,6514,288132,646,287717,679,415,274,2332,null,null,1100,null,null,3998,null,null,3861,null,null,1783,null,null,6857,null,null,6514,null,null,646,null,null,679,null,null,274,null,null,49
575221,628,105513,277,103950,622,1563,560,362695,541,343663,2151,19032,2173,107013,370,106860,384,153,142,628,null,null,277,null,null,622,null,null,560,null,null,541,null,null,2151,null,null,2173,null,null,370,null,null,384,null,null,142,null,null,50
5109894,4744,1006014,1575,974721,4360,31293,4271,3186426,4251,2912168,10797,274258,9212,917454,1119,915338,1408,2116,845,4744,null,null,1575,null,null,4360,null,null,4271,null,null,4251,null,null,10797,null,null,9212,null,null,1119,null,null,1408,null,null,845,null,null,51
4985087,3463,928824,1222,911137,3169,17687,2584,3144901,3038,2965611,8304,179290,7644,911362,1184,909458,1410,1904,749,3463,null,null,1222,null,null,3169,null,null,2584,null,null,3038,null,null,8304,null,null,7644,null,null,1184,null,null,1410,null,null,749,null,null,53
1664550,2428,331843,1357,324736,2394,7107,1924,1012669,1612,933460,5882,79209,5752,320038,827,320025,822,13,27,2428,null,null,1357,null,null,2394,null,null,1924,null,null,1612,null,null,5882,null,null,5752,null,null,827,null,null,822,null,null,27,null,null,54
4670721,2194,915662,717,883929,3128,31733,3042,2913130,1823,2758474,6595,154656,6620,841929,869,840498,1009,1431,452,2194,null,null,717,null,null,3128,null,null,3042,null,null,1823,null,null,6595,null,null,6620,null,null,869,null,null,1009,null,null,452,null,null,55
487545,1184,107769,673,101482,1735,6287,1677,301084,918,258777,4191,42307,4051,78692,231,78250,401,442,298,1184,null,null,673,null,null,1735,null,null,1677,null,null,918,null,null,4191,null,null,4051,null,null,231,null,null,401,null,null,298,null,null,56
34756,4843,7369,2479,7175,2484,194,232,22805,3345,21351,3209,1454,647,4582,1086,4541,1082,41,68,4843,null,null,2479,null,null,2484,null,null,232,null,null,3345,null,null,3209,null,null,647,null,null,1086,null,null,1082,null,null,68,null,null,72
3152371,3237,634896,1415,621604,3138,13292,2826,1918600,2511,1706901,9259,211699,8674,598875,1169,597389,1636,1486,1055,3237,null,null,1415,null,null,3138,null,null,2826,null,null,2511,null,null,9259,null,null,8674,null,null,1169,null,null,1636,null,null,1055,null,null,01
438279,1719,92352,330,86696,1428,5656,1395,289752,1649,254669,3866,35083,3575,56175,282,56003,329,172,136,1719,null,null,330,null,null,1428,null,null,1395,null,null,1649,null,null,3866,null,null,3575,null,null,282,null,null,329,null,null,136,null,null,02
3788248,4084,643875,1240,615939,4399,27936,4233,2208786,3572,2024147,8869,184639,8938,935587,896,933552,1108,2035,733,4084,null,null,1240,null,null,4399,null,null,4233,null,null,3572,null,null,8869,null,null,8938,null,null,896,null,null,1108,null,null,733,null,null,04
2139856,1644,446990,413,433176,2575,13814,2594,1284528,1676,1161782,8674,122746,8208,408338,940,407640,1068,698,575,1644,null,null,413,null,null,2575,null,null,2594,null,null,1676,null,null,8674,null,null,8208,null,null,940,null,null,1068,null,null,575,null,null,05
14526552,11392,2339613,4320,2291091,6696,48522,5618,9142813,7755,8653473,15578,489340,13384,3044126,2737,3035301,3031,8825,1676,11392,null,null,4320,null,null,6696,null,null,5618,null,null,7755,null,null,15578,null,null,13384,null,null,2737,null,null,3031,null,null,1676,null,null,06
3740156,3206,712333,623,692619,2770,19714,2770,2419226,2975,2257918,7533,161308,7401,608597,830,607064,1050,1533,566,3206,null,null,623,null,null,2770,null,null,2770,null,null,2975,null,null,7533,null,null,7401,null,null,830,null,null,1050,null,null,566,null,null,08
2379919,3055,420420,967,411352,2076,9068,2076,1487702,2505,1429331,5460,58371,4905,471797,1212,471004,1349,793,517,3055,null,null,967,null,null,2076,null,null,2076,null,null,2505,null,null,5460,null,null,4905,null,null,1212,null,null,1349,null,null,517,null,null,09
589643,1155,101624,346,98784,1052,2840,1057,357343,948,337737,2425,19606,2204,130676,560,130507,569,169,140,1155,null,null,346,null,null,1052,null,null,1057,null,null,948,null,null,2425,null,null,2204,null,null,560,null,null,569,null,null,140,null,null,10
243808,1207,26297,166,26055,319,242,274,191975,1018,188802,1330,3173,936,25536,577,25473,584,63,103,1207,null,null,166,null,null,319,null,null,274,null,null,1018,null,null,1330,null,null,936,null,null,577,null,null,584,null,null,103,null,null,11
