B16005C_001E,B16005C_001M,B16005C_002E,B16005C_002M,B16005C_003E,B16005C_003M,B16005C_004E,B16005C_004M,B16005C_005E,B16005C_005M,B16005C_006E,B16005C_006M,B16005C_007E,B16005C_007M,B16005C_008E,B16005C_008M,B16005C_009E,B16005C_009M,B16005C_010E,B16005C_010M,B16005C_011E,B16005C_011M,B16005C_001M,B16005C_001EA,B16005C_001MA,B16005C_002M,B16005C_002EA,B16005C_002MA,B16005C_003M,B16005C_003EA,B16005C_003MA,B16005C_004M,B16005C_004EA,B16005C_004MA,B16005C_005M,B16005C_005EA,B16005C_005MA,B16005C_006M,B16005C_006EA,B16005C_006MA,B16005C_007M,B16005C_007EA,B16005C_007MA,B16005C_008M,B16005C_008EA,B16005C_008MA,B16005C_009M,B16005C_009EA,B16005C_009MA,B16005C_010M,B16005C_010EA,B16005C_010MA,B16005C_011M,B16005C_011EA,B16005C_011MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
29284,3267,28725,3291,26661,3135,2064,656,1354,550,710,417,559,318,297,259,262,240,0,187,262,240,3267,null,null,3291,null,null,3135,null,null,656,null,null,550,null,null,417,null,null,318,null,null,259,null,null,240,null,null,187,null,null,240,null,null,29
60073,2349,59978,2371,53055,2683,6923,1246,6531,1221,392,227,95,91,66,84,29,59,0,168,29,59,2349,null,null,2371,null,null,2683,null,null,1246,null,null,1221,null,null,227,null,null,91,null,null,84,null,null,59,null,null,168,null,null,59,null,null,30
14342,1405,13783,1438,12551,1428,1232,505,1124,500,108,83,559,478,79,124,480,470,44,58,436,469,1405,null,null,1438,null,null,1428,null,null,505,null,null,500,null,null,83,null,null,478,null,null,124,null,null,470,null,null,58,null,null,469,null,null,31
32072,3236,29862,2817,25866,2442,3996,1334,3183,1139,813,454,2210,1029,544,357,1666,969,509,322,1157,795,3236,null,null,2817,null,null,2442,null,null,1334,null,null,1139,null,null,454,null,null,1029,null,null,357,null,null,969,null,null,322,null,null,795,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
18981,3138,13297,2110,9184,1645,4113,1293,3357,1128,756,522,5684,1958,694,433,4990,1872,1197,688,3793,1499,3138,null,null,2110,null,null,1645,null,null,1293,null,null,1128,null,null,522,null,null,1958,null,null,433,null,null,1872,null,null,688,null,null,1499,null,null,34
180431,4392,180146,4363,82766,3540,97380,5112,86733,4923,10647,1247,285,181,21,49,264,169,66,83,198,144,4392,null,null,4363,null,null,3540,null,null,5112,null,null,4923,null,null,1247,null,null,181,null,null,49,null,null,169,null,null,83,null,null,144,null,null,35
67934,5653,54357,4762,38883,3525,15474,2653,12774,2461,2700,991,13577,2221,3658,1117,9919,2176,3405,1099,6514,1740,5653,null,null,4762,null,null,3525,null,null,2653,null,null,2461,null,null,991,null,null,2221,null,null,1117,null,null,2176,null,null,1099,null,null,1740,null,null,36
113758,4555,107712,3798,103151,3468,4561,1264,4137,1186,424,255,6046,1733,433,276,5613,1770,2964,957,2649,1074,4555,null,null,3798,null,null,3468,null,null,1264,null,null,1186,null,null,255,null,null,1733,null,null,276,null,null,1770,null,null,957,null,null,1074,null,null,37
38046,2226,37749,2275,35662,2294,2087,624,1156,501,931,468,297,354,283,355,14,24,14,24,0,155,2226,null,null,2275,null,null,2294,null,null,624,null,null,501,null,null,468,null,null,354,null,null,355,null,null,24,null,null,24,null,null,155,null,null,38
17411,2278,16553,2302,14730,2245,1823,601,1267,492,556,317,858,455,472,336,386,271,133,176,253,190,2278,null,null,2302,null,null,2245,null,null,601,null,null,492,null,null,317,null,null,455,null,null,336,null,null,271,null,null,176,null,null,190,null,null,39
275442,6762,273357,6582,254226,6076,19131,3104,16288,3043,2843,782,2085,849,499,371,1586,772,396,264,1190,680,6762,null,null,6582,null,null,6076,null,null,3104,null,null,3043,null,null,782,null,null,849,null,null,371,null,null,772,null,null,264,null,null,680,null,null,40
42938,4201,39677,3722,34488,3199,5189,1540,4894,1586,295,227,3261,1373,563,428,2698,1290,811,480,1887,957,4201,null,null,3722,null,null,3199,null,null,1540,null,null,1586,null,null,227,null,null,1373,null,null,428,null,null,1290,null,null,480,null,null,957,null,null,41
22454,3442,18377,2575,14198,1842,4179,1606,3466,1480,713,354,4077,1501,656,373,3421,1502,894,672,2527,1036,3442,null,null,2575,null,null,1842,null,null,1606,null,null,1480,null,null,354,null,null,1501,null,null,373,null,null,1502,null,null,672,null,null,1036,null,null,42
4866,1608,3952,1421,2966,1103,986,568,930,588,56,89,914,700,0,208,914,700,272,264,642,546,1608,null,null,1421,null,null,1103,null,null,568,null,null,588,null,null,89,null,null,700,null,null,208,null,null,700,null,null,264,null,null,546,null,null,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
68419,3324,68186,3390,57822,3598,10364,1515,9157,1482,1207,639,233,344,0,157,233,344,233,344,0,157,3324,null,null,3390,null,null,3598,null,null,1515,null,null,1482,null,null,639,null,null,344,null,null,157,null,null,344,null,null,344,null,null,157,null,null,46
17725,2647,15695,2481,14260,2326,1435,641,1023,532,412,295,2030,1115,267,261,1763,1034,107,164,1656,1010,2647,null,null,2481,null,null,2326,null,null,641,null,null,532,null,null,295,null,null,1115,null,null,261,null,null,1034,null,null,164,null,null,1010,null,null,47
127698,9212,109480,8292,75047,5972,34433,4291,28682,3971,5751,1372,18218,3172,1676,648,16542,3151,4353,1417,12189,2754,9212,null,null,8292,null,null,5972,null,null,4291,null,null,3971,null,null,1372,null,null,3172,null,null,648,null,null,3151,null,null,1417,null,null,2754,null,null,48
29214,2738,28330,2279,17635,1924,10695,1450,9227,1197,1468,738,884,1014,165,162,719,999,261,431,458,581,2738,null,null,2279,null,null,1924,null,null,1450,null,null,1197,null,null,738,null,null,1014,null,null,162,null,null,999,null,null,431,null,null,581,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
22527,3225,20482,2648,18066,2494,2416,1007,2226,940,190,243,2045,1171,358,236,1687,1124,632,407,1055,1012,3225,null,null,2648,null,null,2494,null,null,1007,null,null,940,null,null,243,null,null,1171,null,null,236,null,null,1124,null,null,407,null,null,1012,null,null,51
87835,6047,84515,5593,75115,4405,9400,2621,7848,2479,1552,845,3320,1143,705,386,2615,1073,726,485,1889,1068,6047,null,null,5593,null,null,4405,null,null,2621,null,null,2479,null,null,845,null,null,1143,null,null,386,null,null,1073,null,null,485,null,null,1068,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
48870,2524,47551,2466,43116,2332,4435,984,4104,908,331,298,1319,596,673,455,646,417,170,147,476,395,2524,null,null,2466,null,null,2332,null,null,984,null,null,908,null,null,298,null,null,596,null,null,455,null,null,417,null,null,147,null,null,395,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
7856,2304,7146,2297,1364,1098,5782,2049,1361,763,4421,1705,710,361,0,222,710,361,134,133,576,334,2304,null,null,2297,null,null,1098,null,null,2049,null,null,763,null,null,1705,null,null,361,null,null,222,null,null,361,null,null,133,null,null,334,null,null,72
23810,3170,22085,2766,20735,2579,1350,666,1055,579,295,285,1725,986,0,195,1725,986,386,396,1339,799,3170,null,null,2766,null,null,2579,null,null,666,null,null,579,null,null,285,null,null,986,null,null,195,null,null,986,null,null,396,null,null,799,null,null,01
97988,3334,97387,3384,66221,3267,31166,2471,24433,2284,6733,1123,601,440,488,427,113,112,9,15,104,114,3334,null,null,3384,null,null,3267,null,null,2471,null,null,2284,null,null,1123,null,null,440,null,null,427,null,null,112,null,null,15,null,null,114,null,null,02
279337,6096,273882,5507,146011,5866,127871,5122,101034,5376,26837,2332,5455,1929,566,365,4889,1864,1185,677,3704,1668,6096,null,null,5507,null,null,5866,null,null,5122,null,null,5376,null,null,2332,null,null,1929,null,null,365,null,null,1864,null,null,677,null,null,1668,null,null,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
273090,14349,231842,12215,170729,8877,61113,7112,53436,6686,7677,1549,41248,4832,3451,994,37797,4668,10157,1807,27640,3895,14349,null,null,12215,null,null,8877,null,null,7112,null,null,6686,null,null,1549,null,null,4832,null,null,994,null,null,4668,null,null,1807,null,null,3895,null,null,06
51490,4390,47923,3630,37896,3273,10027,2091,8227,1930,1800,875,3567,1953,632,369,2935,1930,679,582,2256,1697,4390,null,null,3630,null,null,3273,null,null,2091,null,null,1930,null,null,875,null,null,1953,null,null,369,null,null,1930,null,null,582,null,null,1697,null,null,08
8232,2423,6680,2001,3873,1122,2807,1638,1420,735,1387,1336,1552,979,249,222,1303,928,288,277,1015,854,2423,null,null,2001,null,null,1122,null,null,1638,null,null,735,null,null,1336,null,null,979,null,null,222,null,null,928,null,null,277,null,null,854,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
