B27001D_001E,B27001D_001M,B27001D_002E,B27001D_002M,B27001D_003E,B27001D_003M,B27001D_004E,B27001D_004M,B27001D_005E,B27001D_005M,B27001D_006E,B27001D_006M,B27001D_007E,B27001D_007M,B27001D_008E,B27001D_008M,B27001D_009E,B27001D_009M,B27001D_010E,B27001D_010M,B27001D_011E,B27001D_011M,B27001D_012E,B27001D_012M,B27001D_013E,B27001D_013M,B27001D_014E,B27001D_014M,B27001D_015E,B27001D_015M,B27001D_016E,B27001D_016M,B27001D_017E,B27001D_017M,B27001D_018E,B27001D_018M,B27001D_019E,B27001D_019M,B27001D_020E,B27001D_020M,B27001D_021E,B27001D_021M,B27001D_022E,B27001D_022M,B27001D_023E,B27001D_023M,B27001D_024E,B27001D_024M,B27001D_025E,B27001D_025M,B27001D_026E,B27001D_026M,B27001D_027E,B27001D_027M,B27001D_028E,B27001D_028M,B27001D_001M,B27001D_001EA,B27001D_001MA,B27001D_002M,B27001D_002EA,B27001D_002MA,B27001D_003M,B27001D_003EA,B27001D_003MA,B27001D_004M,B27001D_004EA,B27001D_004MA,B27001D_005M,B27001D_005EA,B27001D_005MA,B27001D_006M,B27001D_006EA,B27001D_006MA,B27001D_007M,B27001D_007EA,B27001D_007MA,B27001D_008M,B27001D_008EA,B27001D_008MA,B27001D_009M,B27001D_009EA,B27001D_009MA,B27001D_010M,B27001D_010EA,B27001D_010MA,B27001D_011M,B27001D_011EA,B27001D_011MA,B27001D_012M,B27001D_012EA,B27001D_012MA,B27001D_013M,B27001D_013EA,B27001D_013MA,B27001D_014M,B27001D_014EA,B27001D_014MA,B27001D_015M,B27001D_015EA,B27001D_015MA,B27001D_016M,B27001D_016EA,B27001D_016MA,B27001D_017M,B27001D_017EA,B27001D_017MA,B27001D_018M,B27001D_018EA,B27001D_018MA,B27001D_019M,B27001D_019EA,B27001D_019MA,B27001D_020M,B27001D_020EA,B27001D_020MA,B27001D_021M,B27001D_021EA,B27001D_021MA,B27001D_022M,B27001D_022EA,B27001D_022MA,B27001D_023M,B27001D_023EA,B27001D_023MA,B27001D_024M,B27001D_024EA,B27001D_024MA,B27001D_025M,B27001D_025EA,B27001D_025MA,B27001D_026M,B27001D_026EA,B27001D_026MA,B27001D_027M,B27001D_027EA,B27001D_027MA,B27001D_028M,B27001D_028EA,B27001D_028MA,state
373810,4962,22705,1602,22278,1624,427,256,52585,2649,51352,2678,1233,565,31583,1699,29581,1840,2002,760,58008,1866,54015,1963,3993,1095,63624,1509,59780,1750,3844,1053,55498,1564,52888,1737,2610,826,44292,996,40678,1207,3614,894,28688,1212,26861,1306,1827,725,16827,767,16401,719,426,329,4962,null,null,1602,null,null,1624,null,null,256,null,null,2649,null,null,2678,null,null,565,null,null,1699,null,null,1840,null,null,760,null,null,1866,null,null,1963,null,null,1095,null,null,1509,null,null,1750,null,null,1053,null,null,1564,null,null,1737,null,null,826,null,null,996,null,null,1207,null,null,894,null,null,1212,null,null,1306,null,null,725,null,null,767,null,null,719,null,null,329,null,null,24
439988,5641,31776,1729,31292,1725,484,322,61272,2411,60290,2365,982,519,53278,2308,51877,2390,1401,614,88032,1882,84420,2267,3612,1133,72446,1800,70391,1840,2055,786,56809,1551,55254,1659,1555,698,38125,1128,36762,1367,1363,785,23389,1124,22858,1168,531,365,14861,1033,14420,1064,441,363,5641,null,null,1729,null,null,1725,null,null,322,null,null,2411,null,null,2365,null,null,519,null,null,2308,null,null,2390,null,null,614,null,null,1882,null,null,2267,null,null,1133,null,null,1800,null,null,1840,null,null,786,null,null,1551,null,null,1659,null,null,698,null,null,1128,null,null,1367,null,null,785,null,null,1124,null,null,1168,null,null,365,null,null,1033,null,null,1064,null,null,363,null,null,25
291755,4789,19431,1394,19225,1401,206,172,43280,2020,42136,2187,1144,549,40091,1990,36263,1933,3828,930,49264,1701,45581,1795,3683,939,48742,1614,46699,1752,2043,790,40200,1456,37670,1632,2530,909,25833,1375,23814,1346,2019,803,16688,1068,15723,1139,965,478,8226,880,7969,863,257,205,4789,null,null,1394,null,null,1401,null,null,172,null,null,2020,null,null,2187,null,null,549,null,null,1990,null,null,1933,null,null,930,null,null,1701,null,null,1795,null,null,939,null,null,1614,null,null,1752,null,null,790,null,null,1456,null,null,1632,null,null,909,null,null,1375,null,null,1346,null,null,803,null,null,1068,null,null,1139,null,null,478,null,null,880,null,null,863,null,null,205,null,null,26
258067,4614,23991,1594,23566,1612,425,306,49261,2132,48097,2201,1164,473,31016,1799,28934,1992,2082,789,54200,1771,52075,1963,2125,755,40486,1406,39044,1489,1442,663,27170,1137,26329,1063,841,403,18017,1040,17467,1086,550,335,9189,717,8927,786,262,329,4737,607,4710,601,27,45,4614,null,null,1594,null,null,1612,null,null,306,null,null,2132,null,null,2201,null,null,473,null,null,1799,null,null,1992,null,null,789,null,null,1771,null,null,1963,null,null,755,null,null,1406,null,null,1489,null,null,663,null,null,1137,null,null,1063,null,null,403,null,null,1040,null,null,1086,null,null,335,null,null,717,null,null,786,null,null,329,null,null,607,null,null,601,null,null,45,null,null,27
26056,2363,2089,801,2089,801,0,213,4235,772,4162,755,73,93,1457,621,913,493,544,379,5366,1870,4475,1771,891,650,4579,1106,4102,1116,477,358,3284,1305,3211,1301,73,99,3121,958,2463,958,658,616,1319,600,1319,600,0,213,606,407,606,407,0,213,2363,null,null,801,null,null,801,null,null,213,null,null,772,null,null,755,null,null,93,null,null,621,null,null,493,null,null,379,null,null,1870,null,null,1771,null,null,650,null,null,1106,null,null,1116,null,null,358,null,null,1305,null,null,1301,null,null,99,null,null,958,null,null,958,null,null,616,null,null,600,null,null,600,null,null,213,null,null,407,null,null,407,null,null,213,null,null,28
115748,3703,7776,1676,7526,1647,250,236,17057,1625,16240,1605,817,404,14321,1757,12554,1520,1767,733,21464,1898,19209,1935,2255,731,20077,1837,18122,1907,1955,666,15978,1645,14240,1668,1738,831,10635,1007,8953,1060,1682,684,5902,1028,5660,1031,242,306,2538,672,2521,671,17,36,3703,null,null,1676,null,null,1647,null,null,236,null,null,1625,null,null,1605,null,null,404,null,null,1757,null,null,1520,null,null,733,null,null,1898,null,null,1935,null,null,731,null,null,1837,null,null,1907,null,null,666,null,null,1645,null,null,1668,null,null,831,null,null,1007,null,null,1060,null,null,684,null,null,1028,null,null,1031,null,null,306,null,null,672,null,null,671,null,null,36,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
41434,3328,3705,948,3625,936,80,103,7327,1419,7074,1316,253,275,6729,1113,5235,941,1494,967,7425,1411,6885,1365,540,392,6430,921,5740,1056,690,526,4306,636,3772,716,534,391,2930,461,2854,469,76,97,1849,522,1788,488,61,120,733,440,733,440,0,159,3328,null,null,948,null,null,936,null,null,103,null,null,1419,null,null,1316,null,null,275,null,null,1113,null,null,941,null,null,967,null,null,1411,null,null,1365,null,null,392,null,null,921,null,null,1056,null,null,526,null,null,636,null,null,716,null,null,391,null,null,461,null,null,469,null,null,97,null,null,522,null,null,488,null,null,120,null,null,440,null,null,440,null,null,159,null,null,31
243725,5196,11598,1695,11364,1731,234,229,29053,2295,27789,2188,1264,591,18440,982,16557,1071,1883,648,38145,1596,33742,1956,4403,1293,35478,1287,32405,1682,3073,1083,37734,1047,34301,1389,3433,1102,33317,1103,29926,1429,3391,940,25769,980,24736,1027,1033,521,14191,986,13960,971,231,220,5196,null,null,1695,null,null,1731,null,null,229,null,null,2295,null,null,2188,null,null,591,null,null,982,null,null,1071,null,null,648,null,null,1596,null,null,1956,null,null,1293,null,null,1287,null,null,1682,null,null,1083,null,null,1047,null,null,1389,null,null,1102,null,null,1103,null,null,1429,null,null,940,null,null,980,null,null,1027,null,null,521,null,null,986,null,null,971,null,null,220,null,null,32
32374,2292,2179,865,2179,865,0,187,5427,1286,4741,1028,686,713,3598,982,3224,909,374,428,4894,981,4463,932,431,253,5221,1136,4783,1128,438,384,5825,1139,5110,1180,715,777,2994,682,2885,674,109,191,786,342,786,342,0,187,1450,783,1450,783,0,187,2292,null,null,865,null,null,865,null,null,187,null,null,1286,null,null,1028,null,null,713,null,null,982,null,null,909,null,null,428,null,null,981,null,null,932,null,null,253,null,null,1136,null,null,1128,null,null,384,null,null,1139,null,null,1180,null,null,777,null,null,682,null,null,674,null,null,191,null,null,342,null,null,342,null,null,187,null,null,783,null,null,783,null,null,187,null,null,33
852180,6370,58819,2415,57928,2436,891,504,126703,2803,122031,3060,4672,1197,69391,1998,63884,2499,5507,1567,140477,2027,125952,2866,14525,2598,151241,1964,139375,2792,11866,2378,120708,1644,108010,2766,12698,2374,93681,1288,83817,2309,9864,1828,61449,1678,57195,1867,4254,1148,29711,1314,28738,1401,973,556,6370,null,null,2415,null,null,2436,null,null,504,null,null,2803,null,null,3060,null,null,1197,null,null,1998,null,null,2499,null,null,1567,null,null,2027,null,null,2866,null,null,2598,null,null,1964,null,null,2792,null,null,2378,null,null,1644,null,null,2766,null,null,2374,null,null,1288,null,null,2309,null,null,1828,null,null,1678,null,null,1867,null,null,1148,null,null,1314,null,null,1401,null,null,556,null,null,34
32176,2294,1513,527,1458,535,55,83,4877,1100,4877,1100,0,195,2679,724,2527,676,152,158,6496,1396,6175,1331,321,333,5179,636,4937,634,242,279,4675,1024,4340,973,335,320,3194,400,3060,415,134,134,2908,666,2719,752,189,283,655,342,655,342,0,195,2294,null,null,527,null,null,535,null,null,83,null,null,1100,null,null,1100,null,null,195,null,null,724,null,null,676,null,null,158,null,null,1396,null,null,1331,null,null,333,null,null,636,null,null,634,null,null,279,null,null,1024,null,null,973,null,null,320,null,null,400,null,null,415,null,null,134,null,null,666,null,null,752,null,null,283,null,null,342,null,null,342,null,null,195,null,null,35
1662286,11904,107921,3742,106074,3782,1847,681,207268,3837,199302,4028,7966,1936,163964,3340,150060,3651,13904,2035,302352,4122,268003,5050,34349,4101,258866,3165,231725,3969,27141,3314,230073,3118,207223,3892,22850,2548,200623,2289,181889,3586,18734,2825,119216,1917,114779,2237,4437,1246,72003,1648,71043,1632,960,636,11904,null,null,3742,null,null,3782,null,null,681,null,null,3837,null,null,4028,null,null,1936,null,null,3340,null,null,3651,null,null,2035,null,null,4122,null,null,5050,null,null,4101,null,null,3165,null,null,3969,null,null,3314,null,null,3118,null,null,3892,null,null,2548,null,null,2289,null,null,3586,null,null,2825,null,null,1917,null,null,2237,null,null,1246,null,null,1648,null,null,1632,null,null,636,null,null,36
273142,4398,21218,1718,19943,1688,1275,697,45276,2090,42315,2349,2961,1314,26432,1860,22514,1721,3918,1251,50655,2241,45210,2290,5445,1577,50416,2889,45279,2959,5137,1845,36615,2422,32254,2090,4361,1479,22914,1769,20872,1828,2042,653,14022,1300,13253,1272,769,598,5594,980,5458,982,136,150,4398,null,null,1718,null,null,1688,null,null,697,null,null,2090,null,null,2349,null,null,1314,null,null,1860,null,null,1721,null,null,1251,null,null,2241,null,null,2290,null,null,1577,null,null,2889,null,null,2959,null,null,1845,null,null,2422,null,null,2090,null,null,1479,null,null,1769,null,null,1828,null,null,653,null,null,1300,null,null,1272,null,null,598,null,null,980,null,null,982,null,null,150,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
238460,3773,16902,1634,16177,1654,725,426,33518,2168,32220,2163,1298,711,27932,1726,26090,1772,1842,682,48422,2275,44463,2529,3959,1258,40768,2461,38456,2347,2312,761,29429,2234,27526,2279,1903,681,22021,1710,20227,1668,1794,804,12640,1842,12270,1828,370,286,6828,1108,6536,1061,292,291,3773,null,null,1634,null,null,1654,null,null,426,null,null,2168,null,null,2163,null,null,711,null,null,1726,null,null,1772,null,null,682,null,null,2275,null,null,2529,null,null,1258,null,null,2461,null,null,2347,null,null,761,null,null,2234,null,null,2279,null,null,681,null,null,1710,null,null,1668,null,null,804,null,null,1842,null,null,1828,null,null,286,null,null,1108,null,null,1061,null,null,291,null,null,39
78620,2919,5680,987,5333,986,347,237,12211,1422,11143,1357,1068,530,10150,1177,8402,1263,1748,632,14205,1340,11686,1314,2519,754,13225,1244,11225,1309,2000,736,10542,1382,8943,1309,1599,938,6292,658,5738,696,554,322,4044,730,4044,730,0,159,2271,422,2118,382,153,163,2919,null,null,987,null,null,986,null,null,237,null,null,1422,null,null,1357,null,null,530,null,null,1177,null,null,1263,null,null,632,null,null,1340,null,null,1314,null,null,754,null,null,1244,null,null,1309,null,null,736,null,null,1382,null,null,1309,null,null,938,null,null,658,null,null,696,null,null,322,null,null,730,null,null,730,null,null,159,null,null,422,null,null,382,null,null,163,null,null,40
168993,4992,9742,1600,9590,1582,152,169,20566,2302,20010,2281,556,407,19274,1867,17765,1837,1509,650,30708,2103,28655,1940,2053,846,28935,1332,27914,1474,1021,553,22571,1381,21062,1415,1509,618,18593,1156,16884,1243,1709,719,11592,1195,10651,1083,941,655,7012,778,7012,778,0,201,4992,null,null,1600,null,null,1582,null,null,169,null,null,2302,null,null,2281,null,null,407,null,null,1867,null,null,1837,null,null,650,null,null,2103,null,null,1940,null,null,846,null,null,1332,null,null,1474,null,null,553,null,null,1381,null,null,1415,null,null,618,null,null,1156,null,null,1243,null,null,719,null,null,1195,null,null,1083,null,null,655,null,null,778,null,null,778,null,null,201,null,null,41
422109,5217,29963,1880,29368,1883,595,314,61009,2790,58956,2644,2053,921,50602,1987,47202,1951,3400,898,80676,2297,73934,2512,6742,1438,67445,2325,62635,2384,4810,1198,52389,1902,46797,1948,5592,1020,41973,1468,36908,1944,5065,1437,25155,1253,23554,1183,1601,703,12897,1248,12569,1201,328,229,5217,null,null,1880,null,null,1883,null,null,314,null,null,2790,null,null,2644,null,null,921,null,null,1987,null,null,1951,null,null,898,null,null,2297,null,null,2512,null,null,1438,null,null,2325,null,null,2384,null,null,1198,null,null,1902,null,null,1948,null,null,1020,null,null,1468,null,null,1944,null,null,1437,null,null,1253,null,null,1183,null,null,703,null,null,1248,null,null,1201,null,null,229,null,null,42
36803,2199,2314,667,2314,667,0,208,5608,979,5608,979,0,208,6214,797,5908,785,306,214,7620,1158,6701,1194,919,541,5159,991,4981,977,178,290,4349,960,4308,961,41,66,3085,535,3085,535,0,208,1267,461,1267,461,0,208,1187,524,1187,524,0,208,2199,null,null,667,null,null,667,null,null,208,null,null,979,null,null,979,null,null,208,null,null,797,null,null,785,null,null,214,null,null,1158,null,null,1194,null,null,541,null,null,991,null,null,977,null,null,290,null,null,960,null,null,961,null,null,66,null,null,535,null,null,535,null,null,208,null,null,461,null,null,461,null,null,208,null,null,524,null,null,524,null,null,208,null,null,44
75366,3768,4432,1064,3999,952,433,388,11569,1694,10872,1612,697,535,7359,1512,6253,1332,1106,512,12435,2407,9781,1835,2654,1384,13933,2065,12551,2072,1382,690,9767,1714,7809,1440,1958,1048,7601,1262,7375,1245,226,196,5949,1138,5927,1139,22,39,2321,881,2321,881,0,207,3768,null,null,1064,null,null,952,null,null,388,null,null,1694,null,null,1612,null,null,535,null,null,1512,null,null,1332,null,null,512,null,null,2407,null,null,1835,null,null,1384,null,null,2065,null,null,2072,null,null,690,null,null,1714,null,null,1440,null,null,1048,null,null,1262,null,null,1245,null,null,196,null,null,1138,null,null,1139,null,null,39,null,null,881,null,null,881,null,null,207,null,null,45
12849,1804,1354,530,1316,531,38,64,2933,948,2756,972,177,236,1521,511,1510,516,11,25,2330,514,2298,516,32,60,1609,473,1489,467,120,135,1554,573,1311,530,243,234,788,346,540,261,248,202,568,612,568,612,0,157,192,177,192,177,0,157,1804,null,null,530,null,null,531,null,null,64,null,null,948,null,null,972,null,null,236,null,null,511,null,null,516,null,null,25,null,null,514,null,null,516,null,null,60,null,null,473,null,null,467,null,null,135,null,null,573,null,null,530,null,null,234,null,null,346,null,null,261,null,null,202,null,null,612,null,null,612,null,null,157,null,null,177,null,null,177,null,null,157,null,null,46
115980,3915,8404,1190,7815,1100,589,453,19394,1575,18213,1777,1181,752,12148,1506,10245,1375,1903,1032,19440,1729,18159,1737,1281,506,21049,1711,18025,1977,3024,1320,15998,1420,14180,1514,1818,845,9852,1251,8283,1200,1569,751,6707,1295,5805,1243,902,691,2988,818,2947,807,41,80,3915,null,null,1190,null,null,1100,null,null,453,null,null,1575,null,null,1777,null,null,752,null,null,1506,null,null,1375,null,null,1032,null,null,1729,null,null,1737,null,null,506,null,null,1711,null,null,1977,null,null,1320,null,null,1420,null,null,1514,null,null,845,null,null,1251,null,null,1200,null,null,751,null,null,1295,null,null,1243,null,null,691,null,null,818,null,null,807,null,null,80,null,null,47
