C01001D_001E,C01001D_001M,C01001D_002E,C01001D_002M,C01001D_003E,C01001D_003M,C01001D_004E,C01001D_004M,C01001D_005E,C01001D_005M,C01001D_006E,C01001D_006M,C01001D_007E,C01001D_007M,C01001D_008E,C01001D_008M,C01001D_009E,C01001D_009M,C01001D_001M,C01001D_001EA,C01001D_001MA,C01001D_002M,C01001D_002EA,C01001D_002MA,C01001D_003M,C01001D_003EA,C01001D_003MA,C01001D_004M,C01001D_004EA,C01001D_004MA,C01001D_005M,C01001D_005EA,C01001D_005MA,C01001D_006M,C01001D_006EA,C01001D_006MA,C01001D_007M,C01001D_007EA,C01001D_007MA,C01001D_008M,C01001D_008EA,C01001D_008MA,C01001D_009M,C01001D_009EA,C01001D_009MA,state
76870,3837,33704,2511,7610,1270,23302,2162,2792,908,43166,2622,8391,1594,29156,1823,5619,1307,3837,null,null,2511,null,null,1270,null,null,2162,null,null,908,null,null,2622,null,null,1594,null,null,1823,null,null,1307,null,null,45
12953,1806,6244,1036,2317,691,3765,630,162,146,6709,1333,1970,835,4141,598,598,617,1806,null,null,1036,null,null,691,null,null,630,null,null,146,null,null,1333,null,null,835,null,null,598,null,null,617,null,null,46
116375,3917,51380,2189,12587,1378,34808,1714,3985,729,64995,3089,15211,1638,44074,1938,5710,912,3917,null,null,2189,null,null,1378,null,null,1714,null,null,729,null,null,3089,null,null,1638,null,null,1938,null,null,912,null,null,47
1300300,10959,630427,6337,152301,3760,425030,4905,53096,1483,669873,6881,148703,4458,454878,4870,66292,1529,10959,null,null,6337,null,null,3760,null,null,4905,null,null,1483,null,null,6881,null,null,4458,null,null,4870,null,null,1529,null,null,48
70150,3381,34464,2022,7844,1455,24299,1264,2321,325,35686,2117,6806,1146,25116,1273,3764,885,3381,null,null,2022,null,null,1455,null,null,1264,null,null,325,null,null,2117,null,null,1146,null,null,1273,null,null,885,null,null,49
9406,1088,3816,767,721,442,2747,518,348,196,5590,680,902,419,3969,543,719,374,1088,null,null,767,null,null,442,null,null,518,null,null,196,null,null,680,null,null,419,null,null,543,null,null,374,null,null,50
532320,7196,249966,4977,59959,3198,166154,3041,23853,1010,282354,3684,56330,2146,194744,2589,31280,1277,7196,null,null,4977,null,null,3198,null,null,3041,null,null,1010,null,null,3684,null,null,2146,null,null,2589,null,null,1277,null,null,51
597215,8484,274515,5199,55164,3099,191113,3312,28238,780,322700,4759,56219,2275,223550,3346,42931,1316,8484,null,null,5199,null,null,3099,null,null,3312,null,null,780,null,null,4759,null,null,2275,null,null,3346,null,null,1316,null,null,53
14133,1491,5640,1168,940,459,4130,1004,570,264,8493,1234,1748,572,5873,1078,872,341,1491,null,null,1168,null,null,459,null,null,1004,null,null,264,null,null,1234,null,null,572,null,null,1078,null,null,341,null,null,54
155252,3125,74307,2848,19837,1895,50253,1726,4217,706,80945,2455,22755,1767,53317,1595,4873,778,3125,null,null,2848,null,null,1895,null,null,1726,null,null,706,null,null,2455,null,null,1767,null,null,1595,null,null,778,null,null,55
6012,1394,2492,858,958,482,1407,629,127,143,3520,1119,1247,953,2128,755,145,170,1394,null,null,858,null,null,482,null,null,629,null,null,143,null,null,1119,null,null,953,null,null,755,null,null,170,null,null,56
5691,1571,1820,778,342,364,1054,581,424,287,3871,1207,528,373,2526,876,817,415,1571,null,null,778,null,null,364,null,null,581,null,null,287,null,null,1207,null,null,373,null,null,876,null,null,415,null,null,72
65611,3698,29550,2105,7764,1316,19639,1605,2147,601,36061,2900,9462,1648,23011,1988,3588,712,3698,null,null,2105,null,null,1316,null,null,1605,null,null,601,null,null,2900,null,null,1648,null,null,1988,null,null,712,null,null,01
45580,3124,21916,1981,5781,1357,13988,1180,2147,360,23664,1685,4327,1082,17079,1053,2258,391,3124,null,null,1981,null,null,1357,null,null,1180,null,null,360,null,null,1685,null,null,1082,null,null,1053,null,null,391,null,null,02
220438,4835,103495,2844,22820,1600,71108,2196,9567,434,116943,3111,20956,1748,81366,1707,14621,835,4835,null,null,2844,null,null,1600,null,null,2196,null,null,434,null,null,3111,null,null,1748,null,null,1707,null,null,835,null,null,04
41781,2680,18911,1639,3790,987,13786,1285,1335,564,22870,2187,4857,1306,15900,1481,2113,564,2680,null,null,1639,null,null,987,null,null,1285,null,null,564,null,null,2187,null,null,1306,null,null,1481,null,null,564,null,null,05
5602074,18509,2651898,10308,529985,6525,1771351,6701,350562,1953,2950176,11169,501038,7564,1982614,6042,466524,3054,18509,null,null,10308,null,null,6525,null,null,6701,null,null,1953,null,null,11169,null,null,7564,null,null,6042,null,null,3054,null,null,06
175951,4618,78035,2569,17537,1580,53642,1860,6856,505,97916,2932,21558,1673,66470,2044,9888,702,4618,null,null,2569,null,null,1580,null,null,1860,null,null,505,null,null,2932,null,null,1673,null,null,2044,null,null,702,null,null,08
161950,3536,76023,2204,17878,1489,52332,1497,5813,413,85927,2172,19134,1286,59572,1706,7221,520,3536,null,null,2204,null,null,1489,null,null,1497,null,null,413,null,null,2172,null,null,1286,null,null,1706,null,null,520,null,null,09
35646,1583,17644,1124,3534,957,12557,613,1553,146,18002,1155,3408,730,12073,716,2521,256,1583,null,null,1124,null,null,957,null,null,613,null,null,146,null,null,1155,null,null,730,null,null,716,null,null,256,null,null,10
26436,1256,10685,905,982,529,8990,748,713,305,15751,709,1060,391,13505,528,1186,177,1256,null,null,905,null,null,529,null,null,748,null,null,305,null,null,709,null,null,391,null,null,528,null,null,177,null,null,11
