C17006_001E,C17006_001M,C17006_002E,C17006_002M,C17006_003E,C17006_003M,C17006_004E,C17006_004M,C17006_005E,C17006_005M,C17006_006E,C17006_006M,C17006_007E,C17006_007M,C17006_001M,C17006_001EA,C17006_001MA,C17006_002M,C17006_002EA,C17006_002MA,C17006_003M,C17006_003EA,C17006_003MA,C17006_004M,C17006_004EA,C17006_004MA,C17006_005M,C17006_005EA,C17006_005MA,C17006_006M,C17006_006EA,C17006_006MA,C17006_007M,C17006_007EA,C17006_007MA,state
1955719,3546,280542,15229,85603,7963,194939,11417,1675177,15843,1286543,17433,388634,13175,3546,null,null,15229,null,null,7963,null,null,11417,null,null,15843,null,null,17433,null,null,13175,null,null,34
480746,2225,143837,8757,50162,5683,93675,7380,336909,9083,241756,8791,95153,6474,2225,null,null,8757,null,null,5683,null,null,7380,null,null,9083,null,null,8791,null,null,6474,null,null,35
4083224,5818,831618,19421,320268,14274,511350,16518,3251606,20106,2389330,22275,862276,18150,5818,null,null,19421,null,null,14274,null,null,16518,null,null,20106,null,null,22275,null,null,18150,null,null,36
2247315,6149,478586,17439,140201,11390,338385,15419,1768729,18082,1316988,18327,451741,14562,6149,null,null,17439,null,null,11390,null,null,15419,null,null,18082,null,null,18327,null,null,14562,null,null,37
169514,1794,20353,2768,4941,1499,15412,2699,149161,3006,121605,3811,27556,3291,1794,null,null,2768,null,null,1499,null,null,2699,null,null,3006,null,null,3811,null,null,3291,null,null,38
2544928,6360,512192,16814,123886,10162,388306,15451,2032736,17164,1503628,20145,529108,15455,6360,null,null,16814,null,null,10162,null,null,15451,null,null,17164,null,null,20145,null,null,15455,null,null,39
940250,2796,212165,8660,66959,5635,145206,7817,728085,8951,551514,9530,176571,7323,2796,null,null,8660,null,null,5635,null,null,7817,null,null,8951,null,null,9530,null,null,7323,null,null,40
843624,3179,136951,9582,49812,7198,87139,6905,706673,9634,545540,11801,161133,10247,3179,null,null,9582,null,null,7198,null,null,6905,null,null,9634,null,null,11801,null,null,10247,null,null,41
2611560,4871,473068,15872,136536,9803,336532,14011,2138492,16605,1587614,18395,550878,16180,4871,null,null,15872,null,null,9803,null,null,14011,null,null,16605,null,null,18395,null,null,16180,null,null,42
204907,1466,33451,4346,10444,3143,23007,3186,171456,4297,119241,5041,52215,4405,1466,null,null,4346,null,null,3143,null,null,3186,null,null,4297,null,null,5041,null,null,4405,null,null,44
1078625,3354,244530,12121,63536,7242,180994,11142,834095,11633,596894,13125,237201,10325,3354,null,null,12121,null,null,7242,null,null,11142,null,null,11633,null,null,13125,null,null,10325,null,null,45
209447,1735,34530,3653,9910,2102,24620,2846,174917,3625,135161,3846,39756,3544,1735,null,null,3653,null,null,2102,null,null,2846,null,null,3625,null,null,3846,null,null,3544,null,null,46
1471524,4984,329494,14029,101254,7734,228240,12823,1142030,14056,848625,14923,293405,11843,4984,null,null,14029,null,null,7734,null,null,12823,null,null,14056,null,null,14923,null,null,11843,null,null,47
7186471,8635,1596051,31688,584408,25505,1011643,26670,5590420,31009,4179754,39619,1410666,32488,8635,null,null,31688,null,null,25505,null,null,26670,null,null,31009,null,null,39619,null,null,32488,null,null,48
906946,2750,97800,8930,45815,5738,51985,6580,809146,8689,700273,11170,108873,8703,2750,null,null,8930,null,null,5738,null,null,6580,null,null,8689,null,null,11170,null,null,8703,null,null,49
115469,1509,16580,3017,3278,1180,13302,2695,98889,3157,73770,3731,25119,2818,1509,null,null,3017,null,null,1180,null,null,2695,null,null,3157,null,null,3731,null,null,2818,null,null,50
1827137,5661,253513,13230,67434,7342,186079,11265,1573624,13620,1209423,16524,364201,13267,5661,null,null,13230,null,null,7342,null,null,11265,null,null,13620,null,null,16524,null,null,13267,null,null,51
1595382,3728,211212,11593,81494,9131,129718,9563,1384170,12224,1093526,16419,290644,13576,3728,null,null,11593,null,null,9131,null,null,9563,null,null,12224,null,null,16419,null,null,13576,null,null,53
366959,2386,86693,6573,28261,3618,58432,5938,280266,6714,210117,7713,70149,5672,2386,null,null,6573,null,null,3618,null,null,5938,null,null,6714,null,null,7713,null,null,5672,null,null,54
1253561,3490,192004,11117,55798,6225,136206,8096,1061557,11343,811515,12373,250042,10280,3490,null,null,11117,null,null,6225,null,null,8096,null,null,11343,null,null,12373,null,null,10280,null,null,55
137087,1878,14154,2526,5524,1895,8630,2041,122933,2983,92954,3519,29979,3241,1878,null,null,2526,null,null,1895,null,null,2041,null,null,2983,null,null,3519,null,null,3241,null,null,56
689153,2206,387318,10861,103623,7410,283695,10879,301835,10832,194992,10033,106843,6837,2206,null,null,10861,null,null,7410,null,null,10879,null,null,10832,null,null,10033,null,null,6837,null,null,72
1081342,4280,262862,12680,67982,7354,194880,10873,818480,12256,606855,12315,211625,10814,4280,null,null,12680,null,null,7354,null,null,10873,null,null,12256,null,null,12315,null,null,10814,null,null,01
182589,1419,25169,4099,7416,1641,17753,3811,157420,3945,118627,4446,38793,4134,1419,null,null,4099,null,null,1641,null,null,3811,null,null,3945,null,null,4446,null,null,4134,null,null,02
1594976,4190,372144,13359,143640,9966,228504,10777,1222832,13545,883813,16345,339019,13606,4190,null,null,13359,null,null,9966,null,null,10777,null,null,13545,null,null,16345,null,null,13606,null,null,04
690094,3436,161993,9131,53173,7049,108820,9139,528101,9424,392781,10426,135320,7203,3436,null,null,9131,null,null,7049,null,null,9139,null,null,9424,null,null,10426,null,null,7203,null,null,05
8921451,9753,1747994,33361,714684,24015,1033310,25275,7173457,34601,5415986,42060,1757471,27115,9753,null,null,33361,null,null,24015,null,null,25275,null,null,34601,null,null,42060,null,null,27115,null,null,06
1237312,3050,161845,9761,67909,6548,93936,8320,1075467,10267,841823,11193,233644,10271,3050,null,null,9761,null,null,6548,null,null,8320,null,null,10267,null,null,11193,null,null,10271,null,null,08
740553,2238,93289,8095,22013,4056,71276,7137,647264,7572,479004,8754,168260,9369,2238,null,null,8095,null,null,4056,null,null,7137,null,null,7572,null,null,8754,null,null,9369,null,null,09
200156,1476,33934,4973,8144,2780,25790,4548,166222,5181,118970,4703,47252,4565,1476,null,null,4973,null,null,2780,null,null,4548,null,null,5181,null,null,4703,null,null,4565,null,null,10
117940,1186,30108,4560,1281,971,28827,4625,87832,4706,51648,4165,36184,4439,1186,null,null,4560,null,null,971,null,null,4625,null,null,4706,null,null,4165,null,null,4439,null,null,11
