B16005H_001E,B16005H_001M,B16005H_002E,B16005H_002M,B16005H_003E,B16005H_003M,B16005H_004E,B16005H_004M,B16005H_005E,B16005H_005M,B16005H_006E,B16005H_006M,B16005H_007E,B16005H_007M,B16005H_008E,B16005H_008M,B16005H_009E,B16005H_009M,B16005H_010E,B16005H_010M,B16005H_011E,B16005H_011M,B16005H_001M,B16005H_001EA,B16005H_001MA,B16005H_002M,B16005H_002EA,B16005H_002MA,B16005H_003M,B16005H_003EA,B16005H_003MA,B16005H_004M,B16005H_004EA,B16005H_004MA,B16005H_005M,B16005H_005EA,B16005H_005MA,B16005H_006M,B16005H_006EA,B16005H_006MA,B16005H_007M,B16005H_007EA,B16005H_007MA,B16005H_008M,B16005H_008EA,B16005H_008MA,B16005H_009M,B16005H_009EA,B16005H_009MA,B16005H_010M,B16005H_010EA,B16005H_010MA,B16005H_011M,B16005H_011EA,B16005H_011MA,state
1186478,439,1161981,3074,1122355,4760,39626,3471,34442,3265,5184,951,24497,3058,14535,2146,9962,1983,6025,1332,3937,1108,439,null,null,3074,null,null,4760,null,null,3471,null,null,3265,null,null,951,null,null,3058,null,null,2146,null,null,1983,null,null,1332,null,null,1108,null,null,23
2943774,1619,2807948,9152,2726974,10798,80974,5160,71577,5102,9397,1638,135826,9086,40565,2977,95261,8335,62420,5714,32841,4703,1619,null,null,9152,null,null,10798,null,null,5160,null,null,5102,null,null,1638,null,null,9086,null,null,2977,null,null,8335,null,null,5714,null,null,4703,null,null,24
4718348,6089,4357276,11240,4175212,14678,182064,8736,162615,7860,19449,2469,361072,11673,100673,4739,260399,10938,142353,7690,118046,7154,6089,null,null,11240,null,null,14678,null,null,8736,null,null,7860,null,null,2469,null,null,11673,null,null,4739,null,null,10938,null,null,7690,null,null,7154,null,null,25
7096923,2270,6805667,10835,6634029,14675,171638,7611,142863,6606,28775,3405,291256,10373,79911,4227,211345,10314,105751,6059,105594,7602,2270,null,null,10835,null,null,14675,null,null,7611,null,null,6606,null,null,3405,null,null,10373,null,null,4227,null,null,10314,null,null,6059,null,null,7602,null,null,26
4201461,2011,4130560,5705,4056397,8167,74163,4697,61261,4149,12902,1560,70901,5675,27011,2309,43890,4833,28113,3507,15777,2673,2011,null,null,5705,null,null,8167,null,null,4697,null,null,4149,null,null,1560,null,null,5675,null,null,2309,null,null,4833,null,null,3507,null,null,2673,null,null,27
1608314,1515,1598350,2431,1583463,3169,14887,2226,11696,2230,3191,1022,9964,1831,4518,1103,5446,1580,3182,890,2264,975,1515,null,null,2431,null,null,3169,null,null,2226,null,null,2230,null,null,1022,null,null,1831,null,null,1103,null,null,1580,null,null,890,null,null,975,null,null,28
4585166,2355,4515379,6962,4440863,11037,74516,6286,63110,5917,11406,2072,69787,6508,23959,2763,45828,5689,25809,3317,20019,3615,2355,null,null,6962,null,null,11037,null,null,6286,null,null,5917,null,null,2072,null,null,6508,null,null,2763,null,null,5689,null,null,3317,null,null,3615,null,null,29
852687,548,840070,2076,825660,3260,14410,2428,12114,2124,2296,872,12617,1963,8578,1344,4039,1322,3174,1187,865,435,548,null,null,2076,null,null,3260,null,null,2428,null,null,2124,null,null,872,null,null,1963,null,null,1344,null,null,1322,null,null,1187,null,null,435,null,null,30
1429695,995,1414526,2860,1394634,3625,19892,2190,17325,1928,2567,742,15169,2735,5955,1238,9214,2234,6095,1591,3119,1157,995,null,null,2860,null,null,3625,null,null,2190,null,null,1928,null,null,742,null,null,2735,null,null,1238,null,null,2234,null,null,1591,null,null,1157,null,null,31
1399197,1587,1324935,5867,1289470,7041,35465,3298,29582,2960,5883,1230,74262,5427,35590,3178,38672,5023,26423,3567,12249,2807,1587,null,null,5867,null,null,7041,null,null,3298,null,null,2960,null,null,1230,null,null,5427,null,null,3178,null,null,5023,null,null,3567,null,null,2807,null,null,32
1156999,961,1124532,3744,1094394,5533,30138,3123,26694,2937,3444,862,32467,3478,17164,2407,15303,2467,9253,1534,6050,1658,961,null,null,3744,null,null,5533,null,null,3123,null,null,2937,null,null,862,null,null,3478,null,null,2407,null,null,2467,null,null,1534,null,null,1658,null,null,33
4743002,4029,4308334,11688,4086261,16177,222073,9722,200341,9021,21732,2712,434668,12072,114038,5480,320630,10733,174910,6809,145720,7425,4029,null,null,11688,null,null,16177,null,null,9722,null,null,9021,null,null,2712,null,null,12072,null,null,5480,null,null,10733,null,null,6809,null,null,7425,null,null,34
757522,1989,732445,3622,696358,6543,36087,5078,31806,4905,4281,1160,25077,3037,8879,1363,16198,2975,11489,2386,4709,1592,1989,null,null,3622,null,null,6543,null,null,5078,null,null,4905,null,null,1160,null,null,3037,null,null,1363,null,null,2975,null,null,2386,null,null,1592,null,null,35
10440006,6081,9463863,16116,8860303,23523,603560,15197,492296,14026,111264,6773,976143,15071,254981,8579,721162,14049,376802,10495,344360,10704,6081,null,null,16116,null,null,23523,null,null,15197,null,null,14026,null,null,6773,null,null,15071,null,null,8579,null,null,14049,null,null,10495,null,null,10704,null,null,36
6133170,2623,5997119,8433,5896664,10401,100455,6092,87821,5550,12634,1808,136051,8249,64956,5003,71095,6151,48067,4515,23028,3165,2623,null,null,8433,null,null,10401,null,null,6092,null,null,5550,null,null,1808,null,null,8249,null,null,5003,null,null,6151,null,null,4515,null,null,3165,null,null,37
603163,227,596579,1009,586587,1964,9992,1747,8446,1649,1546,376,6584,1001,3178,565,3406,950,2211,645,1195,708,227,null,null,1009,null,null,1964,null,null,1747,null,null,1649,null,null,376,null,null,1001,null,null,565,null,null,950,null,null,645,null,null,708,null,null,38
8726587,2894,8551211,9817,8355958,13213,195253,8200,153428,7939,41825,4143,175376,9336,63513,4462,111863,8192,64341,4607,47522,5229,2894,null,null,9817,null,null,13213,null,null,8200,null,null,7939,null,null,4143,null,null,9336,null,null,4462,null,null,8192,null,null,4607,null,null,5229,null,null,39
2455108,1031,2425702,3126,2393232,4913,32470,3442,27653,3357,4817,1107,29406,3073,14390,1908,15016,2775,10215,2068,4801,1259,1031,null,null,3126,null,null,4913,null,null,3442,null,null,3357,null,null,1107,null,null,3073,null,null,1908,null,null,2775,null,null,2068,null,null,1259,null,null,40
2970366,1825,2870297,7952,2798594,10720,71703,6428,62828,5969,8875,1657,100069,7448,40244,3325,59825,6338,33139,3532,26686,4125,1825,null,null,7952,null,null,10720,null,null,6428,null,null,5969,null,null,1657,null,null,7448,null,null,3325,null,null,6338,null,null,3532,null,null,4125,null,null,41
9367942,2945,9127135,10154,8893272,17662,233863,10973,188236,9870,45627,4198,240807,10567,77779,4462,163028,8734,89173,5014,73855,5813,2945,null,null,10154,null,null,17662,null,null,10973,null,null,9870,null,null,4198,null,null,10567,null,null,4462,null,null,8734,null,null,5014,null,null,5813,null,null,42
739758,1551,694792,4479,666117,5542,28675,2475,25788,2505,2887,745,44966,4333,12592,1800,32374,4243,18251,2953,14123,2635,1551,null,null,4479,null,null,5542,null,null,2475,null,null,2505,null,null,745,null,null,4333,null,null,1800,null,null,4243,null,null,2953,null,null,2635,null,null,44
3004128,2681,2942880,5333,2900797,6229,42083,3923,35569,3517,6514,1398,61248,4841,34206,2925,27042,3659,19716,2609,7326,2294,2681,null,null,5333,null,null,6229,null,null,3923,null,null,3517,null,null,1398,null,null,4841,null,null,2925,null,null,3659,null,null,2609,null,null,2294,null,null,45
670139,375,663583,1443,654455,2162,9128,1438,7847,1366,1281,402,6556,1439,3063,931,3493,1207,2251,818,1242,690,375,null,null,1443,null,null,2162,null,null,1438,null,null,1366,null,null,402,null,null,1439,null,null,931,null,null,1207,null,null,818,null,null,690,null,null,46
4672192,2214,4602067,6849,4542382,9324,59685,5013,50169,4387,9516,2271,70125,7078,29843,3043,40282,5986,23597,3847,16685,3688,2214,null,null,6849,null,null,9324,null,null,5013,null,null,4387,null,null,2271,null,null,7078,null,null,3043,null,null,5986,null,null,3847,null,null,3688,null,null,47
11217262,4946,10842464,15214,10492131,18910,350333,12108,305750,12154,44583,3901,374798,15059,149553,7990,225245,13012,143911,7972,81334,8067,4946,null,null,15214,null,null,18910,null,null,12108,null,null,12154,null,null,3901,null,null,15059,null,null,7990,null,null,13012,null,null,7972,null,null,8067,null,null,48
2217932,1613,2173358,4464,2097121,7345,76237,5423,68434,5042,7803,1621,44574,4236,21687,2198,22887,3619,16419,2451,6468,1933,1613,null,null,4464,null,null,7345,null,null,5423,null,null,5042,null,null,1621,null,null,4236,null,null,2198,null,null,3619,null,null,2451,null,null,1933,null,null,49
553553,393,537629,1931,525868,2978,11761,1664,11017,1628,744,312,15924,1823,8346,1045,7578,1673,5434,1091,2144,880,393,null,null,1931,null,null,2978,null,null,1664,null,null,1628,null,null,312,null,null,1823,null,null,1045,null,null,1673,null,null,1091,null,null,880,null,null,50
4971052,2667,4782826,10821,4664761,14187,118065,6537,103004,5931,15061,2341,188226,10027,61654,4156,126572,9226,84234,7125,42338,4383,2667,null,null,10821,null,null,14187,null,null,6537,null,null,5931,null,null,2341,null,null,10027,null,null,4156,null,null,9226,null,null,7125,null,null,4383,null,null,51
4798887,1919,4566265,12612,4445926,16064,120339,7903,104344,7434,15995,2171,232622,12399,100057,5669,132565,10268,77530,6305,55035,5555,1919,null,null,12612,null,null,16064,null,null,7903,null,null,7434,null,null,2171,null,null,12399,null,null,5669,null,null,10268,null,null,6305,null,null,5555,null,null,53
1596276,2274,1586239,2824,1572355,3674,13884,1754,10401,1678,3483,1132,10037,1874,5397,1069,4640,1410,3825,1277,815,542,2274,null,null,2824,null,null,3674,null,null,1754,null,null,1678,null,null,1132,null,null,1874,null,null,1069,null,null,1410,null,null,1277,null,null,542,null,null,54
4482939,1316,4415319,4531,4325399,6218,89920,4046,71112,3863,18808,1861,67620,4521,27147,1856,40473,4344,24933,3035,15540,2968,1316,null,null,4531,null,null,6218,null,null,4046,null,null,3863,null,null,1861,null,null,4521,null,null,1856,null,null,4344,null,null,3035,null,null,2968,null,null,55
465120,496,459932,1380,449736,2836,10196,2416,8813,1894,1383,898,5188,1241,2751,781,2437,966,1581,753,856,464,496,null,null,1380,null,null,2836,null,null,2416,null,null,1894,null,null,898,null,null,1241,null,null,781,null,null,966,null,null,753,null,null,464,null,null,56
35534,4741,31487,4374,6349,1550,25138,3944,12703,2207,12435,2684,4047,1386,496,318,3551,1296,2630,1201,921,498,4741,null,null,4374,null,null,1550,null,null,3944,null,null,2207,null,null,2684,null,null,1386,null,null,318,null,null,1296,null,null,1201,null,null,498,null,null,72
3034604,1195,3005567,4334,2977424,5627,28143,2746,23726,2688,4417,1073,29037,4014,14943,2602,14094,2769,8404,1841,5690,1730,1195,null,null,4334,null,null,5627,null,null,2746,null,null,2688,null,null,1073,null,null,4014,null,null,2602,null,null,2769,null,null,1841,null,null,1730,null,null,01
426575,754,415309,2116,400809,3403,14500,2387,13736,2360,764,277,11266,2073,5366,1295,5900,1691,4016,1246,1884,809,754,null,null,2116,null,null,3403,null,null,2387,null,null,2360,null,null,277,null,null,2073,null,null,1295,null,null,1691,null,null,1246,null,null,809,null,null,02
3666258,2903,3488774,9206,3383226,12502,105548,7173,92865,6981,12683,2041,177484,8176,91123,5799,86361,6097,55026,4874,31335,4054,2903,null,null,9206,null,null,12502,null,null,7173,null,null,6981,null,null,2041,null,null,8176,null,null,5799,null,null,6097,null,null,4874,null,null,4054,null,null,04
2056611,1152,2039446,3240,2017779,4769,21667,3381,19784,3105,1883,1065,17165,3130,9284,1720,7881,2397,4703,1359,3178,1414,1152,null,null,3240,null,null,4769,null,null,3381,null,null,3105,null,null,1065,null,null,3130,null,null,1720,null,null,2397,null,null,1359,null,null,1414,null,null,05
14091715,7655,12695072,26331,12087037,30135,608035,13129,547705,12093,60330,4400,1396643,24408,437914,10906,958729,23623,565384,14269,393345,15379,7655,null,null,26331,null,null,30135,null,null,13129,null,null,12093,null,null,4400,null,null,24408,null,null,10906,null,null,23623,null,null,14269,null,null,15379,null,null,06
3607346,1473,3497218,7206,3409615,9865,87603,5483,75935,5145,11668,1634,110128,7127,54004,4619,56124,5062,37222,3725,18902,3038,1473,null,null,7206,null,null,9865,null,null,5483,null,null,5145,null,null,1634,null,null,7127,null,null,4619,null,null,5062,null,null,3725,null,null,3038,null,null,08
2315209,2732,2145126,7663,2055135,12153,89991,6466,82107,5929,7884,1371,170083,7747,51295,3538,118788,6560,65780,4691,53008,4589,2732,null,null,7663,null,null,12153,null,null,6466,null,null,5929,null,null,1371,null,null,7747,null,null,3538,null,null,6560,null,null,4691,null,null,4589,null,null,09
570604,701,555317,2654,545069,3498,10248,2248,7817,1771,2431,1207,15287,2542,7217,1220,8070,2235,5393,1486,2677,1121,701,null,null,2654,null,null,3498,null,null,2248,null,null,1771,null,null,1207,null,null,2542,null,null,1220,null,null,2235,null,null,1486,null,null,1121,null,null,10
235168,546,214644,2741,201912,3466,12732,1588,11997,1527,735,352,20524,2740,9798,1754,10726,1956,8833,1624,1893,893,546,null,null,2741,null,null,3466,null,null,1588,null,null,1527,null,null,352,null,null,2740,null,null,1754,null,null,1956,null,null,1624,null,null,893,null,null,11
