C15003_001E,C15003_001M,C15003_002E,C15003_002M,C15003_003E,C15003_003M,C15003_004E,C15003_004M,C15003_005E,C15003_005M,C15003_006E,C15003_006M,C15003_007E,C15003_007M,C15003_008E,C15003_008M,C15003_009E,C15003_009M,C15003_010E,C15003_010M,C15003_011E,C15003_011M,C15003_012E,C15003_012M,C15003_013E,C15003_013M,C15003_014E,C15003_014M,C15003_015E,C15003_015M,C15003_016E,C15003_016M,C15003_017E,C15003_017M,C15003_018E,C15003_018M,C15003_001M,C15003_001EA,C15003_001MA,C15003_002M,C15003_002EA,C15003_002MA,C15003_003M,C15003_003EA,C15003_003MA,C15003_004M,C15003_004EA,C15003_004MA,C15003_005M,C15003_005EA,C15003_005MA,C15003_006M,C15003_006EA,C15003_006MA,C15003_007M,C15003_007EA,C15003_007MA,C15003_008M,C15003_008EA,C15003_008MA,C15003_009M,C15003_009EA,C15003_009MA,C15003_010M,C15003_010EA,C15003_010MA,C15003_011M,C15003_011EA,C15003_011MA,C15003_012M,C15003_012EA,C15003_012MA,C15003_013M,C15003_013EA,C15003_013MA,C15003_014M,C15003_014EA,C15003_014MA,C15003_015M,C15003_015EA,C15003_015MA,C15003_016M,C15003_016EA,C15003_016MA,C15003_017M,C15003_017EA,C15003_017MA,C15003_018M,C15003_018EA,C15003_018MA,state
966569,1470,5635,1270,1222,540,2878,738,15905,1884,10518,1511,14458,1834,13823,2107,9699,1318,272769,7530,45600,3077,57718,3385,130222,5218,94984,5205,181434,6126,79538,4145,18162,2222,12004,1191,1470,null,null,1270,null,null,540,null,null,738,null,null,1884,null,null,1511,null,null,1834,null,null,2107,null,null,1318,null,null,7530,null,null,3077,null,null,3385,null,null,5218,null,null,5205,null,null,6126,null,null,4145,null,null,2222,null,null,1191,null,null,23
4122508,4229,52012,3737,23912,3118,45713,4516,44969,3896,46075,3820,60080,3918,68720,4143,65748,3627,914616,15381,131854,6750,237805,7543,541390,12525,268485,7818,860491,13680,528502,11492,128976,5097,103160,4815,4229,null,null,3737,null,null,3118,null,null,4516,null,null,3896,null,null,3820,null,null,3918,null,null,4143,null,null,3627,null,null,15381,null,null,6750,null,null,7543,null,null,12525,null,null,7818,null,null,13680,null,null,11492,null,null,5097,null,null,4815,null,null,24
4727515,3062,63771,4417,36746,3424,41497,4345,70301,5297,50203,3820,62187,4337,58960,4485,69020,5107,1023967,14708,132529,6292,222787,7714,511845,11012,363356,8695,1124295,12174,629351,11631,140558,5149,126142,4739,3062,null,null,4417,null,null,3424,null,null,4345,null,null,5297,null,null,3820,null,null,4337,null,null,4485,null,null,5107,null,null,14708,null,null,6292,null,null,7714,null,null,11012,null,null,8695,null,null,12174,null,null,11631,null,null,5149,null,null,4739,null,null,25
6760402,4180,67407,4148,19413,2504,34348,2986,82237,4893,70914,3507,128799,5886,136595,4804,108196,4273,1702082,16930,276261,8627,516290,9896,1081902,14215,626128,12084,1162737,15121,547241,11010,119229,4842,80623,4121,4180,null,null,4148,null,null,2504,null,null,2986,null,null,4893,null,null,3507,null,null,5886,null,null,4804,null,null,4273,null,null,16930,null,null,8627,null,null,9896,null,null,14215,null,null,12084,null,null,15121,null,null,11010,null,null,4842,null,null,4121,null,null,26
3725283,4171,40123,3525,11772,2196,18665,2524,41098,3594,23104,2611,36191,2421,45707,3134,47228,3459,821200,12811,116737,4483,246325,6821,550387,9795,429762,6577,860125,12101,304937,7754,78752,3847,53170,2817,4171,null,null,3525,null,null,2196,null,null,2524,null,null,3594,null,null,2611,null,null,2421,null,null,3134,null,null,3459,null,null,12811,null,null,4483,null,null,6821,null,null,9795,null,null,6577,null,null,12101,null,null,7754,null,null,3847,null,null,2817,null,null,27
1957022,5315,22249,2506,9806,1711,18579,2659,44090,3076,41150,3072,61358,5001,70856,4678,42646,4076,477515,11964,125820,7132,111813,6243,327182,9565,177695,7168,264865,8398,113113,5560,27550,2514,20735,2405,5315,null,null,2506,null,null,1711,null,null,2659,null,null,3076,null,null,3072,null,null,5001,null,null,4678,null,null,4076,null,null,11964,null,null,7132,null,null,6243,null,null,9565,null,null,7168,null,null,8398,null,null,5560,null,null,2514,null,null,2405,null,null,28
4121014,6151,31678,2988,9532,1967,18940,2463,77165,5141,53951,4145,85637,4638,93209,4503,59827,3743,1083372,11927,182014,5829,297778,9317,630017,11559,325244,8690,729511,12712,324191,9934,70157,4525,48791,3527,6151,null,null,2988,null,null,1967,null,null,2463,null,null,5141,null,null,4145,null,null,4638,null,null,4503,null,null,3743,null,null,11927,null,null,5829,null,null,9317,null,null,11559,null,null,8690,null,null,12712,null,null,9934,null,null,4525,null,null,3527,null,null,29
712616,2841,2704,802,815,448,1380,727,8554,1393,4911,1068,11051,1613,12429,1868,9394,1681,172231,5683,34184,3357,46019,2616,122204,4236,66134,3776,148944,4923,48718,3194,14909,1860,8035,1242,2841,null,null,802,null,null,448,null,null,727,null,null,1393,null,null,1068,null,null,1613,null,null,1868,null,null,1681,null,null,5683,null,null,3357,null,null,2616,null,null,4236,null,null,3776,null,null,4923,null,null,3194,null,null,1860,null,null,1242,null,null,30
1243820,2830,13963,1563,8351,1889,12231,2205,16865,1977,13551,2243,13870,1529,18546,1966,15968,1624,286360,6736,41988,2721,88321,4443,193039,6056,129795,5328,261931,6575,90070,3541,22938,2201,16033,1597,2830,null,null,1563,null,null,1889,null,null,2205,null,null,1977,null,null,2243,null,null,1529,null,null,1966,null,null,1624,null,null,6736,null,null,2721,null,null,4443,null,null,6056,null,null,5328,null,null,6575,null,null,3541,null,null,2201,null,null,1597,null,null,31
2010610,2209,34567,3060,19056,2515,47128,5005,22141,2237,36330,3582,33904,2984,40411,3402,46996,3841,498977,12174,86080,4937,150003,5808,366900,8952,156342,6252,308547,10637,114345,5451,32605,3008,16278,1687,2209,null,null,3060,null,null,2515,null,null,5005,null,null,2237,null,null,3582,null,null,2984,null,null,3402,null,null,3841,null,null,12174,null,null,4937,null,null,5808,null,null,8952,null,null,6252,null,null,10637,null,null,5451,null,null,3008,null,null,1687,null,null,32
947586,2249,5583,1245,1525,878,1609,893,11906,1750,8354,1545,11940,2028,15788,1906,11193,1272,217686,7141,38559,3384,57739,3922,121538,4964,97488,4243,213461,6630,101003,5085,19392,2099,12822,1653,2249,null,null,1245,null,null,878,null,null,893,null,null,1750,null,null,1545,null,null,2028,null,null,1906,null,null,1272,null,null,7141,null,null,3384,null,null,3922,null,null,4964,null,null,4243,null,null,6630,null,null,5085,null,null,2099,null,null,1653,null,null,33
6171172,2256,76104,5292,49992,3947,95864,5749,95222,5550,67894,4918,81841,4922,89637,5262,104122,5203,1541029,20720,165044,7151,302184,8492,722105,13181,400332,11271,1460518,17545,670786,12006,153171,5541,95327,4593,2256,null,null,5292,null,null,3947,null,null,5749,null,null,5550,null,null,4918,null,null,4922,null,null,5262,null,null,5203,null,null,20720,null,null,7151,null,null,8492,null,null,13181,null,null,11271,null,null,17545,null,null,12006,null,null,5541,null,null,4593,null,null,34
1391381,3935,18382,2339,11890,1644,30164,3159,24079,2924,25905,3244,32444,3185,36891,3595,23186,2272,310743,9173,59765,4132,85075,4264,237950,8772,116674,5835,215691,6623,116006,5227,22128,2022,24408,2371,3935,null,null,2339,null,null,1644,null,null,3159,null,null,2924,null,null,3244,null,null,3185,null,null,3595,null,null,2272,null,null,9173,null,null,4132,null,null,4264,null,null,8772,null,null,5835,null,null,6623,null,null,5227,null,null,2022,null,null,2371,null,null,35
13653592,4583,268369,9927,124622,7352,237234,11002,235751,8291,213845,8271,230684,7764,252653,8615,305134,8928,3036385,26917,538429,11013,637569,10073,1513289,18755,1191816,17949,2749619,27654,1521940,17492,391676,10635,204577,5851,4583,null,null,9927,null,null,7352,null,null,11002,null,null,8291,null,null,8271,null,null,7764,null,null,8615,null,null,8928,null,null,26917,null,null,11013,null,null,10073,null,null,18755,null,null,17949,null,null,27654,null,null,17492,null,null,10635,null,null,5851,null,null,36
6877185,7537,80305,4160,37403,4289,73315,5764,128547,5779,140999,6728,165208,7012,154156,7682,93264,5371,1472415,17405,303471,10040,439327,11303,1042804,20645,654866,14174,1345615,18103,543876,12126,114036,4990,87578,5027,7537,null,null,4160,null,null,4289,null,null,5764,null,null,5779,null,null,6728,null,null,7012,null,null,7682,null,null,5371,null,null,17405,null,null,10040,null,null,11303,null,null,20645,null,null,14174,null,null,18103,null,null,12126,null,null,4990,null,null,5027,null,null,37
495015,2090,2025,726,313,198,956,560,10533,1307,4704,1082,6985,1254,6997,1577,5231,1103,115825,4402,18353,1729,30672,2666,78544,4238,67554,3120,107578,4161,28550,2613,5718,1034,4477,847,2090,null,null,726,null,null,198,null,null,560,null,null,1307,null,null,1082,null,null,1254,null,null,1577,null,null,1103,null,null,4402,null,null,1729,null,null,2666,null,null,4238,null,null,3120,null,null,4161,null,null,2613,null,null,1034,null,null,847,null,null,38
7922061,4787,67053,3957,16311,2089,28332,3784,110513,5328,92703,5315,155289,5453,193044,8439,127071,5182,2333030,21754,305998,7689,530452,11844,1100077,18849,682507,11574,1362205,16368,598321,11011,130456,4677,88699,4031,4787,null,null,3957,null,null,2089,null,null,3784,null,null,5328,null,null,5315,null,null,5453,null,null,8439,null,null,5182,null,null,21754,null,null,7689,null,null,11844,null,null,18849,null,null,11574,null,null,16368,null,null,11011,null,null,4677,null,null,4031,null,null,39
2571636,3575,25050,2606,9222,1243,26667,2774,42313,2626,43473,3111,57015,3438,66943,3454,42343,3040,674289,9190,128240,4730,186546,5194,417280,8646,203590,6236,432922,9518,157183,5110,35356,2767,23204,2247,3575,null,null,2606,null,null,1243,null,null,2774,null,null,2626,null,null,3111,null,null,3438,null,null,3454,null,null,3040,null,null,9190,null,null,4730,null,null,5194,null,null,8646,null,null,6236,null,null,9518,null,null,5110,null,null,2767,null,null,2247,null,null,40
2857952,3514,30013,3198,15332,2571,31658,3879,29018,3614,37046,3771,38905,3484,46286,3990,49224,3736,526763,12933,129130,6022,235544,7517,509988,12902,244515,8303,572508,9970,247973,7003,66154,3859,47895,3319,3514,null,null,3198,null,null,2571,null,null,3879,null,null,3614,null,null,3771,null,null,3484,null,null,3990,null,null,3736,null,null,12933,null,null,6022,null,null,7517,null,null,12902,null,null,8303,null,null,9970,null,null,7003,null,null,3859,null,null,3319,null,null,41
8921975,5062,85863,5554,29334,2831,41817,3879,132151,6570,104729,5424,172640,6701,178326,7030,135486,5636,2787677,22439,344767,8218,480857,9115,950374,14650,730217,11315,1676971,21471,765331,11753,175633,6165,129802,5488,5062,null,null,5554,null,null,2831,null,null,3879,null,null,6570,null,null,5424,null,null,6701,null,null,7030,null,null,5636,null,null,22439,null,null,8218,null,null,9115,null,null,14650,null,null,11315,null,null,21471,null,null,11753,null,null,6165,null,null,5488,null,null,42
734045,1360,10933,1663,8400,2244,8155,1725,10917,1637,12580,1835,12302,1562,11241,1959,9655,1877,167783,7033,36262,3053,42281,3195,93088,5626,60183,3971,151195,5781,70435,4856,17015,2106,11620,1642,1360,null,null,1663,null,null,2244,null,null,1725,null,null,1637,null,null,1835,null,null,1562,null,null,1959,null,null,1877,null,null,7033,null,null,3053,null,null,3195,null,null,5626,null,null,3971,null,null,5781,null,null,4856,null,null,2106,null,null,1642,null,null,44
3388476,4957,38443,3427,13074,1993,30655,3754,66745,5262,57866,4693,96663,5073,91110,5654,59098,4650,834907,14350,146762,6031,206995,6939,506103,13833,317549,10671,591086,11410,242201,7936,53013,3536,36206,3389,4957,null,null,3427,null,null,1993,null,null,3754,null,null,5262,null,null,4693,null,null,5073,null,null,5654,null,null,4650,null,null,14350,null,null,6031,null,null,6939,null,null,13833,null,null,10671,null,null,11410,null,null,7936,null,null,3536,null,null,3389,null,null,45
565894,2150,4465,1060,1136,494,1640,609,11034,1152,5794,1312,7872,1381,11134,1580,6936,1225,139760,4778,24150,2108,36532,2943,87087,3980,65093,3561,111002,4685,35829,2821,9174,1301,7256,1192,2150,null,null,1060,null,null,494,null,null,609,null,null,1152,null,null,1312,null,null,1381,null,null,1580,null,null,1225,null,null,4778,null,null,2108,null,null,2943,null,null,3980,null,null,3561,null,null,4685,null,null,2821,null,null,1301,null,null,1192,null,null,46
4527198,5159,49914,3855,20314,2545,35908,3157,110153,5035,75942,5055,107280,4480,116601,5800,74201,3869,1199477,16467,266460,8058,291978,8004,667520,13903,328595,9621,756055,14474,303704,8740,73385,4931,49711,3216,5159,null,null,3855,null,null,2545,null,null,3157,null,null,5035,null,null,5055,null,null,4480,null,null,5800,null,null,3869,null,null,16467,null,null,8058,null,null,8004,null,null,13903,null,null,9621,null,null,14474,null,null,8740,null,null,4931,null,null,3216,null,null,47
17775280,10876,344914,10644,250510,9929,562887,16028,371321,10917,479475,15721,349621,10293,382205,13094,295075,10152,3701336,36856,773375,15887,1073287,20060,2796013,27393,1259574,19634,3362678,30607,1281070,17892,295098,9096,196841,8112,10876,null,null,10644,null,null,9929,null,null,16028,null,null,10917,null,null,15721,null,null,10293,null,null,13094,null,null,10152,null,null,36856,null,null,15887,null,null,20060,null,null,27393,null,null,19634,null,null,30607,null,null,17892,null,null,9096,null,null,8112,null,null,48
1783244,3060,13047,2127,11719,2512,17036,2523,10193,1782,17403,2524,19104,2358,28107,2687,30794,2798,354303,10796,50302,3902,145106,5046,327002,8088,178193,7488,381130,8023,140249,4695,33569,3299,25987,2398,3060,null,null,2127,null,null,2512,null,null,2523,null,null,1782,null,null,2524,null,null,2358,null,null,2687,null,null,2798,null,null,10796,null,null,3902,null,null,5046,null,null,8088,null,null,7488,null,null,8023,null,null,4695,null,null,3299,null,null,2398,null,null,49
439563,1331,2557,899,549,335,900,387,7081,1560,4165,952,7689,1559,7163,1141,4466,758,112116,4503,16651,1652,22489,1779,53383,2992,40499,2932,92871,3198,46671,2857,12297,1560,8016,1131,1331,null,null,899,null,null,335,null,null,387,null,null,1560,null,null,952,null,null,1559,null,null,1141,null,null,758,null,null,4503,null,null,1652,null,null,1779,null,null,2992,null,null,2932,null,null,3198,null,null,2857,null,null,1560,null,null,1131,null,null,50
5721173,6607,69147,5289,29112,3329,54736,4883,94581,5652,78778,5330,101167,5907,101552,6084,85241,4525,1147310,17427,225526,7171,347347,9486,769322,15912,438669,12167,1241751,18218,695229,11550,142532,5001,99173,4553,6607,null,null,5289,null,null,3329,null,null,4883,null,null,5652,null,null,5330,null,null,5907,null,null,6084,null,null,4525,null,null,17427,null,null,7171,null,null,9486,null,null,15912,null,null,12167,null,null,18218,null,null,11550,null,null,5001,null,null,4553,null,null,51
4996555,4070,57914,4335,30289,3680,49372,4584,54606,4731,51352,5061,61232,4740,73419,4492,80653,4733,917047,17127,194739,8270,374392,10042,804380,13792,491450,10500,1098509,13876,472318,10733,109063,5493,75820,4187,4070,null,null,4335,null,null,3680,null,null,4584,null,null,4731,null,null,5061,null,null,4740,null,null,4492,null,null,4733,null,null,17127,null,null,8270,null,null,10042,null,null,13792,null,null,10500,null,null,13876,null,null,10733,null,null,5493,null,null,4187,null,null,53
1291757,2855,9577,1547,4195,1235,7800,1441,35863,3287,30602,3355,37660,3549,39389,3567,16215,2254,422721,8992,89507,4501,74822,4365,158855,5615,95794,4736,162243,6282,78802,4753,16651,2177,11061,1680,2855,null,null,1547,null,null,1235,null,null,1441,null,null,3287,null,null,3355,null,null,3549,null,null,3567,null,null,2254,null,null,8992,null,null,4501,null,null,4365,null,null,5615,null,null,4736,null,null,6282,null,null,4753,null,null,2177,null,null,1680,null,null,54
3933329,3771,32304,2919,10723,1676,16703,2178,47074,2993,32037,3207,52119,2869,66579,3998,60205,3479,1083082,13070,139525,5902,272788,7106,539603,9586,420412,8723,758503,11623,288536,6850,69338,3209,43798,3124,3771,null,null,2919,null,null,1676,null,null,2178,null,null,2993,null,null,3207,null,null,2869,null,null,3998,null,null,3479,null,null,13070,null,null,5902,null,null,7106,null,null,9586,null,null,8723,null,null,11623,null,null,6850,null,null,3209,null,null,3124,null,null,55
390794,2101,1383,888,264,202,1075,742,3029,758,3128,1037,6437,1408,6796,1278,4579,1052,93204,4177,21420,2822,30127,2639,67834,4037,45601,3765,67845,3782,26068,2568,6551,1380,5453,1071,2101,null,null,888,null,null,202,null,null,742,null,null,758,null,null,1037,null,null,1408,null,null,1278,null,null,1052,null,null,4177,null,null,2822,null,null,2639,null,null,4037,null,null,3765,null,null,3782,null,null,2568,null,null,1380,null,null,1071,null,null,56
2372197,3159,58790,4440,109006,5495,97620,4864,105506,5449,89473,5210,40107,3402,53017,4122,25092,2807,591067,14291,66456,4448,41330,3649,257096,7922,237746,7256,433120,11357,112925,5908,26678,2967,27168,3374,3159,null,null,4440,null,null,5495,null,null,4864,null,null,5449,null,null,5210,null,null,3402,null,null,4122,null,null,2807,null,null,14291,null,null,4448,null,null,3649,null,null,7922,null,null,7256,null,null,11357,null,null,5908,null,null,2967,null,null,3374,null,null,72
3300713,5481,47193,3557,13845,2044,29364,2593,67395,4912,73634,5087,99449,5428,97075,5578,63739,3890,831521,12112,179715,7395,201485,6430,509746,11271,271030,6698,506680,11497,226164,6511,48931,3306,33747,2934,5481,null,null,3557,null,null,2044,null,null,2593,null,null,4912,null,null,5087,null,null,5428,null,null,5578,null,null,3890,null,null,12112,null,null,7395,null,null,6430,null,null,11271,null,null,6698,null,null,11497,null,null,6511,null,null,3306,null,null,2934,null,null,01
478951,1792,2419,739,1759,653,2158,676,4056,1036,3304,626,5927,1098,8082,1141,5272,1040,107185,4057,26743,2428,34525,2823,95125,5155,40819,3685,90861,4162,36182,2838,8730,1355,5804,1279,1792,null,null,739,null,null,653,null,null,676,null,null,1036,null,null,626,null,null,1098,null,null,1141,null,null,1040,null,null,4057,null,null,2428,null,null,2823,null,null,5155,null,null,3685,null,null,4162,null,null,2838,null,null,1355,null,null,1279,null,null,02
4626409,2850,72943,4574,36171,4243,79827,5176,76274,4918,72242,5079,87962,5431,96643,5924,92377,4792,924912,17080,180585,7105,344919,8422,834817,13922,390843,9507,835779,13503,359075,9336,84523,5192,56517,3204,2850,null,null,4574,null,null,4243,null,null,5176,null,null,4918,null,null,5079,null,null,5431,null,null,5924,null,null,4792,null,null,17080,null,null,7105,null,null,8422,null,null,13922,null,null,9507,null,null,13503,null,null,9336,null,null,5192,null,null,3204,null,null,04
1990448,4903,22575,2879,11694,2047,21592,2726,44296,3392,38125,3217,49153,3720,60789,4135,31398,2806,552084,8641,129885,6438,135748,7000,313961,10298,133315,5681,282608,9219,118134,5826,26203,2376,18888,2380,4903,null,null,2879,null,null,2047,null,null,2726,null,null,3392,null,null,3217,null,null,3720,null,null,4135,null,null,2806,null,null,8641,null,null,6438,null,null,7000,null,null,10298,null,null,5681,null,null,9219,null,null,5826,null,null,2376,null,null,2380,null,null,05
26304241,4823,715067,14414,449708,13359,942636,19403,448736,11816,518830,13422,369905,9222,491513,10612,682268,13355,4784486,35035,606449,11052,1494632,19918,4107766,34892,2031775,21426,5426164,33141,2203376,25030,622302,11977,408628,11194,4823,null,null,14414,null,null,13359,null,null,19403,null,null,11816,null,null,13422,null,null,9222,null,null,10612,null,null,13355,null,null,35035,null,null,11052,null,null,19918,null,null,34892,null,null,21426,null,null,33141,null,null,25030,null,null,11977,null,null,11194,null,null,06
3745506,3766,32644,2999,16803,2583,39500,4199,39262,3404,43479,3631,43605,3716,53523,4242,51770,3191,673089,12227,149055,6557,218245,7658,569121,11057,322529,8734,934273,12936,409712,8569,87779,3527,61117,3462,3766,null,null,2999,null,null,2583,null,null,4199,null,null,3404,null,null,3631,null,null,3716,null,null,4242,null,null,3191,null,null,12227,null,null,6557,null,null,7658,null,null,11057,null,null,8734,null,null,12936,null,null,8569,null,null,3527,null,null,3462,null,null,08
2467737,2128,24016,2721,14209,2096,24802,2784,37486,3692,26312,3310,38937,3935,33988,3070,34185,2902,597334,12616,81442,4506,120316,4979,294834,8001,186288,6606,541369,10224,297488,7945,74865,3938,39866,3159,2128,null,null,2721,null,null,2096,null,null,2784,null,null,3692,null,null,3310,null,null,3935,null,null,3070,null,null,2902,null,null,12616,null,null,4506,null,null,4979,null,null,8001,null,null,6606,null,null,10224,null,null,7945,null,null,3938,null,null,3159,null,null,09
662547,1199,6040,1285,2849,1092,3412,1161,10046,1712,8817,1976,13506,1860,14498,2252,11426,2108,188694,7699,23780,2675,44010,3925,78172,4242,52228,4128,121717,6057,58672,4302,12881,1971,11799,1751,1199,null,null,1285,null,null,1092,null,null,1161,null,null,1712,null,null,1976,null,null,1860,null,null,2252,null,null,2108,null,null,7699,null,null,2675,null,null,3925,null,null,4242,null,null,4128,null,null,6057,null,null,4302,null,null,1971,null,null,1751,null,null,10
480158,376,5188,1056,3144,1208,3913,1576,4852,1080,6063,1407,6547,1333,10766,2318,5270,1233,73974,4472,11274,1838,16770,1890,45436,4113,14086,1780,115097,4458,98988,4741,38236,2985,20554,2188,376,null,null,1056,null,null,1208,null,null,1576,null,null,1080,null,null,1407,null,null,1333,null,null,2318,null,null,1233,null,null,4472,null,null,1838,null,null,1890,null,null,4113,null,null,1780,null,null,4458,null,null,4741,null,null,2985,null,null,2188,null,null,11
