B13002F_001E,B13002F_001M,B13002F_002E,B13002F_002M,B13002F_003E,B13002F_003M,B13002F_004E,B13002F_004M,B13002F_005E,B13002F_005M,B13002F_006E,B13002F_006M,B13002F_007E,B13002F_007M,B13002F_001M,B13002F_001EA,B13002F_001MA,B13002F_002M,B13002F_002EA,B13002F_002MA,B13002F_003M,B13002F_003EA,B13002F_003MA,B13002F_004M,B13002F_004EA,B13002F_004MA,B13002F_005M,B13002F_005EA,B13002F_005MA,B13002F_006M,B13002F_006EA,B13002F_006MA,B13002F_007M,B13002F_007EA,B13002F_007MA,state
22549,3528,1544,772,1183,624,361,397,21005,3491,8522,1584,12483,2770,3528,null,null,772,null,null,624,null,null,397,null,null,3491,null,null,1584,null,null,2770,null,null,45
1107,451,77,109,77,109,0,157,1030,421,724,431,306,174,451,null,null,109,null,null,109,null,null,157,null,null,421,null,null,431,null,null,174,null,null,46
16988,2368,952,494,854,478,98,104,16036,2320,7138,1247,8898,1782,2368,null,null,494,null,null,478,null,null,104,null,null,2320,null,null,1247,null,null,1782,null,null,47
429732,13690,25570,3392,15588,2798,9982,1813,404162,13940,191299,6531,212863,12002,13690,null,null,3392,null,null,2798,null,null,1813,null,null,13940,null,null,6531,null,null,12002,null,null,48
44809,3453,3121,1163,1983,745,1138,689,41688,3386,19429,2416,22259,3000,3453,null,null,1163,null,null,745,null,null,689,null,null,3386,null,null,2416,null,null,3000,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
63310,4210,3478,1113,2479,979,999,573,59832,4013,27286,3012,32546,2942,4210,null,null,1113,null,null,979,null,null,573,null,null,4013,null,null,3012,null,null,2942,null,null,51
97908,5325,5900,1281,3740,961,2160,891,92008,5352,41706,3318,50302,4701,5325,null,null,1281,null,null,961,null,null,891,null,null,5352,null,null,3318,null,null,4701,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
33138,2751,2864,842,1961,687,903,522,30274,2661,11518,1636,18756,2527,2751,null,null,842,null,null,687,null,null,522,null,null,2661,null,null,1636,null,null,2527,null,null,55
1074,478,195,181,195,181,0,197,879,464,687,456,192,159,478,null,null,181,null,null,181,null,null,197,null,null,464,null,null,456,null,null,159,null,null,56
146619,6499,4930,985,1983,713,2947,845,141689,6549,38989,3366,102700,5133,6499,null,null,985,null,null,713,null,null,845,null,null,6549,null,null,3366,null,null,5133,null,null,72
19311,2793,1517,680,671,483,846,480,17794,2622,9368,1438,8426,1972,2793,null,null,680,null,null,483,null,null,480,null,null,2622,null,null,1438,null,null,1972,null,null,01
3884,1070,180,202,70,126,110,161,3704,1095,1223,531,2481,1173,1070,null,null,202,null,null,126,null,null,161,null,null,1095,null,null,531,null,null,1173,null,null,02
167838,7890,10498,1824,5306,1296,5192,1492,157340,7918,61654,4424,95686,6436,7890,null,null,1824,null,null,1296,null,null,1492,null,null,7918,null,null,4424,null,null,6436,null,null,04
21796,2641,992,504,735,451,257,265,20804,2651,10387,1527,10417,1894,2641,null,null,504,null,null,451,null,null,265,null,null,2651,null,null,1527,null,null,1894,null,null,05
1575303,21378,86180,5243,49618,4116,36562,3601,1489123,20693,597406,11015,891717,21197,21378,null,null,5243,null,null,4116,null,null,3601,null,null,20693,null,null,11015,null,null,21197,null,null,06
61426,4769,3464,1172,1839,656,1625,931,57962,4495,28051,2889,29911,3183,4769,null,null,1172,null,null,656,null,null,931,null,null,4495,null,null,2889,null,null,3183,null,null,08
46119,3610,2410,891,885,515,1525,658,43709,3675,13833,1924,29876,3161,3610,null,null,891,null,null,515,null,null,658,null,null,3675,null,null,1924,null,null,3161,null,null,09
4135,1495,346,359,252,325,94,166,3789,1482,1978,1158,1811,805,1495,null,null,359,null,null,325,null,null,166,null,null,1482,null,null,1158,null,null,805,null,null,10
9972,1251,928,682,144,143,784,680,9044,1334,3695,1175,5349,1241,1251,null,null,682,null,null,143,null,null,680,null,null,1334,null,null,1175,null,null,1241,null,null,11
