B05003I_001E,B05003I_001M,B05003I_002E,B05003I_002M,B05003I_003E,B05003I_003M,B05003I_004E,B05003I_004M,B05003I_005E,B05003I_005M,B05003I_006E,B05003I_006M,B05003I_007E,B05003I_007M,B05003I_008E,B05003I_008M,B05003I_009E,B05003I_009M,B05003I_010E,B05003I_010M,B05003I_011E,B05003I_011M,B05003I_012E,B05003I_012M,B05003I_013E,B05003I_013M,B05003I_014E,B05003I_014M,B05003I_015E,B05003I_015M,B05003I_016E,B05003I_016M,B05003I_017E,B05003I_017M,B05003I_018E,B05003I_018M,B05003I_019E,B05003I_019M,B05003I_020E,B05003I_020M,B05003I_021E,B05003I_021M,B05003I_022E,B05003I_022M,B05003I_023E,B05003I_023M,B05003I_001M,B05003I_001EA,B05003I_001MA,B05003I_002M,B05003I_002EA,B05003I_002MA,B05003I_003M,B05003I_003EA,B05003I_003MA,B05003I_004M,B05003I_004EA,B05003I_004MA,B05003I_005M,B05003I_005EA,B05003I_005MA,B05003I_006M,B05003I_006EA,B05003I_006MA,B05003I_007M,B05003I_007EA,B05003I_007MA,B05003I_008M,B05003I_008EA,B05003I_008MA,B05003I_009M,B05003I_009EA,B05003I_009MA,B05003I_010M,B05003I_010EA,B05003I_010MA,B05003I_011M,B05003I_011EA,B05003I_011MA,B05003I_012M,B05003I_012EA,B05003I_012MA,B05003I_013M,B05003I_013EA,B05003I_013MA,B05003I_014M,B05003I_014EA,B05003I_014MA,B05003I_015M,B05003I_015EA,B05003I_015MA,B05003I_016M,B05003I_016EA,B05003I_016MA,B05003I_017M,B05003I_017EA,B05003I_017MA,B05003I_018M,B05003I_018EA,B05003I_018MA,B05003I_019M,B05003I_019EA,B05003I_019MA,B05003I_020M,B05003I_020EA,B05003I_020MA,B05003I_021M,B05003I_021EA,B05003I_021MA,B05003I_022M,B05003I_022EA,B05003I_022MA,B05003I_023M,B05003I_023EA,B05003I_023MA,state
20714,785,10515,977,3180,461,3092,461,88,106,88,106,0,172,7335,818,5445,915,1890,713,645,349,1245,621,10199,938,2836,557,2675,527,161,149,50,84,111,115,7363,807,5642,909,1721,512,1267,493,454,267,785,null,null,977,null,null,461,null,null,461,null,null,106,null,null,106,null,null,172,null,null,818,null,null,915,null,null,713,null,null,349,null,null,621,null,null,938,null,null,557,null,null,527,null,null,149,null,null,84,null,null,115,null,null,807,null,null,909,null,null,512,null,null,493,null,null,267,null,null,23
586730,252,303836,1984,99736,1558,87932,2909,11804,2451,1353,602,10451,2264,204100,1447,61574,3857,142526,4244,36791,3833,105735,5517,282894,1991,95262,1449,85369,2124,9893,1972,1846,874,8047,1766,187632,1318,65005,3499,122627,3121,43016,2655,79611,3803,252,null,null,1984,null,null,1558,null,null,2909,null,null,2451,null,null,602,null,null,2264,null,null,1447,null,null,3857,null,null,4244,null,null,3833,null,null,5517,null,null,1991,null,null,1449,null,null,2124,null,null,1972,null,null,874,null,null,1766,null,null,1318,null,null,3499,null,null,3121,null,null,2655,null,null,3803,null,null,24
779696,1053,387781,1349,125750,1071,115319,2390,10431,2061,2708,1015,7723,1964,262031,761,144636,4567,117395,4554,41924,2955,75471,4853,391915,1165,119654,1071,110605,2065,9049,1883,2552,948,6497,1626,272261,458,157662,4840,114599,4804,55325,3406,59274,4569,1053,null,null,1349,null,null,1071,null,null,2390,null,null,2061,null,null,1015,null,null,1964,null,null,761,null,null,4567,null,null,4554,null,null,2955,null,null,4853,null,null,1165,null,null,1071,null,null,2065,null,null,1883,null,null,948,null,null,1626,null,null,458,null,null,4840,null,null,4804,null,null,3406,null,null,4569,null,null,25
491430,741,249225,2198,90259,1754,85385,2005,4874,1365,1349,540,3525,1184,158966,1497,102288,3378,56678,3246,17311,2247,39367,2996,242205,2072,88821,1860,84674,2294,4147,1200,735,334,3412,1112,153384,1032,105140,3164,48244,2989,17888,2180,30356,2656,741,null,null,2198,null,null,1754,null,null,2005,null,null,1365,null,null,540,null,null,1184,null,null,1497,null,null,3378,null,null,3246,null,null,2247,null,null,2996,null,null,2072,null,null,1860,null,null,2294,null,null,1200,null,null,334,null,null,1112,null,null,1032,null,null,3164,null,null,2989,null,null,2180,null,null,2656,null,null,26
288460,788,149287,1763,57470,1513,51813,1778,5657,1292,2410,1028,3247,972,91817,1286,37739,2604,54078,2559,12650,1739,41428,2393,139173,1599,54784,1415,52190,1452,2594,681,844,412,1750,703,84389,1278,40518,2219,43871,1846,10863,1464,33008,1914,788,null,null,1763,null,null,1513,null,null,1778,null,null,1292,null,null,1028,null,null,972,null,null,1286,null,null,2604,null,null,2559,null,null,1739,null,null,2393,null,null,1599,null,null,1415,null,null,1452,null,null,681,null,null,412,null,null,703,null,null,1278,null,null,2219,null,null,1846,null,null,1464,null,null,1914,null,null,27
86733,2997,46540,2629,16805,2205,15820,2263,985,448,156,171,829,413,29735,2199,15190,2114,14545,1960,3524,1004,11021,1815,40193,2125,15637,2054,14750,2069,887,445,427,298,460,301,24556,1864,14538,1811,10018,1663,3224,815,6794,1599,2997,null,null,2629,null,null,2205,null,null,2263,null,null,448,null,null,171,null,null,413,null,null,2199,null,null,2114,null,null,1960,null,null,1004,null,null,1815,null,null,2125,null,null,2054,null,null,2069,null,null,445,null,null,298,null,null,301,null,null,1864,null,null,1811,null,null,1663,null,null,815,null,null,1599,null,null,28
243567,1739,126102,2087,47531,1646,45234,1737,2297,709,759,369,1538,554,78571,1846,45300,3104,33271,2414,9589,1487,23682,2229,117465,1831,42774,1365,40223,1559,2551,769,733,482,1818,578,74691,1399,44283,2167,30408,2030,10171,1510,20237,1827,1739,null,null,2087,null,null,1646,null,null,1737,null,null,709,null,null,369,null,null,554,null,null,1846,null,null,3104,null,null,2414,null,null,1487,null,null,2229,null,null,1831,null,null,1365,null,null,1559,null,null,769,null,null,482,null,null,578,null,null,1399,null,null,2167,null,null,2030,null,null,1510,null,null,1827,null,null,29
37090,1084,18859,1584,7924,990,7913,989,11,23,11,23,0,168,10935,1261,10012,1214,923,460,147,157,776,435,18231,1336,5900,961,5723,996,177,274,153,271,24,50,12331,991,11264,984,1067,491,663,436,404,315,1084,null,null,1584,null,null,990,null,null,989,null,null,23,null,null,23,null,null,168,null,null,1261,null,null,1214,null,null,460,null,null,157,null,null,435,null,null,1336,null,null,961,null,null,996,null,null,274,null,null,271,null,null,50,null,null,991,null,null,984,null,null,491,null,null,436,null,null,315,null,null,30
202449,391,104521,2088,40961,1653,38359,1787,2602,905,236,182,2366,901,63560,1389,27940,2306,35620,2410,8833,1568,26787,2425,97928,2010,40316,1700,37616,1844,2700,779,713,464,1987,644,57612,1367,26654,2395,30958,2464,9867,2028,21091,2177,391,null,null,2088,null,null,1653,null,null,1787,null,null,905,null,null,182,null,null,901,null,null,1389,null,null,2306,null,null,2410,null,null,1568,null,null,2425,null,null,2010,null,null,1700,null,null,1844,null,null,779,null,null,464,null,null,644,null,null,1367,null,null,2395,null,null,2464,null,null,2028,null,null,2177,null,null,31
836626,-555555555,421995,1395,138950,1153,132113,1717,6837,1408,675,360,6162,1314,283045,844,125450,5033,157595,4966,54142,3149,103453,4962,414631,1393,137900,1152,129555,1760,8345,1527,671,331,7674,1478,276731,845,125246,4855,151485,4905,54566,4112,96919,4994,-555555555,null,*****,1395,null,null,1153,null,null,1717,null,null,1408,null,null,360,null,null,1314,null,null,844,null,null,5033,null,null,4966,null,null,3149,null,null,4962,null,null,1393,null,null,1152,null,null,1760,null,null,1527,null,null,331,null,null,1478,null,null,845,null,null,4855,null,null,4905,null,null,4112,null,null,4994,null,null,32
47271,886,27063,1125,9460,929,8675,859,785,554,0,187,785,554,17603,781,11728,1485,5875,1400,2281,870,3594,1153,20208,800,5857,696,5694,703,163,183,121,172,42,78,14351,593,9507,1244,4844,1082,2185,737,2659,843,886,null,null,1125,null,null,929,null,null,859,null,null,554,null,null,187,null,null,554,null,null,781,null,null,1485,null,null,1400,null,null,870,null,null,1153,null,null,800,null,null,696,null,null,703,null,null,183,null,null,172,null,null,78,null,null,593,null,null,1244,null,null,1082,null,null,737,null,null,843,null,null,33
1786669,-555555555,896915,1016,265649,951,244068,2721,21581,2806,4625,1168,16956,2407,631266,344,279683,8428,351583,8404,143526,7080,208057,9333,889754,1014,255884,948,232830,3346,23054,3233,4146,1045,18908,3028,633870,343,278157,8032,355713,8042,172556,5826,183157,7272,-555555555,null,*****,1016,null,null,951,null,null,2721,null,null,2806,null,null,1168,null,null,2407,null,null,344,null,null,8428,null,null,8404,null,null,7080,null,null,9333,null,null,1014,null,null,948,null,null,3346,null,null,3233,null,null,1045,null,null,3028,null,null,343,null,null,8032,null,null,8042,null,null,5826,null,null,7272,null,null,34
1009876,-555555555,500574,2163,149469,2104,144749,2271,4720,1382,452,475,4268,1361,351105,337,282655,4985,68450,4966,23071,2517,45379,4299,509302,2163,145608,2104,141426,2384,4182,1278,345,315,3837,1222,363694,337,293524,3911,70170,3904,26902,2594,43268,3851,-555555555,null,*****,2163,null,null,2104,null,null,2271,null,null,1382,null,null,475,null,null,1361,null,null,337,null,null,4985,null,null,4966,null,null,2517,null,null,4299,null,null,2163,null,null,2104,null,null,2384,null,null,1278,null,null,315,null,null,1222,null,null,337,null,null,3911,null,null,3904,null,null,2594,null,null,3851,null,null,35
3747614,416,1851112,2408,524607,2239,480201,4546,44406,3982,9068,2374,35338,3779,1326505,1921,649917,12698,676588,12568,268203,9868,408385,14040,1896502,2459,502248,2131,461105,4328,41143,4002,10826,1939,30317,3043,1394254,1565,693458,11811,700796,11652,341349,10323,359447,10153,416,null,null,2408,null,null,2239,null,null,4546,null,null,3982,null,null,2374,null,null,3779,null,null,1921,null,null,12698,null,null,12568,null,null,9868,null,null,14040,null,null,2459,null,null,2131,null,null,4328,null,null,4002,null,null,1939,null,null,3043,null,null,1565,null,null,11811,null,null,11652,null,null,10323,null,null,10153,null,null,36
931110,1223,480267,4840,184349,4076,168727,4338,15622,2374,1700,703,13922,2183,295918,3233,104704,4945,191214,4848,42251,3724,148963,4627,450843,4851,175046,3626,161889,3987,13157,2032,1745,897,11412,1998,275797,3104,110275,5344,165522,5179,41694,3403,123828,5095,1223,null,null,4840,null,null,4076,null,null,4338,null,null,2374,null,null,703,null,null,2183,null,null,3233,null,null,4945,null,null,4848,null,null,3724,null,null,4627,null,null,4851,null,null,3626,null,null,3987,null,null,2032,null,null,897,null,null,1998,null,null,3104,null,null,5344,null,null,5179,null,null,3403,null,null,5095,null,null,37
26434,1861,15323,1773,5302,1102,4926,1044,376,406,140,221,236,329,10021,1647,8360,1679,1661,593,375,343,1286,600,11111,1307,4666,906,4598,907,68,77,19,36,49,72,6445,963,4797,985,1648,741,414,313,1234,664,1861,null,null,1773,null,null,1102,null,null,1044,null,null,406,null,null,221,null,null,329,null,null,1647,null,null,1679,null,null,593,null,null,343,null,null,600,null,null,1307,null,null,906,null,null,907,null,null,77,null,null,36,null,null,72,null,null,963,null,null,985,null,null,741,null,null,313,null,null,664,null,null,38
420081,1636,212424,3089,77287,2936,72210,3222,5077,1708,1357,693,3720,1573,135137,2036,93614,3463,41523,3133,13003,2157,28520,2901,207657,3029,75988,2520,73665,2497,2323,807,835,440,1488,694,131669,1644,96347,3473,35322,3188,14499,1803,20823,2834,1636,null,null,3089,null,null,2936,null,null,3222,null,null,1708,null,null,693,null,null,1573,null,null,2036,null,null,3463,null,null,3133,null,null,2157,null,null,2901,null,null,3029,null,null,2520,null,null,2497,null,null,807,null,null,440,null,null,694,null,null,1644,null,null,3473,null,null,3188,null,null,1803,null,null,2834,null,null,39
403936,-555555555,212086,1745,83273,1548,79397,1959,3876,1003,705,479,3171,900,128813,1086,63023,2655,65790,2484,13672,1889,52118,2852,191850,1746,76675,1489,72859,1680,3816,888,536,280,3280,906,115175,848,61970,2599,53205,2506,11426,1264,41779,2501,-555555555,null,*****,1745,null,null,1548,null,null,1959,null,null,1003,null,null,479,null,null,900,null,null,1086,null,null,2655,null,null,2484,null,null,1889,null,null,2852,null,null,1746,null,null,1489,null,null,1680,null,null,888,null,null,280,null,null,906,null,null,848,null,null,2599,null,null,2506,null,null,1264,null,null,2501,null,null,40
522568,-555555555,269690,2121,96636,1790,93404,1841,3232,1029,309,332,2923,929,173054,1511,89525,4162,83529,4289,22776,3022,60753,4465,252878,2120,93412,1722,89516,2039,3896,1190,153,240,3743,1116,159466,1253,85590,4058,73876,4000,21210,2271,52666,3906,-555555555,null,*****,2121,null,null,1790,null,null,1841,null,null,1029,null,null,332,null,null,929,null,null,1511,null,null,4162,null,null,4289,null,null,3022,null,null,4465,null,null,2120,null,null,1722,null,null,2039,null,null,1190,null,null,240,null,null,1116,null,null,1253,null,null,4058,null,null,4000,null,null,2271,null,null,3906,null,null,41
900002,1330,460436,2189,160135,1675,149877,2939,10258,2516,3053,1293,7205,2064,300301,1623,206208,5256,94093,4881,33894,3449,60199,4456,439566,2367,151720,1506,143157,2561,8563,2262,2141,988,6422,1866,287846,1629,201605,5110,86241,4696,36472,2686,49769,4054,1330,null,null,2189,null,null,1675,null,null,2939,null,null,2516,null,null,1293,null,null,2064,null,null,1623,null,null,5256,null,null,4881,null,null,3449,null,null,4456,null,null,2367,null,null,1506,null,null,2561,null,null,2262,null,null,988,null,null,1866,null,null,1629,null,null,5110,null,null,4696,null,null,2686,null,null,4054,null,null,42
157352,-555555555,77369,786,26306,494,24232,1181,2074,979,543,563,1531,822,51063,768,25669,2141,25394,2150,11123,1696,14271,2126,79983,786,25326,512,23507,767,1819,697,536,349,1283,624,54657,483,28565,2014,26092,1910,13482,1864,12610,1986,-555555555,null,*****,786,null,null,494,null,null,1181,null,null,979,null,null,563,null,null,822,null,null,768,null,null,2141,null,null,2150,null,null,1696,null,null,2126,null,null,786,null,null,512,null,null,767,null,null,697,null,null,349,null,null,624,null,null,483,null,null,2014,null,null,1910,null,null,1864,null,null,1986,null,null,44
272791,3468,143079,3198,51000,2402,47242,2036,3758,1727,494,391,3264,1598,92079,1726,34524,2814,57555,2711,11684,1834,45871,3157,129712,2948,48839,2166,43847,2462,4992,1557,612,488,4380,1411,80873,1733,36200,3168,44673,2936,9666,1653,35007,2832,3468,null,null,3198,null,null,2402,null,null,2036,null,null,1727,null,null,391,null,null,1598,null,null,1726,null,null,2814,null,null,2711,null,null,1834,null,null,3157,null,null,2948,null,null,2166,null,null,2462,null,null,1557,null,null,488,null,null,1411,null,null,1733,null,null,3168,null,null,2936,null,null,1653,null,null,2832,null,null,45
32227,1422,16586,1402,6381,1003,5939,995,442,282,27,60,415,284,10205,1054,5999,1105,4206,1081,798,433,3408,866,15641,1254,7117,896,6882,932,235,191,0,157,235,191,8524,970,6026,947,2498,636,699,348,1799,549,1422,null,null,1402,null,null,1003,null,null,995,null,null,282,null,null,60,null,null,284,null,null,1054,null,null,1105,null,null,1081,null,null,433,null,null,866,null,null,1254,null,null,896,null,null,932,null,null,191,null,null,157,null,null,191,null,null,970,null,null,947,null,null,636,null,null,348,null,null,549,null,null,46
347442,2164,185019,3435,75202,2450,67180,2509,8022,2271,783,434,7239,2288,109817,2024,40854,3438,68963,3337,12018,2341,56945,3314,162423,3163,64580,2891,58840,3219,5740,1589,370,301,5370,1563,97843,2088,45415,2987,52428,2641,12022,1604,40406,2718,2164,null,null,3435,null,null,2450,null,null,2509,null,null,2271,null,null,434,null,null,2288,null,null,2024,null,null,3438,null,null,3337,null,null,2341,null,null,3314,null,null,3163,null,null,2891,null,null,3219,null,null,1589,null,null,301,null,null,1563,null,null,2088,null,null,2987,null,null,2641,null,null,1604,null,null,2718,null,null,47
10883279,217,5474723,4880,1833098,4452,1741843,8121,91255,6259,9622,2106,81633,6147,3641625,2369,2107997,17851,1533628,18244,433022,11938,1100606,18686,5408556,4879,1763971,4391,1672596,7516,91375,6766,12103,2105,79272,6473,3644585,2332,2191504,18468,1453081,17995,453369,10838,999712,18048,217,null,null,4880,null,null,4452,null,null,8121,null,null,6259,null,null,2106,null,null,6147,null,null,2369,null,null,17851,null,null,18244,null,null,11938,null,null,18686,null,null,4879,null,null,4391,null,null,7516,null,null,6766,null,null,2105,null,null,6473,null,null,2332,null,null,18468,null,null,17995,null,null,10838,null,null,18048,null,null,48
420440,-555555555,215668,1855,81683,1346,78138,1653,3545,1079,782,508,2763,926,133985,1547,64286,4370,69699,4088,18661,2747,51038,3355,204772,1854,78106,1301,75409,1737,2697,992,259,204,2438,1008,126666,1433,61733,3165,64933,3380,18614,2332,46319,3528,-555555555,null,*****,1855,null,null,1346,null,null,1653,null,null,1079,null,null,508,null,null,926,null,null,1547,null,null,4370,null,null,4088,null,null,2747,null,null,3355,null,null,1854,null,null,1301,null,null,1737,null,null,992,null,null,204,null,null,1008,null,null,1433,null,null,3165,null,null,3380,null,null,2332,null,null,3528,null,null,49
12546,1061,5717,776,1875,574,1693,586,182,260,182,260,0,151,3842,696,3235,592,607,351,258,248,349,267,6829,1035,1919,601,1919,601,0,151,0,151,0,151,4910,888,3808,869,1102,401,578,289,524,315,1061,null,null,776,null,null,574,null,null,586,null,null,260,null,null,260,null,null,151,null,null,696,null,null,592,null,null,351,null,null,248,null,null,267,null,null,1035,null,null,601,null,null,601,null,null,151,null,null,151,null,null,151,null,null,888,null,null,869,null,null,401,null,null,289,null,null,315,null,null,50
760611,3151,390907,3625,126134,2691,114371,4309,11763,2821,1322,592,10441,2692,264773,3004,98369,4719,166404,4528,52499,4692,113905,6274,369704,4066,117751,2744,108745,2824,9006,1632,1437,584,7569,1448,251953,2674,104263,4143,147690,4018,56719,3237,90971,3871,3151,null,null,3625,null,null,2691,null,null,4309,null,null,2821,null,null,592,null,null,2692,null,null,3004,null,null,4719,null,null,4528,null,null,4692,null,null,6274,null,null,4066,null,null,2744,null,null,2824,null,null,1632,null,null,584,null,null,1448,null,null,2674,null,null,4143,null,null,4018,null,null,3237,null,null,3871,null,null,51
906451,882,469282,2397,174902,2176,163703,2881,11199,2469,930,581,10269,2451,294380,1117,147819,6237,146561,6311,36474,3530,110087,6171,437169,2437,166295,2139,157100,3048,9195,2123,1378,687,7817,1974,270874,1511,139570,4097,131304,3883,36698,2953,94606,4501,882,null,null,2397,null,null,2176,null,null,2881,null,null,2469,null,null,581,null,null,2451,null,null,1117,null,null,6237,null,null,6311,null,null,3530,null,null,6171,null,null,2437,null,null,2139,null,null,3048,null,null,2123,null,null,687,null,null,1974,null,null,1511,null,null,4097,null,null,3883,null,null,2953,null,null,4501,null,null,53
26783,2423,13192,1461,4935,925,4844,930,91,123,91,123,0,193,8257,1048,5591,1029,2666,596,466,240,2200,591,13591,1888,4477,1353,4067,1338,410,443,410,443,0,193,9114,1045,6455,1143,2659,725,895,386,1764,621,2423,null,null,1461,null,null,925,null,null,930,null,null,123,null,null,123,null,null,193,null,null,1048,null,null,1029,null,null,596,null,null,240,null,null,591,null,null,1888,null,null,1353,null,null,1338,null,null,443,null,null,443,null,null,193,null,null,1045,null,null,1143,null,null,725,null,null,386,null,null,621,null,null,54
387015,573,201009,2009,76325,1473,71878,1843,4447,1227,946,436,3501,1155,124684,1424,70915,3141,53769,3161,14585,1765,39184,2879,186006,1917,72329,1462,68280,1802,4049,1114,1109,505,2940,930,113677,1161,68607,3177,45070,3132,14604,1956,30466,2566,573,null,null,2009,null,null,1473,null,null,1843,null,null,1227,null,null,436,null,null,1155,null,null,1424,null,null,3141,null,null,3161,null,null,1765,null,null,2879,null,null,1917,null,null,1462,null,null,1802,null,null,1114,null,null,505,null,null,930,null,null,1161,null,null,3177,null,null,3132,null,null,1956,null,null,2566,null,null,55
56264,683,29333,1469,9513,1191,9437,1166,76,129,0,197,76,129,19820,1186,15447,1717,4373,1193,1083,611,3290,932,26931,1434,10036,1191,9770,1256,266,282,15,30,251,280,16895,860,13457,1048,3438,922,1247,628,2191,840,683,null,null,1469,null,null,1191,null,null,1166,null,null,129,null,null,197,null,null,129,null,null,1186,null,null,1717,null,null,1193,null,null,611,null,null,932,null,null,1434,null,null,1191,null,null,1256,null,null,282,null,null,30,null,null,280,null,null,860,null,null,1048,null,null,922,null,null,628,null,null,840,null,null,56
