B14007C_001E,B14007C_001M,B14007C_002E,B14007C_002M,B14007C_003E,B14007C_003M,B14007C_004E,B14007C_004M,B14007C_005E,B14007C_005M,B14007C_006E,B14007C_006M,B14007C_007E,B14007C_007M,B14007C_008E,B14007C_008M,B14007C_009E,B14007C_009M,B14007C_010E,B14007C_010M,B14007C_011E,B14007C_011M,B14007C_012E,B14007C_012M,B14007C_013E,B14007C_013M,B14007C_014E,B14007C_014M,B14007C_015E,B14007C_015M,B14007C_016E,B14007C_016M,B14007C_017E,B14007C_017M,B14007C_018E,B14007C_018M,B14007C_019E,B14007C_019M,B14007C_001M,B14007C_001EA,B14007C_001MA,B14007C_002M,B14007C_002EA,B14007C_002MA,B14007C_003M,B14007C_003EA,B14007C_003MA,B14007C_004M,B14007C_004EA,B14007C_004MA,B14007C_005M,B14007C_005EA,B14007C_005MA,B14007C_006M,B14007C_006EA,B14007C_006MA,B14007C_007M,B14007C_007EA,B14007C_007MA,B14007C_008M,B14007C_008EA,B14007C_008MA,B14007C_009M,B14007C_009EA,B14007C_009MA,B14007C_010M,B14007C_010EA,B14007C_010MA,B14007C_011M,B14007C_011EA,B14007C_011MA,B14007C_012M,B14007C_012EA,B14007C_012MA,B14007C_013M,B14007C_013EA,B14007C_013MA,B14007C_014M,B14007C_014EA,B14007C_014MA,B14007C_015M,B14007C_015EA,B14007C_015MA,B14007C_016M,B14007C_016EA,B14007C_016MA,B14007C_017M,B14007C_017EA,B14007C_017MA,B14007C_018M,B14007C_018EA,B14007C_018MA,B14007C_019M,B14007C_019EA,B14007C_019MA,state
7724,1198,2401,775,258,160,247,215,131,72,112,94,113,123,226,280,84,80,38,41,22,34,125,134,138,94,180,160,92,93,186,173,424,274,25,45,5323,834,1198,null,null,775,null,null,160,null,null,215,null,null,72,null,null,94,null,null,123,null,null,280,null,null,80,null,null,41,null,null,34,null,null,134,null,null,94,null,null,160,null,null,93,null,null,173,null,null,274,null,null,45,null,null,834,null,null,23
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
49973,3456,12353,1783,461,206,518,235,955,432,434,206,831,326,1092,493,832,381,707,274,482,225,483,231,1021,360,561,252,545,265,943,474,2159,528,329,198,37620,2557,3456,null,null,1783,null,null,206,null,null,235,null,null,432,null,null,206,null,null,326,null,null,493,null,null,381,null,null,274,null,null,225,null,null,231,null,null,360,null,null,252,null,null,265,null,null,474,null,null,528,null,null,198,null,null,2557,null,null,26
59246,2640,19477,1904,1317,413,1108,429,1140,340,1469,464,1497,391,1156,328,1429,436,1204,452,892,265,1318,513,804,270,1091,309,852,294,978,395,2727,754,495,354,39769,2089,2640,null,null,1904,null,null,413,null,null,429,null,null,340,null,null,464,null,null,391,null,null,328,null,null,436,null,null,452,null,null,265,null,null,513,null,null,270,null,null,309,null,null,294,null,null,395,null,null,754,null,null,354,null,null,2089,null,null,27
12855,1534,4108,816,152,155,331,230,100,128,414,265,207,198,252,190,179,234,468,314,210,262,473,293,143,144,100,142,344,336,54,84,503,271,178,169,8747,1187,1534,null,null,816,null,null,155,null,null,230,null,null,128,null,null,265,null,null,198,null,null,190,null,null,234,null,null,314,null,null,262,null,null,293,null,null,144,null,null,142,null,null,336,null,null,84,null,null,271,null,null,169,null,null,1187,null,null,28
30294,3324,8930,2000,233,188,432,266,362,238,463,435,690,367,202,189,357,233,450,300,849,542,726,394,739,423,314,336,665,470,439,246,1555,620,454,310,21364,2317,3324,null,null,2000,null,null,188,null,null,266,null,null,238,null,null,435,null,null,367,null,null,189,null,null,233,null,null,300,null,null,542,null,null,394,null,null,423,null,null,336,null,null,470,null,null,246,null,null,620,null,null,310,null,null,2317,null,null,29
63067,2448,23248,1825,1935,450,1774,515,1346,540,1998,535,2143,690,1154,352,1389,417,1452,435,960,316,1176,397,1793,692,1571,362,659,226,1467,576,2249,638,182,176,39819,1706,2448,null,null,1825,null,null,450,null,null,515,null,null,540,null,null,535,null,null,690,null,null,352,null,null,417,null,null,435,null,null,316,null,null,397,null,null,692,null,null,362,null,null,226,null,null,576,null,null,638,null,null,176,null,null,1706,null,null,30
14940,1436,5382,852,212,90,364,181,160,107,281,155,223,115,500,200,201,110,599,291,223,119,436,156,222,133,263,117,380,153,246,210,893,503,179,163,9558,1175,1436,null,null,852,null,null,90,null,null,181,null,null,107,null,null,155,null,null,115,null,null,200,null,null,110,null,null,291,null,null,119,null,null,156,null,null,133,null,null,117,null,null,153,null,null,210,null,null,503,null,null,163,null,null,1175,null,null,31
32852,3296,8805,1613,519,288,946,418,376,258,393,256,794,316,482,237,687,372,287,224,104,87,431,258,879,792,279,206,736,486,479,258,1187,563,226,167,24047,2234,3296,null,null,1613,null,null,288,null,null,418,null,null,258,null,null,256,null,null,316,null,null,237,null,null,372,null,null,224,null,null,87,null,null,258,null,null,792,null,null,206,null,null,486,null,null,258,null,null,563,null,null,167,null,null,2234,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
19377,3194,5348,1432,370,282,448,226,116,135,393,267,408,329,652,407,530,421,317,251,194,168,91,104,183,186,194,203,308,292,164,165,882,423,98,161,14029,2336,3194,null,null,1432,null,null,282,null,null,226,null,null,135,null,null,267,null,null,329,null,null,407,null,null,421,null,null,251,null,null,168,null,null,104,null,null,186,null,null,203,null,null,292,null,null,165,null,null,423,null,null,161,null,null,2336,null,null,34
185428,4529,57813,3012,2849,722,2975,609,2710,654,3306,913,3004,887,3054,725,3096,708,2984,625,3404,629,2594,682,4135,773,3353,756,3757,840,3322,829,11722,1630,1548,714,127615,3633,4529,null,null,3012,null,null,722,null,null,609,null,null,654,null,null,913,null,null,887,null,null,725,null,null,708,null,null,625,null,null,629,null,null,682,null,null,773,null,null,756,null,null,840,null,null,829,null,null,1630,null,null,714,null,null,3633,null,null,35
70599,6078,18327,2661,1351,529,730,363,434,247,874,428,970,493,814,433,878,422,1209,558,1066,380,1135,431,1260,469,859,552,531,300,1536,688,3929,982,751,365,52272,4607,6078,null,null,2661,null,null,529,null,null,363,null,null,247,null,null,428,null,null,493,null,null,433,null,null,422,null,null,558,null,null,380,null,null,431,null,null,469,null,null,552,null,null,300,null,null,688,null,null,982,null,null,365,null,null,4607,null,null,36
116637,4626,30659,2486,1951,596,2032,695,1897,521,1399,505,1307,465,1874,695,1334,493,1361,514,2261,593,1605,579,2097,594,1736,503,1815,504,1790,501,5512,1151,688,381,85978,3491,4626,null,null,2486,null,null,596,null,null,695,null,null,521,null,null,505,null,null,465,null,null,695,null,null,493,null,null,514,null,null,593,null,null,579,null,null,594,null,null,503,null,null,504,null,null,501,null,null,1151,null,null,381,null,null,3491,null,null,37
39724,2300,12954,1879,530,212,1133,445,802,390,681,305,986,376,1117,489,865,375,1133,469,879,270,845,304,407,180,458,210,536,386,703,268,1491,654,388,367,26770,2109,2300,null,null,1879,null,null,212,null,null,445,null,null,390,null,null,305,null,null,376,null,null,489,null,null,375,null,null,469,null,null,270,null,null,304,null,null,180,null,null,210,null,null,386,null,null,268,null,null,654,null,null,367,null,null,2109,null,null,38
17564,2299,4997,1352,83,95,64,83,134,136,99,123,87,100,214,297,312,235,322,220,456,310,140,148,357,309,151,131,197,191,237,198,1822,880,322,298,12567,1760,2299,null,null,1352,null,null,95,null,null,83,null,null,136,null,null,123,null,null,100,null,null,297,null,null,235,null,null,220,null,null,310,null,null,148,null,null,309,null,null,131,null,null,191,null,null,198,null,null,880,null,null,298,null,null,1760,null,null,39
284923,6829,90749,4220,5982,833,5001,806,5936,869,5790,822,5364,770,6190,843,5252,948,4933,880,4409,783,4942,883,4801,732,5364,827,4974,889,4968,961,15266,1596,1577,484,194174,4968,6829,null,null,4220,null,null,833,null,null,806,null,null,869,null,null,822,null,null,770,null,null,843,null,null,948,null,null,880,null,null,783,null,null,883,null,null,732,null,null,827,null,null,889,null,null,961,null,null,1596,null,null,484,null,null,4968,null,null,40
43532,4232,9348,1789,311,209,474,221,414,289,339,258,498,364,667,389,647,344,748,448,528,271,426,240,805,505,692,359,1093,644,589,398,964,320,153,142,34184,3232,4232,null,null,1789,null,null,209,null,null,221,null,null,289,null,null,258,null,null,364,null,null,389,null,null,344,null,null,448,null,null,271,null,null,240,null,null,505,null,null,359,null,null,644,null,null,398,null,null,320,null,null,142,null,null,3232,null,null,41
23033,3615,5710,1665,266,227,358,243,359,384,269,212,208,173,284,260,214,161,348,245,291,305,315,218,125,120,273,263,265,245,775,614,1143,533,217,226,17323,2350,3615,null,null,1665,null,null,227,null,null,243,null,null,384,null,null,212,null,null,173,null,null,260,null,null,161,null,null,245,null,null,305,null,null,218,null,null,120,null,null,263,null,null,245,null,null,614,null,null,533,null,null,226,null,null,2350,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
72119,3300,25146,1927,2574,541,1721,516,1838,324,1609,628,1348,617,1603,423,1231,322,1906,670,1434,409,1439,422,1942,734,1669,409,1629,471,1048,397,1740,484,415,313,46973,2449,3300,null,null,1927,null,null,541,null,null,516,null,null,324,null,null,628,null,null,617,null,null,423,null,null,322,null,null,670,null,null,409,null,null,422,null,null,734,null,null,409,null,null,471,null,null,397,null,null,484,null,null,313,null,null,2449,null,null,46
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
130433,9365,36440,3991,1793,566,1530,769,1640,639,2025,622,2493,1011,2113,840,1366,592,1973,763,2448,899,1869,687,2707,883,2167,788,2270,797,2245,726,6362,1776,1439,681,93993,7818,9365,null,null,3991,null,null,566,null,null,769,null,null,639,null,null,622,null,null,1011,null,null,840,null,null,592,null,null,763,null,null,899,null,null,687,null,null,883,null,null,788,null,null,797,null,null,726,null,null,1776,null,null,681,null,null,7818,null,null,48
30155,2742,9280,1614,523,366,532,283,369,225,136,132,754,383,957,675,819,502,663,494,842,386,336,245,622,378,368,184,596,350,380,223,1314,718,69,87,20875,1934,2742,null,null,1614,null,null,366,null,null,283,null,null,225,null,null,132,null,null,383,null,null,675,null,null,502,null,null,494,null,null,386,null,null,245,null,null,378,null,null,184,null,null,350,null,null,223,null,null,718,null,null,87,null,null,1934,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
22604,3232,5487,1470,37,56,158,147,56,77,93,115,392,375,478,428,151,152,77,71,41,62,240,207,114,98,357,318,443,385,473,351,1696,836,681,598,17117,2523,3232,null,null,1470,null,null,56,null,null,147,null,null,77,null,null,115,null,null,375,null,null,428,null,null,152,null,null,71,null,null,62,null,null,207,null,null,98,null,null,318,null,null,385,null,null,351,null,null,836,null,null,598,null,null,2523,null,null,51
90175,6268,27491,3425,1128,448,1313,438,1413,458,2253,634,1675,627,1793,555,1702,578,949,455,1900,597,1448,530,1750,616,1345,509,1872,679,1964,551,4326,786,660,484,62684,4359,6268,null,null,3425,null,null,448,null,null,438,null,null,458,null,null,634,null,null,627,null,null,555,null,null,578,null,null,455,null,null,597,null,null,530,null,null,616,null,null,509,null,null,679,null,null,551,null,null,786,null,null,484,null,null,4359,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
50436,2486,14546,1436,878,352,887,294,603,228,646,214,894,290,1113,405,833,266,669,290,952,340,561,237,1461,548,806,348,896,380,460,220,2217,577,670,391,35890,2125,2486,null,null,1436,null,null,352,null,null,294,null,null,228,null,null,214,null,null,290,null,null,405,null,null,266,null,null,290,null,null,340,null,null,237,null,null,548,null,null,348,null,null,380,null,null,220,null,null,577,null,null,391,null,null,2125,null,null,55
12519,1484,4152,876,515,470,153,102,334,206,304,200,284,127,236,134,407,286,221,114,396,308,254,145,226,131,204,97,108,72,236,130,208,159,66,81,8367,1149,1484,null,null,876,null,null,470,null,null,102,null,null,206,null,null,200,null,null,127,null,null,134,null,null,286,null,null,114,null,null,308,null,null,145,null,null,131,null,null,97,null,null,72,null,null,130,null,null,159,null,null,81,null,null,1149,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
24385,3216,5354,1421,55,74,159,149,260,246,274,265,162,187,159,178,748,480,225,225,752,478,119,120,512,369,251,161,662,630,224,247,621,369,171,172,19031,2578,3216,null,null,1421,null,null,74,null,null,149,null,null,246,null,null,265,null,null,187,null,null,178,null,null,480,null,null,225,null,null,478,null,null,120,null,null,369,null,null,161,null,null,630,null,null,247,null,null,369,null,null,172,null,null,2578,null,null,01
102525,3527,30969,2164,2083,419,2058,421,2101,540,2017,533,2353,619,1714,463,2063,551,1875,546,1498,341,2001,480,1946,499,1950,478,1527,332,1972,529,2873,837,938,556,71556,2539,3527,null,null,2164,null,null,419,null,null,421,null,null,540,null,null,533,null,null,619,null,null,463,null,null,551,null,null,546,null,null,341,null,null,480,null,null,499,null,null,478,null,null,332,null,null,529,null,null,837,null,null,556,null,null,2539,null,null,02
289679,6489,89387,4228,4528,879,5675,894,4867,811,5088,716,6125,829,5157,890,5142,1102,5226,1147,4967,1060,5029,819,3835,761,4765,800,6558,971,7184,1434,13851,2319,1390,597,200292,4933,6489,null,null,4228,null,null,879,null,null,894,null,null,811,null,null,716,null,null,829,null,null,890,null,null,1102,null,null,1147,null,null,1060,null,null,819,null,null,761,null,null,800,null,null,971,null,null,1434,null,null,2319,null,null,597,null,null,4933,null,null,04
18013,1989,5985,1553,84,74,508,292,221,221,403,345,282,218,233,316,49,82,180,179,75,96,467,500,830,549,333,288,281,209,489,414,1530,663,20,36,12028,1661,1989,null,null,1553,null,null,74,null,null,292,null,null,221,null,null,345,null,null,218,null,null,316,null,null,82,null,null,179,null,null,96,null,null,500,null,null,549,null,null,288,null,null,209,null,null,414,null,null,663,null,null,36,null,null,1661,null,null,05
279934,14908,78798,8172,3943,1115,3109,905,2988,1032,3629,1115,3980,1058,5096,1393,4643,1144,4366,1353,3522,784,4502,1061,3635,929,3584,856,5271,1427,6243,1333,17603,2334,2684,878,201136,9306,14908,null,null,8172,null,null,1115,null,null,905,null,null,1032,null,null,1115,null,null,1058,null,null,1393,null,null,1144,null,null,1353,null,null,784,null,null,1061,null,null,929,null,null,856,null,null,1427,null,null,1333,null,null,2334,null,null,878,null,null,9306,null,null,06
52527,4450,13897,2114,476,264,653,430,715,363,1087,613,630,443,758,413,538,323,945,457,441,330,266,208,443,288,642,317,956,513,1227,514,3679,950,441,383,38630,3679,4450,null,null,2114,null,null,264,null,null,430,null,null,363,null,null,613,null,null,443,null,null,413,null,null,323,null,null,457,null,null,330,null,null,208,null,null,288,null,null,317,null,null,513,null,null,514,null,null,950,null,null,383,null,null,3679,null,null,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
