B18101I_001E,B18101I_001M,B18101I_002E,B18101I_002M,B18101I_003E,B18101I_003M,B18101I_004E,B18101I_004M,B18101I_005E,B18101I_005M,B18101I_006E,B18101I_006M,B18101I_007E,B18101I_007M,B18101I_008E,B18101I_008M,B18101I_009E,B18101I_009M,B18101I_010E,B18101I_010M,B18101I_001M,B18101I_001EA,B18101I_001MA,B18101I_002M,B18101I_002EA,B18101I_002MA,B18101I_003M,B18101I_003EA,B18101I_003MA,B18101I_004M,B18101I_004EA,B18101I_004MA,B18101I_005M,B18101I_005EA,B18101I_005MA,B18101I_006M,B18101I_006EA,B18101I_006MA,B18101I_007M,B18101I_007EA,B18101I_007MA,B18101I_008M,B18101I_008EA,B18101I_008MA,B18101I_009M,B18101I_009EA,B18101I_009MA,B18101I_010M,B18101I_010EA,B18101I_010MA,state
3708814,2597,1025327,1092,46685,4075,978642,4246,2363328,2761,234722,8573,2128606,8457,320159,1567,132842,4960,187317,4769,2597,null,null,1092,null,null,4075,null,null,4246,null,null,2761,null,null,8573,null,null,8457,null,null,1567,null,null,4960,null,null,4769,null,null,36
915195,1876,359112,2971,13277,2183,345835,3802,525083,4221,37680,3724,487403,5026,31000,2599,11564,1667,19436,1962,1876,null,null,2971,null,null,2183,null,null,3802,null,null,4221,null,null,3724,null,null,5026,null,null,2599,null,null,1667,null,null,1962,null,null,37
24899,1968,9946,992,787,400,9159,877,14047,1674,1068,479,12979,1635,906,572,411,370,495,425,1968,null,null,992,null,null,400,null,null,877,null,null,1674,null,null,479,null,null,1635,null,null,572,null,null,370,null,null,425,null,null,38
413927,1797,153040,1854,9227,1884,143813,2527,239883,2216,29243,2943,210640,3001,21004,1812,8035,1135,12969,1767,1797,null,null,1854,null,null,1884,null,null,2527,null,null,2216,null,null,2943,null,null,3001,null,null,1812,null,null,1135,null,null,1767,null,null,39
395218,1313,159948,538,6767,1408,153181,1454,221449,1696,20192,2235,201257,2528,13821,957,5213,838,8608,1005,1313,null,null,538,null,null,1408,null,null,1454,null,null,1696,null,null,2235,null,null,2528,null,null,957,null,null,838,null,null,1005,null,null,40
517665,1179,189409,775,10055,2254,179354,2416,306965,1612,29178,3348,277787,3665,21291,1126,7633,1386,13658,1468,1179,null,null,775,null,null,2254,null,null,2416,null,null,1612,null,null,3348,null,null,3665,null,null,1126,null,null,1386,null,null,1468,null,null,41
879607,2264,310299,1288,21526,2660,288773,2945,524871,2384,81763,4387,443108,4957,44437,1412,19693,1602,24744,1961,2264,null,null,1288,null,null,2660,null,null,2945,null,null,2384,null,null,4387,null,null,4957,null,null,1412,null,null,1602,null,null,1961,null,null,42
155922,417,51605,519,4287,1150,47318,1250,96233,785,13002,1681,83231,1904,8084,773,3062,760,5022,825,417,null,null,519,null,null,1150,null,null,1250,null,null,785,null,null,1681,null,null,1904,null,null,773,null,null,760,null,null,825,null,null,44
264992,3600,99697,2301,5671,1462,94026,2351,153402,2696,10721,1987,142681,3454,11893,1467,4150,950,7743,1268,3600,null,null,2301,null,null,1462,null,null,2351,null,null,2696,null,null,1987,null,null,3454,null,null,1467,null,null,950,null,null,1268,null,null,45
31171,1507,13460,893,533,320,12927,945,16666,1290,1582,553,15084,1337,1045,497,358,303,687,394,1507,null,null,893,null,null,320,null,null,945,null,null,1290,null,null,553,null,null,1337,null,null,497,null,null,303,null,null,394,null,null,46
342661,2508,139747,2012,4686,1322,135061,2353,191783,2680,13591,2124,178192,2939,11131,1476,3180,863,7951,1531,2508,null,null,2012,null,null,1322,null,null,2353,null,null,2680,null,null,2124,null,null,2939,null,null,1476,null,null,863,null,null,1531,null,null,47
10740382,4414,3593394,1044,147975,8259,3445419,8456,6412853,5413,557755,14322,5855098,15198,734135,3851,317472,6873,416663,7649,4414,null,null,1044,null,null,8259,null,null,8456,null,null,5413,null,null,14322,null,null,15198,null,null,3851,null,null,6873,null,null,7649,null,null,48
415788,895,158700,807,5983,1439,152717,1754,240969,1683,17356,2583,223613,3123,16119,1392,5598,1379,10521,1294,895,null,null,807,null,null,1439,null,null,1754,null,null,1683,null,null,2583,null,null,3123,null,null,1392,null,null,1379,null,null,1294,null,null,49
12471,1057,3751,906,267,258,3484,897,7722,750,657,354,7065,722,998,407,246,167,752,355,1057,null,null,906,null,null,258,null,null,897,null,null,750,null,null,354,null,null,722,null,null,407,null,null,167,null,null,355,null,null,50
743395,3975,243588,2920,8021,1741,235567,2902,469798,3518,28366,2733,441432,4295,30009,2052,9720,1597,20289,2137,3975,null,null,2920,null,null,1741,null,null,2902,null,null,3518,null,null,2733,null,null,4295,null,null,2052,null,null,1597,null,null,2137,null,null,51
895208,1677,340751,663,14328,3021,326423,3186,519858,2439,47703,4208,472155,4859,34599,1516,13224,1659,21375,1365,1677,null,null,663,null,null,3021,null,null,3186,null,null,2439,null,null,4208,null,null,4859,null,null,1516,null,null,1659,null,null,1365,null,null,53
25383,2456,9405,1716,753,425,8652,1769,13696,1354,1737,760,11959,1191,2282,769,933,427,1349,690,2456,null,null,1716,null,null,425,null,null,1769,null,null,1354,null,null,760,null,null,1191,null,null,769,null,null,427,null,null,690,null,null,54
382250,1033,148412,986,8278,1565,140134,1933,218545,1674,21140,2411,197405,2981,15293,1130,6033,909,9260,1010,1033,null,null,986,null,null,1565,null,null,1933,null,null,1674,null,null,2411,null,null,2981,null,null,1130,null,null,909,null,null,1010,null,null,55
55179,791,19528,834,923,456,18605,920,31054,1163,2704,1048,28350,1573,4597,747,2456,599,2141,689,791,null,null,834,null,null,456,null,null,920,null,null,1163,null,null,1048,null,null,1573,null,null,747,null,null,599,null,null,689,null,null,56
3340237,5300,686365,2600,58455,3964,627910,4478,2020390,3721,350918,10935,1669472,12510,633482,1250,305340,5336,328142,5266,5300,null,null,2600,null,null,3964,null,null,4478,null,null,3721,null,null,10935,null,null,12510,null,null,1250,null,null,5336,null,null,5266,null,null,72
197020,1815,79234,2004,2447,666,76787,1931,109328,2662,6708,1543,102620,2662,8458,1705,2192,777,6266,1501,1815,null,null,2004,null,null,666,null,null,1931,null,null,2662,null,null,1543,null,null,2662,null,null,1705,null,null,777,null,null,1501,null,null,01
48324,700,17293,449,1354,698,15939,855,30161,932,4718,1368,25443,1387,870,391,339,224,531,295,700,null,null,449,null,null,698,null,null,855,null,null,932,null,null,1368,null,null,1387,null,null,391,null,null,224,null,null,295,null,null,02
2107154,2370,713919,274,29417,3344,684502,3347,1252271,2349,116325,6635,1135946,6887,140964,842,56842,2682,84122,2755,2370,null,null,274,null,null,3344,null,null,3347,null,null,2349,null,null,6635,null,null,6887,null,null,842,null,null,2682,null,null,2755,null,null,04
212283,1430,84991,1854,3715,1079,81276,1965,119501,1928,11564,1822,107937,2421,7791,1486,1586,703,6205,1312,1430,null,null,1854,null,null,1079,null,null,1965,null,null,1928,null,null,1822,null,null,2421,null,null,1486,null,null,703,null,null,1312,null,null,05
15122149,5720,4716612,969,170423,7625,4546189,7747,9372911,5703,696401,14335,8676510,15207,1032626,2201,406853,8421,625773,8234,5720,null,null,969,null,null,7625,null,null,7747,null,null,5703,null,null,14335,null,null,15207,null,null,2201,null,null,8421,null,null,8234,null,null,06
1160443,1934,391274,616,11278,1998,379996,2157,695415,2368,61898,4201,633517,4467,73754,1648,27553,2002,46201,1960,1934,null,null,616,null,null,1998,null,null,2157,null,null,2368,null,null,4201,null,null,4467,null,null,1648,null,null,2002,null,null,1960,null,null,08
554728,1118,176076,404,9328,1754,166748,1842,346445,1151,34889,3525,311556,3515,32207,681,12405,1419,19802,1418,1118,null,null,404,null,null,1754,null,null,1842,null,null,1151,null,null,3525,null,null,3515,null,null,681,null,null,1419,null,null,1418,null,null,09
86365,228,31572,101,1323,706,30249,719,51020,531,5124,1447,45896,1568,3773,514,1164,571,2609,712,228,null,null,101,null,null,706,null,null,719,null,null,531,null,null,1447,null,null,1568,null,null,514,null,null,571,null,null,712,null,null,10
73906,240,19614,40,369,467,19245,470,50117,241,2717,1086,47400,1117,4175,4,1608,569,2567,569,240,null,null,40,null,null,467,null,null,470,null,null,241,null,null,1086,null,null,1117,null,null,4,null,null,569,null,null,569,null,null,11
