B16005B_001E,B16005B_001M,B16005B_002E,B16005B_002M,B16005B_003E,B16005B_003M,B16005B_004E,B16005B_004M,B16005B_005E,B16005B_005M,B16005B_006E,B16005B_006M,B16005B_007E,B16005B_007M,B16005B_008E,B16005B_008M,B16005B_009E,B16005B_009M,B16005B_010E,B16005B_010M,B16005B_011E,B16005B_011M,B16005B_001M,B16005B_001EA,B16005B_001MA,B16005B_002M,B16005B_002EA,B16005B_002MA,B16005B_003M,B16005B_003EA,B16005B_003MA,B16005B_004M,B16005B_004EA,B16005B_004MA,B16005B_005M,B16005B_005EA,B16005B_005MA,B16005B_006M,B16005B_006EA,B16005B_006MA,B16005B_007M,B16005B_007EA,B16005B_007MA,B16005B_008M,B16005B_008EA,B16005B_008MA,B16005B_009M,B16005B_009EA,B16005B_009MA,B16005B_010M,B16005B_010EA,B16005B_010MA,B16005B_011M,B16005B_011EA,B16005B_011MA,state
82530,2475,71611,3178,68826,3097,2785,1066,2550,983,235,254,10919,2135,1103,538,9816,2142,6163,1749,3653,983,2475,null,null,3178,null,null,3097,null,null,1066,null,null,983,null,null,254,null,null,2135,null,null,538,null,null,2142,null,null,1749,null,null,983,null,null,31
241159,4711,218303,6695,208456,6232,9847,2740,9262,2716,585,422,22856,4334,6529,2268,16327,3396,7264,2131,9063,2252,4711,null,null,6695,null,null,6232,null,null,2740,null,null,2716,null,null,422,null,null,4334,null,null,2268,null,null,3396,null,null,2131,null,null,2252,null,null,32
15208,1470,9446,1528,8637,1434,809,581,722,506,87,102,5762,1149,1415,638,4347,1299,1025,559,3322,1336,1470,null,null,1528,null,null,1434,null,null,581,null,null,506,null,null,102,null,null,1149,null,null,638,null,null,1299,null,null,559,null,null,1336,null,null,33
1122524,9908,914360,12604,861526,12938,52834,5205,45962,4906,6872,1392,208164,9473,93653,6705,114511,8090,59400,5703,55111,6943,9908,null,null,12604,null,null,12938,null,null,5205,null,null,4906,null,null,1392,null,null,9473,null,null,6705,null,null,8090,null,null,5703,null,null,6943,null,null,34
39028,2482,35791,2724,33461,2760,2330,883,2028,850,302,287,3237,1281,596,298,2641,1223,1675,839,966,805,2482,null,null,2724,null,null,2760,null,null,883,null,null,850,null,null,287,null,null,1281,null,null,298,null,null,1223,null,null,839,null,null,805,null,null,35
2888350,16393,2019085,20922,1820514,21733,198571,9503,173797,8942,24774,2891,869265,16214,511822,14184,357443,13380,198970,9285,158473,8242,16393,null,null,20922,null,null,21733,null,null,9503,null,null,8942,null,null,2891,null,null,16214,null,null,14184,null,null,13380,null,null,9285,null,null,8242,null,null,36
2052401,11442,1985394,12005,1944711,12292,40683,4078,34387,3925,6296,1245,67007,6843,25900,3690,41107,6045,22972,3336,18135,4354,11442,null,null,12005,null,null,12292,null,null,4078,null,null,3925,null,null,1245,null,null,6843,null,null,3690,null,null,6045,null,null,3336,null,null,4354,null,null,37
16278,2053,10438,2336,9610,2004,828,982,20,39,808,982,5840,1857,1778,962,4062,1662,1797,1034,2265,1267,2053,null,null,2336,null,null,2004,null,null,982,null,null,39,null,null,982,null,null,1857,null,null,962,null,null,1662,null,null,1034,null,null,1267,null,null,38
1343793,9025,1277722,10151,1243564,10148,34158,4655,29026,4497,5132,1380,66071,6113,15546,3079,50525,5388,31328,4270,19197,3434,9025,null,null,10151,null,null,10148,null,null,4655,null,null,4497,null,null,1380,null,null,6113,null,null,3079,null,null,5388,null,null,4270,null,null,3434,null,null,39
266951,4139,257214,4689,253297,4795,3917,964,3359,917,558,343,9737,2616,3159,973,6578,2263,4787,1874,1791,782,4139,null,null,4689,null,null,4795,null,null,964,null,null,917,null,null,343,null,null,2616,null,null,973,null,null,2263,null,null,1874,null,null,782,null,null,40
73625,3835,61033,4150,57159,3965,3874,1518,3304,1420,570,397,12592,3325,2214,856,10378,3233,6376,2331,4002,2249,3835,null,null,4150,null,null,3965,null,null,1518,null,null,1420,null,null,397,null,null,3325,null,null,856,null,null,3233,null,null,2331,null,null,2249,null,null,41
1309204,9520,1186839,12251,1132817,13424,54022,5441,44727,4554,9295,2041,122365,8732,55223,5944,67142,6253,34787,4079,32355,4953,9520,null,null,12251,null,null,13424,null,null,5441,null,null,4554,null,null,2041,null,null,8732,null,null,5944,null,null,6253,null,null,4079,null,null,4953,null,null,42
64015,3927,40483,3664,31392,3199,9091,2140,8621,2190,470,311,23532,3132,6056,1664,17476,3152,9564,2085,7912,2335,3927,null,null,3664,null,null,3199,null,null,2140,null,null,2190,null,null,311,null,null,3132,null,null,1664,null,null,3152,null,null,2085,null,null,2335,null,null,44
1256974,7582,1245091,7846,1227526,8607,17565,3099,14490,3173,3075,876,11883,2096,6434,1421,5449,1651,3532,1162,1917,1092,7582,null,null,7846,null,null,8607,null,null,3099,null,null,3173,null,null,876,null,null,2096,null,null,1421,null,null,1651,null,null,1162,null,null,1092,null,null,45
13042,1154,6706,1299,6190,1234,516,420,321,284,195,290,6336,1174,1740,849,4596,1286,1718,913,2878,1328,1154,null,null,1299,null,null,1234,null,null,420,null,null,284,null,null,290,null,null,1174,null,null,849,null,null,1286,null,null,913,null,null,1328,null,null,46
1037969,8966,1010899,10268,995823,10209,15076,2573,12722,2291,2354,949,27070,4815,8781,2261,18289,4411,10438,2521,7851,2476,8966,null,null,10268,null,null,10209,null,null,2573,null,null,2291,null,null,949,null,null,4815,null,null,2261,null,null,4411,null,null,2521,null,null,2476,null,null,47
3123941,14746,2871972,20866,2773978,20326,97994,9575,83177,9086,14817,3047,251969,15203,83991,8657,167978,11561,118400,10286,49578,6094,14746,null,null,20866,null,null,20326,null,null,9575,null,null,9086,null,null,3047,null,null,15203,null,null,8657,null,null,11561,null,null,10286,null,null,6094,null,null,48
29554,2268,20708,2182,18331,2277,2377,1239,2258,1192,119,164,8846,2003,1635,596,7211,1909,3327,1137,3884,1695,2268,null,null,2182,null,null,2277,null,null,1239,null,null,1192,null,null,164,null,null,2003,null,null,596,null,null,1909,null,null,1137,null,null,1695,null,null,49
7129,933,4804,990,4375,1009,429,299,370,288,59,81,2325,870,656,517,1669,1001,1136,781,533,439,933,null,null,990,null,null,1009,null,null,299,null,null,288,null,null,81,null,null,870,null,null,517,null,null,1001,null,null,781,null,null,439,null,null,50
1505424,9476,1393284,11047,1360169,11234,33115,3633,27127,3146,5988,1218,112140,7465,34026,4339,78114,7076,51875,5263,26239,4463,9476,null,null,11047,null,null,11234,null,null,3633,null,null,3146,null,null,1218,null,null,7465,null,null,4339,null,null,7076,null,null,5263,null,null,4463,null,null,51
246736,7680,182440,7777,168460,7257,13980,2612,11158,2381,2822,1134,64296,6766,10577,2124,53719,6078,30597,5105,23122,2661,7680,null,null,7777,null,null,7257,null,null,2612,null,null,2381,null,null,1134,null,null,6766,null,null,2124,null,null,6078,null,null,5105,null,null,2661,null,null,53
65818,3079,61474,3339,59763,3411,1711,574,1454,519,257,223,4344,1341,1264,665,3080,1215,1812,840,1268,729,3079,null,null,3339,null,null,3411,null,null,574,null,null,519,null,null,223,null,null,1341,null,null,665,null,null,1215,null,null,840,null,null,729,null,null,54
334265,4641,318407,5155,311115,5025,7292,1836,6043,1623,1249,698,15858,2916,4719,1391,11139,2544,7859,2240,3280,1081,4641,null,null,5155,null,null,5025,null,null,1836,null,null,1623,null,null,698,null,null,2916,null,null,1391,null,null,2544,null,null,2240,null,null,1081,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
380514,11811,358627,11649,23035,3212,335592,11606,55900,5583,279692,10920,21887,3175,1004,432,20883,3138,1281,645,19602,3059,11811,null,null,11649,null,null,3212,null,null,11606,null,null,5583,null,null,10920,null,null,3175,null,null,432,null,null,3138,null,null,645,null,null,3059,null,null,72
1216958,6742,1202951,7060,1191382,7074,11569,2531,9495,2335,2074,628,14007,3077,8073,2337,5934,1640,3478,1191,2456,1062,6742,null,null,7060,null,null,7074,null,null,2531,null,null,2335,null,null,628,null,null,3077,null,null,2337,null,null,1640,null,null,1191,null,null,1062,null,null,01
22802,1733,20165,1761,19638,1797,527,460,495,450,32,50,2637,979,888,673,1749,676,860,458,889,567,1733,null,null,1761,null,null,1797,null,null,460,null,null,450,null,null,50,null,null,979,null,null,673,null,null,676,null,null,458,null,null,567,null,null,02
277487,6186,247162,6520,236312,6832,10850,2181,8670,1971,2180,787,30325,3837,9503,2336,20822,3812,11203,2412,9619,2301,6186,null,null,6520,null,null,6832,null,null,2181,null,null,1971,null,null,787,null,null,3837,null,null,2336,null,null,3812,null,null,2412,null,null,2301,null,null,04
432010,4678,427328,4700,424069,4814,3259,1092,2856,1045,403,264,4682,1423,2373,954,2309,883,1995,775,314,314,4678,null,null,4700,null,null,4814,null,null,1092,null,null,1045,null,null,264,null,null,1423,null,null,954,null,null,883,null,null,775,null,null,314,null,null,05
2130740,13128,1954838,14149,1870909,14707,83929,5584,75766,5491,8163,1499,175902,9277,64727,5095,111175,8021,72488,5267,38687,5121,13128,null,null,14149,null,null,14707,null,null,5584,null,null,5491,null,null,1499,null,null,9277,null,null,5095,null,null,8021,null,null,5267,null,null,5121,null,null,06
218191,5257,186317,5890,172560,6208,13757,3178,11763,2833,1994,1247,31874,3821,6968,1776,24906,3652,14624,2737,10282,2462,5257,null,null,5890,null,null,6208,null,null,3178,null,null,2833,null,null,1247,null,null,3821,null,null,1776,null,null,3652,null,null,2737,null,null,2462,null,null,08
356812,6919,271820,8430,248771,8345,23049,3717,19307,3096,3742,1224,84992,7340,46171,5028,38821,5134,20768,3528,18053,3249,6919,null,null,8430,null,null,8345,null,null,3717,null,null,3096,null,null,1224,null,null,7340,null,null,5028,null,null,5134,null,null,3528,null,null,3249,null,null,09
195409,3004,178352,4291,172742,4702,5610,1888,5036,1721,574,458,17057,3518,6507,1804,10550,3382,6426,2252,4124,1885,3004,null,null,4291,null,null,4702,null,null,1888,null,null,1721,null,null,458,null,null,3518,null,null,1804,null,null,3382,null,null,2252,null,null,1885,null,null,10
300447,2305,280597,4018,274174,4325,6423,1420,5229,1230,1194,568,19850,3449,8042,1995,11808,2744,4599,1242,7209,2330,2305,null,null,4018,null,null,4325,null,null,1420,null,null,1230,null,null,568,null,null,3449,null,null,1995,null,null,2744,null,null,1242,null,null,2330,null,null,11
