C17001I_001E,C17001I_001M,C17001I_002E,C17001I_002M,C17001I_003E,C17001I_003M,C17001I_004E,C17001I_004M,C17001I_005E,C17001I_005M,C17001I_006E,C17001I_006M,C17001I_007E,C17001I_007M,C17001I_008E,C17001I_008M,C17001I_009E,C17001I_009M,C17001I_010E,C17001I_010M,C17001I_011E,C17001I_011M,C17001I_012E,C17001I_012M,C17001I_013E,C17001I_013M,C17001I_014E,C17001I_014M,C17001I_015E,C17001I_015M,C17001I_016E,C17001I_016M,C17001I_017E,C17001I_017M,C17001I_018E,C17001I_018M,C17001I_019E,C17001I_019M,C17001I_001M,C17001I_001EA,C17001I_001MA,C17001I_002M,C17001I_002EA,C17001I_002MA,C17001I_003M,C17001I_003EA,C17001I_003MA,C17001I_004M,C17001I_004EA,C17001I_004MA,C17001I_005M,C17001I_005EA,C17001I_005MA,C17001I_006M,C17001I_006EA,C17001I_006MA,C17001I_007M,C17001I_007EA,C17001I_007MA,C17001I_008M,C17001I_008EA,C17001I_008MA,C17001I_009M,C17001I_009EA,C17001I_009MA,C17001I_010M,C17001I_010EA,C17001I_010MA,C17001I_011M,C17001I_011EA,C17001I_011MA,C17001I_012M,C17001I_012EA,C17001I_012MA,C17001I_013M,C17001I_013EA,C17001I_013MA,C17001I_014M,C17001I_014EA,C17001I_014MA,C17001I_015M,C17001I_015EA,C17001I_015MA,C17001I_016M,C17001I_016EA,C17001I_016MA,C17001I_017M,C17001I_017EA,C17001I_017MA,C17001I_018M,C17001I_018EA,C17001I_018MA,C17001I_019M,C17001I_019EA,C17001I_019MA,state
19979,876,3578,1136,2040,859,1133,535,874,520,33,58,1538,608,296,240,1076,465,166,177,16401,1427,7987,1134,2018,493,5516,977,453,319,8414,996,2514,587,5280,777,620,384,876,null,null,1136,null,null,859,null,null,535,null,null,520,null,null,58,null,null,608,null,null,240,null,null,465,null,null,177,null,null,1427,null,null,1134,null,null,493,null,null,977,null,null,319,null,null,996,null,null,587,null,null,777,null,null,384,null,null,23
575419,2128,71570,6644,32266,3782,15863,2802,14870,2126,1533,607,39304,4385,14241,2325,22963,3000,2100,637,503849,7288,264184,3999,80876,3083,173722,2586,9586,901,239665,4836,79540,2726,146342,3357,13783,1095,2128,null,null,6644,null,null,3782,null,null,2802,null,null,2126,null,null,607,null,null,4385,null,null,2325,null,null,3000,null,null,637,null,null,7288,null,null,3999,null,null,3083,null,null,2586,null,null,901,null,null,4836,null,null,2726,null,null,3357,null,null,1095,null,null,24
750980,3229,199099,11318,85388,5915,41251,4061,38833,3974,5304,1070,113711,7154,38463,3352,65642,4626,9606,1276,551881,10767,283743,5888,80896,4228,190061,3962,12786,1096,268138,6705,79565,3283,173045,4313,15528,1211,3229,null,null,11318,null,null,5915,null,null,4061,null,null,3974,null,null,1070,null,null,7154,null,null,3352,null,null,4626,null,null,1276,null,null,10767,null,null,5888,null,null,4228,null,null,3962,null,null,1096,null,null,6705,null,null,3283,null,null,4313,null,null,1211,null,null,25
479218,1825,111195,7743,54276,4170,27866,3119,25313,2438,1097,529,56919,4669,24185,2999,30039,2681,2695,640,368023,8049,186845,4553,59686,3079,115866,3227,11293,982,181178,5182,63580,3453,106873,2900,10725,991,1825,null,null,7743,null,null,4170,null,null,3119,null,null,2438,null,null,529,null,null,4669,null,null,2999,null,null,2681,null,null,640,null,null,8049,null,null,4553,null,null,3079,null,null,3227,null,null,982,null,null,5182,null,null,3453,null,null,2900,null,null,991,null,null,26
281657,1549,50955,5658,22180,3133,11524,1919,9674,1521,982,492,28775,3537,12335,2189,15610,1968,830,421,230702,5840,122716,3704,44577,2624,74164,2005,3975,777,107986,3858,41440,2282,62201,2415,4345,731,1549,null,null,5658,null,null,3133,null,null,1919,null,null,1521,null,null,492,null,null,3537,null,null,2189,null,null,1968,null,null,421,null,null,5840,null,null,3704,null,null,2624,null,null,2005,null,null,777,null,null,3858,null,null,2282,null,null,2415,null,null,731,null,null,27
80973,2946,20115,3289,8043,1934,3945,1185,4049,1167,49,85,12072,1999,5382,1724,6513,1233,177,178,60858,3898,33161,2528,12288,2276,19466,1871,1407,740,27697,2562,10255,1641,16389,1895,1053,466,2946,null,null,3289,null,null,1934,null,null,1185,null,null,1167,null,null,85,null,null,1999,null,null,1724,null,null,1233,null,null,178,null,null,3898,null,null,2528,null,null,2276,null,null,1871,null,null,740,null,null,2562,null,null,1641,null,null,1895,null,null,466,null,null,28
237734,1935,57303,6420,26553,3677,14874,2419,11365,1933,314,342,30750,3576,12881,2065,16894,2066,975,379,180431,6440,95824,3682,32048,2392,57928,2730,5848,1104,84607,4112,29418,2345,49282,2576,5907,839,1935,null,null,6420,null,null,3677,null,null,2419,null,null,1933,null,null,342,null,null,3576,null,null,2065,null,null,2066,null,null,379,null,null,6440,null,null,3682,null,null,2392,null,null,2730,null,null,1104,null,null,4112,null,null,2345,null,null,2576,null,null,839,null,null,29
35676,1163,6807,1430,2988,890,1343,678,1307,651,338,299,3819,937,836,402,2930,796,53,85,28869,1815,14873,1662,6454,1049,7895,1123,524,364,13996,1428,4922,1020,8179,860,895,346,1163,null,null,1430,null,null,890,null,null,678,null,null,651,null,null,299,null,null,937,null,null,402,null,null,796,null,null,85,null,null,1815,null,null,1662,null,null,1049,null,null,1123,null,null,364,null,null,1428,null,null,1020,null,null,860,null,null,346,null,null,30
197484,1220,44888,5737,20090,3027,10672,1899,8840,1709,578,415,24798,3538,12781,2479,11686,1694,331,225,152596,6092,81170,3481,29024,2403,49124,1880,3022,590,71426,3697,26843,2237,41650,2009,2933,614,1220,null,null,5737,null,null,3027,null,null,1899,null,null,1709,null,null,415,null,null,3538,null,null,2479,null,null,1694,null,null,225,null,null,6092,null,null,3481,null,null,2403,null,null,1880,null,null,590,null,null,3697,null,null,2237,null,null,2009,null,null,614,null,null,31
826215,2214,156807,12568,70657,6186,35918,3854,32048,3930,2691,811,86150,7547,34090,4183,47532,3979,4528,1236,669408,12648,343736,6604,101102,4268,224314,4106,18320,1208,325672,7511,102413,4372,202646,3881,20613,1349,2214,null,null,12568,null,null,6186,null,null,3854,null,null,3930,null,null,811,null,null,7547,null,null,4183,null,null,3979,null,null,1236,null,null,12648,null,null,6604,null,null,4268,null,null,4106,null,null,1208,null,null,7511,null,null,4372,null,null,3881,null,null,1349,null,null,32
44699,1031,6166,1940,3769,1465,1192,745,2137,950,440,426,2397,835,776,433,1553,616,68,112,38533,2238,21706,1854,8149,1074,12941,1337,616,362,16827,1181,4900,867,11133,828,794,322,1031,null,null,1940,null,null,1465,null,null,745,null,null,950,null,null,426,null,null,835,null,null,433,null,null,616,null,null,112,null,null,2238,null,null,1854,null,null,1074,null,null,1337,null,null,362,null,null,1181,null,null,867,null,null,828,null,null,322,null,null,33
1758090,2876,327552,15384,141002,8185,65327,5940,69107,4884,6568,1138,186550,9384,65492,5246,106098,5460,14960,1676,1430538,15811,737822,8943,196233,6134,493159,5511,48430,1260,692716,9365,186339,5195,446571,5584,59806,1764,2876,null,null,15384,null,null,8185,null,null,5940,null,null,4884,null,null,1138,null,null,9384,null,null,5246,null,null,5460,null,null,1676,null,null,15811,null,null,8943,null,null,6134,null,null,5511,null,null,1260,null,null,9365,null,null,5195,null,null,5584,null,null,1764,null,null,34
988813,1582,238309,14155,106434,7868,50789,4721,48083,4944,7562,1275,131875,8061,50093,4769,70733,4685,11049,1543,750504,14223,378590,7971,96093,4629,241052,4986,41445,1414,371914,8337,94328,4760,228486,4866,49100,1604,1582,null,null,14155,null,null,7868,null,null,4721,null,null,4944,null,null,1275,null,null,8061,null,null,4769,null,null,4685,null,null,1543,null,null,14223,null,null,7971,null,null,4629,null,null,4986,null,null,1414,null,null,8337,null,null,4760,null,null,4866,null,null,1604,null,null,35
3663399,4756,884964,23050,373239,12316,158390,7487,187828,9030,27021,2926,511725,14879,157403,7158,298912,9986,55410,3379,2778435,23457,1426093,12714,352790,7740,972997,9073,100306,2902,1352342,15146,333805,7456,881115,10291,137422,3246,4756,null,null,23050,null,null,12316,null,null,7487,null,null,9030,null,null,2926,null,null,14879,null,null,7158,null,null,9986,null,null,3379,null,null,23457,null,null,12714,null,null,7740,null,null,9073,null,null,2902,null,null,15146,null,null,7456,null,null,10291,null,null,3246,null,null,36
913213,2599,249401,15600,114753,7843,65074,5340,47310,4051,2369,903,134648,9215,61426,5798,68948,4938,4274,1306,663812,15806,354270,9327,116810,6174,225128,5163,12332,1786,309542,9212,110009,6092,187508,4980,12025,1533,2599,null,null,15600,null,null,7843,null,null,5340,null,null,4051,null,null,903,null,null,9215,null,null,5798,null,null,4938,null,null,1306,null,null,15806,null,null,9327,null,null,6174,null,null,5163,null,null,1786,null,null,9212,null,null,6092,null,null,4980,null,null,1533,null,null,37
24820,1994,5065,2022,2888,1513,1222,782,1499,1295,167,261,2177,959,486,370,1678,824,13,24,19755,1827,11427,1594,4069,1257,7192,987,166,253,8328,1194,4148,902,3620,820,560,439,1994,null,null,2022,null,null,1513,null,null,782,null,null,1295,null,null,261,null,null,959,null,null,370,null,null,824,null,null,24,null,null,1827,null,null,1594,null,null,1257,null,null,987,null,null,253,null,null,1194,null,null,902,null,null,820,null,null,439,null,null,38
407709,2202,101588,8157,49518,4877,27246,3239,21575,2910,697,382,52070,4710,22883,2841,27455,2859,1732,508,306121,8738,155363,5757,49357,3658,97071,3086,8935,1079,150758,5219,51697,3394,89421,3061,9640,1162,2202,null,null,8157,null,null,4877,null,null,3239,null,null,2910,null,null,382,null,null,4710,null,null,2841,null,null,2859,null,null,508,null,null,8738,null,null,5757,null,null,3658,null,null,3086,null,null,1079,null,null,5219,null,null,3394,null,null,3061,null,null,1162,null,null,39
392303,1444,102097,7918,47993,4161,27241,2903,19274,2259,1478,535,54104,4447,26652,2643,25398,2371,2054,680,290206,7863,156067,4371,55206,3106,96238,2602,4623,873,134139,4424,49422,2779,79051,2450,5666,750,1444,null,null,7918,null,null,4161,null,null,2903,null,null,2259,null,null,535,null,null,4447,null,null,2643,null,null,2371,null,null,680,null,null,7863,null,null,4371,null,null,3106,null,null,2602,null,null,873,null,null,4424,null,null,2779,null,null,2450,null,null,750,null,null,40
509922,1974,115361,9937,50737,5568,26976,3398,22650,3332,1111,511,64624,5826,29821,3694,33418,3470,1385,541,394561,10037,211142,6101,67185,3705,135074,3798,8883,1165,183419,6217,61590,4039,111917,3519,9912,870,1974,null,null,9937,null,null,5568,null,null,3398,null,null,3332,null,null,511,null,null,5826,null,null,3694,null,null,3470,null,null,541,null,null,10037,null,null,6101,null,null,3705,null,null,3798,null,null,1165,null,null,6217,null,null,4039,null,null,3519,null,null,870,null,null,41
866144,2675,259823,13153,117824,7315,60190,4577,53577,4306,4057,725,141999,7757,58183,4118,77849,4704,5967,1123,606321,13274,317893,7412,96298,4887,205421,4628,16174,1255,288428,7723,91498,4078,178691,4882,18239,1216,2675,null,null,13153,null,null,7315,null,null,4577,null,null,4306,null,null,725,null,null,7757,null,null,4118,null,null,4704,null,null,1123,null,null,13274,null,null,7412,null,null,4887,null,null,4628,null,null,1255,null,null,7723,null,null,4078,null,null,4882,null,null,1216,null,null,42
153254,767,33626,4915,16785,3132,7999,1879,7959,1808,827,341,16841,2895,5831,1717,9570,1657,1440,451,119628,4902,58443,3084,18230,2055,37668,1695,2545,449,61185,3089,19271,1803,38642,1880,3272,800,767,null,null,4915,null,null,3132,null,null,1879,null,null,1808,null,null,341,null,null,2895,null,null,1717,null,null,1657,null,null,451,null,null,4902,null,null,3084,null,null,2055,null,null,1695,null,null,449,null,null,3089,null,null,1803,null,null,1880,null,null,800,null,null,44
264342,3573,68107,7756,32679,4585,18950,3108,13392,2161,337,264,35428,4382,17639,2972,17079,2314,710,419,196235,8059,104719,5355,31470,3258,68928,3117,4321,996,91516,4866,30718,3203,54273,2610,6525,1016,3573,null,null,7756,null,null,4585,null,null,3108,null,null,2161,null,null,264,null,null,4382,null,null,2972,null,null,2314,null,null,419,null,null,8059,null,null,5355,null,null,3258,null,null,3117,null,null,996,null,null,4866,null,null,3203,null,null,2610,null,null,1016,null,null,45
30922,1455,7778,2096,3206,1073,1818,733,1386,617,2,6,4572,1559,2601,1165,1959,594,12,31,23144,2527,12565,1438,4454,970,7962,1174,149,135,10579,1710,4474,1167,5223,1088,882,476,1455,null,null,2096,null,null,1073,null,null,733,null,null,617,null,null,6,null,null,1559,null,null,1165,null,null,594,null,null,31,null,null,2527,null,null,1438,null,null,970,null,null,1174,null,null,135,null,null,1710,null,null,1167,null,null,1088,null,null,476,null,null,46
340740,2480,94326,8384,43899,5140,25763,3304,17067,2527,1069,782,50427,4627,24251,3183,24792,2417,1384,695,246414,8659,137414,5294,48533,3167,85327,3003,3554,904,109000,4818,39209,3267,64667,2907,5124,978,2480,null,null,8384,null,null,5140,null,null,3304,null,null,2527,null,null,782,null,null,4627,null,null,3183,null,null,2417,null,null,695,null,null,8659,null,null,5294,null,null,3167,null,null,3003,null,null,904,null,null,4818,null,null,3267,null,null,2907,null,null,978,null,null,47
10681251,7118,2381080,49046,1072998,26292,554993,15585,461205,15109,56800,3445,1308082,28456,531101,15721,689287,15622,87694,4230,8300171,49454,4257593,27211,1257914,16193,2736611,15183,263068,4197,4042578,28823,1215866,15814,2500139,15513,326573,5463,7118,null,null,49046,null,null,26292,null,null,15585,null,null,15109,null,null,3445,null,null,28456,null,null,15721,null,null,15622,null,null,4230,null,null,49454,null,null,27211,null,null,16193,null,null,15183,null,null,4197,null,null,28823,null,null,15814,null,null,15513,null,null,5463,null,null,48
414002,1163,72690,7875,33206,3802,16719,2595,16102,2374,385,283,39484,4863,14766,2604,23101,3067,1617,949,341312,8062,177849,4268,63399,2724,108053,3036,6397,829,163463,4807,62222,2754,93521,3149,7720,975,1163,null,null,7875,null,null,3802,null,null,2595,null,null,2374,null,null,283,null,null,4863,null,null,2604,null,null,3067,null,null,949,null,null,8062,null,null,4268,null,null,2724,null,null,3036,null,null,829,null,null,4807,null,null,2754,null,null,3149,null,null,975,null,null,49
11306,1116,2420,677,978,405,468,208,510,318,0,151,1442,572,196,104,949,475,297,295,8886,1145,3963,720,1311,490,2400,777,252,167,4923,954,1656,593,2818,721,449,267,1116,null,null,677,null,null,405,null,null,208,null,null,318,null,null,151,null,null,572,null,null,104,null,null,475,null,null,295,null,null,1145,null,null,720,null,null,490,null,null,777,null,null,167,null,null,954,null,null,593,null,null,721,null,null,267,null,null,50
741127,4511,120725,10840,51391,5444,27074,3577,22682,2814,1635,774,69334,6505,25806,3698,40717,3901,2811,941,620402,11567,327275,6449,96324,4019,221350,4184,9601,1244,293127,7340,88441,3927,188724,4543,15962,1319,4511,null,null,10840,null,null,5444,null,null,3577,null,null,2814,null,null,774,null,null,6505,null,null,3698,null,null,3901,null,null,941,null,null,11567,null,null,6449,null,null,4019,null,null,4184,null,null,1244,null,null,7340,null,null,3927,null,null,4543,null,null,1319,null,null,51
890555,2110,173191,11936,79867,5975,42091,4064,36040,3201,1736,597,93324,7365,39836,4608,50648,3787,2840,981,717364,12080,378831,6067,129865,4613,235156,3400,13810,1153,338533,7557,124047,4737,198273,3751,16213,1345,2110,null,null,11936,null,null,5975,null,null,4064,null,null,3201,null,null,597,null,null,7365,null,null,4608,null,null,3787,null,null,981,null,null,12080,null,null,6067,null,null,4613,null,null,3400,null,null,1153,null,null,7557,null,null,4737,null,null,3751,null,null,1345,null,null,53
24744,2346,5651,1940,2655,884,1506,798,1031,414,118,129,2996,1289,1165,868,1788,645,43,62,19093,1742,8920,1249,3422,847,4854,767,644,439,10173,1338,3098,924,5598,947,1477,623,2346,null,null,1940,null,null,884,null,null,798,null,null,414,null,null,129,null,null,1289,null,null,868,null,null,645,null,null,62,null,null,1742,null,null,1249,null,null,847,null,null,767,null,null,439,null,null,1338,null,null,924,null,null,947,null,null,623,null,null,54
376559,1711,85069,7953,39812,4040,20557,2497,18055,2332,1200,540,45257,4871,19760,3276,24216,2598,1281,415,291490,8308,153698,4531,53837,2966,93952,2615,5909,732,137792,5078,50945,3502,79944,2680,6903,866,1711,null,null,7953,null,null,4040,null,null,2497,null,null,2332,null,null,540,null,null,4871,null,null,3276,null,null,2598,null,null,415,null,null,8308,null,null,4531,null,null,2966,null,null,2615,null,null,732,null,null,5078,null,null,3502,null,null,2680,null,null,866,null,null,55
54858,782,9138,2379,4579,1550,1431,764,2907,1300,241,253,4559,1476,1523,730,2483,860,553,415,45720,2391,23930,1849,8029,1318,14427,1362,1474,313,21790,1861,8441,1263,11020,1171,2329,613,782,null,null,2379,null,null,1550,null,null,764,null,null,1300,null,null,253,null,null,1476,null,null,730,null,null,860,null,null,415,null,null,2391,null,null,1849,null,null,1318,null,null,1362,null,null,313,null,null,1861,null,null,1263,null,null,1171,null,null,613,null,null,56
3335298,5248,1452841,26129,660142,13868,196826,6841,366200,8774,97116,3941,792699,15840,188949,6833,458605,10150,145145,4230,1882457,25394,921177,13041,154501,6056,588669,8548,178007,3951,961280,15717,142769,6834,605297,10053,213214,4418,5248,null,null,26129,null,null,13868,null,null,6841,null,null,8774,null,null,3941,null,null,15840,null,null,6833,null,null,10150,null,null,4230,null,null,25394,null,null,13041,null,null,6056,null,null,8548,null,null,3951,null,null,15717,null,null,6834,null,null,10053,null,null,4418,null,null,72
194958,2108,58715,6922,26892,3548,14886,2148,11430,2253,576,493,31823,4547,15239,2770,15485,2348,1099,638,136243,7342,72144,4345,23195,3129,46339,2813,2610,1104,64099,4915,24180,3062,35746,2789,4173,997,2108,null,null,6922,null,null,3548,null,null,2148,null,null,2253,null,null,493,null,null,4547,null,null,2770,null,null,2348,null,null,638,null,null,7342,null,null,4345,null,null,3129,null,null,2813,null,null,1104,null,null,4915,null,null,3062,null,null,2789,null,null,997,null,null,01
49073,648,7896,2130,3870,1271,2560,1129,1268,564,42,71,4026,1290,1447,693,2579,880,0,155,41177,2091,21827,1849,6813,1157,14600,1408,414,238,19350,1402,6118,738,12818,1014,414,244,648,null,null,2130,null,null,1271,null,null,1129,null,null,564,null,null,71,null,null,1290,null,null,693,null,null,880,null,null,155,null,null,2091,null,null,1849,null,null,1157,null,null,1408,null,null,238,null,null,1402,null,null,738,null,null,1014,null,null,244,null,null,02
2089060,3944,490403,20428,223724,11559,112948,7302,101985,5883,8791,1293,266679,11174,111643,5844,141381,7258,13655,1667,1598657,20643,812268,12111,243422,7735,514902,6077,53944,1447,786389,11573,232386,6127,489429,7311,64574,1621,3944,null,null,20428,null,null,11559,null,null,7302,null,null,5883,null,null,1293,null,null,11174,null,null,5844,null,null,7258,null,null,1667,null,null,20643,null,null,12111,null,null,7735,null,null,6077,null,null,1447,null,null,11573,null,null,6127,null,null,7311,null,null,1621,null,null,04
210330,1518,56135,6774,26782,3656,14854,2431,11008,1758,920,515,29353,3871,13447,2361,14597,1987,1309,700,154195,6831,83120,4259,28741,3338,51741,2347,2638,966,71075,4770,27235,2877,40916,2521,2924,938,1518,null,null,6774,null,null,3656,null,null,2431,null,null,1758,null,null,515,null,null,3871,null,null,2361,null,null,1987,null,null,700,null,null,6831,null,null,4259,null,null,3338,null,null,2347,null,null,966,null,null,4770,null,null,2877,null,null,2521,null,null,938,null,null,05
15023932,8225,2872144,51095,1304751,25804,631051,16397,616585,14196,57115,3373,1567393,30532,605401,18528,868379,16428,93613,4012,12151788,51875,6206860,26556,1737200,17290,4081083,14469,388577,3563,5944928,30478,1680583,18698,3771024,16648,493321,4187,8225,null,null,51095,null,null,25804,null,null,16397,null,null,14196,null,null,3373,null,null,30532,null,null,18528,null,null,16428,null,null,4012,null,null,51875,null,null,26556,null,null,17290,null,null,14469,null,null,3563,null,null,30478,null,null,18698,null,null,16648,null,null,4187,null,null,06
1154209,2420,206235,14087,92315,7244,44273,5144,43099,4056,4943,992,113920,8731,42783,4564,64000,5035,7137,1639,947974,14390,490742,7348,154229,5107,307846,4288,28667,1260,457232,9023,144997,5210,279228,5272,33007,2005,2420,null,null,14087,null,null,7244,null,null,5144,null,null,4056,null,null,992,null,null,8731,null,null,4564,null,null,5035,null,null,1639,null,null,14390,null,null,7348,null,null,5107,null,null,4288,null,null,1260,null,null,9023,null,null,5210,null,null,5272,null,null,2005,null,null,08
547529,1888,111863,10050,48571,5667,22131,3306,24089,3433,2351,759,63292,5438,21920,3254,37124,3177,4248,864,435666,9921,221128,5747,64869,3431,145061,3515,11198,835,214538,5708,64246,3395,135882,3346,14410,965,1888,null,null,10050,null,null,5667,null,null,3306,null,null,3433,null,null,759,null,null,5438,null,null,3254,null,null,3177,null,null,864,null,null,9921,null,null,5747,null,null,3431,null,null,3515,null,null,835,null,null,5708,null,null,3395,null,null,3346,null,null,965,null,null,09
85386,518,20947,3622,9503,2230,5615,1507,3858,1161,30,55,11444,2116,5138,1419,5974,1277,332,223,64439,3615,34144,2308,10285,1588,22213,1133,1646,388,30295,2108,10473,1317,18057,1273,1765,416,518,null,null,3622,null,null,2230,null,null,1507,null,null,1161,null,null,55,null,null,2116,null,null,1419,null,null,1277,null,null,223,null,null,3615,null,null,2308,null,null,1588,null,null,1133,null,null,388,null,null,2108,null,null,1317,null,null,1273,null,null,416,null,null,10
