B05003B_001E,B05003B_001M,B05003B_002E,B05003B_002M,B05003B_003E,B05003B_003M,B05003B_004E,B05003B_004M,B05003B_005E,B05003B_005M,B05003B_006E,B05003B_006M,B05003B_007E,B05003B_007M,B05003B_008E,B05003B_008M,B05003B_009E,B05003B_009M,B05003B_010E,B05003B_010M,B05003B_011E,B05003B_011M,B05003B_012E,B05003B_012M,B05003B_013E,B05003B_013M,B05003B_014E,B05003B_014M,B05003B_015E,B05003B_015M,B05003B_016E,B05003B_016M,B05003B_017E,B05003B_017M,B05003B_018E,B05003B_018M,B05003B_019E,B05003B_019M,B05003B_020E,B05003B_020M,B05003B_021E,B05003B_021M,B05003B_022E,B05003B_022M,B05003B_023E,B05003B_023M,B05003B_001M,B05003B_001EA,B05003B_001MA,B05003B_002M,B05003B_002EA,B05003B_002MA,B05003B_003M,B05003B_003EA,B05003B_003MA,B05003B_004M,B05003B_004EA,B05003B_004MA,B05003B_005M,B05003B_005EA,B05003B_005MA,B05003B_006M,B05003B_006EA,B05003B_006MA,B05003B_007M,B05003B_007EA,B05003B_007MA,B05003B_008M,B05003B_008EA,B05003B_008MA,B05003B_009M,B05003B_009EA,B05003B_009MA,B05003B_010M,B05003B_010EA,B05003B_010MA,B05003B_011M,B05003B_011EA,B05003B_011MA,B05003B_012M,B05003B_012EA,B05003B_012MA,B05003B_013M,B05003B_013EA,B05003B_013MA,B05003B_014M,B05003B_014EA,B05003B_014MA,B05003B_015M,B05003B_015EA,B05003B_015MA,B05003B_016M,B05003B_016EA,B05003B_016MA,B05003B_017M,B05003B_017EA,B05003B_017MA,B05003B_018M,B05003B_018EA,B05003B_018MA,B05003B_019M,B05003B_019EA,B05003B_019MA,B05003B_020M,B05003B_020EA,B05003B_020MA,B05003B_021M,B05003B_021EA,B05003B_021MA,B05003B_022M,B05003B_022EA,B05003B_022MA,B05003B_023M,B05003B_023EA,B05003B_023MA,state
3080534,18978,1422133,10748,352872,5350,332525,6364,20347,3159,7155,1741,13192,2543,1069261,8097,709447,10689,359814,8953,223343,6902,136471,6897,1658401,11230,348836,6748,328304,6633,20532,2613,7601,1419,12931,2308,1309565,7619,836978,11237,472587,8944,323091,6780,149496,7561,18978,null,null,10748,null,null,5350,null,null,6364,null,null,3159,null,null,1741,null,null,2543,null,null,8097,null,null,10689,null,null,8953,null,null,6902,null,null,6897,null,null,11230,null,null,6748,null,null,6633,null,null,2613,null,null,1419,null,null,2308,null,null,7619,null,null,11237,null,null,8944,null,null,6780,null,null,7561,null,null,36
2182212,12962,1022568,8486,272002,5977,269694,6104,2308,1191,532,339,1776,1138,750566,4988,720338,5757,30228,3977,15479,2558,14749,2516,1159644,8430,258620,5735,254987,5973,3633,1308,905,497,2728,1195,901024,5007,869702,5286,31322,3564,17445,2522,13877,2493,12962,null,null,8486,null,null,5977,null,null,6104,null,null,1191,null,null,339,null,null,1138,null,null,4988,null,null,5757,null,null,3977,null,null,2558,null,null,2516,null,null,8430,null,null,5735,null,null,5973,null,null,1308,null,null,497,null,null,1195,null,null,5007,null,null,5286,null,null,3564,null,null,2522,null,null,2493,null,null,37
19250,2426,11228,1855,3123,1019,2592,896,531,429,24,42,507,429,8105,1473,5566,1305,2539,1174,1146,831,1393,756,8022,1213,2566,779,2121,807,445,310,271,264,174,221,5456,844,3040,1157,2416,1144,1321,1058,1095,694,2426,null,null,1855,null,null,1019,null,null,896,null,null,429,null,null,42,null,null,429,null,null,1473,null,null,1305,null,null,1174,null,null,831,null,null,756,null,null,1213,null,null,779,null,null,807,null,null,310,null,null,264,null,null,221,null,null,844,null,null,1157,null,null,1144,null,null,1058,null,null,694,null,null,38
1443510,10409,692016,5742,193058,4542,190379,4612,2679,899,1010,559,1669,734,498958,3863,465788,5243,33170,3512,20558,2488,12612,2360,751494,6931,188683,4152,186952,4279,1731,923,914,657,817,581,562811,4478,533887,5380,28924,3627,18009,2775,10915,2050,10409,null,null,5742,null,null,4542,null,null,4612,null,null,899,null,null,559,null,null,734,null,null,3863,null,null,5243,null,null,3512,null,null,2488,null,null,2360,null,null,6931,null,null,4152,null,null,4279,null,null,923,null,null,657,null,null,581,null,null,4478,null,null,5380,null,null,3627,null,null,2775,null,null,2050,null,null,39
287373,4830,140952,3290,38060,2302,37426,2313,634,437,289,216,345,372,102892,2319,97842,2519,5050,1417,2267,873,2783,993,146421,3649,38321,2166,37991,2169,330,229,242,184,88,146,108100,2284,104377,2441,3723,1367,1689,722,2034,879,4830,null,null,3290,null,null,2302,null,null,2313,null,null,437,null,null,216,null,null,372,null,null,2319,null,null,2519,null,null,1417,null,null,873,null,null,993,null,null,3649,null,null,2166,null,null,2169,null,null,229,null,null,184,null,null,146,null,null,2284,null,null,2441,null,null,1367,null,null,722,null,null,879,null,null,40
79575,4274,42748,2792,10582,1807,9085,1651,1497,715,841,580,656,541,32166,1645,26607,2134,5559,1558,3147,1028,2412,1183,36827,2441,10085,1506,8465,1537,1620,1229,612,503,1008,1161,26742,1782,22212,1885,4530,1332,2498,858,2032,998,4274,null,null,2792,null,null,1807,null,null,1651,null,null,715,null,null,580,null,null,541,null,null,1645,null,null,2134,null,null,1558,null,null,1028,null,null,1183,null,null,2441,null,null,1506,null,null,1537,null,null,1229,null,null,503,null,null,1161,null,null,1782,null,null,1885,null,null,1332,null,null,858,null,null,998,null,null,41
1407047,11772,680621,7200,182745,4772,177268,4990,5477,1796,2029,802,3448,1655,497876,4283,441827,6394,56049,4698,30267,3443,25782,2856,726426,7297,172444,4695,166046,4828,6398,1995,672,462,5726,1900,553982,3914,497809,6268,56173,5292,33891,3350,22282,3599,11772,null,null,7200,null,null,4772,null,null,4990,null,null,1796,null,null,802,null,null,1655,null,null,4283,null,null,6394,null,null,4698,null,null,3443,null,null,2856,null,null,7297,null,null,4695,null,null,4828,null,null,1995,null,null,462,null,null,1900,null,null,3914,null,null,6268,null,null,5292,null,null,3350,null,null,3599,null,null,42
67526,4174,34827,2425,9269,1450,8722,1501,547,550,99,121,448,545,25558,1425,14021,1921,11537,1898,5646,1227,5891,1618,32699,2427,7718,1330,6957,1272,761,394,233,180,528,366,24981,1697,14096,1529,10885,1629,5707,1164,5178,1529,4174,null,null,2425,null,null,1450,null,null,1501,null,null,550,null,null,121,null,null,545,null,null,1425,null,null,1921,null,null,1898,null,null,1227,null,null,1618,null,null,2427,null,null,1330,null,null,1272,null,null,394,null,null,180,null,null,366,null,null,1697,null,null,1529,null,null,1629,null,null,1164,null,null,1529,null,null,44
1337644,8535,625662,6834,165711,5863,165461,5850,250,263,118,168,132,188,459951,2587,453661,2731,6290,1439,3342,918,2948,1219,711982,4521,162753,3049,162238,3032,515,426,149,186,366,353,549229,3142,544335,3365,4894,1151,2764,774,2130,840,8535,null,null,6834,null,null,5863,null,null,5850,null,null,263,null,null,168,null,null,188,null,null,2587,null,null,2731,null,null,1439,null,null,918,null,null,1219,null,null,4521,null,null,3049,null,null,3032,null,null,426,null,null,186,null,null,353,null,null,3142,null,null,3365,null,null,1151,null,null,774,null,null,840,null,null,45
14524,1410,8112,947,2423,606,1709,602,714,409,619,381,95,153,5689,755,3164,799,2525,676,691,453,1834,697,6412,991,2479,665,1458,752,1021,787,242,380,779,901,3933,650,1679,585,2254,555,959,582,1295,528,1410,null,null,947,null,null,606,null,null,602,null,null,409,null,null,381,null,null,153,null,null,755,null,null,799,null,null,676,null,null,453,null,null,697,null,null,991,null,null,665,null,null,752,null,null,787,null,null,380,null,null,901,null,null,650,null,null,585,null,null,555,null,null,582,null,null,528,null,null,46
1114434,9305,528904,5452,145350,4147,143844,4000,1506,837,777,505,729,711,383554,3335,371639,4417,11915,2676,7641,2133,4274,1286,585530,5560,141554,3614,140309,3671,1245,605,381,274,864,541,443976,3311,431196,4286,12780,2231,6566,1692,6214,1324,9305,null,null,5452,null,null,4147,null,null,4000,null,null,837,null,null,505,null,null,711,null,null,3335,null,null,4417,null,null,2676,null,null,2133,null,null,1286,null,null,5560,null,null,3614,null,null,3671,null,null,605,null,null,274,null,null,541,null,null,3311,null,null,4286,null,null,2231,null,null,1692,null,null,1324,null,null,47
3362283,16932,1618007,9639,444402,6675,431443,7276,12959,3038,3310,1132,9649,2761,1173605,6566,1055347,9429,118258,7518,62173,5047,56085,5749,1744276,11617,436394,8048,423409,8722,12985,2928,3320,1054,9665,2771,1307882,6839,1195833,10116,112049,8287,56708,5163,55341,6191,16932,null,null,9639,null,null,6675,null,null,7276,null,null,3038,null,null,1132,null,null,2761,null,null,6566,null,null,9429,null,null,7518,null,null,5047,null,null,5749,null,null,11617,null,null,8048,null,null,8722,null,null,2928,null,null,1054,null,null,2771,null,null,6839,null,null,10116,null,null,8287,null,null,5163,null,null,6191,null,null,48
32800,2988,18405,2243,7046,1836,6106,1801,940,566,207,180,733,534,11359,1071,7603,1175,3756,997,1540,774,2216,805,14395,1396,5431,947,3806,1143,1625,851,156,144,1469,865,8964,904,6327,1030,2637,746,1273,597,1364,565,2988,null,null,2243,null,null,1836,null,null,1801,null,null,566,null,null,180,null,null,534,null,null,1071,null,null,1175,null,null,997,null,null,774,null,null,805,null,null,1396,null,null,947,null,null,1143,null,null,851,null,null,144,null,null,865,null,null,904,null,null,1030,null,null,746,null,null,597,null,null,565,null,null,49
7893,1034,5059,869,1195,714,1142,709,53,85,15,34,38,72,3864,855,2336,777,1528,784,1060,732,468,238,2834,782,1177,513,991,498,186,154,105,113,81,85,1657,561,1099,529,558,260,328,269,230,190,1034,null,null,869,null,null,714,null,null,709,null,null,85,null,null,34,null,null,72,null,null,855,null,null,777,null,null,784,null,null,732,null,null,238,null,null,782,null,null,513,null,null,498,null,null,154,null,null,113,null,null,85,null,null,561,null,null,529,null,null,260,null,null,269,null,null,190,null,null,50
1601868,11353,766846,8203,188148,5330,184447,5180,3701,1076,1321,704,2380,907,578698,4894,527209,6292,51489,4660,35545,4022,15944,2515,835022,7355,185668,4958,181255,4991,4413,1588,967,474,3446,1541,649354,4528,595826,5549,53528,3877,33162,2877,20366,2664,11353,null,null,8203,null,null,5330,null,null,5180,null,null,1076,null,null,704,null,null,907,null,null,4894,null,null,6292,null,null,4660,null,null,4022,null,null,2515,null,null,7355,null,null,4958,null,null,4991,null,null,1588,null,null,474,null,null,1541,null,null,4528,null,null,5549,null,null,3877,null,null,2877,null,null,2664,null,null,51
266977,8785,142401,4765,33719,2766,30099,2614,3620,1366,1176,531,2444,1229,108682,3356,79857,4036,28825,3230,17784,3124,11041,1921,124576,5433,34319,3287,29614,3343,4705,2081,761,385,3944,2054,90257,3342,62595,3537,27662,2901,15526,2413,12136,2312,8785,null,null,4765,null,null,2766,null,null,2614,null,null,1366,null,null,531,null,null,1229,null,null,3356,null,null,4036,null,null,3230,null,null,3124,null,null,1921,null,null,5433,null,null,3287,null,null,3343,null,null,2081,null,null,385,null,null,2054,null,null,3342,null,null,3537,null,null,2901,null,null,2413,null,null,2312,null,null,53
69721,3260,36698,2128,6728,1177,6473,1156,255,261,83,150,172,212,29970,1594,28102,1703,1868,684,563,338,1305,613,33023,2430,7963,1435,7608,1433,355,295,0,193,355,295,25060,1589,23194,1757,1866,776,1106,684,760,457,3260,null,null,2128,null,null,1177,null,null,1156,null,null,261,null,null,150,null,null,212,null,null,1594,null,null,1703,null,null,684,null,null,338,null,null,613,null,null,2430,null,null,1435,null,null,1433,null,null,295,null,null,193,null,null,295,null,null,1589,null,null,1757,null,null,776,null,null,684,null,null,457,null,null,54
361653,4783,174367,2947,53129,2418,51719,2534,1410,658,568,273,842,628,121238,2291,114244,2321,6994,1362,4076,948,2918,894,187286,3389,54832,2436,53885,2449,947,487,761,473,186,151,132454,2036,125717,2646,6737,1490,3226,1037,3511,1063,4783,null,null,2947,null,null,2418,null,null,2534,null,null,658,null,null,273,null,null,628,null,null,2291,null,null,2321,null,null,1362,null,null,948,null,null,894,null,null,3389,null,null,2436,null,null,2449,null,null,487,null,null,473,null,null,151,null,null,2036,null,null,2646,null,null,1490,null,null,1037,null,null,1063,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
395069,12347,193885,7454,37311,3458,36931,3418,380,254,230,207,150,142,156574,5822,147184,5747,9390,1656,3868,1033,5522,1218,201184,6789,34284,2662,34009,2705,275,263,107,123,168,234,166900,6232,155019,6101,11881,1790,5594,1314,6287,1440,12347,null,null,7454,null,null,3458,null,null,3418,null,null,254,null,null,207,null,null,142,null,null,5822,null,null,5747,null,null,1656,null,null,1033,null,null,1218,null,null,6789,null,null,2662,null,null,2705,null,null,263,null,null,123,null,null,234,null,null,6232,null,null,6101,null,null,1790,null,null,1314,null,null,1440,null,null,72
